Timestamp,Event
2024-07-20T11:34:56.629023,"Epoch 0, Step 0 start"
2024-07-20T11:34:56.629033,Generating data
2024-07-20T11:35:05.596710,computing tour length of train model
2024-07-20T11:35:05.640688,computing tour length of baseline model
2024-07-20T11:35:18.540431,"Epoch 0, Step 1 start"
2024-07-20T11:35:18.540442,Generating data
2024-07-20T11:35:18.833510,computing tour length of train model
2024-07-20T11:35:18.833755,computing tour length of baseline model
2024-07-20T11:35:19.313739,"Epoch 0, Step 2 start"
2024-07-20T11:35:19.313752,Generating data
2024-07-20T11:35:19.594425,computing tour length of train model
2024-07-20T11:35:19.594690,computing tour length of baseline model
2024-07-20T11:35:20.076385,"Epoch 0, Step 3 start"
2024-07-20T11:35:20.076398,Generating data
2024-07-20T11:35:20.359632,computing tour length of train model
2024-07-20T11:35:20.359858,computing tour length of baseline model
2024-07-20T11:35:20.829614,"Epoch 0, Step 4 start"
2024-07-20T11:35:20.829629,Generating data
2024-07-20T11:35:21.112631,computing tour length of train model
2024-07-20T11:35:21.112863,computing tour length of baseline model
2024-07-20T11:35:21.576329,"Epoch 0, Step 5 start"
2024-07-20T11:35:21.576339,Generating data
2024-07-20T11:35:21.861372,computing tour length of train model
2024-07-20T11:35:21.861614,computing tour length of baseline model
2024-07-20T11:35:22.336298,"Epoch 0, Step 6 start"
2024-07-20T11:35:22.336309,Generating data
2024-07-20T11:35:22.712671,computing tour length of train model
2024-07-20T11:35:22.713020,computing tour length of baseline model
2024-07-20T11:35:23.259159,"Epoch 0, Step 7 start"
2024-07-20T11:35:23.259172,Generating data
2024-07-20T11:35:23.541454,computing tour length of train model
2024-07-20T11:35:23.541695,computing tour length of baseline model
2024-07-20T11:35:24.019566,"Epoch 0, Step 8 start"
2024-07-20T11:35:24.019577,Generating data
2024-07-20T11:35:24.309914,computing tour length of train model
2024-07-20T11:35:24.310148,computing tour length of baseline model
2024-07-20T11:35:24.779840,"Epoch 0, Step 9 start"
2024-07-20T11:35:24.779852,Generating data
