Timestamp,Event
2024-07-20T14:02:13.319006,"Epoch 0, Step 0 start"
2024-07-20T14:02:13.319016,Generating data
2024-07-20T14:02:21.180811,computing tour length of train model
2024-07-20T14:02:21.225025,computing tour length of baseline model
2024-07-20T14:02:31.327907,"Epoch 0, Step 1 start"
2024-07-20T14:02:31.327921,Generating data
2024-07-20T14:02:31.621294,computing tour length of train model
2024-07-20T14:02:31.621542,computing tour length of baseline model
2024-07-20T14:02:32.103123,"Epoch 0, Step 2 start"
2024-07-20T14:02:32.103136,Generating data
2024-07-20T14:02:32.395842,computing tour length of train model
2024-07-20T14:02:32.396091,computing tour length of baseline model
2024-07-20T14:02:32.875605,"Epoch 0, Step 3 start"
2024-07-20T14:02:32.875618,Generating data
2024-07-20T14:02:33.167098,computing tour length of train model
2024-07-20T14:02:33.167345,computing tour length of baseline model
2024-07-20T14:02:33.648594,"Epoch 0, Step 4 start"
2024-07-20T14:02:33.648606,Generating data
2024-07-20T14:02:33.940630,computing tour length of train model
2024-07-20T14:02:33.940867,computing tour length of baseline model
2024-07-20T14:02:34.417638,"Epoch 0, Step 5 start"
2024-07-20T14:02:34.417651,Generating data
2024-07-20T14:02:34.828422,computing tour length of train model
2024-07-20T14:02:34.828807,computing tour length of baseline model
2024-07-20T14:02:35.369938,"Epoch 0, Step 6 start"
2024-07-20T14:02:35.369957,Generating data
2024-07-20T14:02:35.661949,computing tour length of train model
2024-07-20T14:02:35.662211,computing tour length of baseline model
2024-07-20T14:02:36.142313,"Epoch 0, Step 7 start"
2024-07-20T14:02:36.142326,Generating data
2024-07-20T14:02:36.435802,computing tour length of train model
2024-07-20T14:02:36.436047,computing tour length of baseline model
2024-07-20T14:02:36.919667,"Epoch 0, Step 8 start"
2024-07-20T14:02:36.919678,Generating data
2024-07-20T14:02:37.211401,computing tour length of train model
2024-07-20T14:02:37.211624,computing tour length of baseline model
2024-07-20T14:02:37.718792,"Epoch 0, Step 9 start"
2024-07-20T14:02:37.718804,Generating data
2024-07-20T14:02:38.010909,computing tour length of train model
2024-07-20T14:02:38.011155,computing tour length of baseline model
2024-07-20T14:02:38.495000,"Epoch 0, Generating tour on test data batch 0"
2024-07-20T14:02:38.775435,"Epoch 0, computing tour length on test data batch 0"
2024-07-20T14:02:38.775926,"Epoch 0, Generating tour on test data batch 1"
2024-07-20T14:02:39.055973,"Epoch 0, computing tour length on test data batch 1"
2024-07-20T14:02:39.056459,"Epoch 0, Generating tour on test data batch 2"
2024-07-20T14:02:39.338708,"Epoch 0, computing tour length on test data batch 2"
2024-07-20T14:02:39.339196,"Epoch 0, Generating tour on test data batch 3"
2024-07-20T14:02:39.685385,"Epoch 0, computing tour length on test data batch 3"
2024-07-20T14:02:39.686184,"Epoch 0, Generating tour on test data batch 4"
2024-07-20T14:02:40.082072,"Epoch 0, computing tour length on test data batch 4"
2024-07-20T14:02:40.082595,"Epoch 0, Generating tour on test data batch 5"
2024-07-20T14:02:40.361011,"Epoch 0, computing tour length on test data batch 5"
2024-07-20T14:02:40.361495,"Epoch 0, Generating tour on test data batch 6"
2024-07-20T14:02:40.640551,"Epoch 0, computing tour length on test data batch 6"
2024-07-20T14:02:40.641047,"Epoch 0, Generating tour on test data batch 7"
2024-07-20T14:02:40.920071,"Epoch 0, computing tour length on test data batch 7"
2024-07-20T14:02:40.920561,"Epoch 0, Generating tour on test data batch 8"
2024-07-20T14:02:41.199261,"Epoch 0, computing tour length on test data batch 8"
2024-07-20T14:02:41.199750,"Epoch 0, Generating tour on test data batch 9"
2024-07-20T14:02:41.479604,"Epoch 0, computing tour length on test data batch 9"
2024-07-20T14:02:41.480085,"Epoch 0, Generating tour on test data batch 10"
2024-07-20T14:02:41.760849,"Epoch 0, computing tour length on test data batch 10"
2024-07-20T14:02:41.761330,"Epoch 0, Generating tour on test data batch 11"
2024-07-20T14:02:42.041426,"Epoch 0, computing tour length on test data batch 11"
2024-07-20T14:02:42.041898,"Epoch 0, Generating tour on test data batch 12"
2024-07-20T14:02:42.323607,"Epoch 0, computing tour length on test data batch 12"
2024-07-20T14:02:42.324104,"Epoch 0, Generating tour on test data batch 13"
2024-07-20T14:02:42.604618,"Epoch 0, computing tour length on test data batch 13"
2024-07-20T14:02:42.605061,"Epoch 0, Generating tour on test data batch 14"
2024-07-20T14:02:42.883574,"Epoch 0, computing tour length on test data batch 14"
2024-07-20T14:02:42.884063,"Epoch 0, Generating tour on test data batch 15"
2024-07-20T14:02:43.161758,"Epoch 0, computing tour length on test data batch 15"
2024-07-20T14:02:43.162219,"Epoch 0, Generating tour on test data batch 16"
2024-07-20T14:02:43.440736,"Epoch 0, computing tour length on test data batch 16"
2024-07-20T14:02:43.441215,"Epoch 0, Generating tour on test data batch 17"
2024-07-20T14:02:43.719101,"Epoch 0, computing tour length on test data batch 17"
2024-07-20T14:02:43.719550,"Epoch 0, Generating tour on test data batch 18"
2024-07-20T14:02:44.001668,"Epoch 0, computing tour length on test data batch 18"
2024-07-20T14:02:44.002148,"Epoch 0, Generating tour on test data batch 19"
2024-07-20T14:02:44.280988,"Epoch 0, computing tour length on test data batch 19"
2024-07-20T14:02:44.281416,"Epoch 0, Generating tour on test data batch 20"
2024-07-20T14:02:44.611187,"Epoch 0, computing tour length on test data batch 20"
2024-07-20T14:02:44.611888,"Epoch 0, Generating tour on test data batch 21"
2024-07-20T14:02:45.005683,"Epoch 0, computing tour length on test data batch 21"
2024-07-20T14:02:45.006165,"Epoch 0, Generating tour on test data batch 22"
2024-07-20T14:02:45.283144,"Epoch 0, computing tour length on test data batch 22"
2024-07-20T14:02:45.283574,"Epoch 0, Generating tour on test data batch 23"
2024-07-20T14:02:45.562345,"Epoch 0, computing tour length on test data batch 23"
2024-07-20T14:02:45.562820,"Epoch 0, Generating tour on test data batch 24"
2024-07-20T14:02:45.841503,"Epoch 0, computing tour length on test data batch 24"
2024-07-20T14:02:45.841985,"Epoch 0, Generating tour on test data batch 25"
2024-07-20T14:02:46.119934,"Epoch 0, computing tour length on test data batch 25"
2024-07-20T14:02:46.120402,"Epoch 0, Generating tour on test data batch 26"
2024-07-20T14:02:46.399609,"Epoch 0, computing tour length on test data batch 26"
2024-07-20T14:02:46.400087,"Epoch 0, Generating tour on test data batch 27"
2024-07-20T14:02:46.677502,"Epoch 0, computing tour length on test data batch 27"
2024-07-20T14:02:46.677942,"Epoch 0, Generating tour on test data batch 28"
2024-07-20T14:02:46.956817,"Epoch 0, computing tour length on test data batch 28"
2024-07-20T14:02:46.957298,"Epoch 0, Generating tour on test data batch 29"
2024-07-20T14:02:47.235565,"Epoch 0, computing tour length on test data batch 29"
2024-07-20T14:02:47.236045,"Epoch 0, Generating tour on test data batch 30"
2024-07-20T14:02:47.515198,"Epoch 0, computing tour length on test data batch 30"
2024-07-20T14:02:47.515687,"Epoch 0, Generating tour on test data batch 31"
2024-07-20T14:02:47.793444,"Epoch 0, computing tour length on test data batch 31"
2024-07-20T14:02:47.793924,"Epoch 0, Generating tour on test data batch 32"
2024-07-20T14:02:48.074008,"Epoch 0, computing tour length on test data batch 32"
2024-07-20T14:02:48.074538,"Epoch 0, Generating tour on test data batch 33"
2024-07-20T14:02:48.356209,"Epoch 0, computing tour length on test data batch 33"
2024-07-20T14:02:48.356779,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-20T14:02:48.379293,"Epoch 1, Step 0 start"
2024-07-20T14:02:48.379303,Generating data
2024-07-20T14:02:48.669972,computing tour length of train model
2024-07-20T14:02:48.670244,computing tour length of baseline model
2024-07-20T14:02:49.151074,"Epoch 1, Step 1 start"
2024-07-20T14:02:49.151086,Generating data
2024-07-20T14:02:49.442890,computing tour length of train model
2024-07-20T14:02:49.443139,computing tour length of baseline model
2024-07-20T14:02:50.123822,"Epoch 1, Step 2 start"
2024-07-20T14:02:50.123835,Generating data
2024-07-20T14:02:50.418062,computing tour length of train model
2024-07-20T14:02:50.418348,computing tour length of baseline model
2024-07-20T14:02:50.899988,"Epoch 1, Step 3 start"
2024-07-20T14:02:50.899999,Generating data
2024-07-20T14:02:51.195824,computing tour length of train model
2024-07-20T14:02:51.196072,computing tour length of baseline model
2024-07-20T14:02:51.682857,"Epoch 1, Step 4 start"
