Timestamp,Event
2024-07-20T19:11:23.909796,"Epoch 0, Step 0 start"
2024-07-20T19:11:23.909806,Generating data
2024-07-20T19:11:33.457217,computing tour length of train model
2024-07-20T19:11:33.502850,computing tour length of baseline model
2024-07-20T19:11:47.405207,"Epoch 0, Step 1 start"
2024-07-20T19:11:47.405232,Generating data
2024-07-20T19:11:49.243601,computing tour length of train model
2024-07-20T19:11:49.243854,computing tour length of baseline model
2024-07-20T19:11:52.488362,"Epoch 0, Step 2 start"
2024-07-20T19:11:52.488390,Generating data
2024-07-20T19:11:54.352174,computing tour length of train model
2024-07-20T19:11:54.352427,computing tour length of baseline model
2024-07-20T19:11:57.598597,"Epoch 0, Step 3 start"
2024-07-20T19:11:57.598618,Generating data
2024-07-20T19:11:59.456584,computing tour length of train model
2024-07-20T19:11:59.456840,computing tour length of baseline model
2024-07-20T19:12:02.704726,"Epoch 0, Step 4 start"
2024-07-20T19:12:02.704749,Generating data
2024-07-20T19:12:04.563776,computing tour length of train model
2024-07-20T19:12:04.564041,computing tour length of baseline model
2024-07-20T19:12:07.810996,"Epoch 0, Step 5 start"
2024-07-20T19:12:07.811025,Generating data
2024-07-20T19:12:09.660253,computing tour length of train model
2024-07-20T19:12:09.660511,computing tour length of baseline model
2024-07-20T19:12:12.917339,"Epoch 0, Step 6 start"
2024-07-20T19:12:12.917366,Generating data
2024-07-20T19:12:14.760909,computing tour length of train model
2024-07-20T19:12:14.761156,computing tour length of baseline model
2024-07-20T19:12:18.004663,"Epoch 0, Step 7 start"
2024-07-20T19:12:18.004677,Generating data
2024-07-20T19:12:19.858388,computing tour length of train model
2024-07-20T19:12:19.858640,computing tour length of baseline model
2024-07-20T19:12:23.105799,"Epoch 0, Step 8 start"
2024-07-20T19:12:23.105813,Generating data
2024-07-20T19:12:24.963907,computing tour length of train model
2024-07-20T19:12:24.964184,computing tour length of baseline model
2024-07-20T19:12:28.215916,"Epoch 0, Step 9 start"
2024-07-20T19:12:28.215927,Generating data
2024-07-20T19:12:30.078114,computing tour length of train model
2024-07-20T19:12:30.078378,computing tour length of baseline model
2024-07-20T19:12:33.333098,"Epoch 0, Step 10 start"
2024-07-20T19:12:33.333111,Generating data
2024-07-20T19:12:35.195244,computing tour length of train model
2024-07-20T19:12:35.195500,computing tour length of baseline model
2024-07-20T19:12:38.454625,"Epoch 0, Step 11 start"
2024-07-20T19:12:38.454636,Generating data
2024-07-20T19:12:40.320835,computing tour length of train model
2024-07-20T19:12:40.321080,computing tour length of baseline model
2024-07-20T19:12:43.584988,"Epoch 0, Step 12 start"
2024-07-20T19:12:43.585000,Generating data
2024-07-20T19:12:45.448931,computing tour length of train model
2024-07-20T19:12:45.449175,computing tour length of baseline model
2024-07-20T19:12:48.716261,"Epoch 0, Step 13 start"
2024-07-20T19:12:48.716273,Generating data
2024-07-20T19:12:50.582754,computing tour length of train model
2024-07-20T19:12:50.583005,computing tour length of baseline model
2024-07-20T19:12:53.848120,"Epoch 0, Step 14 start"
2024-07-20T19:12:53.848132,Generating data
2024-07-20T19:12:55.717501,computing tour length of train model
2024-07-20T19:12:55.717752,computing tour length of baseline model
2024-07-20T19:12:58.983441,"Epoch 0, Step 15 start"
2024-07-20T19:12:58.983452,Generating data
2024-07-20T19:13:00.848429,computing tour length of train model
2024-07-20T19:13:00.848683,computing tour length of baseline model
2024-07-20T19:13:04.109440,"Epoch 0, Step 16 start"
2024-07-20T19:13:04.109452,Generating data
2024-07-20T19:13:05.968996,computing tour length of train model
2024-07-20T19:13:05.969253,computing tour length of baseline model
2024-07-20T19:13:09.220338,"Epoch 0, Step 17 start"
2024-07-20T19:13:09.220350,Generating data
2024-07-20T19:13:11.079469,computing tour length of train model
2024-07-20T19:13:11.079728,computing tour length of baseline model
2024-07-20T19:13:14.329617,"Epoch 0, Step 18 start"
2024-07-20T19:13:14.329631,Generating data
2024-07-20T19:13:16.184667,computing tour length of train model
2024-07-20T19:13:16.184938,computing tour length of baseline model
2024-07-20T19:13:19.430571,"Epoch 0, Step 19 start"
2024-07-20T19:13:19.430585,Generating data
2024-07-20T19:13:21.283907,computing tour length of train model
2024-07-20T19:13:21.284158,computing tour length of baseline model
2024-07-20T19:13:24.531372,"Epoch 0, Step 20 start"
2024-07-20T19:13:24.531399,Generating data
2024-07-20T19:13:26.383668,computing tour length of train model
2024-07-20T19:13:26.383918,computing tour length of baseline model
2024-07-20T19:13:29.628996,"Epoch 0, Step 21 start"
2024-07-20T19:13:29.629009,Generating data
2024-07-20T19:13:31.482836,computing tour length of train model
2024-07-20T19:13:31.483089,computing tour length of baseline model
2024-07-20T19:13:34.726292,"Epoch 0, Step 22 start"
2024-07-20T19:13:34.726306,Generating data
2024-07-20T19:13:36.579552,computing tour length of train model
2024-07-20T19:13:36.579807,computing tour length of baseline model
2024-07-20T19:13:39.824690,"Epoch 0, Step 23 start"
2024-07-20T19:13:39.824702,Generating data
2024-07-20T19:13:41.679838,computing tour length of train model
2024-07-20T19:13:41.680094,computing tour length of baseline model
2024-07-20T19:13:44.924819,"Epoch 0, Step 24 start"
2024-07-20T19:13:44.924830,Generating data
2024-07-20T19:13:46.779025,computing tour length of train model
2024-07-20T19:13:46.779292,computing tour length of baseline model
2024-07-20T19:13:50.025278,"Epoch 0, Step 25 start"
2024-07-20T19:13:50.025290,Generating data
2024-07-20T19:13:51.880862,computing tour length of train model
2024-07-20T19:13:51.881114,computing tour length of baseline model
2024-07-20T19:13:55.126514,"Epoch 0, Step 26 start"
2024-07-20T19:13:55.126526,Generating data
2024-07-20T19:13:56.984460,computing tour length of train model
2024-07-20T19:13:56.984714,computing tour length of baseline model
2024-07-20T19:14:00.234739,"Epoch 0, Step 27 start"
2024-07-20T19:14:00.234751,Generating data
2024-07-20T19:14:02.092660,computing tour length of train model
2024-07-20T19:14:02.092939,computing tour length of baseline model
2024-07-20T19:14:05.345663,"Epoch 0, Step 28 start"
2024-07-20T19:14:05.345675,Generating data
2024-07-20T19:14:07.204583,computing tour length of train model
2024-07-20T19:14:07.204835,computing tour length of baseline model
2024-07-20T19:14:10.464932,"Epoch 0, Step 29 start"
2024-07-20T19:14:10.464944,Generating data
2024-07-20T19:14:12.327884,computing tour length of train model
2024-07-20T19:14:12.328135,computing tour length of baseline model
2024-07-20T19:14:15.589333,"Epoch 0, Step 30 start"
2024-07-20T19:14:15.589346,Generating data
2024-07-20T19:14:17.453420,computing tour length of train model
2024-07-20T19:14:17.453871,computing tour length of baseline model
2024-07-20T19:14:20.718235,"Epoch 0, Step 31 start"
2024-07-20T19:14:20.718248,Generating data
2024-07-20T19:14:22.590293,computing tour length of train model
2024-07-20T19:14:22.590820,computing tour length of baseline model
2024-07-20T19:14:25.851248,"Epoch 0, Step 32 start"
2024-07-20T19:14:25.851259,Generating data
2024-07-20T19:14:27.731283,computing tour length of train model
2024-07-20T19:14:27.731771,computing tour length of baseline model
2024-07-20T19:14:30.991416,"Epoch 0, Step 33 start"
2024-07-20T19:14:30.991427,Generating data
2024-07-20T19:14:32.875359,computing tour length of train model
2024-07-20T19:14:32.875852,computing tour length of baseline model
2024-07-20T19:14:36.133428,"Epoch 0, Step 34 start"
2024-07-20T19:14:36.133440,Generating data
2024-07-20T19:14:38.021266,computing tour length of train model
2024-07-20T19:14:38.021525,computing tour length of baseline model
2024-07-20T19:14:41.273697,"Epoch 0, Step 35 start"
2024-07-20T19:14:41.273708,Generating data
2024-07-20T19:14:43.161630,computing tour length of train model
2024-07-20T19:14:43.161886,computing tour length of baseline model
2024-07-20T19:14:46.402899,"Epoch 0, Step 36 start"
2024-07-20T19:14:46.402910,Generating data
2024-07-20T19:14:48.283543,computing tour length of train model
2024-07-20T19:14:48.283797,computing tour length of baseline model
2024-07-20T19:14:51.528094,"Epoch 0, Step 37 start"
2024-07-20T19:14:51.528105,Generating data
2024-07-20T19:14:53.410808,computing tour length of train model
2024-07-20T19:14:53.411066,computing tour length of baseline model
2024-07-20T19:14:56.650720,"Epoch 0, Step 38 start"
2024-07-20T19:14:56.650735,Generating data
2024-07-20T19:14:58.527906,computing tour length of train model
2024-07-20T19:14:58.528161,computing tour length of baseline model
2024-07-20T19:15:01.764720,"Epoch 0, Step 39 start"
2024-07-20T19:15:01.764732,Generating data
2024-07-20T19:15:03.645816,computing tour length of train model
2024-07-20T19:15:03.646107,computing tour length of baseline model
2024-07-20T19:15:06.880610,"Epoch 0, Generating tour on test data batch 0"
2024-07-20T19:15:08.744022,"Epoch 0, computing tour length on test data batch 0"
2024-07-20T19:15:08.744525,"Epoch 0, Generating tour on test data batch 1"
2024-07-20T19:15:10.547729,"Epoch 0, computing tour length on test data batch 1"
2024-07-20T19:15:10.548212,"Epoch 0, Generating tour on test data batch 2"
2024-07-20T19:15:12.353930,"Epoch 0, computing tour length on test data batch 2"
2024-07-20T19:15:12.354435,"Epoch 0, Generating tour on test data batch 3"
2024-07-20T19:15:14.185121,"Epoch 0, computing tour length on test data batch 3"
2024-07-20T19:15:14.185680,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-20T19:15:14.208940,"Epoch 1, Step 0 start"
2024-07-20T19:15:14.208949,Generating data
2024-07-20T19:15:16.020647,computing tour length of train model
2024-07-20T19:15:16.020895,computing tour length of baseline model
2024-07-20T19:15:19.265575,"Epoch 1, Step 1 start"
2024-07-20T19:15:19.265589,Generating data
2024-07-20T19:15:21.119763,computing tour length of train model
2024-07-20T19:15:21.120014,computing tour length of baseline model
2024-07-20T19:15:24.368736,"Epoch 1, Step 2 start"
2024-07-20T19:15:24.368748,Generating data
2024-07-20T19:15:26.225514,computing tour length of train model
2024-07-20T19:15:26.225765,computing tour length of baseline model
2024-07-20T19:15:29.468307,"Epoch 1, Step 3 start"
2024-07-20T19:15:29.468319,Generating data
2024-07-20T19:15:31.324549,computing tour length of train model
2024-07-20T19:15:31.324793,computing tour length of baseline model
2024-07-20T19:15:34.574433,"Epoch 1, Step 4 start"
2024-07-20T19:15:34.574445,Generating data
2024-07-20T19:15:36.431589,computing tour length of train model
2024-07-20T19:15:36.431838,computing tour length of baseline model
2024-07-20T19:15:39.686809,"Epoch 1, Step 5 start"
2024-07-20T19:15:39.686821,Generating data
2024-07-20T19:15:41.545703,computing tour length of train model
2024-07-20T19:15:41.545975,computing tour length of baseline model
2024-07-20T19:15:44.802385,"Epoch 1, Step 6 start"
2024-07-20T19:15:44.802399,Generating data
2024-07-20T19:15:46.661060,computing tour length of train model
2024-07-20T19:15:46.661311,computing tour length of baseline model
2024-07-20T19:15:49.919601,"Epoch 1, Step 7 start"
