Timestamp,Event
2024-07-20T14:33:28.742253,"Epoch 0, Step 0 start"
2024-07-20T14:33:28.742264,Generating data
2024-07-20T14:33:28.748804,generating tours of train model
2024-07-20T14:33:36.686461,generating tours of baseline model
2024-07-20T14:33:37.032079,computing tour length of train model
2024-07-20T14:33:37.077593,computing tour length of baseline model
2024-07-20T14:33:37.077927,computing loss and backprop
2024-07-20T14:33:47.430120,"Epoch 0, Step 1 start"
2024-07-20T14:33:47.430131,Generating data
2024-07-20T14:33:47.430920,generating tours of train model
2024-07-20T14:33:47.804239,generating tours of baseline model
2024-07-20T14:33:48.149147,computing tour length of train model
2024-07-20T14:33:48.149393,computing tour length of baseline model
2024-07-20T14:33:48.149635,computing loss and backprop
2024-07-20T14:33:48.951146,"Epoch 0, Step 2 start"
2024-07-20T14:33:48.951158,Generating data
2024-07-20T14:33:48.951845,generating tours of train model
2024-07-20T14:33:49.322312,generating tours of baseline model
2024-07-20T14:33:49.777715,computing tour length of train model
2024-07-20T14:33:49.777981,computing tour length of baseline model
2024-07-20T14:33:49.778241,computing loss and backprop
2024-07-20T14:33:50.644531,"Epoch 0, Step 3 start"
2024-07-20T14:33:50.644542,Generating data
2024-07-20T14:33:50.645247,generating tours of train model
2024-07-20T14:33:51.018841,generating tours of baseline model
2024-07-20T14:33:51.367858,computing tour length of train model
2024-07-20T14:33:51.368123,computing tour length of baseline model
2024-07-20T14:33:51.368356,computing loss and backprop
2024-07-20T14:33:52.169961,"Epoch 0, Step 4 start"
2024-07-20T14:33:52.169973,Generating data
2024-07-20T14:33:52.170525,generating tours of train model
2024-07-20T14:33:52.543285,generating tours of baseline model
2024-07-20T14:33:52.889284,computing tour length of train model
2024-07-20T14:33:52.889540,computing tour length of baseline model
2024-07-20T14:33:52.889781,computing loss and backprop
2024-07-20T14:33:53.689848,"Epoch 0, Step 5 start"
2024-07-20T14:33:53.689861,Generating data
2024-07-20T14:33:53.690581,generating tours of train model
2024-07-20T14:33:54.155375,generating tours of baseline model
2024-07-20T14:33:54.517385,computing tour length of train model
2024-07-20T14:33:54.517664,computing tour length of baseline model
2024-07-20T14:33:54.517969,computing loss and backprop
2024-07-20T14:33:55.473685,"Epoch 0, Step 6 start"
2024-07-20T14:33:55.473697,Generating data
2024-07-20T14:33:55.474421,generating tours of train model
2024-07-20T14:33:55.843283,generating tours of baseline model
2024-07-20T14:33:56.188633,computing tour length of train model
2024-07-20T14:33:56.188874,computing tour length of baseline model
2024-07-20T14:33:56.189111,computing loss and backprop
2024-07-20T14:33:56.990740,"Epoch 0, Step 7 start"
2024-07-20T14:33:56.990752,Generating data
2024-07-20T14:33:56.991032,generating tours of train model
2024-07-20T14:33:57.362111,generating tours of baseline model
2024-07-20T14:33:57.706746,computing tour length of train model
2024-07-20T14:33:57.706997,computing tour length of baseline model
2024-07-20T14:33:57.707224,computing loss and backprop
2024-07-20T14:33:58.508428,"Epoch 0, Step 8 start"
2024-07-20T14:33:58.508440,Generating data
2024-07-20T14:33:58.508709,generating tours of train model
2024-07-20T14:33:58.879603,generating tours of baseline model
2024-07-20T14:33:59.225643,computing tour length of train model
2024-07-20T14:33:59.225883,computing tour length of baseline model
2024-07-20T14:33:59.226109,computing loss and backprop
2024-07-20T14:34:00.208797,"Epoch 0, Step 9 start"
2024-07-20T14:34:00.208810,Generating data
2024-07-20T14:34:00.209119,generating tours of train model
2024-07-20T14:34:00.581100,generating tours of baseline model
2024-07-20T14:34:00.929280,computing tour length of train model
2024-07-20T14:34:00.929528,computing tour length of baseline model
2024-07-20T14:34:00.929759,computing loss and backprop
2024-07-20T14:34:01.732643,"Epoch 0, Generating tour on test data batch 0"
2024-07-20T14:34:02.423966,"Epoch 0, computing tour length on test data batch 0"
2024-07-20T14:34:02.424448,"Epoch 0, Generating tour on test data batch 1"
2024-07-20T14:34:03.112626,"Epoch 0, computing tour length on test data batch 1"
2024-07-20T14:34:03.113062,"Epoch 0, Generating tour on test data batch 2"
2024-07-20T14:34:03.804679,"Epoch 0, computing tour length on test data batch 2"
2024-07-20T14:34:03.805156,"Epoch 0, Generating tour on test data batch 3"
2024-07-20T14:34:04.512538,"Epoch 0, computing tour length on test data batch 3"
2024-07-20T14:34:04.513287,"Epoch 0, Generating tour on test data batch 4"
2024-07-20T14:34:05.358688,"Epoch 0, computing tour length on test data batch 4"
2024-07-20T14:34:05.359186,"Epoch 0, Generating tour on test data batch 5"
2024-07-20T14:34:06.048874,"Epoch 0, computing tour length on test data batch 5"
2024-07-20T14:34:06.049314,"Epoch 0, Generating tour on test data batch 6"
2024-07-20T14:34:06.738881,"Epoch 0, computing tour length on test data batch 6"
2024-07-20T14:34:06.739368,"Epoch 0, Generating tour on test data batch 7"
2024-07-20T14:34:07.428951,"Epoch 0, computing tour length on test data batch 7"
2024-07-20T14:34:07.429425,"Epoch 0, Generating tour on test data batch 8"
2024-07-20T14:34:08.117006,"Epoch 0, computing tour length on test data batch 8"
2024-07-20T14:34:08.117444,"Epoch 0, Generating tour on test data batch 9"
2024-07-20T14:34:08.807362,"Epoch 0, computing tour length on test data batch 9"
