Timestamp,Event
2024-07-20T11:33:04.185349,"Epoch 0, Step 0 start"
2024-07-20T11:33:04.185359,Generating data
2024-07-20T11:33:11.773039,computing tour length of train model
2024-07-20T11:33:11.818319,computing tour length of baseline model
2024-07-20T11:33:21.527787,"Epoch 0, Step 1 start"
2024-07-20T11:33:21.527800,Generating data
2024-07-20T11:33:21.674341,computing tour length of train model
2024-07-20T11:33:21.674573,computing tour length of baseline model
2024-07-20T11:33:21.914261,"Epoch 0, Step 2 start"
2024-07-20T11:33:21.914274,Generating data
2024-07-20T11:33:22.058820,computing tour length of train model
2024-07-20T11:33:22.059066,computing tour length of baseline model
2024-07-20T11:33:22.293436,"Epoch 0, Step 3 start"
2024-07-20T11:33:22.293448,Generating data
2024-07-20T11:33:22.435807,computing tour length of train model
2024-07-20T11:33:22.436030,computing tour length of baseline model
2024-07-20T11:33:22.793139,"Epoch 0, Step 4 start"
2024-07-20T11:33:22.793162,Generating data
2024-07-20T11:33:22.986385,computing tour length of train model
2024-07-20T11:33:22.986661,computing tour length of baseline model
2024-07-20T11:33:23.226327,"Epoch 0, Step 5 start"
2024-07-20T11:33:23.226339,Generating data
2024-07-20T11:33:23.369096,computing tour length of train model
2024-07-20T11:33:23.369313,computing tour length of baseline model
2024-07-20T11:33:23.603611,"Epoch 0, Step 6 start"
2024-07-20T11:33:23.603623,Generating data
2024-07-20T11:33:23.748717,computing tour length of train model
2024-07-20T11:33:23.748930,computing tour length of baseline model
2024-07-20T11:33:23.987773,"Epoch 0, Step 7 start"
2024-07-20T11:33:23.987786,Generating data
2024-07-20T11:33:24.133269,computing tour length of train model
2024-07-20T11:33:24.133514,computing tour length of baseline model
2024-07-20T11:33:24.368040,"Epoch 0, Step 8 start"
2024-07-20T11:33:24.368050,Generating data
2024-07-20T11:33:24.511118,computing tour length of train model
2024-07-20T11:33:24.511328,computing tour length of baseline model
2024-07-20T11:33:24.748085,"Epoch 0, Step 9 start"
2024-07-20T11:33:24.748103,Generating data
2024-07-20T11:33:24.897837,computing tour length of train model
2024-07-20T11:33:24.898093,computing tour length of baseline model
2024-07-20T11:33:25.131826,"Epoch 0, Generating tour on test data batch 0"
2024-07-20T11:33:25.287778,"Epoch 0, computing tour length on test data batch 0"
2024-07-20T11:33:25.288307,"Epoch 0, Generating tour on test data batch 1"
2024-07-20T11:33:25.432167,"Epoch 0, computing tour length on test data batch 1"
2024-07-20T11:33:25.432618,"Epoch 0, Generating tour on test data batch 2"
2024-07-20T11:33:25.574971,"Epoch 0, computing tour length on test data batch 2"
2024-07-20T11:33:25.575415,"Epoch 0, Generating tour on test data batch 3"
2024-07-20T11:33:25.715745,"Epoch 0, computing tour length on test data batch 3"
2024-07-20T11:33:25.716187,"Epoch 0, Generating tour on test data batch 4"
2024-07-20T11:33:25.864409,"Epoch 0, computing tour length on test data batch 4"
2024-07-20T11:33:25.864923,"Epoch 0, Generating tour on test data batch 5"
2024-07-20T11:33:26.016019,"Epoch 0, computing tour length on test data batch 5"
2024-07-20T11:33:26.016553,"Epoch 0, Generating tour on test data batch 6"
2024-07-20T11:33:26.163796,"Epoch 0, computing tour length on test data batch 6"
2024-07-20T11:33:26.164307,"Epoch 0, Generating tour on test data batch 7"
2024-07-20T11:33:26.308052,"Epoch 0, computing tour length on test data batch 7"
2024-07-20T11:33:26.308498,"Epoch 0, Generating tour on test data batch 8"
2024-07-20T11:33:26.450731,"Epoch 0, computing tour length on test data batch 8"
2024-07-20T11:33:26.451178,"Epoch 0, Generating tour on test data batch 9"
2024-07-20T11:33:26.593488,"Epoch 0, computing tour length on test data batch 9"
2024-07-20T11:33:26.593995,"Epoch 0, Generating tour on test data batch 10"
2024-07-20T11:33:26.736738,"Epoch 0, computing tour length on test data batch 10"
2024-07-20T11:33:26.737229,"Epoch 0, Generating tour on test data batch 11"
2024-07-20T11:33:26.890103,"Epoch 0, computing tour length on test data batch 11"
2024-07-20T11:33:26.890712,"Epoch 0, Generating tour on test data batch 12"
2024-07-20T11:33:27.037418,"Epoch 0, computing tour length on test data batch 12"
2024-07-20T11:33:27.037894,"Epoch 0, Generating tour on test data batch 13"
2024-07-20T11:33:27.180439,"Epoch 0, computing tour length on test data batch 13"
2024-07-20T11:33:27.180876,"Epoch 0, Generating tour on test data batch 14"
2024-07-20T11:33:27.322414,"Epoch 0, computing tour length on test data batch 14"
2024-07-20T11:33:27.322892,"Epoch 0, Generating tour on test data batch 15"
2024-07-20T11:33:27.471938,"Epoch 0, computing tour length on test data batch 15"
2024-07-20T11:33:27.472663,"Epoch 0, Generating tour on test data batch 16"
2024-07-20T11:33:27.691931,"Epoch 0, computing tour length on test data batch 16"
2024-07-20T11:33:27.692781,"Epoch 0, Generating tour on test data batch 17"
2024-07-20T11:33:27.909079,"Epoch 0, computing tour length on test data batch 17"
2024-07-20T11:33:27.909869,"Epoch 0, Generating tour on test data batch 18"
2024-07-20T11:33:28.068639,"Epoch 0, computing tour length on test data batch 18"
2024-07-20T11:33:28.069135,"Epoch 0, Generating tour on test data batch 19"
2024-07-20T11:33:28.215809,"Epoch 0, computing tour length on test data batch 19"
2024-07-20T11:33:28.216267,"Epoch 0, Generating tour on test data batch 20"
2024-07-20T11:33:28.357819,"Epoch 0, computing tour length on test data batch 20"
2024-07-20T11:33:28.358316,"Epoch 0, Generating tour on test data batch 21"
2024-07-20T11:33:28.499961,"Epoch 0, computing tour length on test data batch 21"
2024-07-20T11:33:28.500400,"Epoch 0, Generating tour on test data batch 22"
2024-07-20T11:33:28.641891,"Epoch 0, computing tour length on test data batch 22"
2024-07-20T11:33:28.642330,"Epoch 0, Generating tour on test data batch 23"
2024-07-20T11:33:28.783872,"Epoch 0, computing tour length on test data batch 23"
2024-07-20T11:33:28.784318,"Epoch 0, Generating tour on test data batch 24"
2024-07-20T11:33:28.936949,"Epoch 0, computing tour length on test data batch 24"
2024-07-20T11:33:28.937486,"Epoch 0, Generating tour on test data batch 25"
2024-07-20T11:33:29.082236,"Epoch 0, computing tour length on test data batch 25"
2024-07-20T11:33:29.082695,"Epoch 0, Generating tour on test data batch 26"
