Timestamp,Event
2024-07-20T11:54:35.123224,"Epoch 0, Step 0 start"
2024-07-20T11:54:35.123236,Generating data
2024-07-20T11:54:35.130095,generating tours of train model
2024-07-20T11:54:43.217377,generating tours of baseline model
2024-07-20T11:54:43.643500,computing tour length of train model
2024-07-20T11:54:43.686956,computing tour length of baseline model
2024-07-20T11:54:43.687284,computing loss and backprop
2024-07-20T11:54:54.095075,"Epoch 0, Step 1 start"
2024-07-20T11:54:54.095088,Generating data
2024-07-20T11:54:54.096890,generating tours of train model
2024-07-20T11:54:54.468663,generating tours of baseline model
2024-07-20T11:54:54.834586,computing tour length of train model
2024-07-20T11:54:54.834886,computing tour length of baseline model
2024-07-20T11:54:54.835123,computing loss and backprop
2024-07-20T11:54:55.656655,"Epoch 0, Step 2 start"
2024-07-20T11:54:55.656669,Generating data
2024-07-20T11:54:55.658414,generating tours of train model
2024-07-20T11:54:56.121258,generating tours of baseline model
2024-07-20T11:54:56.476564,computing tour length of train model
2024-07-20T11:54:56.476815,computing tour length of baseline model
2024-07-20T11:54:56.477054,computing loss and backprop
2024-07-20T11:54:57.298410,"Epoch 0, Step 3 start"
2024-07-20T11:54:57.298430,Generating data
2024-07-20T11:54:57.301868,generating tours of train model
2024-07-20T11:54:57.802363,generating tours of baseline model
2024-07-20T11:54:58.222302,computing tour length of train model
2024-07-20T11:54:58.222588,computing tour length of baseline model
2024-07-20T11:54:58.222857,computing loss and backprop
2024-07-20T11:54:59.035181,"Epoch 0, Step 4 start"
2024-07-20T11:54:59.035193,Generating data
2024-07-20T11:54:59.037047,generating tours of train model
2024-07-20T11:54:59.430739,generating tours of baseline model
2024-07-20T11:54:59.787815,computing tour length of train model
2024-07-20T11:54:59.788155,computing tour length of baseline model
2024-07-20T11:54:59.788489,computing loss and backprop
2024-07-20T11:55:00.609826,"Epoch 0, Step 5 start"
2024-07-20T11:55:00.609838,Generating data
2024-07-20T11:55:00.610254,generating tours of train model
2024-07-20T11:55:00.992377,generating tours of baseline model
2024-07-20T11:55:01.352245,computing tour length of train model
2024-07-20T11:55:01.352496,computing tour length of baseline model
2024-07-20T11:55:01.352730,computing loss and backprop
2024-07-20T11:55:02.177632,"Epoch 0, Step 6 start"
2024-07-20T11:55:02.177643,Generating data
2024-07-20T11:55:02.179472,generating tours of train model
2024-07-20T11:55:02.611266,generating tours of baseline model
2024-07-20T11:55:03.081883,computing tour length of train model
2024-07-20T11:55:03.082145,computing tour length of baseline model
2024-07-20T11:55:03.082382,computing loss and backprop
2024-07-20T11:55:03.946287,"Epoch 0, Step 7 start"
2024-07-20T11:55:03.946299,Generating data
2024-07-20T11:55:03.948217,generating tours of train model
2024-07-20T11:55:04.318391,generating tours of baseline model
2024-07-20T11:55:04.668699,computing tour length of train model
2024-07-20T11:55:04.668947,computing tour length of baseline model
2024-07-20T11:55:04.669175,computing loss and backprop
2024-07-20T11:55:05.490589,"Epoch 0, Step 8 start"
2024-07-20T11:55:05.490618,Generating data
2024-07-20T11:55:05.491011,generating tours of train model
