Timestamp,Event
2024-07-31T19:52:24.439501,"Epoch 0, Step 0 start"
2024-07-31T19:52:24.439511,Generating data
2024-07-31T19:52:24.439812,generating tours of train model
2024-07-31T19:52:32.736795,generating tours of baseline model
2024-07-31T19:52:32.835704,computing tour length of train model
2024-07-31T19:52:32.899141,computing tour length of baseline model
2024-07-31T19:52:32.899780,computing loss and backprop
2024-07-31T19:52:44.146821,"Epoch 0, Step 1 start"
2024-07-31T19:52:44.146837,Generating data
2024-07-31T19:52:44.147355,generating tours of train model
2024-07-31T19:52:44.227000,generating tours of baseline model
2024-07-31T19:52:44.299946,computing tour length of train model
2024-07-31T19:52:44.300211,computing tour length of baseline model
2024-07-31T19:52:44.300448,computing loss and backprop
2024-07-31T19:52:44.363213,"Epoch 0, Step 2 start"
2024-07-31T19:52:44.363225,Generating data
2024-07-31T19:52:44.441709,generating tours of train model
2024-07-31T19:52:44.519645,generating tours of baseline model
2024-07-31T19:52:44.592078,computing tour length of train model
2024-07-31T19:52:44.592334,computing tour length of baseline model
2024-07-31T19:52:44.592598,computing loss and backprop
2024-07-31T19:52:44.652847,"Epoch 0, Step 3 start"
2024-07-31T19:52:44.652859,Generating data
2024-07-31T19:52:44.732225,generating tours of train model
2024-07-31T19:52:44.813876,generating tours of baseline model
2024-07-31T19:52:44.886438,computing tour length of train model
2024-07-31T19:52:44.886695,computing tour length of baseline model
2024-07-31T19:52:44.886937,computing loss and backprop
2024-07-31T19:52:44.946563,"Epoch 0, Step 4 start"
2024-07-31T19:52:44.946573,Generating data
2024-07-31T19:52:45.025981,generating tours of train model
2024-07-31T19:52:45.103762,generating tours of baseline model
2024-07-31T19:52:45.175950,computing tour length of train model
2024-07-31T19:52:45.176191,computing tour length of baseline model
2024-07-31T19:52:45.176427,computing loss and backprop
2024-07-31T19:52:45.235765,"Epoch 0, Step 5 start"
2024-07-31T19:52:45.235775,Generating data
2024-07-31T19:52:45.315318,generating tours of train model
2024-07-31T19:52:45.396589,generating tours of baseline model
2024-07-31T19:52:45.469162,computing tour length of train model
2024-07-31T19:52:45.469417,computing tour length of baseline model
2024-07-31T19:52:45.469658,computing loss and backprop
2024-07-31T19:52:45.529237,"Epoch 0, Step 6 start"
2024-07-31T19:52:45.529247,Generating data
2024-07-31T19:52:45.608246,generating tours of train model
2024-07-31T19:52:45.686271,generating tours of baseline model
2024-07-31T19:52:45.758569,computing tour length of train model
2024-07-31T19:52:45.758818,computing tour length of baseline model
2024-07-31T19:52:45.759052,computing loss and backprop
2024-07-31T19:52:45.818343,"Epoch 0, Step 7 start"
2024-07-31T19:52:45.818353,Generating data
2024-07-31T19:52:45.897785,generating tours of train model
2024-07-31T19:52:45.975286,generating tours of baseline model
2024-07-31T19:52:46.047606,computing tour length of train model
2024-07-31T19:52:46.047848,computing tour length of baseline model
2024-07-31T19:52:46.048084,computing loss and backprop
2024-07-31T19:52:46.107920,"Epoch 0, Step 8 start"
2024-07-31T19:52:46.107931,Generating data
2024-07-31T19:52:46.186656,generating tours of train model
2024-07-31T19:52:46.265081,generating tours of baseline model
2024-07-31T19:52:46.338832,computing tour length of train model
2024-07-31T19:52:46.339108,computing tour length of baseline model
2024-07-31T19:52:46.339354,computing loss and backprop
2024-07-31T19:52:46.400351,"Epoch 0, Step 9 start"
2024-07-31T19:52:46.400366,Generating data
2024-07-31T19:52:46.479966,generating tours of train model
2024-07-31T19:52:46.560405,generating tours of baseline model
2024-07-31T19:52:46.633128,computing tour length of train model
2024-07-31T19:52:46.633397,computing tour length of baseline model
2024-07-31T19:52:46.633647,computing loss and backprop
2024-07-31T19:52:46.693308,Testing on test data
2024-07-31T19:52:46.922308,Testing on val data
2024-07-31T19:52:47.484492,"Epoch 1, Step 0 start"
2024-07-31T19:52:47.484505,Generating data
2024-07-31T19:52:47.484827,generating tours of train model
2024-07-31T19:52:47.566377,generating tours of baseline model
2024-07-31T19:52:47.640467,computing tour length of train model
2024-07-31T19:52:47.640804,computing tour length of baseline model
2024-07-31T19:52:47.641123,computing loss and backprop
2024-07-31T19:52:47.732807,"Epoch 1, Step 1 start"
2024-07-31T19:52:47.732832,Generating data
2024-07-31T19:52:47.803107,generating tours of train model
2024-07-31T19:52:47.909538,generating tours of baseline model
2024-07-31T19:52:48.005173,computing tour length of train model
2024-07-31T19:52:48.005591,computing tour length of baseline model
2024-07-31T19:52:48.005994,computing loss and backprop
2024-07-31T19:52:48.095575,"Epoch 1, Step 2 start"
2024-07-31T19:52:48.095596,Generating data
2024-07-31T19:52:48.166342,generating tours of train model
2024-07-31T19:52:48.272933,generating tours of baseline model
2024-07-31T19:52:48.369743,computing tour length of train model
2024-07-31T19:52:48.370227,computing tour length of baseline model
