Timestamp,Event
2024-07-31T19:53:24.549737,"Epoch 0, Step 0 start"
2024-07-31T19:53:24.549748,Generating data
2024-07-31T19:53:24.549983,generating tours of train model
2024-07-31T19:53:33.771998,generating tours of baseline model
2024-07-31T19:53:34.128958,computing tour length of train model
2024-07-31T19:53:34.173733,computing tour length of baseline model
2024-07-31T19:53:34.174126,computing loss and backprop
2024-07-31T19:53:46.787677,"Epoch 0, Step 1 start"
2024-07-31T19:53:46.787690,Generating data
2024-07-31T19:53:46.788632,generating tours of train model
2024-07-31T19:53:47.173719,generating tours of baseline model
2024-07-31T19:53:47.539042,computing tour length of train model
2024-07-31T19:53:47.539304,computing tour length of baseline model
2024-07-31T19:53:47.539538,computing loss and backprop
2024-07-31T19:53:48.675064,"Epoch 0, Step 2 start"
2024-07-31T19:53:48.675077,Generating data
2024-07-31T19:53:48.675931,generating tours of train model
2024-07-31T19:53:49.066116,generating tours of baseline model
2024-07-31T19:53:49.426879,computing tour length of train model
2024-07-31T19:53:49.427142,computing tour length of baseline model
2024-07-31T19:53:49.427377,computing loss and backprop
2024-07-31T19:53:50.286021,"Epoch 0, Step 3 start"
2024-07-31T19:53:50.286032,Generating data
2024-07-31T19:53:50.286884,generating tours of train model
2024-07-31T19:53:50.670374,generating tours of baseline model
2024-07-31T19:53:51.028624,computing tour length of train model
2024-07-31T19:53:51.028903,computing tour length of baseline model
2024-07-31T19:53:51.029137,computing loss and backprop
2024-07-31T19:53:51.890945,"Epoch 0, Step 4 start"
2024-07-31T19:53:51.890960,Generating data
2024-07-31T19:53:51.891874,generating tours of train model
2024-07-31T19:53:52.274624,generating tours of baseline model
2024-07-31T19:53:52.633884,computing tour length of train model
2024-07-31T19:53:52.634166,computing tour length of baseline model
2024-07-31T19:53:52.634422,computing loss and backprop
2024-07-31T19:53:53.716951,"Epoch 0, Step 5 start"
2024-07-31T19:53:53.716964,Generating data
2024-07-31T19:53:53.717789,generating tours of train model
2024-07-31T19:53:54.098788,generating tours of baseline model
2024-07-31T19:53:54.456357,computing tour length of train model
2024-07-31T19:53:54.456617,computing tour length of baseline model
2024-07-31T19:53:54.456852,computing loss and backprop
2024-07-31T19:53:55.320943,"Epoch 0, Step 6 start"
2024-07-31T19:53:55.320963,Generating data
2024-07-31T19:53:55.321857,generating tours of train model
2024-07-31T19:53:55.711540,generating tours of baseline model
2024-07-31T19:53:56.073579,computing tour length of train model
2024-07-31T19:53:56.073840,computing tour length of baseline model
2024-07-31T19:53:56.074073,computing loss and backprop
2024-07-31T19:53:56.945553,"Epoch 0, Step 7 start"
2024-07-31T19:53:56.945565,Generating data
2024-07-31T19:53:56.946396,generating tours of train model
2024-07-31T19:53:57.328748,generating tours of baseline model
2024-07-31T19:53:57.711169,computing tour length of train model
2024-07-31T19:53:57.711599,computing tour length of baseline model
2024-07-31T19:53:57.712150,computing loss and backprop
2024-07-31T19:53:58.773862,"Epoch 0, Step 8 start"
2024-07-31T19:53:58.773874,Generating data
2024-07-31T19:53:58.774733,generating tours of train model
2024-07-31T19:53:59.197912,generating tours of baseline model
2024-07-31T19:53:59.580654,computing tour length of train model
2024-07-31T19:53:59.580954,computing tour length of baseline model
2024-07-31T19:53:59.581192,computing loss and backprop
2024-07-31T19:54:00.449197,"Epoch 0, Step 9 start"
2024-07-31T19:54:00.449209,Generating data
2024-07-31T19:54:00.450126,generating tours of train model
2024-07-31T19:54:00.843099,generating tours of baseline model
2024-07-31T19:54:01.209119,computing tour length of train model
2024-07-31T19:54:01.209476,computing tour length of baseline model
2024-07-31T19:54:01.209784,computing loss and backprop
2024-07-31T19:54:02.078443,Testing on test data
2024-07-31T19:54:10.706327,Testing on val data
2024-07-31T19:54:51.814431,"Epoch 1, Step 0 start"
2024-07-31T19:54:51.814442,Generating data
2024-07-31T19:54:51.814718,generating tours of train model
2024-07-31T19:54:52.242016,generating tours of baseline model
2024-07-31T19:54:52.600244,computing tour length of train model
2024-07-31T19:54:52.600555,computing tour length of baseline model
2024-07-31T19:54:52.600866,computing loss and backprop
2024-07-31T19:54:53.715316,"Epoch 1, Step 1 start"
2024-07-31T19:54:53.715331,Generating data
