Timestamp,Event
2024-07-18T17:34:37.792509,"Epoch 0, Step 0 start"
2024-07-18T17:34:37.792533,Generating data
2024-07-18T17:34:37.808229,generating tours of train model
2024-07-18T17:34:50.037650,generating tours of baseline model
2024-07-18T17:34:50.111358,computing tour length of train model
2024-07-18T17:34:50.235844,computing tour length of baseline model
2024-07-18T17:34:50.236431,computing loss and backprop
2024-07-18T17:35:03.576138,"Epoch 0, Step 1 start"
2024-07-18T17:35:03.576163,Generating data
2024-07-18T17:35:03.577195,generating tours of train model
2024-07-18T17:35:03.616845,generating tours of baseline model
2024-07-18T17:35:03.654067,computing tour length of train model
2024-07-18T17:35:03.654489,computing tour length of baseline model
2024-07-18T17:35:03.654840,computing loss and backprop
2024-07-18T17:35:03.762162,"Epoch 0, Step 2 start"
2024-07-18T17:35:03.762180,Generating data
2024-07-18T17:35:03.765709,generating tours of train model
2024-07-18T17:35:03.825814,generating tours of baseline model
2024-07-18T17:35:03.886922,computing tour length of train model
2024-07-18T17:35:03.887287,computing tour length of baseline model
2024-07-18T17:35:03.887632,computing loss and backprop
2024-07-18T17:35:04.060328,"Epoch 0, Step 3 start"
2024-07-18T17:35:04.060346,Generating data
2024-07-18T17:35:04.063543,generating tours of train model
2024-07-18T17:35:04.130732,generating tours of baseline model
2024-07-18T17:35:04.197490,computing tour length of train model
2024-07-18T17:35:04.197855,computing tour length of baseline model
2024-07-18T17:35:04.198193,computing loss and backprop
2024-07-18T17:35:04.393758,"Epoch 0, Step 4 start"
2024-07-18T17:35:04.393776,Generating data
2024-07-18T17:35:04.396810,generating tours of train model
2024-07-18T17:35:04.441797,generating tours of baseline model
2024-07-18T17:35:04.486225,computing tour length of train model
2024-07-18T17:35:04.486612,computing tour length of baseline model
2024-07-18T17:35:04.486951,computing loss and backprop
2024-07-18T17:35:04.613634,"Epoch 0, Step 5 start"
2024-07-18T17:35:04.613651,Generating data
2024-07-18T17:35:04.617362,generating tours of train model
2024-07-18T17:35:04.676698,generating tours of baseline model
2024-07-18T17:35:04.735337,computing tour length of train model
2024-07-18T17:35:04.735686,computing tour length of baseline model
2024-07-18T17:35:04.736024,computing loss and backprop
2024-07-18T17:35:04.907376,"Epoch 0, Step 6 start"
2024-07-18T17:35:04.907394,Generating data
2024-07-18T17:35:04.911284,generating tours of train model
2024-07-18T17:35:04.993135,generating tours of baseline model
2024-07-18T17:35:05.073878,computing tour length of train model
2024-07-18T17:35:05.074221,computing tour length of baseline model
2024-07-18T17:35:05.074560,computing loss and backprop
2024-07-18T17:35:05.316854,"Epoch 0, Step 7 start"
2024-07-18T17:35:05.316872,Generating data
2024-07-18T17:35:05.319979,generating tours of train model
2024-07-18T17:35:05.401334,generating tours of baseline model
2024-07-18T17:35:05.482134,computing tour length of train model
2024-07-18T17:35:05.482491,computing tour length of baseline model
2024-07-18T17:35:05.482837,computing loss and backprop
2024-07-18T17:35:05.725478,"Epoch 0, Step 8 start"
2024-07-18T17:35:05.725498,Generating data
2024-07-18T17:35:05.728276,generating tours of train model
2024-07-18T17:35:05.766080,generating tours of baseline model
2024-07-18T17:35:05.803491,computing tour length of train model
2024-07-18T17:35:05.803859,computing tour length of baseline model
2024-07-18T17:35:05.804195,computing loss and backprop
2024-07-18T17:35:05.908877,"Epoch 0, Step 9 start"
2024-07-18T17:35:05.908895,Generating data
2024-07-18T17:35:05.912684,generating tours of train model
2024-07-18T17:35:05.979831,generating tours of baseline model
2024-07-18T17:35:06.045851,computing tour length of train model
2024-07-18T17:35:06.046201,computing tour length of baseline model
2024-07-18T17:35:06.046541,computing loss and backprop
2024-07-18T17:35:06.241908,"Epoch 0, Step 10 start"
2024-07-18T17:35:06.241927,Generating data
2024-07-18T17:35:06.245102,generating tours of train model
