Timestamp,Event
2024-07-18T16:54:57.409783,"Epoch 0, Step 0 start"
2024-07-18T16:54:57.409803,Generating data
2024-07-18T16:54:57.446870,generating tours of train model
2024-07-18T16:55:07.699497,generating tours of baseline model
2024-07-18T16:55:07.860262,computing tour length of train model
2024-07-18T16:55:07.969104,computing tour length of baseline model
2024-07-18T16:55:07.969680,computing loss and backprop
2024-07-18T16:55:21.580082,"Epoch 0, Step 1 start"
2024-07-18T16:55:21.580106,Generating data
2024-07-18T16:55:21.581614,generating tours of train model
2024-07-18T16:55:21.730146,generating tours of baseline model
2024-07-18T16:55:21.878201,computing tour length of train model
2024-07-18T16:55:21.878640,computing tour length of baseline model
2024-07-18T16:55:21.878980,computing loss and backprop
2024-07-18T16:55:22.229233,"Epoch 0, Step 2 start"
2024-07-18T16:55:22.229253,Generating data
2024-07-18T16:55:22.230816,generating tours of train model
2024-07-18T16:55:22.378412,generating tours of baseline model
2024-07-18T16:55:22.524702,computing tour length of train model
2024-07-18T16:55:22.525094,computing tour length of baseline model
2024-07-18T16:55:22.525432,computing loss and backprop
2024-07-18T16:55:22.873492,"Epoch 0, Step 3 start"
2024-07-18T16:55:22.873510,Generating data
2024-07-18T16:55:22.874976,generating tours of train model
2024-07-18T16:55:23.021730,generating tours of baseline model
2024-07-18T16:55:23.167545,computing tour length of train model
2024-07-18T16:55:23.167905,computing tour length of baseline model
2024-07-18T16:55:23.168238,computing loss and backprop
2024-07-18T16:55:23.515935,"Epoch 0, Step 4 start"
2024-07-18T16:55:23.515953,Generating data
2024-07-18T16:55:23.517369,generating tours of train model
2024-07-18T16:55:23.664736,generating tours of baseline model
2024-07-18T16:55:23.811051,computing tour length of train model
2024-07-18T16:55:23.811410,computing tour length of baseline model
2024-07-18T16:55:23.811759,computing loss and backprop
2024-07-18T16:55:24.159479,"Epoch 0, Step 5 start"
2024-07-18T16:55:24.159497,Generating data
2024-07-18T16:55:24.160941,generating tours of train model
2024-07-18T16:55:24.308126,generating tours of baseline model
2024-07-18T16:55:24.454979,computing tour length of train model
2024-07-18T16:55:24.455335,computing tour length of baseline model
2024-07-18T16:55:24.455678,computing loss and backprop
2024-07-18T16:55:24.804870,"Epoch 0, Step 6 start"
2024-07-18T16:55:24.804890,Generating data
2024-07-18T16:55:24.806539,generating tours of train model
2024-07-18T16:55:24.953587,generating tours of baseline model
2024-07-18T16:55:25.060333,computing tour length of train model
2024-07-18T16:55:25.060616,computing tour length of baseline model
2024-07-18T16:55:25.060869,computing loss and backprop
2024-07-18T16:55:25.384532,"Epoch 0, Step 7 start"
2024-07-18T16:55:25.384545,Generating data
2024-07-18T16:55:25.385914,generating tours of train model
2024-07-18T16:55:25.484855,generating tours of baseline model
2024-07-18T16:55:25.583359,computing tour length of train model
2024-07-18T16:55:25.583610,computing tour length of baseline model
2024-07-18T16:55:25.583828,computing loss and backprop
2024-07-18T16:55:25.906607,"Epoch 0, Step 8 start"
2024-07-18T16:55:25.906621,Generating data
2024-07-18T16:55:25.907764,generating tours of train model
2024-07-18T16:55:26.010059,generating tours of baseline model
2024-07-18T16:55:26.110822,computing tour length of train model
2024-07-18T16:55:26.111095,computing tour length of baseline model
2024-07-18T16:55:26.111342,computing loss and backprop
2024-07-18T16:55:26.435913,"Epoch 0, Step 9 start"
2024-07-18T16:55:26.435927,Generating data
2024-07-18T16:55:26.437068,generating tours of train model
2024-07-18T16:55:26.540759,generating tours of baseline model
2024-07-18T16:55:26.644397,computing tour length of train model
2024-07-18T16:55:26.644662,computing tour length of baseline model
2024-07-18T16:55:26.644891,computing loss and backprop
2024-07-18T16:55:26.968984,"Epoch 0, Step 10 start"
2024-07-18T16:55:26.968999,Generating data
2024-07-18T16:55:26.970152,generating tours of train model
2024-07-18T16:55:27.073312,generating tours of baseline model
2024-07-18T16:55:27.175507,computing tour length of train model
2024-07-18T16:55:27.175771,computing tour length of baseline model
2024-07-18T16:55:27.175997,computing loss and backprop
2024-07-18T16:55:27.500105,"Epoch 0, Step 11 start"
2024-07-18T16:55:27.500120,Generating data
2024-07-18T16:55:27.501211,generating tours of train model
2024-07-18T16:55:27.600748,generating tours of baseline model
2024-07-18T16:55:27.699456,computing tour length of train model
2024-07-18T16:55:27.699699,computing tour length of baseline model
2024-07-18T16:55:27.699913,computing loss and backprop
2024-07-18T16:55:28.020352,"Epoch 0, Step 12 start"
2024-07-18T16:55:28.020365,Generating data
2024-07-18T16:55:28.022426,generating tours of train model
2024-07-18T16:55:28.121343,generating tours of baseline model
2024-07-18T16:55:28.219632,computing tour length of train model
2024-07-18T16:55:28.219877,computing tour length of baseline model
2024-07-18T16:55:28.220106,computing loss and backprop
2024-07-18T16:55:28.543943,"Epoch 0, Step 13 start"
2024-07-18T16:55:28.543958,Generating data
2024-07-18T16:55:28.545069,generating tours of train model
2024-07-18T16:55:28.648925,generating tours of baseline model
2024-07-18T16:55:28.750378,computing tour length of train model
2024-07-18T16:55:28.750640,computing tour length of baseline model
2024-07-18T16:55:28.750862,computing loss and backprop
2024-07-18T16:55:29.075756,"Epoch 0, Step 14 start"
2024-07-18T16:55:29.075764,Generating data
2024-07-18T16:55:29.076928,generating tours of train model
2024-07-18T16:55:29.179667,generating tours of baseline model
2024-07-18T16:55:29.282980,computing tour length of train model
2024-07-18T16:55:29.283241,computing tour length of baseline model
2024-07-18T16:55:29.283479,computing loss and backprop
2024-07-18T16:55:29.606545,"Epoch 0, Step 15 start"
2024-07-18T16:55:29.606558,Generating data
2024-07-18T16:55:29.607874,generating tours of train model
