Timestamp,Event
2024-07-18T17:15:04.935846,"Epoch 0, Step 0 start"
2024-07-18T17:15:04.935863,Generating data
2024-07-18T17:15:04.966160,generating tours of train model
2024-07-18T17:15:17.084073,generating tours of baseline model
2024-07-18T17:15:17.777025,computing tour length of train model
2024-07-18T17:15:17.913868,computing tour length of baseline model
2024-07-18T17:15:17.914459,computing loss and backprop
2024-07-18T17:15:32.960882,"Epoch 0, Step 1 start"
2024-07-18T17:15:32.960908,Generating data
2024-07-18T17:15:32.963631,generating tours of train model
2024-07-18T17:15:33.592036,generating tours of baseline model
2024-07-18T17:15:34.211169,computing tour length of train model
2024-07-18T17:15:34.211630,computing tour length of baseline model
2024-07-18T17:15:34.211980,computing loss and backprop
2024-07-18T17:15:35.532466,"Epoch 0, Step 2 start"
2024-07-18T17:15:35.532481,Generating data
2024-07-18T17:15:35.534492,generating tours of train model
2024-07-18T17:15:35.979159,generating tours of baseline model
2024-07-18T17:15:36.430033,computing tour length of train model
2024-07-18T17:15:36.430308,computing tour length of baseline model
2024-07-18T17:15:36.430542,computing loss and backprop
2024-07-18T17:15:37.667744,"Epoch 0, Step 3 start"
2024-07-18T17:15:37.667760,Generating data
2024-07-18T17:15:37.669716,generating tours of train model
2024-07-18T17:15:38.122865,generating tours of baseline model
2024-07-18T17:15:38.572430,computing tour length of train model
2024-07-18T17:15:38.572728,computing tour length of baseline model
2024-07-18T17:15:38.572966,computing loss and backprop
2024-07-18T17:15:39.812382,"Epoch 0, Step 4 start"
2024-07-18T17:15:39.812396,Generating data
2024-07-18T17:15:39.814208,generating tours of train model
2024-07-18T17:15:40.260897,generating tours of baseline model
2024-07-18T17:15:40.711652,computing tour length of train model
2024-07-18T17:15:40.711919,computing tour length of baseline model
2024-07-18T17:15:40.712146,computing loss and backprop
2024-07-18T17:15:41.950615,"Epoch 0, Step 5 start"
2024-07-18T17:15:41.950631,Generating data
2024-07-18T17:15:41.952944,generating tours of train model
2024-07-18T17:15:42.408434,generating tours of baseline model
2024-07-18T17:15:42.964293,computing tour length of train model
2024-07-18T17:15:42.964558,computing tour length of baseline model
2024-07-18T17:15:42.964789,computing loss and backprop
2024-07-18T17:15:44.204586,"Epoch 0, Step 6 start"
2024-07-18T17:15:44.204600,Generating data
2024-07-18T17:15:44.206706,generating tours of train model
2024-07-18T17:15:44.666858,generating tours of baseline model
2024-07-18T17:15:45.109545,computing tour length of train model
2024-07-18T17:15:45.109820,computing tour length of baseline model
2024-07-18T17:15:45.110049,computing loss and backprop
2024-07-18T17:15:46.348464,"Epoch 0, Step 7 start"
2024-07-18T17:15:46.348477,Generating data
2024-07-18T17:15:46.350461,generating tours of train model
2024-07-18T17:15:46.797757,generating tours of baseline model
2024-07-18T17:15:47.241422,computing tour length of train model
2024-07-18T17:15:47.241695,computing tour length of baseline model
2024-07-18T17:15:47.241934,computing loss and backprop
2024-07-18T17:15:48.486480,"Epoch 0, Step 8 start"
2024-07-18T17:15:48.486492,Generating data
2024-07-18T17:15:48.487824,generating tours of train model
2024-07-18T17:15:48.943419,generating tours of baseline model
2024-07-18T17:15:49.387391,computing tour length of train model
2024-07-18T17:15:49.387715,computing tour length of baseline model
2024-07-18T17:15:49.387974,computing loss and backprop
2024-07-18T17:15:50.630057,"Epoch 0, Step 9 start"
2024-07-18T17:15:50.630069,Generating data
2024-07-18T17:15:50.632060,generating tours of train model
2024-07-18T17:15:51.080242,generating tours of baseline model
2024-07-18T17:15:51.534895,computing tour length of train model
2024-07-18T17:15:51.535163,computing tour length of baseline model
2024-07-18T17:15:51.535391,computing loss and backprop
2024-07-18T17:15:52.774368,"Epoch 0, Step 10 start"
2024-07-18T17:15:52.774382,Generating data
2024-07-18T17:15:52.776336,generating tours of train model
2024-07-18T17:15:53.224453,generating tours of baseline model
2024-07-18T17:15:53.676685,computing tour length of train model
2024-07-18T17:15:53.677011,computing tour length of baseline model
2024-07-18T17:15:53.677282,computing loss and backprop
2024-07-18T17:15:54.917535,"Epoch 0, Step 11 start"
2024-07-18T17:15:54.917550,Generating data
2024-07-18T17:15:54.918580,generating tours of train model
2024-07-18T17:15:55.368008,generating tours of baseline model
2024-07-18T17:15:55.819031,computing tour length of train model
2024-07-18T17:15:55.819306,computing tour length of baseline model
2024-07-18T17:15:55.819547,computing loss and backprop
2024-07-18T17:15:57.058158,"Epoch 0, Step 12 start"
2024-07-18T17:15:57.058174,Generating data
2024-07-18T17:15:57.059250,generating tours of train model
2024-07-18T17:15:57.507244,generating tours of baseline model
2024-07-18T17:15:57.956018,computing tour length of train model
2024-07-18T17:15:57.956287,computing tour length of baseline model
2024-07-18T17:15:57.956520,computing loss and backprop
2024-07-18T17:15:59.197385,"Epoch 0, Step 13 start"
2024-07-18T17:15:59.197400,Generating data
2024-07-18T17:15:59.199671,generating tours of train model
2024-07-18T17:15:59.652853,generating tours of baseline model
2024-07-18T17:16:00.097863,computing tour length of train model
2024-07-18T17:16:00.098128,computing tour length of baseline model
2024-07-18T17:16:00.098354,computing loss and backprop
2024-07-18T17:16:01.335554,"Epoch 0, Step 14 start"
2024-07-18T17:16:01.335569,Generating data
2024-07-18T17:16:01.336645,generating tours of train model
2024-07-18T17:16:01.785309,generating tours of baseline model
2024-07-18T17:16:02.240484,computing tour length of train model
2024-07-18T17:16:02.240762,computing tour length of baseline model
2024-07-18T17:16:02.240994,computing loss and backprop
2024-07-18T17:16:03.479767,"Epoch 0, Step 15 start"
2024-07-18T17:16:03.479783,Generating data
2024-07-18T17:16:03.481209,generating tours of train model
2024-07-18T17:16:03.933334,generating tours of baseline model
2024-07-18T17:16:04.386036,computing tour length of train model
2024-07-18T17:16:04.386328,computing tour length of baseline model
2024-07-18T17:16:04.386589,computing loss and backprop
2024-07-18T17:16:05.622672,"Epoch 0, Step 16 start"
2024-07-18T17:16:05.622686,Generating data
2024-07-18T17:16:05.624583,generating tours of train model
2024-07-18T17:16:06.071947,generating tours of baseline model
2024-07-18T17:16:06.530784,computing tour length of train model
2024-07-18T17:16:06.531081,computing tour length of baseline model
2024-07-18T17:16:06.531310,computing loss and backprop
2024-07-18T17:16:07.766368,"Epoch 0, Step 17 start"
2024-07-18T17:16:07.766381,Generating data
2024-07-18T17:16:07.768416,generating tours of train model
2024-07-18T17:16:08.341977,generating tours of baseline model
2024-07-18T17:16:08.804204,computing tour length of train model
2024-07-18T17:16:08.804467,computing tour length of baseline model
2024-07-18T17:16:08.804740,computing loss and backprop
2024-07-18T17:16:10.043712,"Epoch 0, Step 18 start"
2024-07-18T17:16:10.043727,Generating data
2024-07-18T17:16:10.045887,generating tours of train model
2024-07-18T17:16:10.505174,generating tours of baseline model
2024-07-18T17:16:10.962899,computing tour length of train model
2024-07-18T17:16:10.963199,computing tour length of baseline model
2024-07-18T17:16:10.963442,computing loss and backprop
2024-07-18T17:16:12.198466,"Epoch 0, Step 19 start"
2024-07-18T17:16:12.198485,Generating data
2024-07-18T17:16:12.200381,generating tours of train model
2024-07-18T17:16:12.661255,generating tours of baseline model
2024-07-18T17:16:13.113786,computing tour length of train model
2024-07-18T17:16:13.114049,computing tour length of baseline model
2024-07-18T17:16:13.114278,computing loss and backprop
2024-07-18T17:16:14.357018,"Epoch 0, Step 20 start"
2024-07-18T17:16:14.357032,Generating data
2024-07-18T17:16:14.358094,generating tours of train model
2024-07-18T17:16:14.826249,generating tours of baseline model
2024-07-18T17:16:15.281880,computing tour length of train model
2024-07-18T17:16:15.282156,computing tour length of baseline model
2024-07-18T17:16:15.282386,computing loss and backprop
2024-07-18T17:16:16.520265,"Epoch 0, Step 21 start"
2024-07-18T17:16:16.520282,Generating data
2024-07-18T17:16:16.522416,generating tours of train model
2024-07-18T17:16:16.986808,generating tours of baseline model
2024-07-18T17:16:17.438435,computing tour length of train model
2024-07-18T17:16:17.438708,computing tour length of baseline model
2024-07-18T17:16:17.438941,computing loss and backprop
2024-07-18T17:16:18.683948,"Epoch 0, Step 22 start"
2024-07-18T17:16:18.683963,Generating data
2024-07-18T17:16:18.686129,generating tours of train model
2024-07-18T17:16:19.140239,generating tours of baseline model
2024-07-18T17:16:19.589542,computing tour length of train model
2024-07-18T17:16:19.589803,computing tour length of baseline model
2024-07-18T17:16:19.590030,computing loss and backprop
2024-07-18T17:16:20.826444,"Epoch 0, Step 23 start"
2024-07-18T17:16:20.826459,Generating data
2024-07-18T17:16:20.828395,generating tours of train model
2024-07-18T17:16:21.275531,generating tours of baseline model
2024-07-18T17:16:21.728788,computing tour length of train model
2024-07-18T17:16:21.729062,computing tour length of baseline model
2024-07-18T17:16:21.729299,computing loss and backprop
2024-07-18T17:16:22.966517,"Epoch 0, Step 24 start"
2024-07-18T17:16:22.966538,Generating data
2024-07-18T17:16:22.968900,generating tours of train model
2024-07-18T17:16:23.421859,generating tours of baseline model
2024-07-18T17:16:23.884107,computing tour length of train model
2024-07-18T17:16:23.884369,computing tour length of baseline model
2024-07-18T17:16:23.884604,computing loss and backprop
2024-07-18T17:16:25.126467,"Epoch 0, Step 25 start"
2024-07-18T17:16:25.126482,Generating data
2024-07-18T17:16:25.127509,generating tours of train model
2024-07-18T17:16:25.584267,generating tours of baseline model
2024-07-18T17:16:26.030146,computing tour length of train model
2024-07-18T17:16:26.030419,computing tour length of baseline model
2024-07-18T17:16:26.030666,computing loss and backprop
2024-07-18T17:16:27.273558,"Epoch 0, Step 26 start"
2024-07-18T17:16:27.273569,Generating data
2024-07-18T17:16:27.275069,generating tours of train model
2024-07-18T17:16:27.718902,generating tours of baseline model
2024-07-18T17:16:28.168059,computing tour length of train model
2024-07-18T17:16:28.168324,computing tour length of baseline model
2024-07-18T17:16:28.168561,computing loss and backprop
2024-07-18T17:16:29.410918,"Epoch 0, Step 27 start"
2024-07-18T17:16:29.410932,Generating data
2024-07-18T17:16:29.413099,generating tours of train model
2024-07-18T17:16:29.868529,generating tours of baseline model
2024-07-18T17:16:30.324910,computing tour length of train model
2024-07-18T17:16:30.325221,computing tour length of baseline model
2024-07-18T17:16:30.325455,computing loss and backprop
2024-07-18T17:16:31.562859,"Epoch 0, Step 28 start"
2024-07-18T17:16:31.562874,Generating data
2024-07-18T17:16:31.563978,generating tours of train model
2024-07-18T17:16:32.018789,generating tours of baseline model
2024-07-18T17:16:32.476513,computing tour length of train model
2024-07-18T17:16:32.476795,computing tour length of baseline model
2024-07-18T17:16:32.477034,computing loss and backprop
2024-07-18T17:16:33.718009,"Epoch 0, Step 29 start"
2024-07-18T17:16:33.718020,Generating data
2024-07-18T17:16:33.720150,generating tours of train model
2024-07-18T17:16:34.184788,generating tours of baseline model
2024-07-18T17:16:34.753034,computing tour length of train model
2024-07-18T17:16:34.753307,computing tour length of baseline model
2024-07-18T17:16:34.753554,computing loss and backprop
2024-07-18T17:16:35.994084,"Epoch 0, Step 30 start"
2024-07-18T17:16:35.994097,Generating data
2024-07-18T17:16:35.996400,generating tours of train model
2024-07-18T17:16:36.448299,generating tours of baseline model
2024-07-18T17:16:36.898825,computing tour length of train model
2024-07-18T17:16:36.899134,computing tour length of baseline model
2024-07-18T17:16:36.899376,computing loss and backprop
2024-07-18T17:16:38.135627,"Epoch 0, Step 31 start"
2024-07-18T17:16:38.135641,Generating data
2024-07-18T17:16:38.137565,generating tours of train model
2024-07-18T17:16:38.586849,generating tours of baseline model
2024-07-18T17:16:39.041584,computing tour length of train model
2024-07-18T17:16:39.041874,computing tour length of baseline model
2024-07-18T17:16:39.042124,computing loss and backprop
2024-07-18T17:16:40.278007,"Epoch 0, Step 32 start"
2024-07-18T17:16:40.278020,Generating data
2024-07-18T17:16:40.279372,generating tours of train model
2024-07-18T17:16:40.737265,generating tours of baseline model
2024-07-18T17:16:41.192758,computing tour length of train model
2024-07-18T17:16:41.193026,computing tour length of baseline model
2024-07-18T17:16:41.193253,computing loss and backprop
2024-07-18T17:16:42.429786,"Epoch 0, Step 33 start"
2024-07-18T17:16:42.429798,Generating data
2024-07-18T17:16:42.432055,generating tours of train model
2024-07-18T17:16:42.890261,generating tours of baseline model
2024-07-18T17:16:43.336738,computing tour length of train model
2024-07-18T17:16:43.336999,computing tour length of baseline model
2024-07-18T17:16:43.337227,computing loss and backprop
2024-07-18T17:16:44.576989,"Epoch 0, Step 34 start"
2024-07-18T17:16:44.577003,Generating data
2024-07-18T17:16:44.578989,generating tours of train model
2024-07-18T17:16:45.028172,generating tours of baseline model
2024-07-18T17:16:45.473916,computing tour length of train model
2024-07-18T17:16:45.474191,computing tour length of baseline model
2024-07-18T17:16:45.474428,computing loss and backprop
2024-07-18T17:16:46.713494,"Epoch 0, Step 35 start"
2024-07-18T17:16:46.713508,Generating data
2024-07-18T17:16:46.715488,generating tours of train model
2024-07-18T17:16:47.169921,generating tours of baseline model
2024-07-18T17:16:47.623886,computing tour length of train model
2024-07-18T17:16:47.624147,computing tour length of baseline model
2024-07-18T17:16:47.624374,computing loss and backprop
2024-07-18T17:16:48.859411,"Epoch 0, Step 36 start"
2024-07-18T17:16:48.859424,Generating data
2024-07-18T17:16:48.861591,generating tours of train model
