Timestamp,Event
2024-07-18T16:57:35.303513,"Epoch 0, Step 0 start"
2024-07-18T16:57:35.303540,Generating data
2024-07-18T16:57:35.320077,generating tours of train model
2024-07-18T16:57:46.313608,generating tours of baseline model
2024-07-18T16:57:46.510225,computing tour length of train model
2024-07-18T16:57:46.690072,computing tour length of baseline model
2024-07-18T16:57:46.690680,computing loss and backprop
2024-07-18T16:58:00.837975,"Epoch 0, Step 1 start"
2024-07-18T16:58:00.837994,Generating data
2024-07-18T16:58:00.839824,generating tours of train model
2024-07-18T16:58:01.107102,generating tours of baseline model
2024-07-18T16:58:01.378189,computing tour length of train model
2024-07-18T16:58:01.378628,computing tour length of baseline model
2024-07-18T16:58:01.378979,computing loss and backprop
2024-07-18T16:58:02.270896,"Epoch 0, Step 2 start"
2024-07-18T16:58:02.270915,Generating data
2024-07-18T16:58:02.279939,generating tours of train model
2024-07-18T16:58:02.432403,generating tours of baseline model
2024-07-18T16:58:02.584066,computing tour length of train model
2024-07-18T16:58:02.584444,computing tour length of baseline model
2024-07-18T16:58:02.584796,computing loss and backprop
2024-07-18T16:58:03.108401,"Epoch 0, Step 3 start"
2024-07-18T16:58:03.108420,Generating data
2024-07-18T16:58:03.118347,generating tours of train model
2024-07-18T16:58:03.237116,generating tours of baseline model
2024-07-18T16:58:03.350159,computing tour length of train model
2024-07-18T16:58:03.350506,computing tour length of baseline model
2024-07-18T16:58:03.350847,computing loss and backprop
2024-07-18T16:58:03.750714,"Epoch 0, Step 4 start"
2024-07-18T16:58:03.750732,Generating data
2024-07-18T16:58:03.761188,generating tours of train model
2024-07-18T16:58:03.933384,generating tours of baseline model
2024-07-18T16:58:04.105069,computing tour length of train model
2024-07-18T16:58:04.105427,computing tour length of baseline model
2024-07-18T16:58:04.105777,computing loss and backprop
2024-07-18T16:58:04.680372,"Epoch 0, Step 5 start"
2024-07-18T16:58:04.680387,Generating data
2024-07-18T16:58:04.693927,generating tours of train model
2024-07-18T16:58:04.847558,generating tours of baseline model
2024-07-18T16:58:05.000329,computing tour length of train model
2024-07-18T16:58:05.000598,computing tour length of baseline model
2024-07-18T16:58:05.000846,computing loss and backprop
2024-07-18T16:58:05.540848,"Epoch 0, Step 6 start"
2024-07-18T16:58:05.540862,Generating data
2024-07-18T16:58:05.554292,generating tours of train model
2024-07-18T16:58:05.709219,generating tours of baseline model
2024-07-18T16:58:05.862733,computing tour length of train model
2024-07-18T16:58:05.862990,computing tour length of baseline model
2024-07-18T16:58:05.863217,computing loss and backprop
2024-07-18T16:58:06.402494,"Epoch 0, Step 7 start"
2024-07-18T16:58:06.402510,Generating data
2024-07-18T16:58:06.416200,generating tours of train model
2024-07-18T16:58:06.493622,generating tours of baseline model
2024-07-18T16:58:06.570754,computing tour length of train model
2024-07-18T16:58:06.571015,computing tour length of baseline model
2024-07-18T16:58:06.571253,computing loss and backprop
2024-07-18T16:58:06.847374,"Epoch 0, Step 8 start"
2024-07-18T16:58:06.847390,Generating data
2024-07-18T16:58:06.862293,generating tours of train model
2024-07-18T16:58:06.947103,generating tours of baseline model
2024-07-18T16:58:07.031709,computing tour length of train model
2024-07-18T16:58:07.031964,computing tour length of baseline model
2024-07-18T16:58:07.032184,computing loss and backprop
2024-07-18T16:58:07.334479,"Epoch 0, Step 9 start"
2024-07-18T16:58:07.334492,Generating data
2024-07-18T16:58:07.349541,generating tours of train model
2024-07-18T16:58:07.494171,generating tours of baseline model
2024-07-18T16:58:07.638071,computing tour length of train model
2024-07-18T16:58:07.638346,computing tour length of baseline model
2024-07-18T16:58:07.638606,computing loss and backprop
2024-07-18T16:58:08.144655,"Epoch 0, Step 10 start"
2024-07-18T16:58:08.144668,Generating data
2024-07-18T16:58:08.159313,generating tours of train model
2024-07-18T16:58:08.392824,generating tours of baseline model
2024-07-18T16:58:08.626027,computing tour length of train model
2024-07-18T16:58:08.626281,computing tour length of baseline model
2024-07-18T16:58:08.626509,computing loss and backprop
2024-07-18T16:58:09.423565,"Epoch 0, Step 11 start"
2024-07-18T16:58:09.423580,Generating data
2024-07-18T16:58:09.437274,generating tours of train model
2024-07-18T16:58:09.631287,generating tours of baseline model
2024-07-18T16:58:09.823425,computing tour length of train model
2024-07-18T16:58:09.823699,computing tour length of baseline model
2024-07-18T16:58:09.823927,computing loss and backprop
2024-07-18T16:58:10.490577,"Epoch 0, Step 12 start"
2024-07-18T16:58:10.490594,Generating data
2024-07-18T16:58:10.504052,generating tours of train model
2024-07-18T16:58:10.729224,generating tours of baseline model
2024-07-18T16:58:10.951701,computing tour length of train model
2024-07-18T16:58:10.951958,computing tour length of baseline model
2024-07-18T16:58:10.952188,computing loss and backprop
2024-07-18T16:58:11.718174,"Epoch 0, Step 13 start"
2024-07-18T16:58:11.718188,Generating data
2024-07-18T16:58:11.731132,generating tours of train model
2024-07-18T16:58:11.894253,generating tours of baseline model
2024-07-18T16:58:12.056395,computing tour length of train model
2024-07-18T16:58:12.056660,computing tour length of baseline model
2024-07-18T16:58:12.056893,computing loss and backprop
2024-07-18T16:58:12.627306,"Epoch 0, Step 14 start"
2024-07-18T16:58:12.627320,Generating data
2024-07-18T16:58:12.641095,generating tours of train model
2024-07-18T16:58:12.733612,generating tours of baseline model
2024-07-18T16:58:12.825891,computing tour length of train model
2024-07-18T16:58:12.826174,computing tour length of baseline model
2024-07-18T16:58:12.826433,computing loss and backprop
2024-07-18T16:58:13.158204,"Epoch 0, Step 15 start"
2024-07-18T16:58:13.158219,Generating data
