Timestamp,Event
2024-07-18T17:57:22.950383,"Epoch 0, Step 0 start"
2024-07-18T17:57:22.950402,Generating data
2024-07-18T17:57:22.971934,generating tours of train model
2024-07-18T17:57:33.297594,generating tours of baseline model
2024-07-18T17:57:33.400697,computing tour length of train model
2024-07-18T17:57:33.589285,computing tour length of baseline model
2024-07-18T17:57:33.589897,computing loss and backprop
2024-07-18T17:57:46.866305,"Epoch 0, Step 1 start"
2024-07-18T17:57:46.866329,Generating data
2024-07-18T17:57:46.867399,generating tours of train model
2024-07-18T17:57:46.944231,generating tours of baseline model
2024-07-18T17:57:47.018142,computing tour length of train model
2024-07-18T17:57:47.018586,computing tour length of baseline model
2024-07-18T17:57:47.018940,computing loss and backprop
2024-07-18T17:57:47.179846,"Epoch 0, Step 2 start"
2024-07-18T17:57:47.179865,Generating data
2024-07-18T17:57:47.180710,generating tours of train model
2024-07-18T17:57:47.289366,generating tours of baseline model
2024-07-18T17:57:47.393564,computing tour length of train model
2024-07-18T17:57:47.393926,computing tour length of baseline model
2024-07-18T17:57:47.394264,computing loss and backprop
2024-07-18T17:57:47.617403,"Epoch 0, Step 3 start"
2024-07-18T17:57:47.617421,Generating data
2024-07-18T17:57:47.618426,generating tours of train model
2024-07-18T17:57:47.714987,generating tours of baseline model
2024-07-18T17:57:47.810577,computing tour length of train model
2024-07-18T17:57:47.810922,computing tour length of baseline model
2024-07-18T17:57:47.811256,computing loss and backprop
2024-07-18T17:57:48.017936,"Epoch 0, Step 4 start"
2024-07-18T17:57:48.017956,Generating data
2024-07-18T17:57:48.018899,generating tours of train model
2024-07-18T17:57:48.093520,generating tours of baseline model
2024-07-18T17:57:48.167081,computing tour length of train model
2024-07-18T17:57:48.167437,computing tour length of baseline model
2024-07-18T17:57:48.167790,computing loss and backprop
2024-07-18T17:57:48.326715,"Epoch 0, Step 5 start"
2024-07-18T17:57:48.326734,Generating data
2024-07-18T17:57:48.327188,generating tours of train model
2024-07-18T17:57:48.423134,generating tours of baseline model
2024-07-18T17:57:48.518781,computing tour length of train model
2024-07-18T17:57:48.519131,computing tour length of baseline model
2024-07-18T17:57:48.519469,computing loss and backprop
2024-07-18T17:57:48.725173,"Epoch 0, Step 6 start"
2024-07-18T17:57:48.725192,Generating data
2024-07-18T17:57:48.726138,generating tours of train model
2024-07-18T17:57:48.799943,generating tours of baseline model
2024-07-18T17:57:48.873258,computing tour length of train model
2024-07-18T17:57:48.873623,computing tour length of baseline model
2024-07-18T17:57:48.873965,computing loss and backprop
2024-07-18T17:57:49.033734,"Epoch 0, Step 7 start"
2024-07-18T17:57:49.033752,Generating data
2024-07-18T17:57:49.034569,generating tours of train model
2024-07-18T17:57:49.102064,generating tours of baseline model
2024-07-18T17:57:49.168098,computing tour length of train model
2024-07-18T17:57:49.168450,computing tour length of baseline model
2024-07-18T17:57:49.168795,computing loss and backprop
2024-07-18T17:57:49.311661,"Epoch 0, Step 8 start"
2024-07-18T17:57:49.311679,Generating data
2024-07-18T17:57:49.312490,generating tours of train model
2024-07-18T17:57:49.424361,generating tours of baseline model
2024-07-18T17:57:49.537162,computing tour length of train model
2024-07-18T17:57:49.537520,computing tour length of baseline model
2024-07-18T17:57:49.537870,computing loss and backprop
2024-07-18T17:57:49.777059,"Epoch 0, Step 9 start"
2024-07-18T17:57:49.777079,Generating data
2024-07-18T17:57:49.778164,generating tours of train model
2024-07-18T17:57:49.867363,generating tours of baseline model
2024-07-18T17:57:49.955776,computing tour length of train model
2024-07-18T17:57:49.956136,computing tour length of baseline model
2024-07-18T17:57:49.956476,computing loss and backprop
2024-07-18T17:57:50.148423,"Epoch 0, Step 10 start"
2024-07-18T17:57:50.148442,Generating data
2024-07-18T17:57:50.149322,generating tours of train model
