Timestamp,Event
2024-07-18T17:38:04.014746,"Epoch 0, Step 0 start"
2024-07-18T17:38:04.014764,Generating data
2024-07-18T17:38:04.017935,generating tours of train model
2024-07-18T17:38:13.679273,generating tours of baseline model
2024-07-18T17:38:13.846951,computing tour length of train model
2024-07-18T17:38:13.878943,computing tour length of baseline model
2024-07-18T17:38:13.879450,computing loss and backprop
2024-07-18T17:38:26.673307,"Epoch 0, Step 1 start"
2024-07-18T17:38:26.673329,Generating data
2024-07-18T17:38:26.674671,generating tours of train model
2024-07-18T17:38:26.826024,generating tours of baseline model
2024-07-18T17:38:26.976829,computing tour length of train model
2024-07-18T17:38:26.977265,computing tour length of baseline model
2024-07-18T17:38:26.977616,computing loss and backprop
2024-07-18T17:38:27.294382,"Epoch 0, Step 2 start"
2024-07-18T17:38:27.294404,Generating data
2024-07-18T17:38:27.295723,generating tours of train model
2024-07-18T17:38:27.447131,generating tours of baseline model
2024-07-18T17:38:27.597046,computing tour length of train model
2024-07-18T17:38:27.597419,computing tour length of baseline model
2024-07-18T17:38:27.597766,computing loss and backprop
2024-07-18T17:38:27.911331,"Epoch 0, Step 3 start"
2024-07-18T17:38:27.911350,Generating data
2024-07-18T17:38:27.912663,generating tours of train model
2024-07-18T17:38:28.063079,generating tours of baseline model
2024-07-18T17:38:28.213304,computing tour length of train model
2024-07-18T17:38:28.213671,computing tour length of baseline model
2024-07-18T17:38:28.214005,computing loss and backprop
2024-07-18T17:38:28.528177,"Epoch 0, Step 4 start"
2024-07-18T17:38:28.528198,Generating data
2024-07-18T17:38:28.529572,generating tours of train model
2024-07-18T17:38:28.680763,generating tours of baseline model
2024-07-18T17:38:28.830354,computing tour length of train model
2024-07-18T17:38:28.830755,computing tour length of baseline model
2024-07-18T17:38:28.831092,computing loss and backprop
2024-07-18T17:38:29.143558,"Epoch 0, Step 5 start"
2024-07-18T17:38:29.143572,Generating data
2024-07-18T17:38:29.144887,generating tours of train model
2024-07-18T17:38:29.295810,generating tours of baseline model
2024-07-18T17:38:29.444786,computing tour length of train model
2024-07-18T17:38:29.445138,computing tour length of baseline model
2024-07-18T17:38:29.445472,computing loss and backprop
2024-07-18T17:38:29.757446,"Epoch 0, Step 6 start"
2024-07-18T17:38:29.757465,Generating data
2024-07-18T17:38:29.758767,generating tours of train model
2024-07-18T17:38:29.909065,generating tours of baseline model
2024-07-18T17:38:30.058707,computing tour length of train model
2024-07-18T17:38:30.059069,computing tour length of baseline model
2024-07-18T17:38:30.059402,computing loss and backprop
2024-07-18T17:38:30.295690,"Epoch 0, Step 7 start"
