Timestamp,Event
2024-07-18T17:10:38.671342,"Epoch 0, Step 0 start"
2024-07-18T17:10:38.671361,Generating data
2024-07-18T17:10:38.689277,generating tours of train model
2024-07-18T17:10:49.052456,generating tours of baseline model
2024-07-18T17:10:49.417121,computing tour length of train model
2024-07-18T17:10:49.530651,computing tour length of baseline model
2024-07-18T17:10:49.531246,computing loss and backprop
2024-07-18T17:11:02.778940,"Epoch 0, Step 1 start"
2024-07-18T17:11:02.778963,Generating data
2024-07-18T17:11:02.781398,generating tours of train model
2024-07-18T17:11:03.096206,generating tours of baseline model
2024-07-18T17:11:03.408544,computing tour length of train model
2024-07-18T17:11:03.408996,computing tour length of baseline model
2024-07-18T17:11:03.409339,computing loss and backprop
2024-07-18T17:11:04.132782,"Epoch 0, Step 2 start"
2024-07-18T17:11:04.132798,Generating data
2024-07-18T17:11:04.135223,generating tours of train model
2024-07-18T17:11:04.447560,generating tours of baseline model
2024-07-18T17:11:04.756925,computing tour length of train model
2024-07-18T17:11:04.757305,computing tour length of baseline model
2024-07-18T17:11:04.757650,computing loss and backprop
2024-07-18T17:11:05.474323,"Epoch 0, Step 3 start"
2024-07-18T17:11:05.474338,Generating data
2024-07-18T17:11:05.476795,generating tours of train model
2024-07-18T17:11:05.771011,generating tours of baseline model
2024-07-18T17:11:06.001444,computing tour length of train model
2024-07-18T17:11:06.001728,computing tour length of baseline model
2024-07-18T17:11:06.001976,computing loss and backprop
2024-07-18T17:11:06.645290,"Epoch 0, Step 4 start"
2024-07-18T17:11:06.645304,Generating data
2024-07-18T17:11:06.647183,generating tours of train model
2024-07-18T17:11:06.869419,generating tours of baseline model
2024-07-18T17:11:07.094460,computing tour length of train model
2024-07-18T17:11:07.094726,computing tour length of baseline model
2024-07-18T17:11:07.094950,computing loss and backprop
2024-07-18T17:11:07.739316,"Epoch 0, Step 5 start"
2024-07-18T17:11:07.739326,Generating data
2024-07-18T17:11:07.741324,generating tours of train model
2024-07-18T17:11:07.970424,generating tours of baseline model
2024-07-18T17:11:08.195793,computing tour length of train model
2024-07-18T17:11:08.196046,computing tour length of baseline model
2024-07-18T17:11:08.196273,computing loss and backprop
2024-07-18T17:11:08.834525,"Epoch 0, Step 6 start"
2024-07-18T17:11:08.834539,Generating data
2024-07-18T17:11:08.836393,generating tours of train model
2024-07-18T17:11:09.060387,generating tours of baseline model
2024-07-18T17:11:09.291030,computing tour length of train model
2024-07-18T17:11:09.291312,computing tour length of baseline model
2024-07-18T17:11:09.291573,computing loss and backprop
2024-07-18T17:11:09.935100,"Epoch 0, Step 7 start"
2024-07-18T17:11:09.935114,Generating data
2024-07-18T17:11:09.937053,generating tours of train model
2024-07-18T17:11:10.161445,generating tours of baseline model
2024-07-18T17:11:10.381120,computing tour length of train model
2024-07-18T17:11:10.381375,computing tour length of baseline model
2024-07-18T17:11:10.381604,computing loss and backprop
2024-07-18T17:11:11.023567,"Epoch 0, Step 8 start"
2024-07-18T17:11:11.023584,Generating data
2024-07-18T17:11:11.025649,generating tours of train model
2024-07-18T17:11:11.256285,generating tours of baseline model
2024-07-18T17:11:11.489780,computing tour length of train model
2024-07-18T17:11:11.490078,computing tour length of baseline model
2024-07-18T17:11:11.490317,computing loss and backprop
2024-07-18T17:11:12.140552,"Epoch 0, Step 9 start"
2024-07-18T17:11:12.140568,Generating data
2024-07-18T17:11:12.142608,generating tours of train model
2024-07-18T17:11:12.371767,generating tours of baseline model
2024-07-18T17:11:12.594114,computing tour length of train model
2024-07-18T17:11:12.594370,computing tour length of baseline model
2024-07-18T17:11:12.594603,computing loss and backprop
2024-07-18T17:11:13.233034,"Epoch 0, Step 10 start"
2024-07-18T17:11:13.233052,Generating data
2024-07-18T17:11:13.235010,generating tours of train model
2024-07-18T17:11:13.467817,generating tours of baseline model
2024-07-18T17:11:13.699651,computing tour length of train model
2024-07-18T17:11:13.699915,computing tour length of baseline model
2024-07-18T17:11:13.700143,computing loss and backprop
2024-07-18T17:11:14.343936,"Epoch 0, Step 11 start"
2024-07-18T17:11:14.343948,Generating data
2024-07-18T17:11:14.345984,generating tours of train model
2024-07-18T17:11:14.569775,generating tours of baseline model
2024-07-18T17:11:14.790420,computing tour length of train model
2024-07-18T17:11:14.790688,computing tour length of baseline model
2024-07-18T17:11:14.790912,computing loss and backprop
2024-07-18T17:11:15.435198,"Epoch 0, Step 12 start"
2024-07-18T17:11:15.435211,Generating data
2024-07-18T17:11:15.437330,generating tours of train model
2024-07-18T17:11:15.671625,generating tours of baseline model
2024-07-18T17:11:15.904279,computing tour length of train model
2024-07-18T17:11:15.904551,computing tour length of baseline model
2024-07-18T17:11:15.904782,computing loss and backprop
2024-07-18T17:11:16.545697,"Epoch 0, Step 13 start"
2024-07-18T17:11:16.545710,Generating data
2024-07-18T17:11:16.547629,generating tours of train model
2024-07-18T17:11:16.768723,generating tours of baseline model
2024-07-18T17:11:16.994642,computing tour length of train model
2024-07-18T17:11:16.994926,computing tour length of baseline model
2024-07-18T17:11:16.995175,computing loss and backprop
2024-07-18T17:11:17.642111,"Epoch 0, Step 14 start"
2024-07-18T17:11:17.642128,Generating data
2024-07-18T17:11:17.644163,generating tours of train model
2024-07-18T17:11:17.874273,generating tours of baseline model
2024-07-18T17:11:18.108828,computing tour length of train model
2024-07-18T17:11:18.109095,computing tour length of baseline model
2024-07-18T17:11:18.109327,computing loss and backprop
2024-07-18T17:11:18.750645,"Epoch 0, Step 15 start"
2024-07-18T17:11:18.750652,Generating data
2024-07-18T17:11:18.752497,generating tours of train model
2024-07-18T17:11:18.976145,generating tours of baseline model
2024-07-18T17:11:19.198018,computing tour length of train model
2024-07-18T17:11:19.198286,computing tour length of baseline model
2024-07-18T17:11:19.198510,computing loss and backprop
2024-07-18T17:11:19.839786,"Epoch 0, Step 16 start"
2024-07-18T17:11:19.839798,Generating data
2024-07-18T17:11:19.841647,generating tours of train model
2024-07-18T17:11:20.070299,generating tours of baseline model
2024-07-18T17:11:20.294060,computing tour length of train model
2024-07-18T17:11:20.294339,computing tour length of baseline model
2024-07-18T17:11:20.294597,computing loss and backprop
2024-07-18T17:11:20.939432,"Epoch 0, Step 17 start"
2024-07-18T17:11:20.939449,Generating data
2024-07-18T17:11:20.941436,generating tours of train model
2024-07-18T17:11:21.163930,generating tours of baseline model
2024-07-18T17:11:21.382900,computing tour length of train model
2024-07-18T17:11:21.383153,computing tour length of baseline model
2024-07-18T17:11:21.383375,computing loss and backprop
2024-07-18T17:11:22.028023,"Epoch 0, Step 18 start"
2024-07-18T17:11:22.028035,Generating data
2024-07-18T17:11:22.029963,generating tours of train model
2024-07-18T17:11:22.258841,generating tours of baseline model
2024-07-18T17:11:22.482694,computing tour length of train model
2024-07-18T17:11:22.482975,computing tour length of baseline model
2024-07-18T17:11:22.483199,computing loss and backprop
2024-07-18T17:11:23.124971,"Epoch 0, Step 19 start"
2024-07-18T17:11:23.124985,Generating data
2024-07-18T17:11:23.126897,generating tours of train model
2024-07-18T17:11:23.356344,generating tours of baseline model
2024-07-18T17:11:23.579180,computing tour length of train model
2024-07-18T17:11:23.579459,computing tour length of baseline model
2024-07-18T17:11:23.579718,computing loss and backprop
2024-07-18T17:11:24.225653,"Epoch 0, Step 20 start"
2024-07-18T17:11:24.225668,Generating data
2024-07-18T17:11:24.227699,generating tours of train model
2024-07-18T17:11:24.457363,generating tours of baseline model
2024-07-18T17:11:24.685624,computing tour length of train model
2024-07-18T17:11:24.685879,computing tour length of baseline model
2024-07-18T17:11:24.686103,computing loss and backprop
2024-07-18T17:11:25.322923,"Epoch 0, Step 21 start"
2024-07-18T17:11:25.322936,Generating data
2024-07-18T17:11:25.324845,generating tours of train model
2024-07-18T17:11:25.549183,generating tours of baseline model
2024-07-18T17:11:25.777069,computing tour length of train model
2024-07-18T17:11:25.777348,computing tour length of baseline model
2024-07-18T17:11:25.777604,computing loss and backprop
2024-07-18T17:11:26.422535,"Epoch 0, Step 22 start"
2024-07-18T17:11:26.422549,Generating data
2024-07-18T17:11:26.423215,generating tours of train model
2024-07-18T17:11:26.644379,generating tours of baseline model
2024-07-18T17:11:26.863279,computing tour length of train model
2024-07-18T17:11:26.863535,computing tour length of baseline model
2024-07-18T17:11:26.863758,computing loss and backprop
2024-07-18T17:11:27.506413,"Epoch 0, Step 23 start"
2024-07-18T17:11:27.506429,Generating data
2024-07-18T17:11:27.508429,generating tours of train model
2024-07-18T17:11:27.736027,generating tours of baseline model
2024-07-18T17:11:28.091782,computing tour length of train model
