Timestamp,Event
2024-07-22T12:56:00.872125,"Epoch 0, Step 0 start"
2024-07-22T12:56:00.872143,Generating data
2024-07-22T12:56:19.898423,computing tour length of train model
2024-07-22T12:56:19.923421,computing tour length of baseline model
2024-07-22T12:56:44.387809,"Epoch 0, Step 1 start"
2024-07-22T12:56:47.316982,computing tour length of train model
2024-07-22T12:56:47.317299,computing tour length of baseline model
2024-07-22T12:56:50.007375,"Epoch 0, Step 2 start"
2024-07-22T12:56:52.956171,computing tour length of train model
2024-07-22T12:56:52.956425,computing tour length of baseline model
2024-07-22T12:56:55.648509,"Epoch 0, Step 3 start"
2024-07-22T12:56:58.610927,computing tour length of train model
2024-07-22T12:56:58.611210,computing tour length of baseline model
2024-07-22T12:57:01.321859,"Epoch 0, Step 4 start"
2024-07-22T12:57:04.261564,computing tour length of train model
2024-07-22T12:57:04.261901,computing tour length of baseline model
2024-07-22T12:57:06.957137,"Epoch 0, Step 5 start"
2024-07-22T12:57:09.934935,computing tour length of train model
2024-07-22T12:57:09.935191,computing tour length of baseline model
2024-07-22T12:57:12.616753,"Epoch 0, Step 6 start"
2024-07-22T12:57:12.616765,Generating data
2024-07-22T12:57:15.591060,computing tour length of train model
2024-07-22T12:57:15.591319,computing tour length of baseline model
2024-07-22T12:57:18.273853,"Epoch 0, Step 7 start"
2024-07-22T12:57:21.259259,computing tour length of train model
2024-07-22T12:57:21.259517,computing tour length of baseline model
2024-07-22T12:57:23.936664,"Epoch 0, Step 8 start"
2024-07-22T12:57:26.954385,computing tour length of train model
2024-07-22T12:57:26.954715,computing tour length of baseline model
2024-07-22T12:57:29.647004,"Epoch 0, Step 9 start"
2024-07-22T12:57:32.584810,computing tour length of train model
2024-07-22T12:57:32.585077,computing tour length of baseline model
2024-07-22T12:57:35.290448,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T12:57:37.664029,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T12:57:37.664507,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T12:57:40.061310,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T12:57:40.061783,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T12:57:42.469177,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T12:57:42.469698,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T12:57:44.896681,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T12:57:44.897178,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T12:57:47.332305,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T12:57:47.332794,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T12:57:49.731493,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T12:57:49.732007,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T12:57:52.139929,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T12:57:52.140405,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T12:57:54.511708,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T12:57:54.512203,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T12:57:56.889031,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T12:57:56.889511,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T12:57:59.301871,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T12:57:59.302363,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T12:58:01.721372,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T12:58:01.721857,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T12:58:04.160269,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T12:58:04.160750,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T12:58:06.545790,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T12:58:06.546348,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T12:58:08.960409,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T12:58:08.960890,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T12:58:11.320930,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T12:58:11.321415,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T12:58:13.713963,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T12:58:13.714432,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T12:58:16.125498,"Epoch 0, computing tour length on test data batch 16"
2024-07-22T12:58:16.125976,"Epoch 0, Generating tour on test data batch 17"
2024-07-22T12:58:18.532001,"Epoch 0, computing tour length on test data batch 17"
2024-07-22T12:58:18.532553,"Epoch 0, Generating tour on test data batch 18"
2024-07-22T12:58:20.945160,"Epoch 0, computing tour length on test data batch 18"
2024-07-22T12:58:20.945666,"Epoch 0, Generating tour on test data batch 19"
2024-07-22T12:58:23.352679,"Epoch 0, computing tour length on test data batch 19"
2024-07-22T12:58:23.353399,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-22T12:58:23.392769,"Epoch 1, Step 0 start"
2024-07-22T12:58:23.392787,Generating data
2024-07-22T12:58:26.348853,computing tour length of train model
2024-07-22T12:58:26.349116,computing tour length of baseline model
2024-07-22T12:58:28.989175,"Epoch 1, Step 1 start"
2024-07-22T12:58:31.949428,computing tour length of train model
2024-07-22T12:58:31.949700,computing tour length of baseline model
2024-07-22T12:58:34.618001,"Epoch 1, Step 2 start"
2024-07-22T12:58:37.598125,computing tour length of train model
2024-07-22T12:58:37.598396,computing tour length of baseline model
2024-07-22T12:58:40.274516,"Epoch 1, Step 3 start"
2024-07-22T12:58:43.230980,computing tour length of train model
2024-07-22T12:58:43.231387,computing tour length of baseline model
2024-07-22T12:58:45.903232,"Epoch 1, Step 4 start"
2024-07-22T12:58:48.830262,computing tour length of train model
2024-07-22T12:58:48.830528,computing tour length of baseline model
2024-07-22T12:58:51.503419,"Epoch 1, Step 5 start"
2024-07-22T12:58:54.451832,computing tour length of train model
2024-07-22T12:58:54.452104,computing tour length of baseline model
2024-07-22T12:58:57.125872,"Epoch 1, Step 6 start"
2024-07-22T12:58:57.125893,Generating data
2024-07-22T12:59:00.109032,computing tour length of train model
2024-07-22T12:59:00.109298,computing tour length of baseline model
2024-07-22T12:59:02.816446,"Epoch 1, Step 7 start"
2024-07-22T12:59:05.767900,computing tour length of train model
2024-07-22T12:59:05.768203,computing tour length of baseline model
2024-07-22T12:59:08.464653,"Epoch 1, Step 8 start"
2024-07-22T12:59:11.391165,computing tour length of train model
2024-07-22T12:59:11.391468,computing tour length of baseline model
2024-07-22T12:59:14.077153,"Epoch 1, Step 9 start"
2024-07-22T12:59:16.990992,computing tour length of train model
2024-07-22T12:59:16.991287,computing tour length of baseline model
2024-07-22T12:59:19.687678,"Epoch 1, Generating tour on test data batch 0"
2024-07-22T12:59:22.096366,"Epoch 1, computing tour length on test data batch 0"
2024-07-22T12:59:22.096884,"Epoch 1, Generating tour on test data batch 1"
2024-07-22T12:59:24.485916,"Epoch 1, computing tour length on test data batch 1"
2024-07-22T12:59:24.486446,"Epoch 1, Generating tour on test data batch 2"
2024-07-22T12:59:26.888804,"Epoch 1, computing tour length on test data batch 2"
2024-07-22T12:59:26.889285,"Epoch 1, Generating tour on test data batch 3"
2024-07-22T12:59:29.173859,"Epoch 1, computing tour length on test data batch 3"
2024-07-22T12:59:29.174337,"Epoch 1, Generating tour on test data batch 4"
2024-07-22T12:59:31.500360,"Epoch 1, computing tour length on test data batch 4"
2024-07-22T12:59:31.500853,"Epoch 1, Generating tour on test data batch 5"
2024-07-22T12:59:33.857305,"Epoch 1, computing tour length on test data batch 5"
2024-07-22T12:59:33.857811,"Epoch 1, Generating tour on test data batch 6"
2024-07-22T12:59:36.237440,"Epoch 1, computing tour length on test data batch 6"
2024-07-22T12:59:36.237937,"Epoch 1, Generating tour on test data batch 7"
2024-07-22T12:59:38.597937,"Epoch 1, computing tour length on test data batch 7"
2024-07-22T12:59:38.598475,"Epoch 1, Generating tour on test data batch 8"
2024-07-22T12:59:40.948907,"Epoch 1, computing tour length on test data batch 8"
2024-07-22T12:59:40.949415,"Epoch 1, Generating tour on test data batch 9"
2024-07-22T12:59:43.317563,"Epoch 1, computing tour length on test data batch 9"
2024-07-22T12:59:43.318057,"Epoch 1, Generating tour on test data batch 10"
2024-07-22T12:59:45.615985,"Epoch 1, computing tour length on test data batch 10"
2024-07-22T12:59:45.616463,"Epoch 1, Generating tour on test data batch 11"
2024-07-22T12:59:47.933054,"Epoch 1, computing tour length on test data batch 11"
2024-07-22T12:59:47.933526,"Epoch 1, Generating tour on test data batch 12"
2024-07-22T12:59:50.308121,"Epoch 1, computing tour length on test data batch 12"
2024-07-22T12:59:50.308610,"Epoch 1, Generating tour on test data batch 13"
2024-07-22T12:59:52.667021,"Epoch 1, computing tour length on test data batch 13"
