Timestamp,Event
2024-07-22T14:29:25.221854,"Epoch 0, Step 0 start"
2024-07-22T14:29:25.221870,Generating data
2024-07-22T14:29:34.660911,computing tour length of train model
2024-07-22T14:29:34.692285,computing tour length of baseline model
2024-07-22T14:29:46.919842,"Epoch 0, Step 1 start"
2024-07-22T14:29:47.029394,computing tour length of train model
2024-07-22T14:29:47.029792,computing tour length of baseline model
2024-07-22T14:29:47.212143,"Epoch 0, Step 2 start"
2024-07-22T14:29:47.319951,computing tour length of train model
2024-07-22T14:29:47.320280,computing tour length of baseline model
2024-07-22T14:29:47.504036,"Epoch 0, Step 3 start"
2024-07-22T14:29:47.612334,computing tour length of train model
2024-07-22T14:29:47.612649,computing tour length of baseline model
2024-07-22T14:29:47.794538,"Epoch 0, Step 4 start"
2024-07-22T14:29:47.902860,computing tour length of train model
2024-07-22T14:29:47.903181,computing tour length of baseline model
2024-07-22T14:29:48.084515,"Epoch 0, Step 5 start"
2024-07-22T14:29:48.192364,computing tour length of train model
2024-07-22T14:29:48.192681,computing tour length of baseline model
2024-07-22T14:29:48.374359,"Epoch 0, Step 6 start"
2024-07-22T14:29:48.374375,Generating data
2024-07-22T14:29:48.456798,computing tour length of train model
2024-07-22T14:29:48.457127,computing tour length of baseline model
2024-07-22T14:29:48.594137,"Epoch 0, Step 7 start"
2024-07-22T14:29:48.675560,computing tour length of train model
2024-07-22T14:29:48.675882,computing tour length of baseline model
2024-07-22T14:29:48.812563,"Epoch 0, Step 8 start"
2024-07-22T14:29:48.894211,computing tour length of train model
2024-07-22T14:29:48.894526,computing tour length of baseline model
2024-07-22T14:29:49.030953,"Epoch 0, Step 9 start"
2024-07-22T14:29:49.112446,computing tour length of train model
2024-07-22T14:29:49.112762,computing tour length of baseline model
2024-07-22T14:29:49.249718,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T14:29:49.382029,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T14:29:49.382676,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T14:29:49.513161,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T14:29:49.513803,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T14:29:49.644239,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T14:29:49.644886,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T14:29:49.777432,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T14:29:49.778136,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T14:29:49.907682,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T14:29:49.908318,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T14:29:50.037867,"Epoch 0, computing tour length on test data batch 5"
