Timestamp,Event
2024-07-22T14:12:12.579010,"Epoch 0, Step 0 start"
2024-07-22T14:12:12.579026,Generating data
2024-07-22T14:12:23.696897,computing tour length of train model
2024-07-22T14:12:23.728765,computing tour length of baseline model
2024-07-22T14:12:38.761591,"Epoch 0, Step 1 start"
2024-07-22T14:12:40.312520,computing tour length of train model
2024-07-22T14:12:40.312794,computing tour length of baseline model
2024-07-22T14:12:42.063108,"Epoch 0, Step 2 start"
2024-07-22T14:12:43.112829,computing tour length of train model
2024-07-22T14:12:43.113072,computing tour length of baseline model
2024-07-22T14:12:44.857148,"Epoch 0, Step 3 start"
2024-07-22T14:12:45.909464,computing tour length of train model
2024-07-22T14:12:45.909685,computing tour length of baseline model
2024-07-22T14:12:47.657321,"Epoch 0, Step 4 start"
2024-07-22T14:12:48.704851,computing tour length of train model
2024-07-22T14:12:48.705075,computing tour length of baseline model
2024-07-22T14:12:50.446746,"Epoch 0, Step 5 start"
2024-07-22T14:12:51.495238,computing tour length of train model
2024-07-22T14:12:51.495457,computing tour length of baseline model
2024-07-22T14:12:53.339293,"Epoch 0, Step 6 start"
2024-07-22T14:12:53.339306,Generating data
2024-07-22T14:12:54.445839,computing tour length of train model
2024-07-22T14:12:54.446137,computing tour length of baseline model
2024-07-22T14:12:56.297779,"Epoch 0, Step 7 start"
2024-07-22T14:12:57.414606,computing tour length of train model
2024-07-22T14:12:57.414859,computing tour length of baseline model
2024-07-22T14:12:59.222455,"Epoch 0, Step 8 start"
2024-07-22T14:13:00.304680,computing tour length of train model
2024-07-22T14:13:00.304936,computing tour length of baseline model
2024-07-22T14:13:02.167082,"Epoch 0, Step 9 start"
2024-07-22T14:13:03.257234,computing tour length of train model
2024-07-22T14:13:03.257477,computing tour length of baseline model
2024-07-22T14:13:05.095698,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T14:13:06.166492,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T14:13:06.167036,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T14:13:07.232785,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T14:13:07.233303,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T14:13:08.309156,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T14:13:08.309678,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T14:13:09.378711,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T14:13:09.379209,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T14:13:10.440539,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T14:13:10.441018,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T14:13:11.500075,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T14:13:11.500555,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T14:13:12.570827,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T14:13:12.571297,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T14:13:13.640351,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T14:13:13.640832,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T14:13:14.674817,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T14:13:14.675320,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T14:13:15.743447,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T14:13:15.743978,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T14:13:16.826788,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T14:13:16.827250,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T14:13:17.865300,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T14:13:17.865771,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T14:13:18.912989,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T14:13:18.913453,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T14:13:19.936164,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T14:13:19.936635,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T14:13:20.958610,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T14:13:20.959084,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T14:13:22.003187,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T14:13:22.003688,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T14:13:23.044032,"Epoch 0, computing tour length on test data batch 16"
2024-07-22T14:13:23.044501,"Epoch 0, Generating tour on test data batch 17"
