Timestamp,Event
2024-07-22T13:36:26.629030,"Epoch 0, Step 0 start"
2024-07-22T13:36:26.629050,Generating data
2024-07-22T13:36:45.228343,computing tour length of train model
2024-07-22T13:36:45.253662,computing tour length of baseline model
2024-07-22T13:37:09.393255,"Epoch 0, Step 1 start"
2024-07-22T13:37:12.508799,computing tour length of train model
2024-07-22T13:37:12.509145,computing tour length of baseline model
2024-07-22T13:37:15.305027,"Epoch 0, Step 2 start"
2024-07-22T13:37:18.417672,computing tour length of train model
2024-07-22T13:37:18.417951,computing tour length of baseline model
2024-07-22T13:37:21.182700,"Epoch 0, Step 3 start"
2024-07-22T13:37:24.296637,computing tour length of train model
2024-07-22T13:37:24.296976,computing tour length of baseline model
2024-07-22T13:37:27.095087,"Epoch 0, Step 4 start"
2024-07-22T13:37:30.153567,computing tour length of train model
2024-07-22T13:37:30.153834,computing tour length of baseline model
2024-07-22T13:37:32.916779,"Epoch 0, Step 5 start"
2024-07-22T13:37:36.079490,computing tour length of train model
2024-07-22T13:37:36.079768,computing tour length of baseline model
2024-07-22T13:37:38.835762,"Epoch 0, Step 6 start"
2024-07-22T13:37:38.835774,Generating data
2024-07-22T13:37:42.018929,computing tour length of train model
2024-07-22T13:37:42.019187,computing tour length of baseline model
2024-07-22T13:37:44.768092,"Epoch 0, Step 7 start"
2024-07-22T13:37:47.930690,computing tour length of train model
2024-07-22T13:37:47.930967,computing tour length of baseline model
2024-07-22T13:37:50.694244,"Epoch 0, Step 8 start"
2024-07-22T13:37:53.809721,computing tour length of train model
2024-07-22T13:37:53.809985,computing tour length of baseline model
2024-07-22T13:37:56.615423,"Epoch 0, Step 9 start"
2024-07-22T13:37:59.669491,computing tour length of train model
2024-07-22T13:37:59.669773,computing tour length of baseline model
2024-07-22T13:38:02.460903,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T13:38:04.945835,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T13:38:04.946345,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T13:38:07.402068,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T13:38:07.402562,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T13:38:09.838329,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T13:38:09.838860,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T13:38:12.264906,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T13:38:12.265406,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T13:38:14.731409,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T13:38:14.731921,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T13:38:17.238677,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T13:38:17.239179,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T13:38:19.666731,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T13:38:19.667244,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T13:38:22.148993,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T13:38:22.149526,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T13:38:24.629449,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T13:38:24.629976,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T13:38:27.103460,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T13:38:27.103952,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T13:38:29.546207,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T13:38:29.546713,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T13:38:31.971955,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T13:38:31.972425,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T13:38:34.420594,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T13:38:34.421092,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T13:38:36.906850,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T13:38:36.907335,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T13:38:39.362704,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T13:38:39.363206,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T13:38:41.832247,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T13:38:41.832737,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T13:38:44.306134,"Epoch 0, computing tour length on test data batch 16"
2024-07-22T13:38:44.306649,"Epoch 0, Generating tour on test data batch 17"
2024-07-22T13:38:46.749169,"Epoch 0, computing tour length on test data batch 17"
