Timestamp,Event
2024-07-22T14:18:55.580244,"Epoch 0, Step 0 start"
2024-07-22T14:18:55.580260,Generating data
2024-07-22T14:19:05.095716,computing tour length of train model
2024-07-22T14:19:05.126410,computing tour length of baseline model
2024-07-22T14:19:16.892554,"Epoch 0, Step 1 start"
2024-07-22T14:19:17.012104,computing tour length of train model
2024-07-22T14:19:17.012508,computing tour length of baseline model
2024-07-22T14:19:17.202020,"Epoch 0, Step 2 start"
2024-07-22T14:19:17.320140,computing tour length of train model
2024-07-22T14:19:17.320470,computing tour length of baseline model
2024-07-22T14:19:17.504532,"Epoch 0, Step 3 start"
2024-07-22T14:19:17.622421,computing tour length of train model
2024-07-22T14:19:17.622739,computing tour length of baseline model
2024-07-22T14:19:17.808384,"Epoch 0, Step 4 start"
2024-07-22T14:19:17.927186,computing tour length of train model
2024-07-22T14:19:17.927517,computing tour length of baseline model
2024-07-22T14:19:18.112401,"Epoch 0, Step 5 start"
2024-07-22T14:19:18.230641,computing tour length of train model
2024-07-22T14:19:18.230967,computing tour length of baseline model
2024-07-22T14:19:18.415489,"Epoch 0, Step 6 start"
2024-07-22T14:19:18.415505,Generating data
2024-07-22T14:19:18.533815,computing tour length of train model
2024-07-22T14:19:18.534143,computing tour length of baseline model
2024-07-22T14:19:18.719016,"Epoch 0, Step 7 start"
2024-07-22T14:19:18.837581,computing tour length of train model
2024-07-22T14:19:18.837910,computing tour length of baseline model
2024-07-22T14:19:19.022232,"Epoch 0, Step 8 start"
2024-07-22T14:19:19.140854,computing tour length of train model
2024-07-22T14:19:19.141277,computing tour length of baseline model
2024-07-22T14:19:19.325653,"Epoch 0, Step 9 start"
2024-07-22T14:19:19.443862,computing tour length of train model
2024-07-22T14:19:19.444182,computing tour length of baseline model
2024-07-22T14:19:19.628488,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T14:19:19.738495,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T14:19:19.739159,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T14:19:19.849087,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T14:19:19.849719,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T14:19:19.959487,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T14:19:19.959945,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T14:19:20.031986,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T14:19:20.032415,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T14:19:20.106063,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T14:19:20.106483,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T14:19:20.178008,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T14:19:20.178427,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T14:19:20.249729,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T14:19:20.250233,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T14:19:20.321700,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T14:19:20.322125,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T14:19:20.393581,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T14:19:20.394010,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T14:19:20.465483,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T14:19:20.465908,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T14:19:20.537394,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T14:19:20.537811,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T14:19:20.609297,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T14:19:20.609712,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T14:19:20.681374,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T14:19:20.681793,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T14:19:20.753759,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T14:19:20.754189,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T14:19:20.826192,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T14:19:20.826608,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T14:19:20.898143,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T14:19:20.898562,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T14:19:20.970507,"Epoch 0, computing tour length on test data batch 16"
2024-07-22T14:19:20.970934,"Epoch 0, Generating tour on test data batch 17"
2024-07-22T14:19:21.042364,"Epoch 0, computing tour length on test data batch 17"
2024-07-22T14:19:21.042782,"Epoch 0, Generating tour on test data batch 18"
2024-07-22T14:19:21.114329,"Epoch 0, computing tour length on test data batch 18"
2024-07-22T14:19:21.114754,"Epoch 0, Generating tour on test data batch 19"
2024-07-22T14:19:21.186283,"Epoch 0, computing tour length on test data batch 19"
2024-07-22T14:19:21.186779,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-22T14:19:21.196270,"Epoch 1, Step 0 start"
2024-07-22T14:19:21.196280,Generating data
2024-07-22T14:19:21.275334,computing tour length of train model
2024-07-22T14:19:21.275546,computing tour length of baseline model
2024-07-22T14:19:21.397199,"Epoch 1, Step 1 start"
2024-07-22T14:19:21.475541,computing tour length of train model
2024-07-22T14:19:21.475754,computing tour length of baseline model
2024-07-22T14:19:21.597151,"Epoch 1, Step 2 start"
2024-07-22T14:19:21.675474,computing tour length of train model
2024-07-22T14:19:21.675685,computing tour length of baseline model
2024-07-22T14:19:21.797753,"Epoch 1, Step 3 start"
2024-07-22T14:19:21.876026,computing tour length of train model
2024-07-22T14:19:21.876238,computing tour length of baseline model
2024-07-22T14:19:21.997478,"Epoch 1, Step 4 start"
2024-07-22T14:19:22.075467,computing tour length of train model
2024-07-22T14:19:22.075679,computing tour length of baseline model
2024-07-22T14:19:22.196892,"Epoch 1, Step 5 start"
2024-07-22T14:19:22.274998,computing tour length of train model
2024-07-22T14:19:22.275210,computing tour length of baseline model
2024-07-22T14:19:22.396366,"Epoch 1, Step 6 start"
2024-07-22T14:19:22.396378,Generating data
2024-07-22T14:19:22.474567,computing tour length of train model
2024-07-22T14:19:22.474777,computing tour length of baseline model
2024-07-22T14:19:22.595859,"Epoch 1, Step 7 start"
2024-07-22T14:19:22.673938,computing tour length of train model
2024-07-22T14:19:22.674149,computing tour length of baseline model
2024-07-22T14:19:22.795563,"Epoch 1, Step 8 start"
2024-07-22T14:19:22.873626,computing tour length of train model
2024-07-22T14:19:22.873837,computing tour length of baseline model
2024-07-22T14:19:22.994962,"Epoch 1, Step 9 start"
2024-07-22T14:19:23.073160,computing tour length of train model
2024-07-22T14:19:23.073373,computing tour length of baseline model
2024-07-22T14:19:23.194499,"Epoch 1, Generating tour on test data batch 0"
2024-07-22T14:19:23.266466,"Epoch 1, computing tour length on test data batch 0"
2024-07-22T14:19:23.266924,"Epoch 1, Generating tour on test data batch 1"
2024-07-22T14:19:23.338924,"Epoch 1, computing tour length on test data batch 1"
2024-07-22T14:19:23.339365,"Epoch 1, Generating tour on test data batch 2"
2024-07-22T14:19:23.411328,"Epoch 1, computing tour length on test data batch 2"
2024-07-22T14:19:23.411746,"Epoch 1, Generating tour on test data batch 3"
2024-07-22T14:19:23.483416,"Epoch 1, computing tour length on test data batch 3"
2024-07-22T14:19:23.483833,"Epoch 1, Generating tour on test data batch 4"
2024-07-22T14:19:23.555429,"Epoch 1, computing tour length on test data batch 4"
2024-07-22T14:19:23.555853,"Epoch 1, Generating tour on test data batch 5"
2024-07-22T14:19:23.627534,"Epoch 1, computing tour length on test data batch 5"
2024-07-22T14:19:23.627968,"Epoch 1, Generating tour on test data batch 6"
2024-07-22T14:19:23.699777,"Epoch 1, computing tour length on test data batch 6"
2024-07-22T14:19:23.700203,"Epoch 1, Generating tour on test data batch 7"
2024-07-22T14:19:23.772754,"Epoch 1, computing tour length on test data batch 7"
2024-07-22T14:19:23.773189,"Epoch 1, Generating tour on test data batch 8"
2024-07-22T14:19:23.845103,"Epoch 1, computing tour length on test data batch 8"
2024-07-22T14:19:23.845524,"Epoch 1, Generating tour on test data batch 9"
2024-07-22T14:19:23.917521,"Epoch 1, computing tour length on test data batch 9"
2024-07-22T14:19:23.917951,"Epoch 1, Generating tour on test data batch 10"
2024-07-22T14:19:23.989725,"Epoch 1, computing tour length on test data batch 10"
2024-07-22T14:19:23.990152,"Epoch 1, Generating tour on test data batch 11"
2024-07-22T14:19:24.061720,"Epoch 1, computing tour length on test data batch 11"
2024-07-22T14:19:24.062150,"Epoch 1, Generating tour on test data batch 12"
2024-07-22T14:19:24.133703,"Epoch 1, computing tour length on test data batch 12"
2024-07-22T14:19:24.134129,"Epoch 1, Generating tour on test data batch 13"
2024-07-22T14:19:24.205938,"Epoch 1, computing tour length on test data batch 13"
2024-07-22T14:19:24.206353,"Epoch 1, Generating tour on test data batch 14"
2024-07-22T14:19:24.278111,"Epoch 1, computing tour length on test data batch 14"
2024-07-22T14:19:24.278528,"Epoch 1, Generating tour on test data batch 15"
2024-07-22T14:19:24.350197,"Epoch 1, computing tour length on test data batch 15"
2024-07-22T14:19:24.350614,"Epoch 1, Generating tour on test data batch 16"
2024-07-22T14:19:24.422410,"Epoch 1, computing tour length on test data batch 16"
2024-07-22T14:19:24.422829,"Epoch 1, Generating tour on test data batch 17"
2024-07-22T14:19:24.494571,"Epoch 1, computing tour length on test data batch 17"
2024-07-22T14:19:24.494996,"Epoch 1, Generating tour on test data batch 18"
2024-07-22T14:19:24.566629,"Epoch 1, computing tour length on test data batch 18"
2024-07-22T14:19:24.567055,"Epoch 1, Generating tour on test data batch 19"
2024-07-22T14:19:24.638780,"Epoch 1, computing tour length on test data batch 19"
2024-07-22T14:19:24.639233,Epoch 1 saving checkpoint and updating baseline if train is better
2024-07-22T14:19:24.647299,"Epoch 2, Step 0 start"
2024-07-22T14:19:24.647309,Generating data
2024-07-22T14:19:24.727937,computing tour length of train model
2024-07-22T14:19:24.728156,computing tour length of baseline model
2024-07-22T14:19:24.849370,"Epoch 2, Step 1 start"
2024-07-22T14:19:24.927180,computing tour length of train model
2024-07-22T14:19:24.927390,computing tour length of baseline model
