Timestamp,Event
2024-07-25T13:32:03.678386,"Epoch 0, Step 0 start"
2024-07-25T13:32:03.678397,Generating data
2024-07-25T13:32:12.557840,computing tour length of train model
2024-07-25T13:32:12.604668,computing tour length of baseline model
2024-07-25T13:32:24.533079,"Epoch 0, Step 1 start"
2024-07-25T13:32:25.750771,computing tour length of train model
2024-07-25T13:32:25.751029,computing tour length of baseline model
2024-07-25T13:32:27.858448,"Epoch 0, Step 2 start"
2024-07-25T13:32:29.235287,computing tour length of train model
2024-07-25T13:32:29.235551,computing tour length of baseline model
2024-07-25T13:32:31.344991,"Epoch 0, Step 3 start"
2024-07-25T13:32:32.547092,computing tour length of train model
2024-07-25T13:32:32.547348,computing tour length of baseline model
2024-07-25T13:32:34.838096,"Epoch 0, Step 4 start"
2024-07-25T13:32:36.039962,computing tour length of train model
2024-07-25T13:32:36.040210,computing tour length of baseline model
2024-07-25T13:32:38.259902,"Epoch 0, Step 5 start"
2024-07-25T13:32:39.530805,computing tour length of train model
2024-07-25T13:32:39.531061,computing tour length of baseline model
2024-07-25T13:32:41.650323,"Epoch 0, Step 6 start"
2024-07-25T13:32:41.650355,Generating data
2024-07-25T13:32:42.873931,computing tour length of train model
2024-07-25T13:32:42.874200,computing tour length of baseline model
2024-07-25T13:32:45.165308,"Epoch 0, Step 7 start"
2024-07-25T13:32:46.371327,computing tour length of train model
2024-07-25T13:32:46.371588,computing tour length of baseline model
2024-07-25T13:32:48.654215,"Epoch 0, Step 8 start"
2024-07-25T13:32:49.855318,computing tour length of train model
2024-07-25T13:32:49.855563,computing tour length of baseline model
2024-07-25T13:32:51.972400,"Epoch 0, Step 9 start"
2024-07-25T13:32:53.335085,computing tour length of train model
2024-07-25T13:32:53.335488,computing tour length of baseline model
2024-07-25T13:32:55.481428,"Epoch 0, Generating tour on test data batch 0"
2024-07-25T13:32:56.653850,"Epoch 0, computing tour length on test data batch 0"
2024-07-25T13:32:56.654358,"Epoch 0, Generating tour on test data batch 1"
2024-07-25T13:32:57.832233,"Epoch 0, computing tour length on test data batch 1"
2024-07-25T13:32:57.832713,"Epoch 0, Generating tour on test data batch 2"
2024-07-25T13:32:59.170344,"Epoch 0, computing tour length on test data batch 2"
2024-07-25T13:32:59.170816,"Epoch 0, Generating tour on test data batch 3"
2024-07-25T13:33:00.342215,"Epoch 0, computing tour length on test data batch 3"
2024-07-25T13:33:00.342759,"Epoch 0, Generating tour on test data batch 4"
2024-07-25T13:33:01.524030,"Epoch 0, computing tour length on test data batch 4"
2024-07-25T13:33:01.524513,"Epoch 0, Generating tour on test data batch 5"
2024-07-25T13:33:02.702159,"Epoch 0, computing tour length on test data batch 5"
2024-07-25T13:33:02.702704,"Epoch 0, Generating tour on test data batch 6"
2024-07-25T13:33:04.051131,"Epoch 0, computing tour length on test data batch 6"
2024-07-25T13:33:04.051616,"Epoch 0, Generating tour on test data batch 7"
2024-07-25T13:33:05.228911,"Epoch 0, computing tour length on test data batch 7"
2024-07-25T13:33:05.229409,"Epoch 0, Generating tour on test data batch 8"
2024-07-25T13:33:06.405967,"Epoch 0, computing tour length on test data batch 8"
2024-07-25T13:33:06.406511,"Epoch 0, Generating tour on test data batch 9"
2024-07-25T13:33:07.585283,"Epoch 0, computing tour length on test data batch 9"
2024-07-25T13:33:07.585780,"Epoch 0, Generating tour on test data batch 10"
2024-07-25T13:33:08.929939,"Epoch 0, computing tour length on test data batch 10"
2024-07-25T13:33:08.930464,"Epoch 0, Generating tour on test data batch 11"
2024-07-25T13:33:10.103478,"Epoch 0, computing tour length on test data batch 11"
2024-07-25T13:33:10.103970,"Epoch 0, Generating tour on test data batch 12"
