Timestamp,Event
2024-07-25T13:47:50.016254,"Epoch 0, Step 0 start"
2024-07-25T13:47:50.016269,Generating data
2024-07-25T13:47:58.511144,computing tour length of train model
2024-07-25T13:47:58.559519,computing tour length of baseline model
2024-07-25T13:48:11.118318,"Epoch 0, Step 1 start"
2024-07-25T13:48:11.847900,computing tour length of train model
2024-07-25T13:48:11.848184,computing tour length of baseline model
2024-07-25T13:48:13.113184,"Epoch 0, Step 2 start"
2024-07-25T13:48:13.952417,computing tour length of train model
2024-07-25T13:48:13.952682,computing tour length of baseline model
2024-07-25T13:48:15.158924,"Epoch 0, Step 3 start"
2024-07-25T13:48:15.874981,computing tour length of train model
2024-07-25T13:48:15.875232,computing tour length of baseline model
2024-07-25T13:48:17.080710,"Epoch 0, Step 4 start"
2024-07-25T13:48:17.796369,computing tour length of train model
2024-07-25T13:48:17.796620,computing tour length of baseline model
2024-07-25T13:48:19.203102,"Epoch 0, Step 5 start"
2024-07-25T13:48:19.921328,computing tour length of train model
2024-07-25T13:48:19.921574,computing tour length of baseline model
2024-07-25T13:48:21.137686,"Epoch 0, Step 6 start"
2024-07-25T13:48:21.137699,Generating data
2024-07-25T13:48:21.871673,computing tour length of train model
2024-07-25T13:48:21.871929,computing tour length of baseline model
2024-07-25T13:48:23.159205,"Epoch 0, Step 7 start"
2024-07-25T13:48:23.984896,computing tour length of train model
2024-07-25T13:48:23.985148,computing tour length of baseline model
2024-07-25T13:48:25.192980,"Epoch 0, Step 8 start"
2024-07-25T13:48:25.900853,computing tour length of train model
2024-07-25T13:48:25.901101,computing tour length of baseline model
2024-07-25T13:48:27.106750,"Epoch 0, Step 9 start"
2024-07-25T13:48:27.816211,computing tour length of train model
2024-07-25T13:48:27.816499,computing tour length of baseline model
2024-07-25T13:48:29.205964,"Epoch 0, Generating tour on test data batch 0"
2024-07-25T13:48:29.899651,"Epoch 0, computing tour length on test data batch 0"
2024-07-25T13:48:29.900147,"Epoch 0, Generating tour on test data batch 1"
