Timestamp,Event
2024-07-25T13:01:07.590945,"Epoch 0, Step 0 start"
2024-07-25T13:01:07.590955,Generating data
2024-07-25T13:01:15.910624,computing tour length of train model
2024-07-25T13:01:15.955811,computing tour length of baseline model
2024-07-25T13:01:27.094623,"Epoch 0, Step 1 start"
2024-07-25T13:01:27.813839,computing tour length of train model
2024-07-25T13:01:27.814084,computing tour length of baseline model
2024-07-25T13:01:29.190364,"Epoch 0, Step 2 start"
2024-07-25T13:01:29.904214,computing tour length of train model
2024-07-25T13:01:29.904456,computing tour length of baseline model
2024-07-25T13:01:31.101503,"Epoch 0, Step 3 start"
2024-07-25T13:01:31.820666,computing tour length of train model
2024-07-25T13:01:31.820910,computing tour length of baseline model
2024-07-25T13:01:33.063986,"Epoch 0, Step 4 start"
2024-07-25T13:01:33.895710,computing tour length of train model
2024-07-25T13:01:33.895972,computing tour length of baseline model
2024-07-25T13:01:35.082302,"Epoch 0, Step 5 start"
2024-07-25T13:01:35.786312,computing tour length of train model
2024-07-25T13:01:35.786584,computing tour length of baseline model
2024-07-25T13:01:36.969680,"Epoch 0, Step 6 start"
2024-07-25T13:01:36.969694,Generating data
2024-07-25T13:01:37.676047,computing tour length of train model
2024-07-25T13:01:37.676295,computing tour length of baseline model
2024-07-25T13:01:39.046909,"Epoch 0, Step 7 start"
2024-07-25T13:01:39.754563,computing tour length of train model
2024-07-25T13:01:39.754810,computing tour length of baseline model
2024-07-25T13:01:40.938282,"Epoch 0, Step 8 start"
2024-07-25T13:01:41.644657,computing tour length of train model
2024-07-25T13:01:41.644902,computing tour length of baseline model
2024-07-25T13:01:42.831107,"Epoch 0, Step 9 start"
2024-07-25T13:01:43.714032,computing tour length of train model
2024-07-25T13:01:43.714288,computing tour length of baseline model
2024-07-25T13:01:44.903741,"Epoch 0, Generating tour on test data batch 0"
2024-07-25T13:01:45.596710,"Epoch 0, computing tour length on test data batch 0"
2024-07-25T13:01:45.597197,"Epoch 0, Generating tour on test data batch 1"
2024-07-25T13:01:46.291855,"Epoch 0, computing tour length on test data batch 1"
2024-07-25T13:01:46.292337,"Epoch 0, Generating tour on test data batch 2"
2024-07-25T13:01:46.983666,"Epoch 0, computing tour length on test data batch 2"
2024-07-25T13:01:46.984111,"Epoch 0, Generating tour on test data batch 3"
2024-07-25T13:01:47.678895,"Epoch 0, computing tour length on test data batch 3"
2024-07-25T13:01:47.679373,"Epoch 0, Generating tour on test data batch 4"
2024-07-25T13:01:48.542147,"Epoch 0, computing tour length on test data batch 4"
2024-07-25T13:01:48.542647,"Epoch 0, Generating tour on test data batch 5"
2024-07-25T13:01:49.231526,"Epoch 0, computing tour length on test data batch 5"
2024-07-25T13:01:49.232003,"Epoch 0, Generating tour on test data batch 6"
