Timestamp,Event
2024-07-25T14:23:39.058281,"Epoch 0, Step 0 start"
2024-07-25T14:23:39.058293,Generating data
2024-07-25T14:23:47.219648,computing tour length of train model
2024-07-25T14:23:47.265898,computing tour length of baseline model
2024-07-25T14:23:57.997387,"Epoch 0, Step 1 start"
2024-07-25T14:23:58.857833,computing tour length of train model
2024-07-25T14:23:58.858082,computing tour length of baseline model
2024-07-25T14:24:00.003696,"Epoch 0, Step 2 start"
2024-07-25T14:24:00.688255,computing tour length of train model
2024-07-25T14:24:00.688498,computing tour length of baseline model
2024-07-25T14:24:01.829974,"Epoch 0, Step 3 start"
2024-07-25T14:24:02.516065,computing tour length of train model
2024-07-25T14:24:02.516316,computing tour length of baseline model
2024-07-25T14:24:03.858804,"Epoch 0, Step 4 start"
2024-07-25T14:24:04.548681,computing tour length of train model
2024-07-25T14:24:04.548943,computing tour length of baseline model
2024-07-25T14:24:05.691617,"Epoch 0, Step 5 start"
2024-07-25T14:24:06.381908,computing tour length of train model
2024-07-25T14:24:06.382164,computing tour length of baseline model
2024-07-25T14:24:07.524699,"Epoch 0, Step 6 start"
2024-07-25T14:24:07.524709,Generating data
2024-07-25T14:24:08.430852,computing tour length of train model
2024-07-25T14:24:08.431308,computing tour length of baseline model
2024-07-25T14:24:09.690883,"Epoch 0, Step 7 start"
2024-07-25T14:24:10.428630,computing tour length of train model
2024-07-25T14:24:10.428894,computing tour length of baseline model
2024-07-25T14:24:11.662971,"Epoch 0, Step 8 start"
2024-07-25T14:24:12.400386,computing tour length of train model
2024-07-25T14:24:12.400644,computing tour length of baseline model
2024-07-25T14:24:13.838771,"Epoch 0, Step 9 start"
2024-07-25T14:24:14.582414,computing tour length of train model
2024-07-25T14:24:14.582668,computing tour length of baseline model
2024-07-25T14:24:15.813286,"Epoch 0, Generating tour on test data batch 0"
2024-07-25T14:24:16.504632,"Epoch 0, computing tour length on test data batch 0"
2024-07-25T14:24:16.505119,"Epoch 0, Generating tour on test data batch 1"
2024-07-25T14:24:17.194305,"Epoch 0, computing tour length on test data batch 1"
2024-07-25T14:24:17.194769,"Epoch 0, Generating tour on test data batch 2"
2024-07-25T14:24:17.885697,"Epoch 0, computing tour length on test data batch 2"
2024-07-25T14:24:17.886168,"Epoch 0, Generating tour on test data batch 3"
2024-07-25T14:24:18.891856,"Epoch 0, computing tour length on test data batch 3"
2024-07-25T14:24:18.892357,"Epoch 0, Generating tour on test data batch 4"
2024-07-25T14:24:19.587942,"Epoch 0, computing tour length on test data batch 4"
2024-07-25T14:24:19.588426,"Epoch 0, Generating tour on test data batch 5"
2024-07-25T14:24:20.281755,"Epoch 0, computing tour length on test data batch 5"
2024-07-25T14:24:20.282229,"Epoch 0, Generating tour on test data batch 6"
2024-07-25T14:24:20.974484,"Epoch 0, computing tour length on test data batch 6"
2024-07-25T14:24:20.974932,"Epoch 0, Generating tour on test data batch 7"
2024-07-25T14:24:21.675099,"Epoch 0, computing tour length on test data batch 7"
2024-07-25T14:24:21.675608,"Epoch 0, Generating tour on test data batch 8"
2024-07-25T14:24:22.369118,"Epoch 0, computing tour length on test data batch 8"
2024-07-25T14:24:22.369593,"Epoch 0, Generating tour on test data batch 9"
2024-07-25T14:24:23.129848,"Epoch 0, computing tour length on test data batch 9"
2024-07-25T14:24:23.130713,"Epoch 0, Generating tour on test data batch 10"
2024-07-25T14:24:23.943671,"Epoch 0, computing tour length on test data batch 10"
2024-07-25T14:24:23.944151,"Epoch 0, Generating tour on test data batch 11"
2024-07-25T14:24:24.645332,"Epoch 0, computing tour length on test data batch 11"
2024-07-25T14:24:24.645818,"Epoch 0, Generating tour on test data batch 12"
2024-07-25T14:24:25.344356,"Epoch 0, computing tour length on test data batch 12"
2024-07-25T14:24:25.344843,"Epoch 0, Generating tour on test data batch 13"
2024-07-25T14:24:26.040158,"Epoch 0, computing tour length on test data batch 13"
2024-07-25T14:24:26.040602,"Epoch 0, Generating tour on test data batch 14"
2024-07-25T14:24:26.735720,"Epoch 0, computing tour length on test data batch 14"
2024-07-25T14:24:26.736199,"Epoch 0, Generating tour on test data batch 15"
2024-07-25T14:24:27.432599,"Epoch 0, computing tour length on test data batch 15"
2024-07-25T14:24:27.433080,"Epoch 0, Generating tour on test data batch 16"
2024-07-25T14:24:28.228377,"Epoch 0, computing tour length on test data batch 16"
2024-07-25T14:24:28.229015,"Epoch 0, Generating tour on test data batch 17"
2024-07-25T14:24:29.017833,"Epoch 0, computing tour length on test data batch 17"
2024-07-25T14:24:29.018306,"Epoch 0, Generating tour on test data batch 18"
2024-07-25T14:24:29.714290,"Epoch 0, computing tour length on test data batch 18"
2024-07-25T14:24:29.714788,"Epoch 0, Generating tour on test data batch 19"
2024-07-25T14:24:30.412284,"Epoch 0, computing tour length on test data batch 19"
2024-07-25T14:24:30.412850,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-25T14:24:30.433602,"Epoch 1, Step 0 start"
2024-07-25T14:24:30.433613,Generating data
2024-07-25T14:24:31.129190,computing tour length of train model
2024-07-25T14:24:31.129429,computing tour length of baseline model
2024-07-25T14:24:32.294538,"Epoch 1, Step 1 start"
2024-07-25T14:24:33.023399,computing tour length of train model
2024-07-25T14:24:33.023811,computing tour length of baseline model
2024-07-25T14:24:34.357472,"Epoch 1, Step 2 start"
2024-07-25T14:24:35.052973,computing tour length of train model
2024-07-25T14:24:35.053221,computing tour length of baseline model
2024-07-25T14:24:36.222144,"Epoch 1, Step 3 start"
2024-07-25T14:24:36.917383,computing tour length of train model
2024-07-25T14:24:36.917629,computing tour length of baseline model
2024-07-25T14:24:38.171830,"Epoch 1, Step 4 start"
2024-07-25T14:24:38.980429,computing tour length of train model
2024-07-25T14:24:38.980687,computing tour length of baseline model
2024-07-25T14:24:40.153777,"Epoch 1, Step 5 start"
2024-07-25T14:24:40.854945,computing tour length of train model
2024-07-25T14:24:40.855197,computing tour length of baseline model
2024-07-25T14:24:42.022813,"Epoch 1, Step 6 start"
2024-07-25T14:24:42.022824,Generating data
2024-07-25T14:24:42.798131,computing tour length of train model
2024-07-25T14:24:42.798400,computing tour length of baseline model
2024-07-25T14:24:44.284869,"Epoch 1, Step 7 start"
2024-07-25T14:24:45.056647,computing tour length of train model
2024-07-25T14:24:45.056895,computing tour length of baseline model
2024-07-25T14:24:46.349061,"Epoch 1, Step 8 start"
2024-07-25T14:24:47.119063,computing tour length of train model
2024-07-25T14:24:47.119316,computing tour length of baseline model
2024-07-25T14:24:48.611400,"Epoch 1, Step 9 start"
2024-07-25T14:24:49.383208,computing tour length of train model
2024-07-25T14:24:49.383504,computing tour length of baseline model
2024-07-25T14:24:50.671415,"Epoch 1, Generating tour on test data batch 0"
2024-07-25T14:24:51.369744,"Epoch 1, computing tour length on test data batch 0"
2024-07-25T14:24:51.370245,"Epoch 1, Generating tour on test data batch 1"
2024-07-25T14:24:52.067417,"Epoch 1, computing tour length on test data batch 1"
2024-07-25T14:24:52.067861,"Epoch 1, Generating tour on test data batch 2"
2024-07-25T14:24:52.768425,"Epoch 1, computing tour length on test data batch 2"
2024-07-25T14:24:52.768905,"Epoch 1, Generating tour on test data batch 3"
2024-07-25T14:24:53.661640,"Epoch 1, computing tour length on test data batch 3"
2024-07-25T14:24:53.662142,"Epoch 1, Generating tour on test data batch 4"
2024-07-25T14:24:54.359516,"Epoch 1, computing tour length on test data batch 4"
2024-07-25T14:24:54.359994,"Epoch 1, Generating tour on test data batch 5"
2024-07-25T14:24:55.056433,"Epoch 1, computing tour length on test data batch 5"
2024-07-25T14:24:55.056950,"Epoch 1, Generating tour on test data batch 6"
2024-07-25T14:24:55.753321,"Epoch 1, computing tour length on test data batch 6"
2024-07-25T14:24:55.753805,"Epoch 1, Generating tour on test data batch 7"
2024-07-25T14:24:56.452637,"Epoch 1, computing tour length on test data batch 7"
2024-07-25T14:24:56.453125,"Epoch 1, Generating tour on test data batch 8"
2024-07-25T14:24:57.151682,"Epoch 1, computing tour length on test data batch 8"
2024-07-25T14:24:57.152117,"Epoch 1, Generating tour on test data batch 9"
2024-07-25T14:24:57.849889,"Epoch 1, computing tour length on test data batch 9"
2024-07-25T14:24:57.850384,"Epoch 1, Generating tour on test data batch 10"
2024-07-25T14:24:58.736847,"Epoch 1, computing tour length on test data batch 10"
2024-07-25T14:24:58.737334,"Epoch 1, Generating tour on test data batch 11"
2024-07-25T14:24:59.430676,"Epoch 1, computing tour length on test data batch 11"
2024-07-25T14:24:59.431179,"Epoch 1, Generating tour on test data batch 12"
2024-07-25T14:25:00.123310,"Epoch 1, computing tour length on test data batch 12"
