Timestamp,Event
2024-07-25T14:12:36.670148,"Epoch 0, Step 0 start"
2024-07-25T14:12:36.670161,Generating data
2024-07-25T14:12:44.802976,computing tour length of train model
2024-07-25T14:12:44.849677,computing tour length of baseline model
2024-07-25T14:12:55.164527,"Epoch 0, Step 1 start"
2024-07-25T14:12:55.609186,computing tour length of train model
2024-07-25T14:12:55.609441,computing tour length of baseline model
2024-07-25T14:12:56.320751,"Epoch 0, Step 2 start"
2024-07-25T14:12:56.763101,computing tour length of train model
2024-07-25T14:12:56.763336,computing tour length of baseline model
2024-07-25T14:12:57.470937,"Epoch 0, Step 3 start"
2024-07-25T14:12:57.914902,computing tour length of train model
2024-07-25T14:12:57.915143,computing tour length of baseline model
2024-07-25T14:12:58.827396,"Epoch 0, Step 4 start"
2024-07-25T14:12:59.274651,computing tour length of train model
2024-07-25T14:12:59.274907,computing tour length of baseline model
2024-07-25T14:12:59.982905,"Epoch 0, Step 5 start"
2024-07-25T14:13:00.430431,computing tour length of train model
2024-07-25T14:13:00.430693,computing tour length of baseline model
2024-07-25T14:13:01.139896,"Epoch 0, Step 6 start"
2024-07-25T14:13:01.139917,Generating data
2024-07-25T14:13:01.585002,computing tour length of train model
2024-07-25T14:13:01.585257,computing tour length of baseline model
2024-07-25T14:13:02.293604,"Epoch 0, Step 7 start"
2024-07-25T14:13:02.740210,computing tour length of train model
2024-07-25T14:13:02.740466,computing tour length of baseline model
2024-07-25T14:13:03.643218,"Epoch 0, Step 8 start"
2024-07-25T14:13:04.086075,computing tour length of train model
2024-07-25T14:13:04.086316,computing tour length of baseline model
2024-07-25T14:13:04.797792,"Epoch 0, Step 9 start"
2024-07-25T14:13:05.239791,computing tour length of train model
2024-07-25T14:13:05.240034,computing tour length of baseline model
2024-07-25T14:13:05.946683,"Epoch 0, Generating tour on test data batch 0"
2024-07-25T14:13:06.368175,"Epoch 0, computing tour length on test data batch 0"
2024-07-25T14:13:06.368663,"Epoch 0, Generating tour on test data batch 1"
2024-07-25T14:13:06.790594,"Epoch 0, computing tour length on test data batch 1"
2024-07-25T14:13:06.791083,"Epoch 0, Generating tour on test data batch 2"
2024-07-25T14:13:07.211029,"Epoch 0, computing tour length on test data batch 2"
2024-07-25T14:13:07.211505,"Epoch 0, Generating tour on test data batch 3"
2024-07-25T14:13:07.631465,"Epoch 0, computing tour length on test data batch 3"
2024-07-25T14:13:07.631929,"Epoch 0, Generating tour on test data batch 4"
2024-07-25T14:13:08.107773,"Epoch 0, computing tour length on test data batch 4"
2024-07-25T14:13:08.108580,"Epoch 0, Generating tour on test data batch 5"
2024-07-25T14:13:08.654543,"Epoch 0, computing tour length on test data batch 5"
2024-07-25T14:13:08.655050,"Epoch 0, Generating tour on test data batch 6"
2024-07-25T14:13:09.076318,"Epoch 0, computing tour length on test data batch 6"
2024-07-25T14:13:09.076795,"Epoch 0, Generating tour on test data batch 7"
2024-07-25T14:13:09.497471,"Epoch 0, computing tour length on test data batch 7"
2024-07-25T14:13:09.497946,"Epoch 0, Generating tour on test data batch 8"
2024-07-25T14:13:09.918813,"Epoch 0, computing tour length on test data batch 8"
2024-07-25T14:13:09.919256,"Epoch 0, Generating tour on test data batch 9"
2024-07-25T14:13:10.339990,"Epoch 0, computing tour length on test data batch 9"
2024-07-25T14:13:10.340463,"Epoch 0, Generating tour on test data batch 10"
2024-07-25T14:13:10.763550,"Epoch 0, computing tour length on test data batch 10"
2024-07-25T14:13:10.764039,"Epoch 0, Generating tour on test data batch 11"
2024-07-25T14:13:11.185497,"Epoch 0, computing tour length on test data batch 11"
2024-07-25T14:13:11.185974,"Epoch 0, Generating tour on test data batch 12"
2024-07-25T14:13:11.607595,"Epoch 0, computing tour length on test data batch 12"
2024-07-25T14:13:11.608062,"Epoch 0, Generating tour on test data batch 13"
2024-07-25T14:13:12.029516,"Epoch 0, computing tour length on test data batch 13"
2024-07-25T14:13:12.029958,"Epoch 0, Generating tour on test data batch 14"
2024-07-25T14:13:12.451799,"Epoch 0, computing tour length on test data batch 14"
2024-07-25T14:13:12.452276,"Epoch 0, Generating tour on test data batch 15"
2024-07-25T14:13:12.875021,"Epoch 0, computing tour length on test data batch 15"
2024-07-25T14:13:12.875527,"Epoch 0, Generating tour on test data batch 16"
2024-07-25T14:13:13.466908,"Epoch 0, computing tour length on test data batch 16"
2024-07-25T14:13:13.467765,"Epoch 0, Generating tour on test data batch 17"
2024-07-25T14:13:13.901368,"Epoch 0, computing tour length on test data batch 17"
2024-07-25T14:13:13.901840,"Epoch 0, Generating tour on test data batch 18"
2024-07-25T14:13:14.321180,"Epoch 0, computing tour length on test data batch 18"
2024-07-25T14:13:14.321651,"Epoch 0, Generating tour on test data batch 19"
2024-07-25T14:13:14.740933,"Epoch 0, computing tour length on test data batch 19"
2024-07-25T14:13:14.741440,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-25T14:13:14.752008,"Epoch 1, Step 0 start"
2024-07-25T14:13:14.752018,Generating data
2024-07-25T14:13:15.191745,computing tour length of train model
2024-07-25T14:13:15.191985,computing tour length of baseline model
2024-07-25T14:13:15.898660,"Epoch 1, Step 1 start"
2024-07-25T14:13:16.340458,computing tour length of train model
2024-07-25T14:13:16.340712,computing tour length of baseline model
2024-07-25T14:13:17.063395,"Epoch 1, Step 2 start"
2024-07-25T14:13:17.505100,computing tour length of train model
2024-07-25T14:13:17.505346,computing tour length of baseline model
2024-07-25T14:13:18.366816,"Epoch 1, Step 3 start"
2024-07-25T14:13:18.854128,computing tour length of train model
2024-07-25T14:13:18.854410,computing tour length of baseline model
2024-07-25T14:13:19.566483,"Epoch 1, Step 4 start"
2024-07-25T14:13:20.011088,computing tour length of train model
2024-07-25T14:13:20.011335,computing tour length of baseline model
2024-07-25T14:13:20.718064,"Epoch 1, Step 5 start"
2024-07-25T14:13:21.163315,computing tour length of train model
2024-07-25T14:13:21.163586,computing tour length of baseline model
2024-07-25T14:13:21.881946,"Epoch 1, Step 6 start"
2024-07-25T14:13:21.881960,Generating data
2024-07-25T14:13:22.326595,computing tour length of train model
2024-07-25T14:13:22.326855,computing tour length of baseline model
2024-07-25T14:13:23.088765,"Epoch 1, Step 7 start"
2024-07-25T14:13:23.668844,computing tour length of train model
2024-07-25T14:13:23.669099,computing tour length of baseline model
2024-07-25T14:13:24.377042,"Epoch 1, Step 8 start"
2024-07-25T14:13:24.820707,computing tour length of train model
2024-07-25T14:13:24.820948,computing tour length of baseline model
2024-07-25T14:13:25.520319,"Epoch 1, Step 9 start"
2024-07-25T14:13:25.963415,computing tour length of train model
2024-07-25T14:13:25.963652,computing tour length of baseline model
2024-07-25T14:13:26.667483,"Epoch 1, Generating tour on test data batch 0"
2024-07-25T14:13:27.089343,"Epoch 1, computing tour length on test data batch 0"
2024-07-25T14:13:27.089820,"Epoch 1, Generating tour on test data batch 1"
2024-07-25T14:13:27.512686,"Epoch 1, computing tour length on test data batch 1"
2024-07-25T14:13:27.513173,"Epoch 1, Generating tour on test data batch 2"
2024-07-25T14:13:27.940541,"Epoch 1, computing tour length on test data batch 2"
2024-07-25T14:13:27.941490,"Epoch 1, Generating tour on test data batch 3"
2024-07-25T14:13:28.539727,"Epoch 1, computing tour length on test data batch 3"
2024-07-25T14:13:28.540204,"Epoch 1, Generating tour on test data batch 4"
2024-07-25T14:13:28.959083,"Epoch 1, computing tour length on test data batch 4"
2024-07-25T14:13:28.959537,"Epoch 1, Generating tour on test data batch 5"
2024-07-25T14:13:29.378728,"Epoch 1, computing tour length on test data batch 5"
2024-07-25T14:13:29.379261,"Epoch 1, Generating tour on test data batch 6"
2024-07-25T14:13:29.800439,"Epoch 1, computing tour length on test data batch 6"
2024-07-25T14:13:29.800912,"Epoch 1, Generating tour on test data batch 7"
2024-07-25T14:13:30.221956,"Epoch 1, computing tour length on test data batch 7"
2024-07-25T14:13:30.222478,"Epoch 1, Generating tour on test data batch 8"
2024-07-25T14:13:30.644034,"Epoch 1, computing tour length on test data batch 8"
2024-07-25T14:13:30.644504,"Epoch 1, Generating tour on test data batch 9"
2024-07-25T14:13:31.063792,"Epoch 1, computing tour length on test data batch 9"
2024-07-25T14:13:31.064219,"Epoch 1, Generating tour on test data batch 10"
2024-07-25T14:13:31.485688,"Epoch 1, computing tour length on test data batch 10"
2024-07-25T14:13:31.486158,"Epoch 1, Generating tour on test data batch 11"
2024-07-25T14:13:31.908483,"Epoch 1, computing tour length on test data batch 11"
2024-07-25T14:13:31.908953,"Epoch 1, Generating tour on test data batch 12"
2024-07-25T14:13:32.330232,"Epoch 1, computing tour length on test data batch 12"
2024-07-25T14:13:32.330754,"Epoch 1, Generating tour on test data batch 13"
2024-07-25T14:13:32.750489,"Epoch 1, computing tour length on test data batch 13"
2024-07-25T14:13:32.750919,"Epoch 1, Generating tour on test data batch 14"
2024-07-25T14:13:33.285229,"Epoch 1, computing tour length on test data batch 14"
2024-07-25T14:13:33.285855,"Epoch 1, Generating tour on test data batch 15"
2024-07-25T14:13:33.774831,"Epoch 1, computing tour length on test data batch 15"
2024-07-25T14:13:33.775333,"Epoch 1, Generating tour on test data batch 16"
2024-07-25T14:13:34.197213,"Epoch 1, computing tour length on test data batch 16"
2024-07-25T14:13:34.197672,"Epoch 1, Generating tour on test data batch 17"
2024-07-25T14:13:34.621474,"Epoch 1, computing tour length on test data batch 17"
2024-07-25T14:13:34.621952,"Epoch 1, Generating tour on test data batch 18"
2024-07-25T14:13:35.043779,"Epoch 1, computing tour length on test data batch 18"
2024-07-25T14:13:35.044218,"Epoch 1, Generating tour on test data batch 19"
2024-07-25T14:13:35.465483,"Epoch 1, computing tour length on test data batch 19"
2024-07-25T14:13:35.465993,Epoch 1 saving checkpoint and updating baseline if train is better
2024-07-25T14:13:35.476358,"Epoch 2, Step 0 start"
2024-07-25T14:13:35.476368,Generating data
2024-07-25T14:13:35.919821,computing tour length of train model
2024-07-25T14:13:35.920087,computing tour length of baseline model
2024-07-25T14:13:36.625247,"Epoch 2, Step 1 start"
