Timestamp,Event
2024-08-06T14:06:31.151566,"Epoch 0, Step 0 start"
2024-08-06T14:06:31.151577,Generating data
2024-08-06T14:06:38.771179,computing tour length of train model
2024-08-06T14:06:38.833382,computing tour length of baseline model
2024-08-06T14:06:48.520002,"Epoch 0, Step 1 start"
2024-08-06T14:06:48.520023,Generating data
2024-08-06T14:06:48.592325,computing tour length of train model
2024-08-06T14:06:48.592561,computing tour length of baseline model
2024-08-06T14:06:48.713903,"Epoch 0, Step 2 start"
2024-08-06T14:06:48.713914,Generating data
2024-08-06T14:06:48.817295,computing tour length of train model
2024-08-06T14:06:48.817704,computing tour length of baseline model
2024-08-06T14:06:49.006723,"Epoch 0, Step 3 start"
2024-08-06T14:06:49.006741,Generating data
2024-08-06T14:06:49.115139,computing tour length of train model
2024-08-06T14:06:49.115553,computing tour length of baseline model
2024-08-06T14:06:49.282285,"Epoch 0, Step 4 start"
2024-08-06T14:06:49.282300,Generating data
2024-08-06T14:06:49.354008,computing tour length of train model
2024-08-06T14:06:49.354260,computing tour length of baseline model
2024-08-06T14:06:49.474696,"Epoch 0, Step 5 start"
2024-08-06T14:06:49.474707,Generating data
2024-08-06T14:06:49.547320,computing tour length of train model
2024-08-06T14:06:49.547560,computing tour length of baseline model
2024-08-06T14:06:49.667804,"Epoch 0, Step 6 start"
2024-08-06T14:06:49.667815,Generating data
2024-08-06T14:06:49.739421,computing tour length of train model
2024-08-06T14:06:49.739656,computing tour length of baseline model
2024-08-06T14:06:49.859669,"Epoch 0, Step 7 start"
2024-08-06T14:06:49.859680,Generating data
2024-08-06T14:06:49.931483,computing tour length of train model
2024-08-06T14:06:49.931718,computing tour length of baseline model
2024-08-06T14:06:50.052464,"Epoch 0, Step 8 start"
2024-08-06T14:06:50.052477,Generating data
2024-08-06T14:06:50.123966,computing tour length of train model
2024-08-06T14:06:50.124201,computing tour length of baseline model
2024-08-06T14:06:50.244807,"Epoch 0, Step 9 start"
2024-08-06T14:06:50.244817,Generating data
2024-08-06T14:06:50.316258,computing tour length of train model
2024-08-06T14:06:50.316492,computing tour length of baseline model
2024-08-06T14:06:50.436760,"Epoch 0, Step 10 start"
2024-08-06T14:06:50.436772,Generating data
2024-08-06T14:06:50.509456,computing tour length of train model
2024-08-06T14:06:50.509722,computing tour length of baseline model
2024-08-06T14:06:50.630951,"Epoch 0, Step 11 start"
2024-08-06T14:06:50.630963,Generating data
2024-08-06T14:06:50.702398,computing tour length of train model
2024-08-06T14:06:50.702640,computing tour length of baseline model
2024-08-06T14:06:50.822720,"Epoch 0, Step 12 start"
2024-08-06T14:06:50.822731,Generating data
2024-08-06T14:06:50.894220,computing tour length of train model
2024-08-06T14:06:50.894458,computing tour length of baseline model
2024-08-06T14:06:51.014717,"Epoch 0, Step 13 start"
2024-08-06T14:06:51.014728,Generating data
2024-08-06T14:06:51.086121,computing tour length of train model
2024-08-06T14:06:51.086373,computing tour length of baseline model
2024-08-06T14:06:51.206875,"Epoch 0, Step 14 start"
2024-08-06T14:06:51.206886,Generating data
2024-08-06T14:06:51.278716,computing tour length of train model
2024-08-06T14:06:51.278951,computing tour length of baseline model
2024-08-06T14:06:51.398674,"Epoch 0, Step 15 start"
2024-08-06T14:06:51.398685,Generating data
2024-08-06T14:06:51.470169,computing tour length of train model
2024-08-06T14:06:51.470415,computing tour length of baseline model
2024-08-06T14:06:51.592660,"Epoch 0, Step 16 start"
2024-08-06T14:06:51.592672,Generating data
2024-08-06T14:06:51.664996,computing tour length of train model
2024-08-06T14:06:51.665245,computing tour length of baseline model
2024-08-06T14:06:51.785578,"Epoch 0, Step 17 start"
2024-08-06T14:06:51.785591,Generating data
2024-08-06T14:06:51.857670,computing tour length of train model
2024-08-06T14:06:51.857906,computing tour length of baseline model
2024-08-06T14:06:51.978147,"Epoch 0, Step 18 start"
2024-08-06T14:06:51.978157,Generating data
2024-08-06T14:06:52.050075,computing tour length of train model
2024-08-06T14:06:52.050320,computing tour length of baseline model
2024-08-06T14:06:52.170374,"Epoch 0, Step 19 start"
2024-08-06T14:06:52.170387,Generating data
2024-08-06T14:06:52.241734,computing tour length of train model
2024-08-06T14:06:52.242000,computing tour length of baseline model
2024-08-06T14:06:52.363231,Testing on test data split 1
2024-08-06T14:06:52.631558,Testing on val data split 1
2024-08-06T14:06:52.862005,Testing on val data split 2
2024-08-06T14:06:53.092426,Testing on val data split 3
2024-08-06T14:06:53.323456,Testing on val data split 4
2024-08-06T14:06:53.554922,Testing on val data split 5
2024-08-06T14:06:53.823176,"Epoch 1, Step 0 start"
2024-08-06T14:06:53.823201,Generating data
2024-08-06T14:06:53.934817,computing tour length of train model
2024-08-06T14:06:53.935181,computing tour length of baseline model
