Timestamp,Event
2024-07-17T05:35:53.252452,"Epoch 0, Step 0 start"
2024-07-17T05:35:53.252471,Generating data
2024-07-17T05:35:53.255487,generating tours of train model
2024-07-17T05:36:03.067568,generating tours of baseline model
2024-07-17T05:36:03.564945,computing tour length of train model
2024-07-17T05:36:03.597227,computing tour length of baseline model
2024-07-17T05:36:03.597729,computing loss and backprop
2024-07-17T05:36:16.588712,"Epoch 0, Step 1 start"
2024-07-17T05:36:16.588751,generating tours of train model
2024-07-17T05:36:16.964355,generating tours of baseline model
2024-07-17T05:36:17.332601,computing tour length of train model
2024-07-17T05:36:17.333038,computing tour length of baseline model
2024-07-17T05:36:17.333385,computing loss and backprop
2024-07-17T05:36:18.109857,"Epoch 0, Step 2 start"
2024-07-17T05:36:18.109883,generating tours of train model
2024-07-17T05:36:18.482834,generating tours of baseline model
2024-07-17T05:36:18.850816,computing tour length of train model
2024-07-17T05:36:18.851206,computing tour length of baseline model
2024-07-17T05:36:18.851545,computing loss and backprop
2024-07-17T05:36:19.624815,"Epoch 0, Step 3 start"
2024-07-17T05:36:19.624831,generating tours of train model
2024-07-17T05:36:19.933218,generating tours of baseline model
2024-07-17T05:36:20.176688,computing tour length of train model
2024-07-17T05:36:20.176930,computing tour length of baseline model
2024-07-17T05:36:20.177151,computing loss and backprop
2024-07-17T05:36:20.684077,"Epoch 0, Step 4 start"
2024-07-17T05:36:20.684093,generating tours of train model
2024-07-17T05:36:20.930623,generating tours of baseline model
2024-07-17T05:36:21.173687,computing tour length of train model
2024-07-17T05:36:21.173925,computing tour length of baseline model
2024-07-17T05:36:21.174148,computing loss and backprop
2024-07-17T05:36:21.686112,"Epoch 0, Step 5 start"
2024-07-17T05:36:21.686128,generating tours of train model
2024-07-17T05:36:21.932729,generating tours of baseline model
2024-07-17T05:36:22.174955,computing tour length of train model
2024-07-17T05:36:22.175204,computing tour length of baseline model
2024-07-17T05:36:22.175432,computing loss and backprop
2024-07-17T05:36:22.682497,"Epoch 0, Step 6 start"
2024-07-17T05:36:22.682512,Generating data
2024-07-17T05:36:22.684618,generating tours of train model
2024-07-17T05:36:22.930053,generating tours of baseline model
2024-07-17T05:36:23.173147,computing tour length of train model
2024-07-17T05:36:23.173380,computing tour length of baseline model
2024-07-17T05:36:23.173602,computing loss and backprop
2024-07-17T05:36:23.683972,"Epoch 0, Step 7 start"
2024-07-17T05:36:23.683987,generating tours of train model
2024-07-17T05:36:23.931651,generating tours of baseline model
2024-07-17T05:36:24.175183,computing tour length of train model
2024-07-17T05:36:24.175415,computing tour length of baseline model
2024-07-17T05:36:24.175632,computing loss and backprop
2024-07-17T05:36:24.684412,"Epoch 0, Step 8 start"
2024-07-17T05:36:24.684427,generating tours of train model
2024-07-17T05:36:24.932241,generating tours of baseline model
2024-07-17T05:36:25.285790,computing tour length of train model
2024-07-17T05:36:25.286055,computing tour length of baseline model
2024-07-17T05:36:25.286281,computing loss and backprop
2024-07-17T05:36:25.800472,"Epoch 0, Step 9 start"
2024-07-17T05:36:25.800486,generating tours of train model
2024-07-17T05:36:26.047914,generating tours of baseline model
2024-07-17T05:36:26.291598,computing tour length of train model
2024-07-17T05:36:26.291839,computing tour length of baseline model
2024-07-17T05:36:26.292069,computing loss and backprop
2024-07-17T05:36:26.800588,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T05:36:27.262654,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T05:36:27.263591,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T05:36:27.732399,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T05:36:27.732900,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T05:36:28.199598,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T05:36:28.200124,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T05:36:28.669381,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T05:36:28.669885,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T05:36:29.137487,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T05:36:29.137992,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T05:36:29.607533,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T05:36:29.608038,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T05:36:30.076577,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T05:36:30.077083,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T05:36:30.547784,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T05:36:30.548284,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T05:36:31.017621,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T05:36:31.018122,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T05:36:31.488655,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T05:36:31.489168,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T05:36:32.046605,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T05:36:32.047170,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T05:36:32.522564,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T05:36:32.523082,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T05:36:32.994333,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T05:36:32.994822,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T05:36:33.465815,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T05:36:33.466310,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T05:36:33.937754,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T05:36:33.938256,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T05:36:34.408361,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T05:36:34.410323,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-17T05:36:34.445989,"Epoch 1, Step 0 start"
2024-07-17T05:36:34.446000,Generating data
2024-07-17T05:36:34.446292,generating tours of train model
2024-07-17T05:36:34.695533,generating tours of baseline model
2024-07-17T05:36:35.043245,computing tour length of train model
2024-07-17T05:36:35.043490,computing tour length of baseline model
2024-07-17T05:36:35.043717,computing loss and backprop
2024-07-17T05:36:35.558600,"Epoch 1, Step 1 start"
2024-07-17T05:36:35.558612,generating tours of train model
2024-07-17T05:36:35.809132,generating tours of baseline model
2024-07-17T05:36:36.054005,computing tour length of train model
2024-07-17T05:36:36.054243,computing tour length of baseline model
2024-07-17T05:36:36.054464,computing loss and backprop
2024-07-17T05:36:36.564761,"Epoch 1, Step 2 start"
2024-07-17T05:36:36.564776,generating tours of train model
2024-07-17T05:36:36.814402,generating tours of baseline model
2024-07-17T05:36:37.059354,computing tour length of train model
2024-07-17T05:36:37.059591,computing tour length of baseline model
2024-07-17T05:36:37.059813,computing loss and backprop
2024-07-17T05:36:37.570970,"Epoch 1, Step 3 start"
2024-07-17T05:36:37.570985,generating tours of train model
2024-07-17T05:36:37.822105,generating tours of baseline model
2024-07-17T05:36:38.066816,computing tour length of train model
2024-07-17T05:36:38.067062,computing tour length of baseline model
2024-07-17T05:36:38.067282,computing loss and backprop
2024-07-17T05:36:38.578181,"Epoch 1, Step 4 start"
2024-07-17T05:36:38.578193,generating tours of train model
2024-07-17T05:36:38.827610,generating tours of baseline model
2024-07-17T05:36:39.072405,computing tour length of train model
2024-07-17T05:36:39.072641,computing tour length of baseline model
2024-07-17T05:36:39.072869,computing loss and backprop
2024-07-17T05:36:39.584403,"Epoch 1, Step 5 start"
2024-07-17T05:36:39.584417,generating tours of train model
2024-07-17T05:36:39.835560,generating tours of baseline model
2024-07-17T05:36:40.081707,computing tour length of train model
2024-07-17T05:36:40.081957,computing tour length of baseline model
2024-07-17T05:36:40.082181,computing loss and backprop
2024-07-17T05:36:40.594136,"Epoch 1, Step 6 start"
2024-07-17T05:36:40.594150,Generating data
2024-07-17T05:36:40.596274,generating tours of train model
2024-07-17T05:36:40.845414,generating tours of baseline model
2024-07-17T05:36:41.091431,computing tour length of train model
2024-07-17T05:36:41.091675,computing tour length of baseline model
2024-07-17T05:36:41.091905,computing loss and backprop
2024-07-17T05:36:41.605983,"Epoch 1, Step 7 start"
2024-07-17T05:36:41.605999,generating tours of train model
2024-07-17T05:36:41.856354,generating tours of baseline model
2024-07-17T05:36:42.101460,computing tour length of train model
2024-07-17T05:36:42.101697,computing tour length of baseline model
2024-07-17T05:36:42.101927,computing loss and backprop
2024-07-17T05:36:42.614375,"Epoch 1, Step 8 start"
2024-07-17T05:36:42.614388,generating tours of train model
2024-07-17T05:36:42.864977,generating tours of baseline model
2024-07-17T05:36:43.110187,computing tour length of train model
2024-07-17T05:36:43.110423,computing tour length of baseline model
2024-07-17T05:36:43.110644,computing loss and backprop
2024-07-17T05:36:43.623244,"Epoch 1, Step 9 start"
2024-07-17T05:36:43.623256,generating tours of train model
2024-07-17T05:36:43.873640,generating tours of baseline model
2024-07-17T05:36:44.120231,computing tour length of train model
2024-07-17T05:36:44.120495,computing tour length of baseline model
2024-07-17T05:36:44.120725,computing loss and backprop
2024-07-17T05:36:44.633524,"Epoch 1, Generating tour on test data batch 0"
2024-07-17T05:36:45.222455,"Epoch 1, computing tour length on test data batch 0"
2024-07-17T05:36:45.224051,"Epoch 1, Generating tour on test data batch 1"
2024-07-17T05:36:45.701478,"Epoch 1, computing tour length on test data batch 1"
2024-07-17T05:36:45.701987,"Epoch 1, Generating tour on test data batch 2"
2024-07-17T05:36:46.174323,"Epoch 1, computing tour length on test data batch 2"
2024-07-17T05:36:46.174814,"Epoch 1, Generating tour on test data batch 3"
2024-07-17T05:36:46.646719,"Epoch 1, computing tour length on test data batch 3"
2024-07-17T05:36:46.647217,"Epoch 1, Generating tour on test data batch 4"
2024-07-17T05:36:47.119790,"Epoch 1, computing tour length on test data batch 4"
2024-07-17T05:36:47.120288,"Epoch 1, Generating tour on test data batch 5"
2024-07-17T05:36:47.593341,"Epoch 1, computing tour length on test data batch 5"
2024-07-17T05:36:47.593832,"Epoch 1, Generating tour on test data batch 6"
2024-07-17T05:36:48.065858,"Epoch 1, computing tour length on test data batch 6"
2024-07-17T05:36:48.066346,"Epoch 1, Generating tour on test data batch 7"
2024-07-17T05:36:48.539344,"Epoch 1, computing tour length on test data batch 7"
2024-07-17T05:36:48.539930,"Epoch 1, Generating tour on test data batch 8"
2024-07-17T05:36:49.012225,"Epoch 1, computing tour length on test data batch 8"
2024-07-17T05:36:49.012711,"Epoch 1, Generating tour on test data batch 9"
2024-07-17T05:36:49.484939,"Epoch 1, computing tour length on test data batch 9"
2024-07-17T05:36:49.485424,"Epoch 1, Generating tour on test data batch 10"
2024-07-17T05:36:49.959007,"Epoch 1, computing tour length on test data batch 10"
2024-07-17T05:36:49.959498,"Epoch 1, Generating tour on test data batch 11"
2024-07-17T05:36:50.431277,"Epoch 1, computing tour length on test data batch 11"
2024-07-17T05:36:50.431764,"Epoch 1, Generating tour on test data batch 12"
2024-07-17T05:36:50.905587,"Epoch 1, computing tour length on test data batch 12"
2024-07-17T05:36:50.906086,"Epoch 1, Generating tour on test data batch 13"
2024-07-17T05:36:51.469028,"Epoch 1, computing tour length on test data batch 13"
2024-07-17T05:36:51.469661,"Epoch 1, Generating tour on test data batch 14"
2024-07-17T05:36:51.941954,"Epoch 1, computing tour length on test data batch 14"
2024-07-17T05:36:51.942448,"Epoch 1, Generating tour on test data batch 15"
2024-07-17T05:36:52.418104,"Epoch 1, computing tour length on test data batch 15"
2024-07-17T05:36:52.419119,Epoch 1 saving checkpoint and updating baseline if train is better
