Timestamp,Event
2024-07-17T05:21:52.232772,"Epoch 0, Step 0 start"
2024-07-17T05:21:52.232791,Generating data
2024-07-17T05:21:52.235718,generating tours of train model
2024-07-17T05:22:01.864783,generating tours of baseline model
2024-07-17T05:22:02.343546,computing tour length of train model
2024-07-17T05:22:02.375831,computing tour length of baseline model
2024-07-17T05:22:02.376338,computing loss and backprop
2024-07-17T05:22:15.225922,"Epoch 0, Step 1 start"
2024-07-17T05:22:15.225958,generating tours of train model
2024-07-17T05:22:15.604115,generating tours of baseline model
2024-07-17T05:22:15.976658,computing tour length of train model
2024-07-17T05:22:15.977103,computing tour length of baseline model
2024-07-17T05:22:15.977446,computing loss and backprop
2024-07-17T05:22:16.759169,"Epoch 0, Step 2 start"
2024-07-17T05:22:16.759186,generating tours of train model
2024-07-17T05:22:17.132208,generating tours of baseline model
2024-07-17T05:22:17.501076,computing tour length of train model
2024-07-17T05:22:17.501457,computing tour length of baseline model
2024-07-17T05:22:17.501789,computing loss and backprop
2024-07-17T05:22:18.240855,"Epoch 0, Step 3 start"
2024-07-17T05:22:18.240870,generating tours of train model
2024-07-17T05:22:18.487993,generating tours of baseline model
2024-07-17T05:22:18.731310,computing tour length of train model
2024-07-17T05:22:18.731544,computing tour length of baseline model
2024-07-17T05:22:18.731761,computing loss and backprop
2024-07-17T05:22:19.242587,"Epoch 0, Step 4 start"
2024-07-17T05:22:19.242602,generating tours of train model
2024-07-17T05:22:19.489443,generating tours of baseline model
2024-07-17T05:22:19.732679,computing tour length of train model
2024-07-17T05:22:19.732918,computing tour length of baseline model
2024-07-17T05:22:19.733137,computing loss and backprop
2024-07-17T05:22:20.246209,"Epoch 0, Step 5 start"
2024-07-17T05:22:20.246224,generating tours of train model
2024-07-17T05:22:20.493216,generating tours of baseline model
2024-07-17T05:22:20.736318,computing tour length of train model
2024-07-17T05:22:20.736562,computing tour length of baseline model
2024-07-17T05:22:20.736784,computing loss and backprop
2024-07-17T05:22:21.245377,"Epoch 0, Step 6 start"
2024-07-17T05:22:21.245391,Generating data
2024-07-17T05:22:21.247368,generating tours of train model
2024-07-17T05:22:21.492238,generating tours of baseline model
2024-07-17T05:22:21.735473,computing tour length of train model
2024-07-17T05:22:21.735705,computing tour length of baseline model
2024-07-17T05:22:21.735931,computing loss and backprop
2024-07-17T05:22:22.245430,"Epoch 0, Step 7 start"
2024-07-17T05:22:22.245444,generating tours of train model
2024-07-17T05:22:22.492570,generating tours of baseline model
2024-07-17T05:22:22.735882,computing tour length of train model
2024-07-17T05:22:22.736113,computing tour length of baseline model
2024-07-17T05:22:22.736328,computing loss and backprop
2024-07-17T05:22:23.244870,"Epoch 0, Step 8 start"
2024-07-17T05:22:23.244885,generating tours of train model
2024-07-17T05:22:23.492026,generating tours of baseline model
2024-07-17T05:22:23.845084,computing tour length of train model
2024-07-17T05:22:23.845336,computing tour length of baseline model
2024-07-17T05:22:23.845559,computing loss and backprop
2024-07-17T05:22:24.363683,"Epoch 0, Step 9 start"
2024-07-17T05:22:24.363699,generating tours of train model
2024-07-17T05:22:24.611783,generating tours of baseline model
2024-07-17T05:22:24.855991,computing tour length of train model
2024-07-17T05:22:24.856232,computing tour length of baseline model
2024-07-17T05:22:24.856449,computing loss and backprop
2024-07-17T05:22:25.367524,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T05:22:25.832354,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T05:22:25.833098,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T05:22:26.299870,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T05:22:26.300355,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T05:22:26.769068,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T05:22:26.769554,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T05:22:27.237241,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T05:22:27.237724,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T05:22:27.706479,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T05:22:27.706977,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T05:22:28.175952,"Epoch 0, computing tour length on test data batch 5"
