Timestamp,Event
2024-07-17T05:04:45.715492,"Epoch 0, Step 0 start"
2024-07-17T05:04:45.715510,Generating data
2024-07-17T05:04:45.718107,generating tours of train model
2024-07-17T05:04:55.431413,generating tours of baseline model
2024-07-17T05:04:55.765394,computing tour length of train model
2024-07-17T05:04:55.798123,computing tour length of baseline model
2024-07-17T05:04:55.798625,computing loss and backprop
2024-07-17T05:05:08.464942,"Epoch 0, Step 1 start"
2024-07-17T05:05:08.464983,generating tours of train model
2024-07-17T05:05:08.773868,generating tours of baseline model
2024-07-17T05:05:09.079479,computing tour length of train model
2024-07-17T05:05:09.079914,computing tour length of baseline model
2024-07-17T05:05:09.080257,computing loss and backprop
2024-07-17T05:05:09.747800,"Epoch 0, Step 2 start"
2024-07-17T05:05:09.747820,generating tours of train model
2024-07-17T05:05:10.054811,generating tours of baseline model
2024-07-17T05:05:10.359684,computing tour length of train model
2024-07-17T05:05:10.360037,computing tour length of baseline model
2024-07-17T05:05:10.360366,computing loss and backprop
2024-07-17T05:05:11.027493,"Epoch 0, Step 3 start"
2024-07-17T05:05:11.027514,generating tours of train model
2024-07-17T05:05:11.333439,generating tours of baseline model
2024-07-17T05:05:11.562657,computing tour length of train model
2024-07-17T05:05:11.562915,computing tour length of baseline model
2024-07-17T05:05:11.563136,computing loss and backprop
2024-07-17T05:05:11.999485,"Epoch 0, Step 4 start"
2024-07-17T05:05:11.999501,generating tours of train model
2024-07-17T05:05:12.201315,generating tours of baseline model
2024-07-17T05:05:12.401825,computing tour length of train model
2024-07-17T05:05:12.402063,computing tour length of baseline model
2024-07-17T05:05:12.402281,computing loss and backprop
2024-07-17T05:05:12.837450,"Epoch 0, Step 5 start"
2024-07-17T05:05:12.837465,generating tours of train model
2024-07-17T05:05:13.039785,generating tours of baseline model
2024-07-17T05:05:13.240412,computing tour length of train model
2024-07-17T05:05:13.240647,computing tour length of baseline model
2024-07-17T05:05:13.240886,computing loss and backprop
2024-07-17T05:05:13.678908,"Epoch 0, Step 6 start"
2024-07-17T05:05:13.678922,Generating data
2024-07-17T05:05:13.680006,generating tours of train model
2024-07-17T05:05:13.881126,generating tours of baseline model
2024-07-17T05:05:14.081814,computing tour length of train model
2024-07-17T05:05:14.082060,computing tour length of baseline model
2024-07-17T05:05:14.082280,computing loss and backprop
2024-07-17T05:05:14.518336,"Epoch 0, Step 7 start"
2024-07-17T05:05:14.518351,generating tours of train model
2024-07-17T05:05:14.720081,generating tours of baseline model
2024-07-17T05:05:14.920062,computing tour length of train model
2024-07-17T05:05:14.920290,computing tour length of baseline model
2024-07-17T05:05:14.920505,computing loss and backprop
2024-07-17T05:05:15.355815,"Epoch 0, Step 8 start"
2024-07-17T05:05:15.355830,generating tours of train model
2024-07-17T05:05:15.557798,generating tours of baseline model
2024-07-17T05:05:15.757580,computing tour length of train model
2024-07-17T05:05:15.757805,computing tour length of baseline model
2024-07-17T05:05:15.758032,computing loss and backprop
2024-07-17T05:05:16.193764,"Epoch 0, Step 9 start"
2024-07-17T05:05:16.193779,generating tours of train model
2024-07-17T05:05:16.395813,generating tours of baseline model
2024-07-17T05:05:16.596271,computing tour length of train model
2024-07-17T05:05:16.596504,computing tour length of baseline model
2024-07-17T05:05:16.596720,computing loss and backprop
2024-07-17T05:05:17.033223,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T05:05:17.406516,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T05:05:17.407101,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T05:05:17.782933,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T05:05:17.783413,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T05:05:18.160951,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T05:05:18.161425,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T05:05:18.539516,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T05:05:18.540004,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T05:05:18.916355,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T05:05:18.916833,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T05:05:19.293676,"Epoch 0, computing tour length on test data batch 5"
