Timestamp,Event
2024-07-17T05:47:50.609457,"Epoch 0, Step 0 start"
2024-07-17T05:47:50.609474,Generating data
2024-07-17T05:47:50.612126,generating tours of train model
2024-07-17T05:48:00.294746,generating tours of baseline model
2024-07-17T05:48:00.651304,computing tour length of train model
2024-07-17T05:48:00.683895,computing tour length of baseline model
2024-07-17T05:48:00.684400,computing loss and backprop
2024-07-17T05:48:13.408075,"Epoch 0, Step 1 start"
2024-07-17T05:48:13.408121,generating tours of train model
2024-07-17T05:48:13.721001,generating tours of baseline model
2024-07-17T05:48:14.029440,computing tour length of train model
2024-07-17T05:48:14.029875,computing tour length of baseline model
2024-07-17T05:48:14.030221,computing loss and backprop
2024-07-17T05:48:14.702105,"Epoch 0, Step 2 start"
2024-07-17T05:48:14.702121,generating tours of train model
2024-07-17T05:48:15.012791,generating tours of baseline model
2024-07-17T05:48:15.319086,computing tour length of train model
2024-07-17T05:48:15.319432,computing tour length of baseline model
2024-07-17T05:48:15.319765,computing loss and backprop
2024-07-17T05:48:15.990401,"Epoch 0, Step 3 start"
2024-07-17T05:48:15.990424,generating tours of train model
2024-07-17T05:48:16.300556,generating tours of baseline model
2024-07-17T05:48:16.596628,computing tour length of train model
2024-07-17T05:48:16.596883,computing tour length of baseline model
2024-07-17T05:48:16.597108,computing loss and backprop
2024-07-17T05:48:17.036746,"Epoch 0, Step 4 start"
2024-07-17T05:48:17.036762,generating tours of train model
2024-07-17T05:48:17.241217,generating tours of baseline model
2024-07-17T05:48:17.443744,computing tour length of train model
2024-07-17T05:48:17.443982,computing tour length of baseline model
2024-07-17T05:48:17.444204,computing loss and backprop
2024-07-17T05:48:17.883283,"Epoch 0, Step 5 start"
2024-07-17T05:48:17.883297,generating tours of train model
2024-07-17T05:48:18.087403,generating tours of baseline model
2024-07-17T05:48:18.289579,computing tour length of train model
2024-07-17T05:48:18.289807,computing tour length of baseline model
2024-07-17T05:48:18.290038,computing loss and backprop
2024-07-17T05:48:18.731875,"Epoch 0, Step 6 start"
2024-07-17T05:48:18.731889,Generating data
2024-07-17T05:48:18.733189,generating tours of train model
2024-07-17T05:48:18.936883,generating tours of baseline model
2024-07-17T05:48:19.138913,computing tour length of train model
2024-07-17T05:48:19.139155,computing tour length of baseline model
2024-07-17T05:48:19.139377,computing loss and backprop
2024-07-17T05:48:19.578260,"Epoch 0, Step 7 start"
2024-07-17T05:48:19.578275,generating tours of train model
2024-07-17T05:48:19.783025,generating tours of baseline model
2024-07-17T05:48:19.985636,computing tour length of train model
2024-07-17T05:48:19.985869,computing tour length of baseline model
2024-07-17T05:48:19.986093,computing loss and backprop
2024-07-17T05:48:20.426149,"Epoch 0, Step 8 start"
2024-07-17T05:48:20.426163,generating tours of train model
2024-07-17T05:48:20.630267,generating tours of baseline model
2024-07-17T05:48:20.832575,computing tour length of train model
2024-07-17T05:48:20.832800,computing tour length of baseline model
2024-07-17T05:48:20.833108,computing loss and backprop
2024-07-17T05:48:21.272311,"Epoch 0, Step 9 start"
2024-07-17T05:48:21.272326,generating tours of train model
2024-07-17T05:48:21.476526,generating tours of baseline model
2024-07-17T05:48:21.678799,computing tour length of train model
2024-07-17T05:48:21.679033,computing tour length of baseline model
2024-07-17T05:48:21.679252,computing loss and backprop
2024-07-17T05:48:22.121484,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T05:48:22.498812,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T05:48:22.499418,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T05:48:22.879364,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T05:48:22.879854,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T05:48:23.259063,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T05:48:23.259542,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T05:48:23.639709,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T05:48:23.640204,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T05:48:24.019928,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T05:48:24.020409,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T05:48:24.400888,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T05:48:24.401364,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T05:48:24.782744,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T05:48:24.783236,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T05:48:25.275761,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T05:48:25.276299,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T05:48:25.660629,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T05:48:25.661125,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T05:48:26.042142,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T05:48:26.042619,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T05:48:26.423972,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T05:48:26.424453,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T05:48:26.805578,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T05:48:26.806066,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T05:48:27.187294,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T05:48:27.187860,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T05:48:27.568860,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T05:48:27.569337,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T05:48:27.950477,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T05:48:27.950966,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T05:48:28.332216,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T05:48:28.332685,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T05:48:28.714290,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T05:48:28.714759,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T05:48:29.096799,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T05:48:29.097281,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T05:48:29.482442,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T05:48:29.482963,"Epoch 0, Generating tour on test data batch 19"
