Timestamp,Event
2024-07-17T06:03:32.072530,"Epoch 0, Step 0 start"
2024-07-17T06:03:32.072548,Generating data
2024-07-17T06:03:32.074822,generating tours of train model
2024-07-17T06:03:41.869309,generating tours of baseline model
2024-07-17T06:03:42.279609,computing tour length of train model
2024-07-17T06:03:42.311594,computing tour length of baseline model
2024-07-17T06:03:42.312104,computing loss and backprop
2024-07-17T06:03:55.004582,"Epoch 0, Step 1 start"
2024-07-17T06:03:55.004623,generating tours of train model
2024-07-17T06:03:55.333980,generating tours of baseline model
2024-07-17T06:03:55.656352,computing tour length of train model
2024-07-17T06:03:55.656790,computing tour length of baseline model
2024-07-17T06:03:55.657145,computing loss and backprop
2024-07-17T06:03:56.221526,"Epoch 0, Step 2 start"
2024-07-17T06:03:56.221551,generating tours of train model
2024-07-17T06:03:56.547708,generating tours of baseline model
2024-07-17T06:03:56.870463,computing tour length of train model
2024-07-17T06:03:56.870856,computing tour length of baseline model
2024-07-17T06:03:56.871201,computing loss and backprop
2024-07-17T06:03:57.435299,"Epoch 0, Step 3 start"
2024-07-17T06:03:57.435316,generating tours of train model
2024-07-17T06:03:57.761357,generating tours of baseline model
2024-07-17T06:03:58.084823,computing tour length of train model
2024-07-17T06:03:58.085176,computing tour length of baseline model
2024-07-17T06:03:58.085508,computing loss and backprop
2024-07-17T06:03:58.502586,"Epoch 0, Step 4 start"
2024-07-17T06:03:58.502601,generating tours of train model
2024-07-17T06:03:58.720718,generating tours of baseline model
2024-07-17T06:03:58.936597,computing tour length of train model
2024-07-17T06:03:58.936836,computing tour length of baseline model
2024-07-17T06:03:58.937067,computing loss and backprop
2024-07-17T06:03:59.311726,"Epoch 0, Step 5 start"
2024-07-17T06:03:59.311741,generating tours of train model
2024-07-17T06:03:59.529634,generating tours of baseline model
2024-07-17T06:03:59.745443,computing tour length of train model
2024-07-17T06:03:59.745703,computing tour length of baseline model
2024-07-17T06:03:59.745936,computing loss and backprop
2024-07-17T06:04:00.118555,"Epoch 0, Step 6 start"
2024-07-17T06:04:00.118570,Generating data
2024-07-17T06:04:00.119435,generating tours of train model
2024-07-17T06:04:00.336728,generating tours of baseline model
2024-07-17T06:04:00.552201,computing tour length of train model
2024-07-17T06:04:00.552438,computing tour length of baseline model
2024-07-17T06:04:00.552656,computing loss and backprop
2024-07-17T06:04:00.926933,"Epoch 0, Step 7 start"
2024-07-17T06:04:00.926948,generating tours of train model
2024-07-17T06:04:01.145096,generating tours of baseline model
2024-07-17T06:04:01.360902,computing tour length of train model
2024-07-17T06:04:01.361142,computing tour length of baseline model
2024-07-17T06:04:01.361364,computing loss and backprop
2024-07-17T06:04:01.734108,"Epoch 0, Step 8 start"
2024-07-17T06:04:01.734124,generating tours of train model
2024-07-17T06:04:01.951647,generating tours of baseline model
2024-07-17T06:04:02.167329,computing tour length of train model
2024-07-17T06:04:02.167566,computing tour length of baseline model
2024-07-17T06:04:02.167785,computing loss and backprop
2024-07-17T06:04:02.540900,"Epoch 0, Step 9 start"
2024-07-17T06:04:02.540915,generating tours of train model
2024-07-17T06:04:02.758852,generating tours of baseline model
2024-07-17T06:04:02.974293,computing tour length of train model
2024-07-17T06:04:02.974532,computing tour length of baseline model
2024-07-17T06:04:02.974752,computing loss and backprop
2024-07-17T06:04:03.351181,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T06:04:03.722770,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T06:04:03.723629,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T06:04:04.099964,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T06:04:04.100456,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T06:04:04.477049,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T06:04:04.477536,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T06:04:04.855187,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T06:04:04.855684,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T06:04:05.234388,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T06:04:05.234881,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T06:04:05.614443,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T06:04:05.614940,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T06:04:06.109263,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T06:04:06.109800,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T06:04:06.490332,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T06:04:06.490827,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T06:04:06.869747,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T06:04:06.870255,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T06:04:07.249077,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T06:04:07.249566,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T06:04:07.627986,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T06:04:07.628478,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T06:04:08.006268,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T06:04:08.006752,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T06:04:08.384929,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T06:04:08.385412,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T06:04:08.763341,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T06:04:08.763836,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T06:04:09.142120,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T06:04:09.142602,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T06:04:09.521438,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T06:04:09.521932,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T06:04:09.899780,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T06:04:09.900271,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T06:04:10.278545,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T06:04:10.279044,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T06:04:10.657870,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T06:04:10.658357,"Epoch 0, Generating tour on test data batch 19"
2024-07-17T06:04:11.036622,"Epoch 0, computing tour length on test data batch 19"
2024-07-17T06:04:11.037115,"Epoch 0, Generating tour on test data batch 20"
2024-07-17T06:04:11.415681,"Epoch 0, computing tour length on test data batch 20"
2024-07-17T06:04:11.416285,"Epoch 0, Generating tour on test data batch 21"
2024-07-17T06:04:11.794417,"Epoch 0, computing tour length on test data batch 21"
2024-07-17T06:04:11.794918,"Epoch 0, Generating tour on test data batch 22"
2024-07-17T06:04:12.259988,"Epoch 0, computing tour length on test data batch 22"
2024-07-17T06:04:12.260520,"Epoch 0, Generating tour on test data batch 23"
2024-07-17T06:04:12.639548,"Epoch 0, computing tour length on test data batch 23"
2024-07-17T06:04:12.640044,"Epoch 0, Generating tour on test data batch 24"
2024-07-17T06:04:13.018417,"Epoch 0, computing tour length on test data batch 24"
2024-07-17T06:04:13.018920,"Epoch 0, Generating tour on test data batch 25"
2024-07-17T06:04:13.397948,"Epoch 0, computing tour length on test data batch 25"
2024-07-17T06:04:13.398436,"Epoch 0, Generating tour on test data batch 26"
2024-07-17T06:04:13.781213,"Epoch 0, computing tour length on test data batch 26"
2024-07-17T06:04:13.781727,"Epoch 0, Generating tour on test data batch 27"
2024-07-17T06:04:14.159763,"Epoch 0, computing tour length on test data batch 27"
2024-07-17T06:04:14.160256,"Epoch 0, Generating tour on test data batch 28"
2024-07-17T06:04:14.538058,"Epoch 0, computing tour length on test data batch 28"
2024-07-17T06:04:14.538544,"Epoch 0, Generating tour on test data batch 29"
2024-07-17T06:04:14.916903,"Epoch 0, computing tour length on test data batch 29"
2024-07-17T06:04:14.917397,"Epoch 0, Generating tour on test data batch 30"
2024-07-17T06:04:15.296538,"Epoch 0, computing tour length on test data batch 30"
2024-07-17T06:04:15.297038,"Epoch 0, Generating tour on test data batch 31"
2024-07-17T06:04:15.675157,"Epoch 0, computing tour length on test data batch 31"
2024-07-17T06:04:15.675647,"Epoch 0, Generating tour on test data batch 32"
2024-07-17T06:04:16.053554,"Epoch 0, computing tour length on test data batch 32"
2024-07-17T06:04:16.054050,"Epoch 0, Generating tour on test data batch 33"
2024-07-17T06:04:16.433210,"Epoch 0, computing tour length on test data batch 33"
2024-07-17T06:04:16.433695,"Epoch 0, Generating tour on test data batch 34"
2024-07-17T06:04:16.811866,"Epoch 0, computing tour length on test data batch 34"
2024-07-17T06:04:16.812348,"Epoch 0, Generating tour on test data batch 35"
2024-07-17T06:04:17.191157,"Epoch 0, computing tour length on test data batch 35"
2024-07-17T06:04:17.191646,"Epoch 0, Generating tour on test data batch 36"
2024-07-17T06:04:17.570159,"Epoch 0, computing tour length on test data batch 36"
2024-07-17T06:04:17.570643,"Epoch 0, Generating tour on test data batch 37"
2024-07-17T06:04:18.055280,"Epoch 0, computing tour length on test data batch 37"
2024-07-17T06:04:18.055807,"Epoch 0, Generating tour on test data batch 38"
2024-07-17T06:04:18.435895,"Epoch 0, computing tour length on test data batch 38"
2024-07-17T06:04:18.436386,"Epoch 0, Generating tour on test data batch 39"
2024-07-17T06:04:18.815797,"Epoch 0, computing tour length on test data batch 39"
2024-07-17T06:04:18.817606,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-17T06:04:18.828289,"Epoch 1, Step 0 start"
2024-07-17T06:04:18.828298,Generating data
2024-07-17T06:04:18.828490,generating tours of train model
2024-07-17T06:04:19.047765,generating tours of baseline model
2024-07-17T06:04:19.327934,computing tour length of train model
2024-07-17T06:04:19.328183,computing tour length of baseline model
2024-07-17T06:04:19.328415,computing loss and backprop
2024-07-17T06:04:19.703816,"Epoch 1, Step 1 start"
2024-07-17T06:04:19.703827,generating tours of train model
2024-07-17T06:04:19.923460,generating tours of baseline model
2024-07-17T06:04:20.140606,computing tour length of train model
2024-07-17T06:04:20.140842,computing tour length of baseline model
2024-07-17T06:04:20.141072,computing loss and backprop
2024-07-17T06:04:20.515208,"Epoch 1, Step 2 start"
2024-07-17T06:04:20.515224,generating tours of train model
2024-07-17T06:04:20.735205,generating tours of baseline model
2024-07-17T06:04:20.952290,computing tour length of train model
2024-07-17T06:04:20.952528,computing tour length of baseline model
2024-07-17T06:04:20.952750,computing loss and backprop
2024-07-17T06:04:21.326962,"Epoch 1, Step 3 start"
2024-07-17T06:04:21.326977,generating tours of train model
2024-07-17T06:04:21.546168,generating tours of baseline model
2024-07-17T06:04:21.762708,computing tour length of train model
2024-07-17T06:04:21.762953,computing tour length of baseline model
2024-07-17T06:04:21.763178,computing loss and backprop
2024-07-17T06:04:22.136814,"Epoch 1, Step 4 start"
2024-07-17T06:04:22.136828,generating tours of train model
2024-07-17T06:04:22.357117,generating tours of baseline model
2024-07-17T06:04:22.575709,computing tour length of train model
2024-07-17T06:04:22.575966,computing tour length of baseline model
2024-07-17T06:04:22.576189,computing loss and backprop
2024-07-17T06:04:22.949132,"Epoch 1, Step 5 start"
2024-07-17T06:04:22.949146,generating tours of train model
2024-07-17T06:04:23.169436,generating tours of baseline model
2024-07-17T06:04:23.386999,computing tour length of train model
2024-07-17T06:04:23.387240,computing tour length of baseline model
2024-07-17T06:04:23.387461,computing loss and backprop
2024-07-17T06:04:23.760296,"Epoch 1, Step 6 start"
2024-07-17T06:04:23.760309,Generating data
2024-07-17T06:04:23.761242,generating tours of train model
2024-07-17T06:04:23.980579,generating tours of baseline model
2024-07-17T06:04:24.198134,computing tour length of train model
2024-07-17T06:04:24.198371,computing tour length of baseline model
2024-07-17T06:04:24.198590,computing loss and backprop
2024-07-17T06:04:24.572795,"Epoch 1, Step 7 start"
2024-07-17T06:04:24.572810,generating tours of train model
2024-07-17T06:04:24.793559,generating tours of baseline model
2024-07-17T06:04:25.010641,computing tour length of train model
2024-07-17T06:04:25.010887,computing tour length of baseline model
2024-07-17T06:04:25.011110,computing loss and backprop
2024-07-17T06:04:25.386368,"Epoch 1, Step 8 start"
2024-07-17T06:04:25.386384,generating tours of train model
2024-07-17T06:04:25.606973,generating tours of baseline model
2024-07-17T06:04:25.823926,computing tour length of train model
2024-07-17T06:04:25.824167,computing tour length of baseline model
2024-07-17T06:04:25.824390,computing loss and backprop
2024-07-17T06:04:26.198894,"Epoch 1, Step 9 start"
2024-07-17T06:04:26.198909,generating tours of train model
2024-07-17T06:04:26.419539,generating tours of baseline model
2024-07-17T06:04:26.636628,computing tour length of train model
2024-07-17T06:04:26.636869,computing tour length of baseline model
2024-07-17T06:04:26.637091,computing loss and backprop
2024-07-17T06:04:27.011652,"Epoch 1, Generating tour on test data batch 0"
2024-07-17T06:04:27.394924,"Epoch 1, computing tour length on test data batch 0"
2024-07-17T06:04:27.395874,"Epoch 1, Generating tour on test data batch 1"
2024-07-17T06:04:27.777302,"Epoch 1, computing tour length on test data batch 1"
2024-07-17T06:04:27.777794,"Epoch 1, Generating tour on test data batch 2"
2024-07-17T06:04:28.158110,"Epoch 1, computing tour length on test data batch 2"
2024-07-17T06:04:28.158595,"Epoch 1, Generating tour on test data batch 3"
2024-07-17T06:04:28.540419,"Epoch 1, computing tour length on test data batch 3"
2024-07-17T06:04:28.540915,"Epoch 1, Generating tour on test data batch 4"
2024-07-17T06:04:28.921411,"Epoch 1, computing tour length on test data batch 4"
2024-07-17T06:04:28.921909,"Epoch 1, Generating tour on test data batch 5"
2024-07-17T06:04:29.303135,"Epoch 1, computing tour length on test data batch 5"
2024-07-17T06:04:29.303622,"Epoch 1, Generating tour on test data batch 6"
2024-07-17T06:04:29.684755,"Epoch 1, computing tour length on test data batch 6"
2024-07-17T06:04:29.685248,"Epoch 1, Generating tour on test data batch 7"
2024-07-17T06:04:30.066047,"Epoch 1, computing tour length on test data batch 7"
2024-07-17T06:04:30.066537,"Epoch 1, Generating tour on test data batch 8"
2024-07-17T06:04:30.447696,"Epoch 1, computing tour length on test data batch 8"
2024-07-17T06:04:30.448194,"Epoch 1, Generating tour on test data batch 9"
2024-07-17T06:04:30.828573,"Epoch 1, computing tour length on test data batch 9"
2024-07-17T06:04:30.829067,"Epoch 1, Generating tour on test data batch 10"
2024-07-17T06:04:31.210375,"Epoch 1, computing tour length on test data batch 10"
2024-07-17T06:04:31.210884,"Epoch 1, Generating tour on test data batch 11"
2024-07-17T06:04:31.592711,"Epoch 1, computing tour length on test data batch 11"
2024-07-17T06:04:31.593214,"Epoch 1, Generating tour on test data batch 12"
2024-07-17T06:04:32.063809,"Epoch 1, computing tour length on test data batch 12"
2024-07-17T06:04:32.064335,"Epoch 1, Generating tour on test data batch 13"
2024-07-17T06:04:32.446758,"Epoch 1, computing tour length on test data batch 13"
2024-07-17T06:04:32.447260,"Epoch 1, Generating tour on test data batch 14"
2024-07-17T06:04:32.828187,"Epoch 1, computing tour length on test data batch 14"
2024-07-17T06:04:32.828675,"Epoch 1, Generating tour on test data batch 15"
2024-07-17T06:04:33.209724,"Epoch 1, computing tour length on test data batch 15"
2024-07-17T06:04:33.210216,"Epoch 1, Generating tour on test data batch 16"
2024-07-17T06:04:33.591606,"Epoch 1, computing tour length on test data batch 16"
2024-07-17T06:04:33.592104,"Epoch 1, Generating tour on test data batch 17"
2024-07-17T06:04:33.972788,"Epoch 1, computing tour length on test data batch 17"
2024-07-17T06:04:33.973284,"Epoch 1, Generating tour on test data batch 18"
2024-07-17T06:04:34.354872,"Epoch 1, computing tour length on test data batch 18"
2024-07-17T06:04:34.355359,"Epoch 1, Generating tour on test data batch 19"
2024-07-17T06:04:34.738566,"Epoch 1, computing tour length on test data batch 19"
2024-07-17T06:04:34.739097,"Epoch 1, Generating tour on test data batch 20"
2024-07-17T06:04:35.121836,"Epoch 1, computing tour length on test data batch 20"
2024-07-17T06:04:35.122324,"Epoch 1, Generating tour on test data batch 21"
2024-07-17T06:04:35.503584,"Epoch 1, computing tour length on test data batch 21"
2024-07-17T06:04:35.504082,"Epoch 1, Generating tour on test data batch 22"
2024-07-17T06:04:35.885042,"Epoch 1, computing tour length on test data batch 22"
2024-07-17T06:04:35.885534,"Epoch 1, Generating tour on test data batch 23"
2024-07-17T06:04:36.267355,"Epoch 1, computing tour length on test data batch 23"
2024-07-17T06:04:36.267851,"Epoch 1, Generating tour on test data batch 24"
2024-07-17T06:04:36.649189,"Epoch 1, computing tour length on test data batch 24"
2024-07-17T06:04:36.649669,"Epoch 1, Generating tour on test data batch 25"
2024-07-17T06:04:37.030473,"Epoch 1, computing tour length on test data batch 25"
2024-07-17T06:04:37.030962,"Epoch 1, Generating tour on test data batch 26"
2024-07-17T06:04:37.413603,"Epoch 1, computing tour length on test data batch 26"
2024-07-17T06:04:37.414117,"Epoch 1, Generating tour on test data batch 27"
2024-07-17T06:04:37.795396,"Epoch 1, computing tour length on test data batch 27"
2024-07-17T06:04:37.795897,"Epoch 1, Generating tour on test data batch 28"
2024-07-17T06:04:38.271300,"Epoch 1, computing tour length on test data batch 28"
2024-07-17T06:04:38.271826,"Epoch 1, Generating tour on test data batch 29"
2024-07-17T06:04:38.653418,"Epoch 1, computing tour length on test data batch 29"
2024-07-17T06:04:38.653921,"Epoch 1, Generating tour on test data batch 30"
2024-07-17T06:04:39.033902,"Epoch 1, computing tour length on test data batch 30"
2024-07-17T06:04:39.034393,"Epoch 1, Generating tour on test data batch 31"
2024-07-17T06:04:39.415320,"Epoch 1, computing tour length on test data batch 31"
2024-07-17T06:04:39.415814,"Epoch 1, Generating tour on test data batch 32"
2024-07-17T06:04:39.796459,"Epoch 1, computing tour length on test data batch 32"
2024-07-17T06:04:39.796961,"Epoch 1, Generating tour on test data batch 33"
2024-07-17T06:04:40.177469,"Epoch 1, computing tour length on test data batch 33"
2024-07-17T06:04:40.177965,"Epoch 1, Generating tour on test data batch 34"
2024-07-17T06:04:40.558799,"Epoch 1, computing tour length on test data batch 34"
2024-07-17T06:04:40.559293,"Epoch 1, Generating tour on test data batch 35"
2024-07-17T06:04:40.939874,"Epoch 1, computing tour length on test data batch 35"
2024-07-17T06:04:40.940363,"Epoch 1, Generating tour on test data batch 36"
2024-07-17T06:04:41.321101,"Epoch 1, computing tour length on test data batch 36"
2024-07-17T06:04:41.321595,"Epoch 1, Generating tour on test data batch 37"
2024-07-17T06:04:41.702381,"Epoch 1, computing tour length on test data batch 37"
2024-07-17T06:04:41.702876,"Epoch 1, Generating tour on test data batch 38"
2024-07-17T06:04:42.083127,"Epoch 1, computing tour length on test data batch 38"
2024-07-17T06:04:42.083619,"Epoch 1, Generating tour on test data batch 39"
2024-07-17T06:04:42.465187,"Epoch 1, computing tour length on test data batch 39"
2024-07-17T06:04:42.466090,Epoch 1 saving checkpoint and updating baseline if train is better
2024-07-17T06:04:42.466992,"Epoch 2, Step 0 start"
2024-07-17T06:04:42.467003,Generating data
2024-07-17T06:04:42.467509,generating tours of train model
2024-07-17T06:04:42.686595,generating tours of baseline model
2024-07-17T06:04:42.904707,computing tour length of train model
2024-07-17T06:04:42.904951,computing tour length of baseline model
2024-07-17T06:04:42.905188,computing loss and backprop
2024-07-17T06:04:43.280051,"Epoch 2, Step 1 start"
2024-07-17T06:04:43.280067,generating tours of train model
2024-07-17T06:04:43.503945,generating tours of baseline model
2024-07-17T06:04:43.721690,computing tour length of train model
2024-07-17T06:04:43.721939,computing tour length of baseline model
2024-07-17T06:04:43.722164,computing loss and backprop
2024-07-17T06:04:44.096298,"Epoch 2, Step 2 start"
2024-07-17T06:04:44.096313,generating tours of train model
2024-07-17T06:04:44.316963,generating tours of baseline model
2024-07-17T06:04:44.534473,computing tour length of train model
2024-07-17T06:04:44.534713,computing tour length of baseline model
2024-07-17T06:04:44.534943,computing loss and backprop
2024-07-17T06:04:44.908571,"Epoch 2, Step 3 start"
2024-07-17T06:04:44.908586,generating tours of train model
2024-07-17T06:04:45.128534,generating tours of baseline model
2024-07-17T06:04:45.347953,computing tour length of train model
2024-07-17T06:04:45.348214,computing tour length of baseline model
2024-07-17T06:04:45.348443,computing loss and backprop
2024-07-17T06:04:45.724514,"Epoch 2, Step 4 start"
2024-07-17T06:04:45.724529,generating tours of train model
2024-07-17T06:04:45.944923,generating tours of baseline model
2024-07-17T06:04:46.162109,computing tour length of train model
2024-07-17T06:04:46.162347,computing tour length of baseline model
2024-07-17T06:04:46.162570,computing loss and backprop
2024-07-17T06:04:46.536543,"Epoch 2, Step 5 start"
2024-07-17T06:04:46.536554,generating tours of train model
2024-07-17T06:04:46.757261,generating tours of baseline model
2024-07-17T06:04:46.974290,computing tour length of train model
2024-07-17T06:04:46.974528,computing tour length of baseline model
2024-07-17T06:04:46.974751,computing loss and backprop
2024-07-17T06:04:47.347854,"Epoch 2, Step 6 start"
2024-07-17T06:04:47.347868,Generating data
2024-07-17T06:04:47.348787,generating tours of train model
2024-07-17T06:04:47.651973,generating tours of baseline model
2024-07-17T06:04:47.871154,computing tour length of train model
2024-07-17T06:04:47.871415,computing tour length of baseline model
2024-07-17T06:04:47.871644,computing loss and backprop
2024-07-17T06:04:48.249215,"Epoch 2, Step 7 start"
2024-07-17T06:04:48.249231,generating tours of train model
2024-07-17T06:04:48.470691,generating tours of baseline model
2024-07-17T06:04:48.687733,computing tour length of train model
2024-07-17T06:04:48.687985,computing tour length of baseline model
2024-07-17T06:04:48.688210,computing loss and backprop
2024-07-17T06:04:49.061024,"Epoch 2, Step 8 start"
2024-07-17T06:04:49.061039,generating tours of train model
2024-07-17T06:04:49.281403,generating tours of baseline model
2024-07-17T06:04:49.499134,computing tour length of train model
2024-07-17T06:04:49.499378,computing tour length of baseline model
2024-07-17T06:04:49.499603,computing loss and backprop
2024-07-17T06:04:49.873332,"Epoch 2, Step 9 start"
2024-07-17T06:04:49.873347,generating tours of train model
2024-07-17T06:04:50.094189,generating tours of baseline model
2024-07-17T06:04:50.311157,computing tour length of train model
2024-07-17T06:04:50.311398,computing tour length of baseline model
2024-07-17T06:04:50.311620,computing loss and backprop
2024-07-17T06:04:50.685805,"Epoch 2, Generating tour on test data batch 0"
2024-07-17T06:04:51.069141,"Epoch 2, computing tour length on test data batch 0"
2024-07-17T06:04:51.070117,"Epoch 2, Generating tour on test data batch 1"
2024-07-17T06:04:51.450744,"Epoch 2, computing tour length on test data batch 1"
2024-07-17T06:04:51.451243,"Epoch 2, Generating tour on test data batch 2"
2024-07-17T06:04:51.831333,"Epoch 2, computing tour length on test data batch 2"
2024-07-17T06:04:51.831821,"Epoch 2, Generating tour on test data batch 3"
2024-07-17T06:04:52.211914,"Epoch 2, computing tour length on test data batch 3"
2024-07-17T06:04:52.212405,"Epoch 2, Generating tour on test data batch 4"
2024-07-17T06:04:52.594047,"Epoch 2, computing tour length on test data batch 4"
2024-07-17T06:04:52.594534,"Epoch 2, Generating tour on test data batch 5"
2024-07-17T06:04:52.974591,"Epoch 2, computing tour length on test data batch 5"
2024-07-17T06:04:52.975087,"Epoch 2, Generating tour on test data batch 6"
2024-07-17T06:04:53.355556,"Epoch 2, computing tour length on test data batch 6"
2024-07-17T06:04:53.356051,"Epoch 2, Generating tour on test data batch 7"
2024-07-17T06:04:53.736951,"Epoch 2, computing tour length on test data batch 7"
2024-07-17T06:04:53.737440,"Epoch 2, Generating tour on test data batch 8"
2024-07-17T06:04:54.117477,"Epoch 2, computing tour length on test data batch 8"
2024-07-17T06:04:54.117974,"Epoch 2, Generating tour on test data batch 9"
2024-07-17T06:04:54.498982,"Epoch 2, computing tour length on test data batch 9"
2024-07-17T06:04:54.499469,"Epoch 2, Generating tour on test data batch 10"
2024-07-17T06:04:54.880697,"Epoch 2, computing tour length on test data batch 10"
2024-07-17T06:04:54.881188,"Epoch 2, Generating tour on test data batch 11"
2024-07-17T06:04:55.261351,"Epoch 2, computing tour length on test data batch 11"
2024-07-17T06:04:55.261838,"Epoch 2, Generating tour on test data batch 12"
2024-07-17T06:04:55.642902,"Epoch 2, computing tour length on test data batch 12"
2024-07-17T06:04:55.643396,"Epoch 2, Generating tour on test data batch 13"
2024-07-17T06:04:56.023700,"Epoch 2, computing tour length on test data batch 13"
2024-07-17T06:04:56.024204,"Epoch 2, Generating tour on test data batch 14"
2024-07-17T06:04:56.404646,"Epoch 2, computing tour length on test data batch 14"
2024-07-17T06:04:56.405140,"Epoch 2, Generating tour on test data batch 15"
2024-07-17T06:04:56.785875,"Epoch 2, computing tour length on test data batch 15"
2024-07-17T06:04:56.786363,"Epoch 2, Generating tour on test data batch 16"
2024-07-17T06:04:57.166725,"Epoch 2, computing tour length on test data batch 16"
2024-07-17T06:04:57.167222,"Epoch 2, Generating tour on test data batch 17"
2024-07-17T06:04:57.551249,"Epoch 2, computing tour length on test data batch 17"
2024-07-17T06:04:57.551751,"Epoch 2, Generating tour on test data batch 18"
2024-07-17T06:04:57.933298,"Epoch 2, computing tour length on test data batch 18"
2024-07-17T06:04:57.933878,"Epoch 2, Generating tour on test data batch 19"
2024-07-17T06:04:58.404968,"Epoch 2, computing tour length on test data batch 19"
2024-07-17T06:04:58.405499,"Epoch 2, Generating tour on test data batch 20"
2024-07-17T06:04:58.787734,"Epoch 2, computing tour length on test data batch 20"
2024-07-17T06:04:58.788233,"Epoch 2, Generating tour on test data batch 21"
2024-07-17T06:04:59.168805,"Epoch 2, computing tour length on test data batch 21"
2024-07-17T06:04:59.169300,"Epoch 2, Generating tour on test data batch 22"
2024-07-17T06:04:59.550106,"Epoch 2, computing tour length on test data batch 22"
2024-07-17T06:04:59.550595,"Epoch 2, Generating tour on test data batch 23"
2024-07-17T06:04:59.930706,"Epoch 2, computing tour length on test data batch 23"
2024-07-17T06:04:59.931200,"Epoch 2, Generating tour on test data batch 24"
2024-07-17T06:05:00.311343,"Epoch 2, computing tour length on test data batch 24"
2024-07-17T06:05:00.311833,"Epoch 2, Generating tour on test data batch 25"
2024-07-17T06:05:00.692597,"Epoch 2, computing tour length on test data batch 25"
2024-07-17T06:05:00.693097,"Epoch 2, Generating tour on test data batch 26"
2024-07-17T06:05:01.073666,"Epoch 2, computing tour length on test data batch 26"
2024-07-17T06:05:01.074160,"Epoch 2, Generating tour on test data batch 27"
2024-07-17T06:05:01.455355,"Epoch 2, computing tour length on test data batch 27"
2024-07-17T06:05:01.455868,"Epoch 2, Generating tour on test data batch 28"
2024-07-17T06:05:01.840349,"Epoch 2, computing tour length on test data batch 28"
2024-07-17T06:05:01.840884,"Epoch 2, Generating tour on test data batch 29"
2024-07-17T06:05:02.225925,"Epoch 2, computing tour length on test data batch 29"
