Timestamp,Event
2024-07-17T04:11:27.915777,"Epoch 0, Step 0 start"
2024-07-17T04:11:27.915795,Generating data
2024-07-17T04:11:27.917870,generating tours of train model
2024-07-17T04:11:38.178142,generating tours of baseline model
2024-07-17T04:11:39.115103,computing tour length of train model
2024-07-17T04:11:39.147354,computing tour length of baseline model
2024-07-17T04:11:39.147863,computing loss and backprop
2024-07-17T04:11:52.360444,"Epoch 0, Step 1 start"
2024-07-17T04:11:52.360489,generating tours of train model
2024-07-17T04:11:53.112035,generating tours of baseline model
2024-07-17T04:11:53.857671,computing tour length of train model
2024-07-17T04:11:53.858133,computing tour length of baseline model
2024-07-17T04:11:53.858479,computing loss and backprop
2024-07-17T04:11:54.937228,"Epoch 0, Step 2 start"
2024-07-17T04:11:54.937242,generating tours of train model
2024-07-17T04:11:55.434195,generating tours of baseline model
2024-07-17T04:11:56.040043,computing tour length of train model
2024-07-17T04:11:56.040317,computing tour length of baseline model
2024-07-17T04:11:56.040553,computing loss and backprop
2024-07-17T04:11:57.090034,"Epoch 0, Step 3 start"
2024-07-17T04:11:57.090049,generating tours of train model
2024-07-17T04:11:57.584705,generating tours of baseline model
2024-07-17T04:11:58.078571,computing tour length of train model
2024-07-17T04:11:58.078849,computing tour length of baseline model
2024-07-17T04:11:58.079087,computing loss and backprop
2024-07-17T04:11:59.110960,"Epoch 0, Step 4 start"
2024-07-17T04:11:59.110974,generating tours of train model
2024-07-17T04:11:59.606352,generating tours of baseline model
2024-07-17T04:12:00.101293,computing tour length of train model
2024-07-17T04:12:00.101636,computing tour length of baseline model
2024-07-17T04:12:00.101884,computing loss and backprop
2024-07-17T04:12:01.136756,"Epoch 0, Step 5 start"
2024-07-17T04:12:01.136771,generating tours of train model
2024-07-17T04:12:01.634272,generating tours of baseline model
2024-07-17T04:12:02.128782,computing tour length of train model
2024-07-17T04:12:02.129050,computing tour length of baseline model
2024-07-17T04:12:02.129281,computing loss and backprop
2024-07-17T04:12:03.159921,"Epoch 0, Step 6 start"
2024-07-17T04:12:03.159933,Generating data
2024-07-17T04:12:03.162243,generating tours of train model
2024-07-17T04:12:03.658730,generating tours of baseline model
2024-07-17T04:12:04.153956,computing tour length of train model
2024-07-17T04:12:04.154219,computing tour length of baseline model
2024-07-17T04:12:04.154534,computing loss and backprop
2024-07-17T04:12:05.190969,"Epoch 0, Step 7 start"
2024-07-17T04:12:05.190982,generating tours of train model
2024-07-17T04:12:05.689002,generating tours of baseline model
2024-07-17T04:12:06.182991,computing tour length of train model
2024-07-17T04:12:06.183249,computing tour length of baseline model
2024-07-17T04:12:06.183477,computing loss and backprop
2024-07-17T04:12:07.222149,"Epoch 0, Step 8 start"
2024-07-17T04:12:07.222172,generating tours of train model
2024-07-17T04:12:07.718796,generating tours of baseline model
2024-07-17T04:12:08.317670,computing tour length of train model
2024-07-17T04:12:08.317946,computing tour length of baseline model
2024-07-17T04:12:08.318178,computing loss and backprop
2024-07-17T04:12:09.360398,"Epoch 0, Step 9 start"
2024-07-17T04:12:09.360413,generating tours of train model
2024-07-17T04:12:09.857395,generating tours of baseline model
2024-07-17T04:12:10.352326,computing tour length of train model
2024-07-17T04:12:10.352588,computing tour length of baseline model
2024-07-17T04:12:10.352819,computing loss and backprop
2024-07-17T04:12:11.391259,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T04:12:12.329516,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T04:12:12.330140,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T04:12:13.282988,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T04:12:13.285864,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T04:12:14.244542,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T04:12:14.245117,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T04:12:15.199921,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T04:12:15.200450,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T04:12:16.262056,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T04:12:16.262592,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T04:12:17.227082,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T04:12:17.227606,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T04:12:18.190030,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T04:12:18.190552,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T04:12:19.152607,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T04:12:19.153135,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T04:12:20.115505,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T04:12:20.116032,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T04:12:21.178888,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T04:12:21.179444,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T04:12:22.148385,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T04:12:22.148909,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T04:12:23.117010,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T04:12:23.117537,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T04:12:24.080393,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T04:12:24.083146,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T04:12:25.047031,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T04:12:25.047556,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T04:12:26.013341,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T04:12:26.013862,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T04:12:27.075089,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T04:12:27.077824,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T04:12:28.041451,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T04:12:28.044027,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T04:12:29.012785,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T04:12:29.013328,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T04:12:29.981363,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T04:12:29.981893,"Epoch 0, Generating tour on test data batch 19"
2024-07-17T04:12:30.949818,"Epoch 0, computing tour length on test data batch 19"
2024-07-17T04:12:30.950343,"Epoch 0, Generating tour on test data batch 20"
2024-07-17T04:12:32.008409,"Epoch 0, computing tour length on test data batch 20"
2024-07-17T04:12:32.008957,"Epoch 0, Generating tour on test data batch 21"
2024-07-17T04:12:32.977373,"Epoch 0, computing tour length on test data batch 21"
2024-07-17T04:12:32.977901,"Epoch 0, Generating tour on test data batch 22"
2024-07-17T04:12:33.941948,"Epoch 0, computing tour length on test data batch 22"
2024-07-17T04:12:33.942466,"Epoch 0, Generating tour on test data batch 23"
2024-07-17T04:12:34.911388,"Epoch 0, computing tour length on test data batch 23"
2024-07-17T04:12:34.911924,"Epoch 0, Generating tour on test data batch 24"
2024-07-17T04:12:35.876816,"Epoch 0, computing tour length on test data batch 24"
2024-07-17T04:12:35.877338,"Epoch 0, Generating tour on test data batch 25"
2024-07-17T04:12:36.963688,"Epoch 0, computing tour length on test data batch 25"
2024-07-17T04:12:36.964243,"Epoch 0, Generating tour on test data batch 26"
2024-07-17T04:12:37.931947,"Epoch 0, computing tour length on test data batch 26"
2024-07-17T04:12:37.932461,"Epoch 0, Generating tour on test data batch 27"
2024-07-17T04:12:38.898684,"Epoch 0, computing tour length on test data batch 27"
2024-07-17T04:12:38.899213,"Epoch 0, Generating tour on test data batch 28"
2024-07-17T04:12:39.864768,"Epoch 0, computing tour length on test data batch 28"
2024-07-17T04:12:39.865291,"Epoch 0, Generating tour on test data batch 29"
2024-07-17T04:12:40.834056,"Epoch 0, computing tour length on test data batch 29"
2024-07-17T04:12:40.834587,"Epoch 0, Generating tour on test data batch 30"
2024-07-17T04:12:41.895028,"Epoch 0, computing tour length on test data batch 30"
2024-07-17T04:12:41.895562,"Epoch 0, Generating tour on test data batch 31"
2024-07-17T04:12:42.868874,"Epoch 0, computing tour length on test data batch 31"
2024-07-17T04:12:42.869400,"Epoch 0, Generating tour on test data batch 32"
2024-07-17T04:12:43.835706,"Epoch 0, computing tour length on test data batch 32"
2024-07-17T04:12:43.836339,"Epoch 0, Generating tour on test data batch 33"
2024-07-17T04:12:44.802101,"Epoch 0, computing tour length on test data batch 33"
2024-07-17T04:12:44.802618,"Epoch 0, Generating tour on test data batch 34"
2024-07-17T04:12:45.767458,"Epoch 0, computing tour length on test data batch 34"
2024-07-17T04:12:45.767980,"Epoch 0, Generating tour on test data batch 35"
2024-07-17T04:12:46.834336,"Epoch 0, computing tour length on test data batch 35"
2024-07-17T04:12:46.834940,"Epoch 0, Generating tour on test data batch 36"
2024-07-17T04:12:47.806723,"Epoch 0, computing tour length on test data batch 36"
2024-07-17T04:12:47.807244,"Epoch 0, Generating tour on test data batch 37"
2024-07-17T04:12:48.773405,"Epoch 0, computing tour length on test data batch 37"
2024-07-17T04:12:48.773932,"Epoch 0, Generating tour on test data batch 38"
2024-07-17T04:12:49.742041,"Epoch 0, computing tour length on test data batch 38"
2024-07-17T04:12:49.742556,"Epoch 0, Generating tour on test data batch 39"
2024-07-17T04:12:50.710232,"Epoch 0, computing tour length on test data batch 39"
2024-07-17T04:12:50.714157,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-17T04:12:50.733260,"Epoch 1, Step 0 start"
2024-07-17T04:12:50.733270,Generating data
2024-07-17T04:12:50.733489,generating tours of train model
2024-07-17T04:12:51.235525,generating tours of baseline model
2024-07-17T04:12:51.876486,computing tour length of train model
2024-07-17T04:12:51.876746,computing tour length of baseline model
2024-07-17T04:12:51.876990,computing loss and backprop
2024-07-17T04:12:52.922206,"Epoch 1, Step 1 start"
2024-07-17T04:12:52.922220,generating tours of train model
2024-07-17T04:12:53.429500,generating tours of baseline model
2024-07-17T04:12:54.012664,computing tour length of train model
2024-07-17T04:12:54.012940,computing tour length of baseline model
2024-07-17T04:12:54.013171,computing loss and backprop
2024-07-17T04:12:55.060482,"Epoch 1, Step 2 start"
2024-07-17T04:12:55.060496,generating tours of train model
2024-07-17T04:12:55.567944,generating tours of baseline model
2024-07-17T04:12:56.064331,computing tour length of train model
2024-07-17T04:12:56.064591,computing tour length of baseline model
2024-07-17T04:12:56.064824,computing loss and backprop
2024-07-17T04:12:57.105812,"Epoch 1, Step 3 start"
2024-07-17T04:12:57.105828,generating tours of train model
2024-07-17T04:12:57.612181,generating tours of baseline model
2024-07-17T04:12:58.108109,computing tour length of train model
2024-07-17T04:12:58.108369,computing tour length of baseline model
2024-07-17T04:12:58.108602,computing loss and backprop
2024-07-17T04:12:59.153972,"Epoch 1, Step 4 start"
2024-07-17T04:12:59.153985,generating tours of train model
2024-07-17T04:12:59.660968,generating tours of baseline model
2024-07-17T04:13:00.161164,computing tour length of train model
2024-07-17T04:13:00.161448,computing tour length of baseline model
2024-07-17T04:13:00.161681,computing loss and backprop
2024-07-17T04:13:01.203253,"Epoch 1, Step 5 start"
2024-07-17T04:13:01.203269,generating tours of train model
2024-07-17T04:13:01.707347,generating tours of baseline model
2024-07-17T04:13:02.202351,computing tour length of train model
2024-07-17T04:13:02.202610,computing tour length of baseline model
2024-07-17T04:13:02.202835,computing loss and backprop
2024-07-17T04:13:03.243241,"Epoch 1, Step 6 start"
2024-07-17T04:13:03.243253,Generating data
2024-07-17T04:13:03.244049,generating tours of train model
2024-07-17T04:13:03.747000,generating tours of baseline model
2024-07-17T04:13:04.241809,computing tour length of train model
2024-07-17T04:13:04.242076,computing tour length of baseline model
2024-07-17T04:13:04.242302,computing loss and backprop
2024-07-17T04:13:05.281821,"Epoch 1, Step 7 start"
2024-07-17T04:13:05.281835,generating tours of train model
2024-07-17T04:13:05.787346,generating tours of baseline model
2024-07-17T04:13:06.368444,computing tour length of train model
2024-07-17T04:13:06.368709,computing tour length of baseline model
2024-07-17T04:13:06.368947,computing loss and backprop
2024-07-17T04:13:07.416323,"Epoch 1, Step 8 start"
2024-07-17T04:13:07.416337,generating tours of train model
2024-07-17T04:13:07.919880,generating tours of baseline model
2024-07-17T04:13:08.415555,computing tour length of train model
2024-07-17T04:13:08.415815,computing tour length of baseline model
2024-07-17T04:13:08.416051,computing loss and backprop
2024-07-17T04:13:09.453447,"Epoch 1, Step 9 start"
2024-07-17T04:13:09.453461,generating tours of train model
2024-07-17T04:13:09.958422,generating tours of baseline model
2024-07-17T04:13:10.454056,computing tour length of train model
2024-07-17T04:13:10.454320,computing tour length of baseline model
2024-07-17T04:13:10.454544,computing loss and backprop
2024-07-17T04:13:11.493105,"Epoch 1, Generating tour on test data batch 0"
2024-07-17T04:13:12.463376,"Epoch 1, computing tour length on test data batch 0"
2024-07-17T04:13:12.464811,"Epoch 1, Generating tour on test data batch 1"
