Timestamp,Event
2024-07-17T03:58:24.441530,"Epoch 0, Step 0 start"
2024-07-17T03:58:24.441548,Generating data
2024-07-17T03:58:24.443923,generating tours of train model
2024-07-17T03:58:34.742208,generating tours of baseline model
2024-07-17T03:58:35.780457,computing tour length of train model
2024-07-17T03:58:35.812518,computing tour length of baseline model
2024-07-17T03:58:35.813041,computing loss and backprop
2024-07-17T03:58:49.527135,"Epoch 0, Step 1 start"
2024-07-17T03:58:49.527177,generating tours of train model
2024-07-17T03:58:50.282733,generating tours of baseline model
2024-07-17T03:58:51.030484,computing tour length of train model
2024-07-17T03:58:51.030940,computing tour length of baseline model
2024-07-17T03:58:51.031296,computing loss and backprop
2024-07-17T03:58:52.400913,"Epoch 0, Step 2 start"
2024-07-17T03:58:52.400927,generating tours of train model
2024-07-17T03:58:52.901952,generating tours of baseline model
2024-07-17T03:58:53.508116,computing tour length of train model
2024-07-17T03:58:53.508396,computing tour length of baseline model
2024-07-17T03:58:53.508722,computing loss and backprop
2024-07-17T03:58:54.558983,"Epoch 0, Step 3 start"
2024-07-17T03:58:54.558998,generating tours of train model
2024-07-17T03:58:55.058595,generating tours of baseline model
2024-07-17T03:58:55.553402,computing tour length of train model
2024-07-17T03:58:55.553668,computing tour length of baseline model
2024-07-17T03:58:55.553905,computing loss and backprop
2024-07-17T03:58:56.600090,"Epoch 0, Step 4 start"
2024-07-17T03:58:56.600106,generating tours of train model
2024-07-17T03:58:57.105621,generating tours of baseline model
2024-07-17T03:58:57.601955,computing tour length of train model
2024-07-17T03:58:57.602236,computing tour length of baseline model
2024-07-17T03:58:57.602478,computing loss and backprop
2024-07-17T03:58:58.649527,"Epoch 0, Step 5 start"
2024-07-17T03:58:58.649543,generating tours of train model
2024-07-17T03:58:59.148388,generating tours of baseline model
2024-07-17T03:58:59.645513,computing tour length of train model
2024-07-17T03:58:59.645772,computing tour length of baseline model
2024-07-17T03:58:59.646011,computing loss and backprop
2024-07-17T03:59:00.688609,"Epoch 0, Step 6 start"
2024-07-17T03:59:00.688622,Generating data
2024-07-17T03:59:00.690718,generating tours of train model
2024-07-17T03:59:01.188921,generating tours of baseline model
2024-07-17T03:59:01.683952,computing tour length of train model
2024-07-17T03:59:01.684213,computing tour length of baseline model
2024-07-17T03:59:01.684442,computing loss and backprop
2024-07-17T03:59:02.724798,"Epoch 0, Step 7 start"
2024-07-17T03:59:02.724812,generating tours of train model
2024-07-17T03:59:03.224534,generating tours of baseline model
2024-07-17T03:59:03.719496,computing tour length of train model
