Timestamp,Event
2024-07-17T03:52:06.872583,"Epoch 0, Step 0 start"
2024-07-17T03:52:06.872600,Generating data
2024-07-17T03:52:06.875283,generating tours of train model
2024-07-17T03:52:16.333594,generating tours of baseline model
2024-07-17T03:52:16.417237,computing tour length of train model
2024-07-17T03:52:16.449943,computing tour length of baseline model
2024-07-17T03:52:16.450436,computing loss and backprop
2024-07-17T03:52:28.590188,"Epoch 0, Step 1 start"
2024-07-17T03:52:28.590233,generating tours of train model
2024-07-17T03:52:28.665706,generating tours of baseline model
2024-07-17T03:52:28.739126,computing tour length of train model
2024-07-17T03:52:28.739542,computing tour length of baseline model
2024-07-17T03:52:28.739886,computing loss and backprop
2024-07-17T03:52:28.896643,"Epoch 0, Step 2 start"
2024-07-17T03:52:28.896663,generating tours of train model
2024-07-17T03:52:28.970503,generating tours of baseline model
2024-07-17T03:52:29.043946,computing tour length of train model
2024-07-17T03:52:29.044279,computing tour length of baseline model
2024-07-17T03:52:29.044604,computing loss and backprop
2024-07-17T03:52:29.197746,"Epoch 0, Step 3 start"
2024-07-17T03:52:29.197767,generating tours of train model
2024-07-17T03:52:29.271643,generating tours of baseline model
2024-07-17T03:52:29.344922,computing tour length of train model
2024-07-17T03:52:29.345248,computing tour length of baseline model
2024-07-17T03:52:29.345573,computing loss and backprop
2024-07-17T03:52:29.498808,"Epoch 0, Step 4 start"
2024-07-17T03:52:29.498829,generating tours of train model
2024-07-17T03:52:29.572687,generating tours of baseline model
2024-07-17T03:52:29.645694,computing tour length of train model
2024-07-17T03:52:29.646025,computing tour length of baseline model
2024-07-17T03:52:29.646348,computing loss and backprop
2024-07-17T03:52:29.799462,"Epoch 0, Step 5 start"
2024-07-17T03:52:29.799483,generating tours of train model
2024-07-17T03:52:29.873394,generating tours of baseline model
2024-07-17T03:52:29.946569,computing tour length of train model
2024-07-17T03:52:29.946901,computing tour length of baseline model
2024-07-17T03:52:29.947231,computing loss and backprop
2024-07-17T03:52:30.102046,"Epoch 0, Step 6 start"
2024-07-17T03:52:30.102065,Generating data
2024-07-17T03:52:30.102634,generating tours of train model
2024-07-17T03:52:30.176301,generating tours of baseline model
2024-07-17T03:52:30.249530,computing tour length of train model
2024-07-17T03:52:30.249882,computing tour length of baseline model
2024-07-17T03:52:30.250210,computing loss and backprop
2024-07-17T03:52:30.403935,"Epoch 0, Step 7 start"
2024-07-17T03:52:30.403956,generating tours of train model
2024-07-17T03:52:30.477989,generating tours of baseline model
2024-07-17T03:52:30.551480,computing tour length of train model
