Timestamp,Event
2024-07-17T06:20:49.870282,"Epoch 0, Step 0 start"
2024-07-17T06:20:49.870299,Generating data
2024-07-17T06:20:49.872869,generating tours of train model
2024-07-17T06:20:59.479921,generating tours of baseline model
2024-07-17T06:20:59.696834,computing tour length of train model
2024-07-17T06:20:59.729124,computing tour length of baseline model
2024-07-17T06:20:59.729624,computing loss and backprop
2024-07-17T06:21:11.936501,"Epoch 0, Step 1 start"
2024-07-17T06:21:11.936544,generating tours of train model
2024-07-17T06:21:12.111646,generating tours of baseline model
2024-07-17T06:21:12.282113,computing tour length of train model
2024-07-17T06:21:12.282535,computing tour length of baseline model
2024-07-17T06:21:12.282886,computing loss and backprop
2024-07-17T06:21:12.584004,"Epoch 0, Step 2 start"
2024-07-17T06:21:12.584025,generating tours of train model
2024-07-17T06:21:12.756169,generating tours of baseline model
2024-07-17T06:21:12.926265,computing tour length of train model
2024-07-17T06:21:12.926609,computing tour length of baseline model
2024-07-17T06:21:12.926948,computing loss and backprop
2024-07-17T06:21:13.227971,"Epoch 0, Step 3 start"
2024-07-17T06:21:13.227993,generating tours of train model
2024-07-17T06:21:13.400727,generating tours of baseline model
2024-07-17T06:21:13.570707,computing tour length of train model
2024-07-17T06:21:13.571050,computing tour length of baseline model
2024-07-17T06:21:13.571416,computing loss and backprop
2024-07-17T06:21:13.872261,"Epoch 0, Step 4 start"
2024-07-17T06:21:13.872282,generating tours of train model
2024-07-17T06:21:14.045120,generating tours of baseline model
2024-07-17T06:21:14.214616,computing tour length of train model
2024-07-17T06:21:14.214953,computing tour length of baseline model
2024-07-17T06:21:14.215279,computing loss and backprop
2024-07-17T06:21:14.517009,"Epoch 0, Step 5 start"
2024-07-17T06:21:14.517034,generating tours of train model
2024-07-17T06:21:14.689489,generating tours of baseline model
2024-07-17T06:21:14.859206,computing tour length of train model
2024-07-17T06:21:14.859565,computing tour length of baseline model
2024-07-17T06:21:14.859906,computing loss and backprop
2024-07-17T06:21:15.142924,"Epoch 0, Step 6 start"
2024-07-17T06:21:15.142938,Generating data
2024-07-17T06:21:15.144139,generating tours of train model
2024-07-17T06:21:15.257969,generating tours of baseline model
2024-07-17T06:21:15.371077,computing tour length of train model
2024-07-17T06:21:15.371299,computing tour length of baseline model
2024-07-17T06:21:15.371516,computing loss and backprop
2024-07-17T06:21:15.569171,"Epoch 0, Step 7 start"
2024-07-17T06:21:15.569186,generating tours of train model
2024-07-17T06:21:15.684284,generating tours of baseline model
2024-07-17T06:21:15.797144,computing tour length of train model
2024-07-17T06:21:15.797368,computing tour length of baseline model
2024-07-17T06:21:15.797585,computing loss and backprop
2024-07-17T06:21:15.996471,"Epoch 0, Step 8 start"
2024-07-17T06:21:15.996486,generating tours of train model
2024-07-17T06:21:16.111392,generating tours of baseline model
2024-07-17T06:21:16.224675,computing tour length of train model
2024-07-17T06:21:16.224908,computing tour length of baseline model
2024-07-17T06:21:16.225126,computing loss and backprop
2024-07-17T06:21:16.423245,"Epoch 0, Step 9 start"
