Timestamp,Event
2024-07-17T06:25:39.904519,"Epoch 0, Step 0 start"
2024-07-17T06:25:39.904536,Generating data
2024-07-17T06:25:39.907105,generating tours of train model
2024-07-17T06:25:49.593365,generating tours of baseline model
2024-07-17T06:25:49.917516,computing tour length of train model
2024-07-17T06:25:49.949106,computing tour length of baseline model
2024-07-17T06:25:49.949600,computing loss and backprop
2024-07-17T06:26:02.317149,"Epoch 0, Step 1 start"
2024-07-17T06:26:02.317194,generating tours of train model
2024-07-17T06:26:02.578569,generating tours of baseline model
2024-07-17T06:26:02.837326,computing tour length of train model
2024-07-17T06:26:02.837749,computing tour length of baseline model
2024-07-17T06:26:02.838098,computing loss and backprop
2024-07-17T06:26:03.290990,"Epoch 0, Step 2 start"
2024-07-17T06:26:03.291012,generating tours of train model
2024-07-17T06:26:03.550985,generating tours of baseline model
2024-07-17T06:26:03.808980,computing tour length of train model
2024-07-17T06:26:03.809322,computing tour length of baseline model
2024-07-17T06:26:03.809649,computing loss and backprop
2024-07-17T06:26:04.263303,"Epoch 0, Step 3 start"
2024-07-17T06:26:04.263325,generating tours of train model
2024-07-17T06:26:04.522930,generating tours of baseline model
2024-07-17T06:26:04.780487,computing tour length of train model
2024-07-17T06:26:04.780822,computing tour length of baseline model
2024-07-17T06:26:04.781154,computing loss and backprop
2024-07-17T06:26:05.235684,"Epoch 0, Step 4 start"
2024-07-17T06:26:05.235710,generating tours of train model
2024-07-17T06:26:05.495288,generating tours of baseline model
2024-07-17T06:26:05.741761,computing tour length of train model
2024-07-17T06:26:05.742017,computing tour length of baseline model
2024-07-17T06:26:05.742235,computing loss and backprop
2024-07-17T06:26:06.042159,"Epoch 0, Step 5 start"
2024-07-17T06:26:06.042172,generating tours of train model
2024-07-17T06:26:06.217074,generating tours of baseline model
2024-07-17T06:26:06.388418,computing tour length of train model
2024-07-17T06:26:06.388646,computing tour length of baseline model
2024-07-17T06:26:06.388870,computing loss and backprop
2024-07-17T06:26:06.688427,"Epoch 0, Step 6 start"
2024-07-17T06:26:06.688442,Generating data
2024-07-17T06:26:06.689239,generating tours of train model
2024-07-17T06:26:06.861595,generating tours of baseline model
2024-07-17T06:26:07.033528,computing tour length of train model
2024-07-17T06:26:07.033752,computing tour length of baseline model
2024-07-17T06:26:07.033975,computing loss and backprop
2024-07-17T06:26:07.335824,"Epoch 0, Step 7 start"
2024-07-17T06:26:07.335839,generating tours of train model
2024-07-17T06:26:07.508676,generating tours of baseline model
2024-07-17T06:26:07.680344,computing tour length of train model
2024-07-17T06:26:07.680571,computing tour length of baseline model
2024-07-17T06:26:07.680786,computing loss and backprop
2024-07-17T06:26:07.980886,"Epoch 0, Step 8 start"
2024-07-17T06:26:07.980897,generating tours of train model
2024-07-17T06:26:08.154154,generating tours of baseline model
2024-07-17T06:26:08.325872,computing tour length of train model
2024-07-17T06:26:08.326105,computing tour length of baseline model
2024-07-17T06:26:08.326320,computing loss and backprop
2024-07-17T06:26:08.630902,"Epoch 0, Step 9 start"
2024-07-17T06:26:08.630917,generating tours of train model
2024-07-17T06:26:08.804493,generating tours of baseline model
2024-07-17T06:26:08.976180,computing tour length of train model
