Timestamp,Event
2024-07-17T12:37:51.081203,"Epoch 0, Step 0 start"
2024-07-17T12:37:51.081220,Generating data
2024-07-17T12:37:51.084285,generating tours of train model
2024-07-17T12:38:04.807185,generating tours of baseline model
2024-07-17T12:38:05.598450,computing tour length of train model
2024-07-17T12:38:05.622717,computing tour length of baseline model
2024-07-17T12:38:05.623111,computing loss and backprop
2024-07-17T12:38:26.640738,"Epoch 0, Step 1 start"
2024-07-17T12:38:26.640774,generating tours of train model
2024-07-17T12:38:27.384043,generating tours of baseline model
2024-07-17T12:38:28.077095,computing tour length of train model
2024-07-17T12:38:28.077407,computing tour length of baseline model
2024-07-17T12:38:28.077637,computing loss and backprop
2024-07-17T12:38:28.494724,"Epoch 0, Step 2 start"
2024-07-17T12:38:28.494763,generating tours of train model
2024-07-17T12:38:29.418251,generating tours of baseline model
2024-07-17T12:38:29.802657,computing tour length of train model
2024-07-17T12:38:29.802956,computing tour length of baseline model
2024-07-17T12:38:29.803191,computing loss and backprop
2024-07-17T12:38:30.217809,"Epoch 0, Step 3 start"
2024-07-17T12:38:30.217826,generating tours of train model
2024-07-17T12:38:31.187219,generating tours of baseline model
2024-07-17T12:38:31.608423,computing tour length of train model
2024-07-17T12:38:31.608675,computing tour length of baseline model
2024-07-17T12:38:31.608907,computing loss and backprop
2024-07-17T12:38:32.033183,"Epoch 0, Step 4 start"
2024-07-17T12:38:32.033199,generating tours of train model
2024-07-17T12:38:32.866095,generating tours of baseline model
2024-07-17T12:38:33.307356,computing tour length of train model
2024-07-17T12:38:33.307624,computing tour length of baseline model
2024-07-17T12:38:33.307867,computing loss and backprop
2024-07-17T12:38:33.741511,"Epoch 0, Step 5 start"
2024-07-17T12:38:33.741528,generating tours of train model
2024-07-17T12:38:34.554471,generating tours of baseline model
2024-07-17T12:38:34.991924,computing tour length of train model
2024-07-17T12:38:34.992176,computing tour length of baseline model
2024-07-17T12:38:34.992401,computing loss and backprop
2024-07-17T12:38:35.444877,"Epoch 0, Step 6 start"
2024-07-17T12:38:35.444897,Generating data
2024-07-17T12:38:35.450001,generating tours of train model
2024-07-17T12:38:36.162787,generating tours of baseline model
2024-07-17T12:38:36.617548,computing tour length of train model
2024-07-17T12:38:36.617833,computing tour length of baseline model
2024-07-17T12:38:36.618072,computing loss and backprop
2024-07-17T12:38:37.050036,"Epoch 0, Step 7 start"
2024-07-17T12:38:37.050053,generating tours of train model
2024-07-17T12:38:37.835630,generating tours of baseline model
2024-07-17T12:38:38.271483,computing tour length of train model
2024-07-17T12:38:38.271732,computing tour length of baseline model
2024-07-17T12:38:38.271963,computing loss and backprop
2024-07-17T12:38:38.701514,"Epoch 0, Step 8 start"
2024-07-17T12:38:38.701531,generating tours of train model
2024-07-17T12:38:39.422735,generating tours of baseline model
2024-07-17T12:38:39.866609,computing tour length of train model
2024-07-17T12:38:39.866878,computing tour length of baseline model
2024-07-17T12:38:39.867109,computing loss and backprop
2024-07-17T12:38:40.296462,"Epoch 0, Step 9 start"
2024-07-17T12:38:40.296478,generating tours of train model
2024-07-17T12:38:41.089157,generating tours of baseline model
2024-07-17T12:38:41.538542,computing tour length of train model
2024-07-17T12:38:41.538798,computing tour length of baseline model
2024-07-17T12:38:41.539033,computing loss and backprop
2024-07-17T12:38:41.976572,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T12:38:42.818199,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T12:38:42.819125,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T12:38:43.857538,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T12:38:43.858059,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T12:38:44.580491,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T12:38:44.580994,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T12:38:45.668351,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T12:38:45.668916,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T12:38:46.288702,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T12:38:46.289222,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T12:38:47.452602,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T12:38:47.453116,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T12:38:48.085046,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T12:38:48.085546,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T12:38:49.104789,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T12:38:49.105324,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T12:38:49.853748,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T12:38:49.854282,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T12:38:50.930776,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T12:38:50.931297,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T12:38:51.655716,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T12:38:51.656223,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T12:38:52.574255,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T12:38:52.574789,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T12:38:53.497389,"Epoch 0, computing tour length on test data batch 12"
