Timestamp,Event
2024-07-17T04:42:48.816872,"Epoch 0, Step 0 start"
2024-07-17T04:42:48.816890,Generating data
2024-07-17T04:42:48.820161,generating tours of train model
2024-07-17T04:42:58.118393,generating tours of baseline model
2024-07-17T04:42:58.185198,computing tour length of train model
2024-07-17T04:42:58.216872,computing tour length of baseline model
2024-07-17T04:42:58.217364,computing loss and backprop
2024-07-17T04:43:10.312729,"Epoch 0, Step 1 start"
2024-07-17T04:43:10.312771,generating tours of train model
2024-07-17T04:43:10.376017,generating tours of baseline model
2024-07-17T04:43:10.437421,computing tour length of train model
2024-07-17T04:43:10.437832,computing tour length of baseline model
2024-07-17T04:43:10.438183,computing loss and backprop
2024-07-17T04:43:10.573128,"Epoch 0, Step 2 start"
2024-07-17T04:43:10.573149,generating tours of train model
2024-07-17T04:43:10.635063,generating tours of baseline model
2024-07-17T04:43:10.696354,computing tour length of train model
2024-07-17T04:43:10.696687,computing tour length of baseline model
2024-07-17T04:43:10.697025,computing loss and backprop
2024-07-17T04:43:10.830544,"Epoch 0, Step 3 start"
2024-07-17T04:43:10.830564,generating tours of train model
2024-07-17T04:43:10.892642,generating tours of baseline model
2024-07-17T04:43:10.954449,computing tour length of train model
2024-07-17T04:43:10.954772,computing tour length of baseline model
2024-07-17T04:43:10.955104,computing loss and backprop
2024-07-17T04:43:11.088945,"Epoch 0, Step 4 start"
2024-07-17T04:43:11.088966,generating tours of train model
2024-07-17T04:43:11.150994,generating tours of baseline model
2024-07-17T04:43:11.212109,computing tour length of train model
2024-07-17T04:43:11.212430,computing tour length of baseline model
2024-07-17T04:43:11.212750,computing loss and backprop
2024-07-17T04:43:11.348086,"Epoch 0, Step 5 start"
2024-07-17T04:43:11.348132,generating tours of train model
2024-07-17T04:43:11.410497,generating tours of baseline model
2024-07-17T04:43:11.471916,computing tour length of train model
2024-07-17T04:43:11.472269,computing tour length of baseline model
2024-07-17T04:43:11.472597,computing loss and backprop
2024-07-17T04:43:11.607471,"Epoch 0, Step 6 start"
2024-07-17T04:43:11.607489,Generating data
2024-07-17T04:43:11.607925,generating tours of train model
2024-07-17T04:43:11.669827,generating tours of baseline model
2024-07-17T04:43:11.731255,computing tour length of train model
2024-07-17T04:43:11.731577,computing tour length of baseline model
2024-07-17T04:43:11.731906,computing loss and backprop
2024-07-17T04:43:11.866014,"Epoch 0, Step 7 start"
2024-07-17T04:43:11.866035,generating tours of train model
2024-07-17T04:43:11.928140,generating tours of baseline model
2024-07-17T04:43:11.989723,computing tour length of train model
2024-07-17T04:43:11.990058,computing tour length of baseline model
2024-07-17T04:43:11.990385,computing loss and backprop
2024-07-17T04:43:12.124137,"Epoch 0, Step 8 start"
2024-07-17T04:43:12.124157,generating tours of train model
2024-07-17T04:43:12.186088,generating tours of baseline model
2024-07-17T04:43:12.247470,computing tour length of train model
2024-07-17T04:43:12.247791,computing tour length of baseline model
2024-07-17T04:43:12.248120,computing loss and backprop
2024-07-17T04:43:12.382019,"Epoch 0, Step 9 start"
2024-07-17T04:43:12.382039,generating tours of train model
2024-07-17T04:43:12.443948,generating tours of baseline model
2024-07-17T04:43:12.505050,computing tour length of train model
2024-07-17T04:43:12.505374,computing tour length of baseline model
2024-07-17T04:43:12.505697,computing loss and backprop
2024-07-17T04:43:12.640055,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T04:43:12.755035,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T04:43:12.755802,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T04:43:12.871068,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T04:43:12.871752,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T04:43:12.987634,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T04:43:12.988324,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T04:43:13.104122,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T04:43:13.104807,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T04:43:13.220640,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T04:43:13.221335,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T04:43:13.336867,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T04:43:13.337540,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T04:43:13.453176,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T04:43:13.453863,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T04:43:13.569764,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T04:43:13.570484,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T04:43:13.686276,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T04:43:13.687004,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T04:43:13.778249,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T04:43:13.778714,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T04:43:13.854763,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T04:43:13.855269,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T04:43:13.931394,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T04:43:13.931865,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T04:43:14.008280,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T04:43:14.008740,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T04:43:14.084892,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T04:43:14.085356,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T04:43:14.161213,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T04:43:14.161701,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T04:43:14.237798,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T04:43:14.238271,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T04:43:14.314406,"Epoch 0, computing tour length on test data batch 16"
