Timestamp,Event
2024-07-17T12:32:51.237963,"Epoch 0, Step 0 start"
2024-07-17T12:32:51.237979,Generating data
2024-07-17T12:32:51.247862,generating tours of train model
2024-07-17T12:33:04.183510,generating tours of baseline model
2024-07-17T12:33:04.295402,computing tour length of train model
2024-07-17T12:33:04.319522,computing tour length of baseline model
2024-07-17T12:33:04.319901,computing loss and backprop
2024-07-17T12:33:23.403878,"Epoch 0, Step 1 start"
2024-07-17T12:33:23.403916,generating tours of train model
2024-07-17T12:33:23.538503,generating tours of baseline model
2024-07-17T12:33:23.622318,computing tour length of train model
2024-07-17T12:33:23.622617,computing tour length of baseline model
2024-07-17T12:33:23.622849,computing loss and backprop
2024-07-17T12:33:23.702040,"Epoch 0, Step 2 start"
2024-07-17T12:33:23.702055,generating tours of train model
2024-07-17T12:33:23.785779,generating tours of baseline model
2024-07-17T12:33:23.855493,computing tour length of train model
2024-07-17T12:33:23.855726,computing tour length of baseline model
2024-07-17T12:33:23.855955,computing loss and backprop
2024-07-17T12:33:23.933349,"Epoch 0, Step 3 start"
2024-07-17T12:33:23.933365,generating tours of train model
2024-07-17T12:33:24.037345,generating tours of baseline model
2024-07-17T12:33:24.138613,computing tour length of train model
2024-07-17T12:33:24.138843,computing tour length of baseline model
2024-07-17T12:33:24.139068,computing loss and backprop
2024-07-17T12:33:24.218675,"Epoch 0, Step 4 start"
2024-07-17T12:33:24.218689,generating tours of train model
2024-07-17T12:33:24.321891,generating tours of baseline model
2024-07-17T12:33:24.446987,computing tour length of train model
2024-07-17T12:33:24.447215,computing tour length of baseline model
2024-07-17T12:33:24.447434,computing loss and backprop
2024-07-17T12:33:24.562528,"Epoch 0, Step 5 start"
2024-07-17T12:33:24.562543,generating tours of train model
2024-07-17T12:33:24.842359,generating tours of baseline model
2024-07-17T12:33:25.165311,computing tour length of train model
2024-07-17T12:33:25.165537,computing tour length of baseline model
2024-07-17T12:33:25.165756,computing loss and backprop
2024-07-17T12:33:25.240206,"Epoch 0, Step 6 start"
2024-07-17T12:33:25.240219,Generating data
2024-07-17T12:33:25.241197,generating tours of train model
2024-07-17T12:33:25.324015,generating tours of baseline model
2024-07-17T12:33:25.407632,computing tour length of train model
2024-07-17T12:33:25.407863,computing tour length of baseline model
2024-07-17T12:33:25.408084,computing loss and backprop
2024-07-17T12:33:25.482957,"Epoch 0, Step 7 start"
2024-07-17T12:33:25.482971,generating tours of train model
2024-07-17T12:33:25.544479,generating tours of baseline model
2024-07-17T12:33:25.614772,computing tour length of train model
2024-07-17T12:33:25.615000,computing tour length of baseline model
2024-07-17T12:33:25.615216,computing loss and backprop
2024-07-17T12:33:25.693952,"Epoch 0, Step 8 start"
2024-07-17T12:33:25.693966,generating tours of train model
2024-07-17T12:33:25.791952,generating tours of baseline model
2024-07-17T12:33:25.898518,computing tour length of train model
2024-07-17T12:33:25.898740,computing tour length of baseline model
2024-07-17T12:33:25.898965,computing loss and backprop
2024-07-17T12:33:25.979413,"Epoch 0, Step 9 start"
2024-07-17T12:33:25.979428,generating tours of train model
2024-07-17T12:33:26.082799,generating tours of baseline model
2024-07-17T12:33:26.347530,computing tour length of train model
2024-07-17T12:33:26.347748,computing tour length of baseline model
2024-07-17T12:33:26.347968,computing loss and backprop
2024-07-17T12:33:26.447037,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T12:33:26.773096,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T12:33:26.773688,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T12:33:26.894648,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T12:33:26.895126,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T12:33:27.015989,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T12:33:27.016453,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T12:33:27.126171,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T12:33:27.126639,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T12:33:27.239127,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T12:33:27.239696,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T12:33:27.382349,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T12:33:27.382822,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T12:33:27.527804,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T12:33:27.528277,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T12:33:27.671264,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T12:33:27.671726,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T12:33:28.028305,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T12:33:28.028768,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T12:33:28.378348,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T12:33:28.378827,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T12:33:28.521109,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T12:33:28.521576,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T12:33:28.642969,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T12:33:28.643432,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T12:33:28.764128,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T12:33:28.764589,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T12:33:28.860261,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T12:33:28.860726,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T12:33:29.002696,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T12:33:29.003161,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T12:33:29.146869,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T12:33:29.147329,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T12:33:29.293312,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T12:33:29.293776,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T12:33:29.590165,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T12:33:29.590633,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T12:33:29.937611,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T12:33:29.938127,"Epoch 0, Generating tour on test data batch 19"
2024-07-17T12:33:30.101003,"Epoch 0, computing tour length on test data batch 19"
2024-07-17T12:33:30.101467,"Epoch 0, Generating tour on test data batch 20"
2024-07-17T12:33:30.221511,"Epoch 0, computing tour length on test data batch 20"
2024-07-17T12:33:30.221979,"Epoch 0, Generating tour on test data batch 21"
2024-07-17T12:33:30.344111,"Epoch 0, computing tour length on test data batch 21"
2024-07-17T12:33:30.344576,"Epoch 0, Generating tour on test data batch 22"
2024-07-17T12:33:30.442925,"Epoch 0, computing tour length on test data batch 22"
2024-07-17T12:33:30.443391,"Epoch 0, Generating tour on test data batch 23"
2024-07-17T12:33:30.586779,"Epoch 0, computing tour length on test data batch 23"
2024-07-17T12:33:30.587251,"Epoch 0, Generating tour on test data batch 24"
2024-07-17T12:33:30.732036,"Epoch 0, computing tour length on test data batch 24"
2024-07-17T12:33:30.732497,"Epoch 0, Generating tour on test data batch 25"
2024-07-17T12:33:30.881201,"Epoch 0, computing tour length on test data batch 25"
2024-07-17T12:33:30.881667,"Epoch 0, Generating tour on test data batch 26"
2024-07-17T12:33:31.184136,"Epoch 0, computing tour length on test data batch 26"
2024-07-17T12:33:31.184602,"Epoch 0, Generating tour on test data batch 27"
2024-07-17T12:33:31.539555,"Epoch 0, computing tour length on test data batch 27"
2024-07-17T12:33:31.540028,"Epoch 0, Generating tour on test data batch 28"
2024-07-17T12:33:31.754000,"Epoch 0, computing tour length on test data batch 28"
2024-07-17T12:33:31.754459,"Epoch 0, Generating tour on test data batch 29"
2024-07-17T12:33:31.874018,"Epoch 0, computing tour length on test data batch 29"
2024-07-17T12:33:31.874482,"Epoch 0, Generating tour on test data batch 30"
2024-07-17T12:33:31.992172,"Epoch 0, computing tour length on test data batch 30"
2024-07-17T12:33:31.992637,"Epoch 0, Generating tour on test data batch 31"
2024-07-17T12:33:32.086268,"Epoch 0, computing tour length on test data batch 31"
2024-07-17T12:33:32.086732,"Epoch 0, Generating tour on test data batch 32"
2024-07-17T12:33:32.227258,"Epoch 0, computing tour length on test data batch 32"
