Timestamp,Event
2024-07-17T04:53:14.737480,"Epoch 0, Step 0 start"
2024-07-17T04:53:14.737500,Generating data
2024-07-17T04:53:14.740789,generating tours of train model
2024-07-17T04:53:24.126292,generating tours of baseline model
2024-07-17T04:53:24.158755,computing tour length of train model
2024-07-17T04:53:24.189906,computing tour length of baseline model
2024-07-17T04:53:24.190392,computing loss and backprop
2024-07-17T04:53:36.088975,"Epoch 0, Step 1 start"
2024-07-17T04:53:36.089020,generating tours of train model
2024-07-17T04:53:36.121301,generating tours of baseline model
2024-07-17T04:53:36.152316,computing tour length of train model
2024-07-17T04:53:36.152717,computing tour length of baseline model
2024-07-17T04:53:36.153060,computing loss and backprop
2024-07-17T04:53:36.221027,"Epoch 0, Step 2 start"
2024-07-17T04:53:36.221048,generating tours of train model
2024-07-17T04:53:36.251867,generating tours of baseline model
2024-07-17T04:53:36.282200,computing tour length of train model
2024-07-17T04:53:36.282528,computing tour length of baseline model
2024-07-17T04:53:36.282863,computing loss and backprop
2024-07-17T04:53:36.350151,"Epoch 0, Step 3 start"
2024-07-17T04:53:36.350171,generating tours of train model
2024-07-17T04:53:36.380852,generating tours of baseline model
2024-07-17T04:53:36.411459,computing tour length of train model
2024-07-17T04:53:36.411781,computing tour length of baseline model
2024-07-17T04:53:36.412115,computing loss and backprop
2024-07-17T04:53:36.479721,"Epoch 0, Step 4 start"
2024-07-17T04:53:36.479742,generating tours of train model
2024-07-17T04:53:36.510605,generating tours of baseline model
2024-07-17T04:53:36.541071,computing tour length of train model
2024-07-17T04:53:36.541394,computing tour length of baseline model
2024-07-17T04:53:36.541718,computing loss and backprop
2024-07-17T04:53:36.609034,"Epoch 0, Step 5 start"
2024-07-17T04:53:36.609054,generating tours of train model
2024-07-17T04:53:36.639911,generating tours of baseline model
2024-07-17T04:53:36.670508,computing tour length of train model
2024-07-17T04:53:36.670828,computing tour length of baseline model
2024-07-17T04:53:36.671169,computing loss and backprop
2024-07-17T04:53:36.738293,"Epoch 0, Step 6 start"
2024-07-17T04:53:36.738311,Generating data
2024-07-17T04:53:36.738597,generating tours of train model
2024-07-17T04:53:36.769199,generating tours of baseline model
2024-07-17T04:53:36.799855,computing tour length of train model
2024-07-17T04:53:36.800178,computing tour length of baseline model
2024-07-17T04:53:36.800502,computing loss and backprop
2024-07-17T04:53:36.868067,"Epoch 0, Step 7 start"
2024-07-17T04:53:36.868087,generating tours of train model
2024-07-17T04:53:36.898992,generating tours of baseline model
2024-07-17T04:53:36.929458,computing tour length of train model
2024-07-17T04:53:36.929776,computing tour length of baseline model
2024-07-17T04:53:36.930108,computing loss and backprop
2024-07-17T04:53:36.997440,"Epoch 0, Step 8 start"
2024-07-17T04:53:36.997460,generating tours of train model
2024-07-17T04:53:37.028281,generating tours of baseline model
2024-07-17T04:53:37.058631,computing tour length of train model
2024-07-17T04:53:37.058959,computing tour length of baseline model
2024-07-17T04:53:37.059284,computing loss and backprop
2024-07-17T04:53:37.126658,"Epoch 0, Step 9 start"
2024-07-17T04:53:37.126678,generating tours of train model
2024-07-17T04:53:37.157546,generating tours of baseline model
2024-07-17T04:53:37.188004,computing tour length of train model
2024-07-17T04:53:37.188323,computing tour length of baseline model
2024-07-17T04:53:37.188646,computing loss and backprop
2024-07-17T04:53:37.255922,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T04:53:37.312866,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T04:53:37.313584,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T04:53:37.371088,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T04:53:37.371766,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T04:53:37.429106,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T04:53:37.429773,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T04:53:37.487467,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T04:53:37.488161,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T04:53:37.545543,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T04:53:37.546245,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T04:53:37.603701,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T04:53:37.604391,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T04:53:37.661553,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T04:53:37.662246,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T04:53:37.719754,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T04:53:37.720430,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T04:53:37.777766,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T04:53:37.778440,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T04:53:37.835820,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T04:53:37.836494,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T04:53:37.894256,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T04:53:37.894934,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T04:53:37.952483,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T04:53:37.953156,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T04:53:38.010685,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T04:53:38.011359,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T04:53:38.068732,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T04:53:38.069405,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T04:53:38.126827,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T04:53:38.127501,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T04:53:38.184975,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T04:53:38.185655,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T04:53:38.243107,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T04:53:38.243770,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T04:53:38.301089,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T04:53:38.301898,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T04:53:38.359322,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T04:53:38.359998,"Epoch 0, Generating tour on test data batch 19"
2024-07-17T04:53:38.417335,"Epoch 0, computing tour length on test data batch 19"
2024-07-17T04:53:38.418006,"Epoch 0, Generating tour on test data batch 20"
2024-07-17T04:53:38.475518,"Epoch 0, computing tour length on test data batch 20"
2024-07-17T04:53:38.476192,"Epoch 0, Generating tour on test data batch 21"
2024-07-17T04:53:38.533694,"Epoch 0, computing tour length on test data batch 21"
2024-07-17T04:53:38.534361,"Epoch 0, Generating tour on test data batch 22"
2024-07-17T04:53:38.591789,"Epoch 0, computing tour length on test data batch 22"
2024-07-17T04:53:38.592462,"Epoch 0, Generating tour on test data batch 23"
2024-07-17T04:53:38.649905,"Epoch 0, computing tour length on test data batch 23"
2024-07-17T04:53:38.650572,"Epoch 0, Generating tour on test data batch 24"
2024-07-17T04:53:38.708002,"Epoch 0, computing tour length on test data batch 24"
2024-07-17T04:53:38.708660,"Epoch 0, Generating tour on test data batch 25"
2024-07-17T04:53:38.766070,"Epoch 0, computing tour length on test data batch 25"
2024-07-17T04:53:38.766733,"Epoch 0, Generating tour on test data batch 26"
2024-07-17T04:53:38.824190,"Epoch 0, computing tour length on test data batch 26"
2024-07-17T04:53:38.824860,"Epoch 0, Generating tour on test data batch 27"
2024-07-17T04:53:38.882549,"Epoch 0, computing tour length on test data batch 27"
2024-07-17T04:53:38.883220,"Epoch 0, Generating tour on test data batch 28"
2024-07-17T04:53:38.940584,"Epoch 0, computing tour length on test data batch 28"
2024-07-17T04:53:38.941256,"Epoch 0, Generating tour on test data batch 29"
2024-07-17T04:53:38.995104,"Epoch 0, computing tour length on test data batch 29"
2024-07-17T04:53:38.995555,"Epoch 0, Generating tour on test data batch 30"
2024-07-17T04:53:39.033431,"Epoch 0, computing tour length on test data batch 30"
2024-07-17T04:53:39.033888,"Epoch 0, Generating tour on test data batch 31"
2024-07-17T04:53:39.071558,"Epoch 0, computing tour length on test data batch 31"
2024-07-17T04:53:39.072013,"Epoch 0, Generating tour on test data batch 32"
2024-07-17T04:53:39.109885,"Epoch 0, computing tour length on test data batch 32"
2024-07-17T04:53:39.110330,"Epoch 0, Generating tour on test data batch 33"
2024-07-17T04:53:39.148039,"Epoch 0, computing tour length on test data batch 33"
2024-07-17T04:53:39.148492,"Epoch 0, Generating tour on test data batch 34"
2024-07-17T04:53:39.186289,"Epoch 0, computing tour length on test data batch 34"
2024-07-17T04:53:39.186735,"Epoch 0, Generating tour on test data batch 35"
2024-07-17T04:53:39.224563,"Epoch 0, computing tour length on test data batch 35"
2024-07-17T04:53:39.225037,"Epoch 0, Generating tour on test data batch 36"
2024-07-17T04:53:39.262825,"Epoch 0, computing tour length on test data batch 36"
2024-07-17T04:53:39.263275,"Epoch 0, Generating tour on test data batch 37"
