Timestamp,Event
2024-07-17T12:17:41.891039,"Epoch 0, Step 0 start"
2024-07-17T12:17:41.891058,Generating data
2024-07-17T12:17:41.896495,generating tours of train model
2024-07-17T12:17:57.039060,generating tours of baseline model
2024-07-17T12:17:57.886971,computing tour length of train model
2024-07-17T12:17:57.921053,computing tour length of baseline model
2024-07-17T12:17:57.921592,computing loss and backprop
2024-07-17T12:18:18.495210,"Epoch 0, Step 1 start"
2024-07-17T12:18:18.495250,generating tours of train model
2024-07-17T12:18:19.282310,generating tours of baseline model
2024-07-17T12:18:19.988699,computing tour length of train model
2024-07-17T12:18:19.989155,computing tour length of baseline model
2024-07-17T12:18:19.989500,computing loss and backprop
2024-07-17T12:18:20.903459,"Epoch 0, Step 2 start"
2024-07-17T12:18:20.903475,generating tours of train model
2024-07-17T12:18:21.375525,generating tours of baseline model
2024-07-17T12:18:22.052348,computing tour length of train model
2024-07-17T12:18:22.052610,computing tour length of baseline model
2024-07-17T12:18:22.052835,computing loss and backprop
2024-07-17T12:18:22.800590,"Epoch 0, Step 3 start"
2024-07-17T12:18:22.800603,generating tours of train model
2024-07-17T12:18:23.305116,generating tours of baseline model
2024-07-17T12:18:24.161092,computing tour length of train model
2024-07-17T12:18:24.161372,computing tour length of baseline model
2024-07-17T12:18:24.161599,computing loss and backprop
2024-07-17T12:18:24.865772,"Epoch 0, Step 4 start"
2024-07-17T12:18:24.865784,generating tours of train model
2024-07-17T12:18:25.755548,generating tours of baseline model
2024-07-17T12:18:26.240011,computing tour length of train model
2024-07-17T12:18:26.240265,computing tour length of baseline model
2024-07-17T12:18:26.240496,computing loss and backprop
2024-07-17T12:18:26.973336,"Epoch 0, Step 5 start"
2024-07-17T12:18:26.973352,generating tours of train model
2024-07-17T12:18:27.548205,generating tours of baseline model
2024-07-17T12:18:28.091605,computing tour length of train model
2024-07-17T12:18:28.091869,computing tour length of baseline model
2024-07-17T12:18:28.092099,computing loss and backprop
2024-07-17T12:18:28.841519,"Epoch 0, Step 6 start"
2024-07-17T12:18:28.841530,Generating data
2024-07-17T12:18:28.843111,generating tours of train model
2024-07-17T12:18:29.318631,generating tours of baseline model
2024-07-17T12:18:30.137808,computing tour length of train model
2024-07-17T12:18:30.138082,computing tour length of baseline model
2024-07-17T12:18:30.138316,computing loss and backprop
2024-07-17T12:18:30.843214,"Epoch 0, Step 7 start"
2024-07-17T12:18:30.843231,generating tours of train model
2024-07-17T12:18:31.734231,generating tours of baseline model
2024-07-17T12:18:32.392528,computing tour length of train model
2024-07-17T12:18:32.392787,computing tour length of baseline model
2024-07-17T12:18:32.393022,computing loss and backprop
2024-07-17T12:18:33.120892,"Epoch 0, Step 8 start"
2024-07-17T12:18:33.120915,generating tours of train model
2024-07-17T12:18:33.734192,generating tours of baseline model
2024-07-17T12:18:34.288440,computing tour length of train model
2024-07-17T12:18:34.288699,computing tour length of baseline model
2024-07-17T12:18:34.288935,computing loss and backprop
2024-07-17T12:18:35.038778,"Epoch 0, Step 9 start"
2024-07-17T12:18:35.038797,generating tours of train model
2024-07-17T12:18:35.523355,generating tours of baseline model
2024-07-17T12:18:36.365361,computing tour length of train model
2024-07-17T12:18:36.365650,computing tour length of baseline model
2024-07-17T12:18:36.365894,computing loss and backprop
2024-07-17T12:18:37.071622,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T12:18:38.244914,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T12:18:38.245612,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T12:18:39.206059,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T12:18:39.206604,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T12:18:40.180194,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T12:18:40.180726,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T12:18:41.355225,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T12:18:41.355749,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T12:18:42.396256,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T12:18:42.396813,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T12:18:43.316362,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T12:18:43.316894,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T12:18:44.475234,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T12:18:44.475747,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T12:18:45.592443,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T12:18:45.594198,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T12:18:46.433571,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T12:18:46.434102,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T12:18:47.593677,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T12:18:47.594232,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T12:18:48.724577,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T12:18:48.725116,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T12:18:49.663983,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T12:18:49.664519,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T12:18:50.795650,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T12:18:50.796185,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T12:18:51.953847,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T12:18:51.954381,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T12:18:52.829224,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T12:18:52.829769,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T12:18:53.913632,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T12:18:53.914171,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T12:18:55.069426,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T12:18:55.069968,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T12:18:56.002083,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T12:18:56.002602,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T12:18:57.045452,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T12:18:57.046001,"Epoch 0, Generating tour on test data batch 19"
2024-07-17T12:18:58.182776,"Epoch 0, computing tour length on test data batch 19"
2024-07-17T12:18:58.183309,"Epoch 0, Generating tour on test data batch 20"
2024-07-17T12:18:59.178705,"Epoch 0, computing tour length on test data batch 20"
2024-07-17T12:18:59.179225,"Epoch 0, Generating tour on test data batch 21"
2024-07-17T12:19:00.176357,"Epoch 0, computing tour length on test data batch 21"
2024-07-17T12:19:00.176867,"Epoch 0, Generating tour on test data batch 22"
2024-07-17T12:19:01.324999,"Epoch 0, computing tour length on test data batch 22"
2024-07-17T12:19:01.325538,"Epoch 0, Generating tour on test data batch 23"
2024-07-17T12:19:02.388572,"Epoch 0, computing tour length on test data batch 23"
2024-07-17T12:19:02.389094,"Epoch 0, Generating tour on test data batch 24"
2024-07-17T12:19:03.490841,"Epoch 0, computing tour length on test data batch 24"
2024-07-17T12:19:03.491376,"Epoch 0, Generating tour on test data batch 25"
2024-07-17T12:19:04.650326,"Epoch 0, computing tour length on test data batch 25"
2024-07-17T12:19:04.650869,"Epoch 0, Generating tour on test data batch 26"
2024-07-17T12:19:05.769965,"Epoch 0, computing tour length on test data batch 26"
2024-07-17T12:19:05.770486,"Epoch 0, Generating tour on test data batch 27"
2024-07-17T12:19:06.699540,"Epoch 0, computing tour length on test data batch 27"
2024-07-17T12:19:06.700067,"Epoch 0, Generating tour on test data batch 28"
2024-07-17T12:19:07.859710,"Epoch 0, computing tour length on test data batch 28"
2024-07-17T12:19:07.860254,"Epoch 0, Generating tour on test data batch 29"
2024-07-17T12:19:08.946047,"Epoch 0, computing tour length on test data batch 29"
2024-07-17T12:19:08.946567,"Epoch 0, Generating tour on test data batch 30"
2024-07-17T12:19:09.896635,"Epoch 0, computing tour length on test data batch 30"
2024-07-17T12:19:09.897159,"Epoch 0, Generating tour on test data batch 31"
2024-07-17T12:19:11.063531,"Epoch 0, computing tour length on test data batch 31"
2024-07-17T12:19:11.064073,"Epoch 0, Generating tour on test data batch 32"
2024-07-17T12:19:12.146494,"Epoch 0, computing tour length on test data batch 32"
2024-07-17T12:19:12.147029,"Epoch 0, Generating tour on test data batch 33"
2024-07-17T12:19:13.122976,"Epoch 0, computing tour length on test data batch 33"
2024-07-17T12:19:13.123491,"Epoch 0, Generating tour on test data batch 34"
2024-07-17T12:19:14.298947,"Epoch 0, computing tour length on test data batch 34"
2024-07-17T12:19:14.299476,"Epoch 0, Generating tour on test data batch 35"
2024-07-17T12:19:15.360603,"Epoch 0, computing tour length on test data batch 35"
2024-07-17T12:19:15.361146,"Epoch 0, Generating tour on test data batch 36"
2024-07-17T12:19:16.358061,"Epoch 0, computing tour length on test data batch 36"
2024-07-17T12:19:16.358571,"Epoch 0, Generating tour on test data batch 37"
2024-07-17T12:19:17.582786,"Epoch 0, computing tour length on test data batch 37"
2024-07-17T12:19:17.583338,"Epoch 0, Generating tour on test data batch 38"
2024-07-17T12:19:18.661513,"Epoch 0, computing tour length on test data batch 38"
2024-07-17T12:19:18.662051,"Epoch 0, Generating tour on test data batch 39"
2024-07-17T12:19:19.626372,"Epoch 0, computing tour length on test data batch 39"
2024-07-17T12:19:19.628416,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-17T12:19:19.645776,"Epoch 1, Step 0 start"
2024-07-17T12:19:19.645785,Generating data
2024-07-17T12:19:19.646523,generating tours of train model
2024-07-17T12:19:20.563993,generating tours of baseline model
2024-07-17T12:19:21.108183,computing tour length of train model
2024-07-17T12:19:21.108446,computing tour length of baseline model
2024-07-17T12:19:21.108680,computing loss and backprop
2024-07-17T12:19:21.844306,"Epoch 1, Step 1 start"
2024-07-17T12:19:21.844322,generating tours of train model
2024-07-17T12:19:22.604650,generating tours of baseline model
2024-07-17T12:19:23.127733,computing tour length of train model
2024-07-17T12:19:23.128001,computing tour length of baseline model
2024-07-17T12:19:23.128231,computing loss and backprop
2024-07-17T12:19:23.878786,"Epoch 1, Step 2 start"
2024-07-17T12:19:23.878800,generating tours of train model
2024-07-17T12:19:24.350028,generating tours of baseline model
2024-07-17T12:19:25.125888,computing tour length of train model
2024-07-17T12:19:25.126147,computing tour length of baseline model
2024-07-17T12:19:25.126372,computing loss and backprop
2024-07-17T12:19:25.858614,"Epoch 1, Step 3 start"
2024-07-17T12:19:25.858630,generating tours of train model
2024-07-17T12:19:26.374918,generating tours of baseline model
2024-07-17T12:19:27.265016,computing tour length of train model
2024-07-17T12:19:27.265283,computing tour length of baseline model
2024-07-17T12:19:27.265507,computing loss and backprop
2024-07-17T12:19:27.977712,"Epoch 1, Step 4 start"
2024-07-17T12:19:27.977728,generating tours of train model
2024-07-17T12:19:28.945368,generating tours of baseline model
2024-07-17T12:19:29.441093,computing tour length of train model
2024-07-17T12:19:29.441350,computing tour length of baseline model
2024-07-17T12:19:29.441573,computing loss and backprop
2024-07-17T12:19:30.179729,"Epoch 1, Step 5 start"
2024-07-17T12:19:30.179745,generating tours of train model
2024-07-17T12:19:30.735143,generating tours of baseline model
2024-07-17T12:19:31.313489,computing tour length of train model
2024-07-17T12:19:31.313749,computing tour length of baseline model
2024-07-17T12:19:31.313988,computing loss and backprop
2024-07-17T12:19:32.063502,"Epoch 1, Step 6 start"
2024-07-17T12:19:32.063515,Generating data
2024-07-17T12:19:32.065214,generating tours of train model
2024-07-17T12:19:32.523771,generating tours of baseline model
2024-07-17T12:19:33.263360,computing tour length of train model
2024-07-17T12:19:33.263655,computing tour length of baseline model
2024-07-17T12:19:33.263899,computing loss and backprop
2024-07-17T12:19:33.988378,"Epoch 1, Step 7 start"
2024-07-17T12:19:33.988392,generating tours of train model
2024-07-17T12:19:34.617967,generating tours of baseline model
2024-07-17T12:19:35.485054,computing tour length of train model
2024-07-17T12:19:35.485311,computing tour length of baseline model
2024-07-17T12:19:35.485535,computing loss and backprop
2024-07-17T12:19:36.191515,"Epoch 1, Step 8 start"
2024-07-17T12:19:36.191530,generating tours of train model
2024-07-17T12:19:37.059186,generating tours of baseline model
2024-07-17T12:19:37.577259,computing tour length of train model
2024-07-17T12:19:37.577523,computing tour length of baseline model
2024-07-17T12:19:37.577753,computing loss and backprop
2024-07-17T12:19:38.317194,"Epoch 1, Step 9 start"
2024-07-17T12:19:38.317205,generating tours of train model
2024-07-17T12:19:38.876641,generating tours of baseline model
2024-07-17T12:19:39.516057,computing tour length of train model
2024-07-17T12:19:39.516311,computing tour length of baseline model
2024-07-17T12:19:39.516538,computing loss and backprop
2024-07-17T12:19:40.253360,"Epoch 1, Generating tour on test data batch 0"
2024-07-17T12:19:41.198784,"Epoch 1, computing tour length on test data batch 0"
2024-07-17T12:19:41.199908,"Epoch 1, Generating tour on test data batch 1"
2024-07-17T12:19:42.287673,"Epoch 1, computing tour length on test data batch 1"
2024-07-17T12:19:42.288192,"Epoch 1, Generating tour on test data batch 2"
2024-07-17T12:19:43.478750,"Epoch 1, computing tour length on test data batch 2"
2024-07-17T12:19:43.479308,"Epoch 1, Generating tour on test data batch 3"
2024-07-17T12:19:44.609006,"Epoch 1, computing tour length on test data batch 3"
2024-07-17T12:19:44.609543,"Epoch 1, Generating tour on test data batch 4"
2024-07-17T12:19:45.625812,"Epoch 1, computing tour length on test data batch 4"
2024-07-17T12:19:45.626331,"Epoch 1, Generating tour on test data batch 5"
2024-07-17T12:19:46.811953,"Epoch 1, computing tour length on test data batch 5"
2024-07-17T12:19:46.812489,"Epoch 1, Generating tour on test data batch 6"
