Timestamp,Event
2024-08-06T14:53:21.334796,"Epoch 0, Step 0 start"
2024-08-06T14:53:21.334806,Generating data
2024-08-06T14:53:21.334932,generating tours of train model
2024-08-06T14:53:29.022158,generating tours of baseline model
2024-08-06T14:53:29.106561,computing tour length of train model
2024-08-06T14:53:29.170575,computing tour length of baseline model
2024-08-06T14:53:29.171222,computing loss and backprop
2024-08-06T14:53:38.707049,"Epoch 0, Step 1 start"
2024-08-06T14:53:38.707061,Generating data
2024-08-06T14:53:38.707364,generating tours of train model
2024-08-06T14:53:38.797605,generating tours of baseline model
2024-08-06T14:53:38.884227,computing tour length of train model
2024-08-06T14:53:38.884514,computing tour length of baseline model
2024-08-06T14:53:38.884827,computing loss and backprop
2024-08-06T14:53:39.083222,"Epoch 0, Step 2 start"
2024-08-06T14:53:39.083253,Generating data
2024-08-06T14:53:39.083776,generating tours of train model
2024-08-06T14:53:39.185690,generating tours of baseline model
2024-08-06T14:53:39.258135,computing tour length of train model
2024-08-06T14:53:39.258389,computing tour length of baseline model
2024-08-06T14:53:39.258619,computing loss and backprop
2024-08-06T14:53:39.383440,"Epoch 0, Step 3 start"
2024-08-06T14:53:39.383452,Generating data
2024-08-06T14:53:39.383698,generating tours of train model
2024-08-06T14:53:39.448149,generating tours of baseline model
2024-08-06T14:53:39.504862,computing tour length of train model
2024-08-06T14:53:39.505119,computing tour length of baseline model
2024-08-06T14:53:39.505352,computing loss and backprop
2024-08-06T14:53:39.627323,"Epoch 0, Step 4 start"
2024-08-06T14:53:39.627333,Generating data
2024-08-06T14:53:39.627578,generating tours of train model
2024-08-06T14:53:39.692208,generating tours of baseline model
2024-08-06T14:53:39.748408,computing tour length of train model
2024-08-06T14:53:39.748626,computing tour length of baseline model
2024-08-06T14:53:39.748849,computing loss and backprop
2024-08-06T14:53:39.868894,"Epoch 0, Step 5 start"
2024-08-06T14:53:39.868907,Generating data
2024-08-06T14:53:39.869264,generating tours of train model
2024-08-06T14:53:39.934173,generating tours of baseline model
2024-08-06T14:53:39.990296,computing tour length of train model
2024-08-06T14:53:39.990508,computing tour length of baseline model
2024-08-06T14:53:39.990730,computing loss and backprop
2024-08-06T14:53:40.110857,"Epoch 0, Step 6 start"
2024-08-06T14:53:40.110869,Generating data
2024-08-06T14:53:40.111136,generating tours of train model
2024-08-06T14:53:40.175766,generating tours of baseline model
2024-08-06T14:53:40.231704,computing tour length of train model
2024-08-06T14:53:40.231913,computing tour length of baseline model
2024-08-06T14:53:40.232133,computing loss and backprop
2024-08-06T14:53:40.351611,"Epoch 0, Step 7 start"
2024-08-06T14:53:40.351622,Generating data
2024-08-06T14:53:40.351838,generating tours of train model
2024-08-06T14:53:40.415900,generating tours of baseline model
2024-08-06T14:53:40.471991,computing tour length of train model
2024-08-06T14:53:40.472212,computing tour length of baseline model
2024-08-06T14:53:40.472438,computing loss and backprop
2024-08-06T14:53:40.595045,"Epoch 0, Step 8 start"
2024-08-06T14:53:40.595057,Generating data
2024-08-06T14:53:40.595304,generating tours of train model
2024-08-06T14:53:40.660143,generating tours of baseline model
2024-08-06T14:53:40.716680,computing tour length of train model
2024-08-06T14:53:40.716915,computing tour length of baseline model
2024-08-06T14:53:40.717150,computing loss and backprop
2024-08-06T14:53:40.837175,"Epoch 0, Step 9 start"
2024-08-06T14:53:40.837187,Generating data
2024-08-06T14:53:40.837503,generating tours of train model
2024-08-06T14:53:40.902270,generating tours of baseline model
2024-08-06T14:53:40.958448,computing tour length of train model
2024-08-06T14:53:40.958662,computing tour length of baseline model
2024-08-06T14:53:40.958886,computing loss and backprop
2024-08-06T14:53:41.081016,"Epoch 0, Step 10 start"
2024-08-06T14:53:41.081029,Generating data
2024-08-06T14:53:41.081285,generating tours of train model
2024-08-06T14:53:41.146722,generating tours of baseline model
2024-08-06T14:53:41.203006,computing tour length of train model
2024-08-06T14:53:41.203247,computing tour length of baseline model
2024-08-06T14:53:41.203477,computing loss and backprop
2024-08-06T14:53:41.324287,"Epoch 0, Step 11 start"
2024-08-06T14:53:41.324297,Generating data
2024-08-06T14:53:41.324555,generating tours of train model
2024-08-06T14:53:41.389362,generating tours of baseline model
2024-08-06T14:53:41.445704,computing tour length of train model
2024-08-06T14:53:41.445936,computing tour length of baseline model
2024-08-06T14:53:41.446170,computing loss and backprop
2024-08-06T14:53:41.567876,"Epoch 0, Step 12 start"
2024-08-06T14:53:41.567887,Generating data
2024-08-06T14:53:41.568289,generating tours of train model
2024-08-06T14:53:41.633407,generating tours of baseline model
2024-08-06T14:53:41.689567,computing tour length of train model
2024-08-06T14:53:41.689802,computing tour length of baseline model
2024-08-06T14:53:41.690049,computing loss and backprop
2024-08-06T14:53:41.810425,"Epoch 0, Step 13 start"
2024-08-06T14:53:41.810444,Generating data
2024-08-06T14:53:41.810685,generating tours of train model
2024-08-06T14:53:41.874861,generating tours of baseline model
2024-08-06T14:53:41.931087,computing tour length of train model
2024-08-06T14:53:41.931307,computing tour length of baseline model
2024-08-06T14:53:41.931530,computing loss and backprop
2024-08-06T14:53:42.050882,"Epoch 0, Step 14 start"
2024-08-06T14:53:42.050894,Generating data
2024-08-06T14:53:42.051165,generating tours of train model
2024-08-06T14:53:42.115775,generating tours of baseline model
2024-08-06T14:53:42.171910,computing tour length of train model
2024-08-06T14:53:42.172120,computing tour length of baseline model
2024-08-06T14:53:42.172403,computing loss and backprop
2024-08-06T14:53:42.292296,"Epoch 0, Step 15 start"
2024-08-06T14:53:42.292309,Generating data
2024-08-06T14:53:42.292548,generating tours of train model
2024-08-06T14:53:42.357355,generating tours of baseline model
2024-08-06T14:53:42.413788,computing tour length of train model
2024-08-06T14:53:42.414033,computing tour length of baseline model
2024-08-06T14:53:42.414303,computing loss and backprop
2024-08-06T14:53:42.535723,"Epoch 0, Step 16 start"
2024-08-06T14:53:42.535735,Generating data
2024-08-06T14:53:42.536186,generating tours of train model
2024-08-06T14:53:42.601743,generating tours of baseline model
2024-08-06T14:53:42.658209,computing tour length of train model
2024-08-06T14:53:42.658447,computing tour length of baseline model
2024-08-06T14:53:42.658672,computing loss and backprop
2024-08-06T14:53:42.779075,"Epoch 0, Step 17 start"
2024-08-06T14:53:42.779087,Generating data
2024-08-06T14:53:42.779349,generating tours of train model
2024-08-06T14:53:42.844308,generating tours of baseline model
2024-08-06T14:53:42.900688,computing tour length of train model
2024-08-06T14:53:42.900933,computing tour length of baseline model
2024-08-06T14:53:42.901156,computing loss and backprop
2024-08-06T14:53:43.020741,"Epoch 0, Step 18 start"
2024-08-06T14:53:43.020751,Generating data
2024-08-06T14:53:43.020974,generating tours of train model
2024-08-06T14:53:43.085754,generating tours of baseline model
2024-08-06T14:53:43.142449,computing tour length of train model
2024-08-06T14:53:43.142716,computing tour length of baseline model
2024-08-06T14:53:43.142947,computing loss and backprop
2024-08-06T14:53:43.266096,"Epoch 0, Step 19 start"
2024-08-06T14:53:43.266109,Generating data
2024-08-06T14:53:43.266361,generating tours of train model
2024-08-06T14:53:43.331587,generating tours of baseline model
2024-08-06T14:53:43.387884,computing tour length of train model
2024-08-06T14:53:43.388120,computing tour length of baseline model
2024-08-06T14:53:43.388361,computing loss and backprop
2024-08-06T14:53:43.509474,Testing on test data split 1
2024-08-06T14:53:43.739602,Testing on test data split 2
2024-08-06T14:53:43.987374,Testing on test data split 3
2024-08-06T14:53:44.234348,Testing on test data split 4
2024-08-06T14:53:44.468300,Testing on val data split 1
2024-08-06T14:53:44.702152,Testing on val data split 2
2024-08-06T14:53:44.935015,Testing on val data split 3
2024-08-06T14:53:45.165848,Testing on val data split 4
2024-08-06T14:53:45.396661,Testing on val data split 5
2024-08-06T14:53:45.630641,Testing on val data split 6
2024-08-06T14:53:45.863452,Testing on val data split 7
2024-08-06T14:53:46.095791,Testing on val data split 8
2024-08-06T14:53:46.326663,Testing on val data split 9
2024-08-06T14:53:46.558799,Testing on val data split 10
2024-08-06T14:53:46.791690,Testing on val data split 11
2024-08-06T14:53:47.025039,Testing on val data split 12
2024-08-06T14:53:47.256403,Testing on val data split 13
2024-08-06T14:53:47.488046,Testing on val data split 14
2024-08-06T14:53:47.722078,Testing on val data split 15
2024-08-06T14:53:47.955350,Testing on val data split 16
2024-08-06T14:53:48.187547,Testing on val data split 17
2024-08-06T14:53:48.419412,Testing on val data split 18
2024-08-06T14:53:48.650788,Testing on val data split 19
2024-08-06T14:53:48.894024,Testing on val data split 20
2024-08-06T14:53:49.166751,"Epoch 1, Step 0 start"
2024-08-06T14:53:49.166775,Generating data
2024-08-06T14:53:49.167023,generating tours of train model
2024-08-06T14:53:49.255537,generating tours of baseline model
2024-08-06T14:53:49.310908,computing tour length of train model
2024-08-06T14:53:49.311149,computing tour length of baseline model
2024-08-06T14:53:49.311378,computing loss and backprop
2024-08-06T14:53:49.433655,"Epoch 1, Step 1 start"
2024-08-06T14:53:49.433667,Generating data
2024-08-06T14:53:49.434247,generating tours of train model
2024-08-06T14:53:49.500810,generating tours of baseline model
2024-08-06T14:53:49.556507,computing tour length of train model
2024-08-06T14:53:49.556749,computing tour length of baseline model
2024-08-06T14:53:49.556976,computing loss and backprop
2024-08-06T14:53:49.678393,"Epoch 1, Step 2 start"
2024-08-06T14:53:49.678404,Generating data
2024-08-06T14:53:49.678573,generating tours of train model
2024-08-06T14:53:49.742927,generating tours of baseline model
2024-08-06T14:53:49.798934,computing tour length of train model
2024-08-06T14:53:49.799213,computing tour length of baseline model
2024-08-06T14:53:49.799514,computing loss and backprop
2024-08-06T14:53:49.919642,"Epoch 1, Step 3 start"
2024-08-06T14:53:49.919652,Generating data
2024-08-06T14:53:49.919945,generating tours of train model
2024-08-06T14:53:49.984084,generating tours of baseline model
2024-08-06T14:53:50.039658,computing tour length of train model
2024-08-06T14:53:50.039875,computing tour length of baseline model
2024-08-06T14:53:50.040098,computing loss and backprop
2024-08-06T14:53:50.160945,"Epoch 1, Step 4 start"
2024-08-06T14:53:50.160954,Generating data
2024-08-06T14:53:50.161253,generating tours of train model
2024-08-06T14:53:50.225728,generating tours of baseline model
2024-08-06T14:53:50.281508,computing tour length of train model
2024-08-06T14:53:50.281749,computing tour length of baseline model
2024-08-06T14:53:50.281996,computing loss and backprop
2024-08-06T14:53:50.403417,"Epoch 1, Step 5 start"
2024-08-06T14:53:50.403428,Generating data
2024-08-06T14:53:50.403734,generating tours of train model
2024-08-06T14:53:50.467567,generating tours of baseline model
2024-08-06T14:53:50.524920,computing tour length of train model
2024-08-06T14:53:50.525170,computing tour length of baseline model
2024-08-06T14:53:50.525397,computing loss and backprop
2024-08-06T14:53:50.647345,"Epoch 1, Step 6 start"
2024-08-06T14:53:50.647356,Generating data
2024-08-06T14:53:50.647672,generating tours of train model
2024-08-06T14:53:50.711931,generating tours of baseline model
2024-08-06T14:53:50.767284,computing tour length of train model
2024-08-06T14:53:50.767492,computing tour length of baseline model
2024-08-06T14:53:50.767714,computing loss and backprop
2024-08-06T14:53:50.889017,"Epoch 1, Step 7 start"
2024-08-06T14:53:50.889028,Generating data
2024-08-06T14:53:50.889202,generating tours of train model
2024-08-06T14:53:50.953094,generating tours of baseline model
2024-08-06T14:53:51.008533,computing tour length of train model
2024-08-06T14:53:51.008744,computing tour length of baseline model
2024-08-06T14:53:51.008967,computing loss and backprop
2024-08-06T14:53:51.129645,"Epoch 1, Step 8 start"
2024-08-06T14:53:51.129655,Generating data
2024-08-06T14:53:51.129991,generating tours of train model
2024-08-06T14:53:51.193810,generating tours of baseline model
2024-08-06T14:53:51.249760,computing tour length of train model
2024-08-06T14:53:51.250024,computing tour length of baseline model
2024-08-06T14:53:51.250259,computing loss and backprop
2024-08-06T14:53:51.370696,"Epoch 1, Step 9 start"
2024-08-06T14:53:51.370706,Generating data
2024-08-06T14:53:51.371009,generating tours of train model
2024-08-06T14:53:51.434863,generating tours of baseline model
2024-08-06T14:53:51.491944,computing tour length of train model
2024-08-06T14:53:51.492204,computing tour length of baseline model
2024-08-06T14:53:51.492460,computing loss and backprop
2024-08-06T14:53:51.616626,"Epoch 1, Step 10 start"
2024-08-06T14:53:51.616638,Generating data
2024-08-06T14:53:51.617031,generating tours of train model
2024-08-06T14:53:51.681419,generating tours of baseline model
2024-08-06T14:53:51.737031,computing tour length of train model
2024-08-06T14:53:51.737265,computing tour length of baseline model
2024-08-06T14:53:51.737485,computing loss and backprop
2024-08-06T14:53:51.857994,"Epoch 1, Step 11 start"
2024-08-06T14:53:51.858005,Generating data
2024-08-06T14:53:51.858304,generating tours of train model
2024-08-06T14:53:51.922254,generating tours of baseline model
2024-08-06T14:53:51.977699,computing tour length of train model
2024-08-06T14:53:51.977905,computing tour length of baseline model
2024-08-06T14:53:51.978148,computing loss and backprop
2024-08-06T14:53:52.098229,"Epoch 1, Step 12 start"
2024-08-06T14:53:52.098242,Generating data
2024-08-06T14:53:52.098586,generating tours of train model
2024-08-06T14:53:52.162307,generating tours of baseline model
2024-08-06T14:53:52.217954,computing tour length of train model
2024-08-06T14:53:52.218176,computing tour length of baseline model
2024-08-06T14:53:52.218397,computing loss and backprop
2024-08-06T14:53:52.337862,"Epoch 1, Step 13 start"
2024-08-06T14:53:52.337872,Generating data
2024-08-06T14:53:52.338202,generating tours of train model
2024-08-06T14:53:52.401558,generating tours of baseline model
2024-08-06T14:53:52.456903,computing tour length of train model
2024-08-06T14:53:52.457113,computing tour length of baseline model
2024-08-06T14:53:52.457335,computing loss and backprop
2024-08-06T14:53:52.578713,"Epoch 1, Step 14 start"
2024-08-06T14:53:52.578725,Generating data
2024-08-06T14:53:52.579104,generating tours of train model
2024-08-06T14:53:52.643421,generating tours of baseline model
2024-08-06T14:53:52.699025,computing tour length of train model
2024-08-06T14:53:52.699259,computing tour length of baseline model
2024-08-06T14:53:52.699480,computing loss and backprop
2024-08-06T14:53:52.819437,"Epoch 1, Step 15 start"
2024-08-06T14:53:52.819450,Generating data
2024-08-06T14:53:52.819784,generating tours of train model
2024-08-06T14:53:52.883427,generating tours of baseline model
2024-08-06T14:53:52.938985,computing tour length of train model
2024-08-06T14:53:52.939193,computing tour length of baseline model
2024-08-06T14:53:52.939412,computing loss and backprop
2024-08-06T14:53:53.058789,"Epoch 1, Step 16 start"
2024-08-06T14:53:53.058799,Generating data
2024-08-06T14:53:53.059067,generating tours of train model
2024-08-06T14:53:53.123337,generating tours of baseline model
2024-08-06T14:53:53.179052,computing tour length of train model
2024-08-06T14:53:53.179272,computing tour length of baseline model
2024-08-06T14:53:53.179492,computing loss and backprop
2024-08-06T14:53:53.298653,"Epoch 1, Step 17 start"
2024-08-06T14:53:53.298666,Generating data
2024-08-06T14:53:53.298963,generating tours of train model
2024-08-06T14:53:53.362862,generating tours of baseline model
2024-08-06T14:53:53.418160,computing tour length of train model
2024-08-06T14:53:53.418366,computing tour length of baseline model
2024-08-06T14:53:53.418586,computing loss and backprop
2024-08-06T14:53:53.540275,"Epoch 1, Step 18 start"
2024-08-06T14:53:53.540287,Generating data
2024-08-06T14:53:53.540626,generating tours of train model
2024-08-06T14:53:53.607614,generating tours of baseline model
2024-08-06T14:53:53.663654,computing tour length of train model
2024-08-06T14:53:53.663903,computing tour length of baseline model
2024-08-06T14:53:53.664130,computing loss and backprop
2024-08-06T14:53:53.821309,"Epoch 1, Step 19 start"
2024-08-06T14:53:53.821337,Generating data
2024-08-06T14:53:53.821585,generating tours of train model
2024-08-06T14:53:53.919840,generating tours of baseline model
2024-08-06T14:53:54.004974,computing tour length of train model
2024-08-06T14:53:54.005382,computing tour length of baseline model
2024-08-06T14:53:54.005760,computing loss and backprop
2024-08-06T14:53:54.199416,Testing on test data split 1
2024-08-06T14:53:54.429506,Testing on test data split 2
2024-08-06T14:53:54.661513,Testing on test data split 3
2024-08-06T14:53:54.892794,Testing on test data split 4
2024-08-06T14:53:55.125082,Testing on val data split 1
2024-08-06T14:53:55.359880,Testing on val data split 2
2024-08-06T14:53:55.592682,Testing on val data split 3
2024-08-06T14:53:55.824449,Testing on val data split 4
2024-08-06T14:53:56.056438,Testing on val data split 5
2024-08-06T14:53:56.290967,Testing on val data split 6
2024-08-06T14:53:56.526587,Testing on val data split 7
2024-08-06T14:53:56.758850,Testing on val data split 8
2024-08-06T14:53:56.990829,Testing on val data split 9
2024-08-06T14:53:57.225903,Testing on val data split 10
2024-08-06T14:53:57.458559,Testing on val data split 11
2024-08-06T14:53:57.690897,Testing on val data split 12
2024-08-06T14:53:57.923241,Testing on val data split 13
2024-08-06T14:53:58.156020,Testing on val data split 14
2024-08-06T14:53:58.390982,Testing on val data split 15
2024-08-06T14:53:58.623368,Testing on val data split 16
2024-08-06T14:53:58.865344,Testing on val data split 17
2024-08-06T14:53:59.110801,Testing on val data split 18
2024-08-06T14:53:59.349647,Testing on val data split 19
2024-08-06T14:53:59.582291,Testing on val data split 20
2024-08-06T14:53:59.833694,"Epoch 2, Step 0 start"
2024-08-06T14:53:59.833706,Generating data
2024-08-06T14:53:59.833865,generating tours of train model
2024-08-06T14:53:59.899221,generating tours of baseline model
2024-08-06T14:53:59.954588,computing tour length of train model
2024-08-06T14:53:59.954827,computing tour length of baseline model
2024-08-06T14:53:59.955058,computing loss and backprop
2024-08-06T14:54:00.078812,"Epoch 2, Step 1 start"
2024-08-06T14:54:00.078824,Generating data
2024-08-06T14:54:00.079074,generating tours of train model
2024-08-06T14:54:00.142690,generating tours of baseline model
2024-08-06T14:54:00.198368,computing tour length of train model
2024-08-06T14:54:00.198577,computing tour length of baseline model
2024-08-06T14:54:00.198795,computing loss and backprop
2024-08-06T14:54:00.321045,"Epoch 2, Step 2 start"
2024-08-06T14:54:00.321055,Generating data
2024-08-06T14:54:00.321202,generating tours of train model
2024-08-06T14:54:00.384767,generating tours of baseline model
2024-08-06T14:54:00.440316,computing tour length of train model
2024-08-06T14:54:00.440524,computing tour length of baseline model
2024-08-06T14:54:00.440744,computing loss and backprop
2024-08-06T14:54:00.565181,"Epoch 2, Step 3 start"
2024-08-06T14:54:00.565195,Generating data
2024-08-06T14:54:00.565464,generating tours of train model
2024-08-06T14:54:00.629835,generating tours of baseline model
2024-08-06T14:54:00.685401,computing tour length of train model
2024-08-06T14:54:00.685634,computing tour length of baseline model
2024-08-06T14:54:00.685857,computing loss and backprop
2024-08-06T14:54:00.807311,"Epoch 2, Step 4 start"
2024-08-06T14:54:00.807321,Generating data
2024-08-06T14:54:00.807506,generating tours of train model
2024-08-06T14:54:00.871525,generating tours of baseline model
2024-08-06T14:54:00.927049,computing tour length of train model
2024-08-06T14:54:00.927279,computing tour length of baseline model
2024-08-06T14:54:00.927503,computing loss and backprop
2024-08-06T14:54:01.050565,"Epoch 2, Step 5 start"
2024-08-06T14:54:01.050575,Generating data
2024-08-06T14:54:01.050803,generating tours of train model
2024-08-06T14:54:01.114756,generating tours of baseline model
2024-08-06T14:54:01.170633,computing tour length of train model
2024-08-06T14:54:01.170853,computing tour length of baseline model
2024-08-06T14:54:01.171072,computing loss and backprop
2024-08-06T14:54:01.292374,"Epoch 2, Step 6 start"
2024-08-06T14:54:01.292385,Generating data
2024-08-06T14:54:01.292533,generating tours of train model
2024-08-06T14:54:01.356501,generating tours of baseline model
