Timestamp,Event
2024-07-15T15:40:05.093928,"Epoch 0, Step 0 start"
2024-07-15T15:40:05.093946,Generating data
2024-07-15T15:40:05.124954,generating tours of train model
2024-07-15T15:40:16.073054,generating tours of baseline model
2024-07-15T15:40:16.275151,computing tour length of train model
2024-07-15T15:40:16.409909,computing tour length of baseline model
2024-07-15T15:40:16.410515,computing loss and backprop
2024-07-15T15:40:32.547998,"Epoch 0, Step 1 start"
2024-07-15T15:40:32.548037,generating tours of train model
2024-07-15T15:40:32.713015,generating tours of baseline model
2024-07-15T15:40:32.874040,computing tour length of train model
2024-07-15T15:40:32.874469,computing tour length of baseline model
2024-07-15T15:40:32.874816,computing loss and backprop
2024-07-15T15:40:33.155400,"Epoch 0, Step 2 start"
2024-07-15T15:40:33.155421,generating tours of train model
2024-07-15T15:40:33.321329,generating tours of baseline model
2024-07-15T15:40:33.481792,computing tour length of train model
2024-07-15T15:40:33.482159,computing tour length of baseline model
2024-07-15T15:40:33.482499,computing loss and backprop
2024-07-15T15:40:33.760769,"Epoch 0, Step 3 start"
2024-07-15T15:40:33.760790,generating tours of train model
2024-07-15T15:40:33.922758,generating tours of baseline model
2024-07-15T15:40:34.083214,computing tour length of train model
2024-07-15T15:40:34.083562,computing tour length of baseline model
2024-07-15T15:40:34.083900,computing loss and backprop
2024-07-15T15:40:34.363919,"Epoch 0, Step 4 start"
2024-07-15T15:40:34.363939,generating tours of train model
2024-07-15T15:40:34.527054,generating tours of baseline model
2024-07-15T15:40:34.688509,computing tour length of train model
2024-07-15T15:40:34.688865,computing tour length of baseline model
2024-07-15T15:40:34.689202,computing loss and backprop
2024-07-15T15:40:34.965893,"Epoch 0, Step 5 start"
2024-07-15T15:40:34.965912,generating tours of train model
2024-07-15T15:40:35.128528,generating tours of baseline model
2024-07-15T15:40:35.289460,computing tour length of train model
2024-07-15T15:40:35.289808,computing tour length of baseline model
2024-07-15T15:40:35.290162,computing loss and backprop
2024-07-15T15:40:35.522329,"Epoch 0, Step 6 start"
2024-07-15T15:40:35.522344,Generating data
2024-07-15T15:40:35.523542,generating tours of train model
2024-07-15T15:40:35.633630,generating tours of baseline model
2024-07-15T15:40:35.740368,computing tour length of train model
2024-07-15T15:40:35.740604,computing tour length of baseline model
2024-07-15T15:40:35.740826,computing loss and backprop
2024-07-15T15:40:35.922945,"Epoch 0, Step 7 start"
2024-07-15T15:40:35.922959,generating tours of train model
2024-07-15T15:40:36.031461,generating tours of baseline model
2024-07-15T15:40:36.138339,computing tour length of train model
2024-07-15T15:40:36.138579,computing tour length of baseline model
2024-07-15T15:40:36.138804,computing loss and backprop
2024-07-15T15:40:36.321063,"Epoch 0, Step 8 start"
2024-07-15T15:40:36.321078,generating tours of train model
2024-07-15T15:40:36.429111,generating tours of baseline model
2024-07-15T15:40:36.536066,computing tour length of train model
2024-07-15T15:40:36.536301,computing tour length of baseline model
2024-07-15T15:40:36.536522,computing loss and backprop
2024-07-15T15:40:36.718754,"Epoch 0, Step 9 start"
2024-07-15T15:40:36.718769,generating tours of train model
2024-07-15T15:40:36.827039,generating tours of baseline model
2024-07-15T15:40:36.933893,computing tour length of train model
2024-07-15T15:40:36.934132,computing tour length of baseline model
2024-07-15T15:40:36.934354,computing loss and backprop
2024-07-15T15:40:37.117274,"Epoch 0, Generating tour on test data batch 0"
2024-07-15T15:40:37.300929,"Epoch 0, computing tour length on test data batch 0"
2024-07-15T15:40:37.301600,"Epoch 0, Generating tour on test data batch 1"
2024-07-15T15:40:37.486428,"Epoch 0, computing tour length on test data batch 1"
2024-07-15T15:40:37.486912,"Epoch 0, Generating tour on test data batch 2"
2024-07-15T15:40:37.673871,"Epoch 0, computing tour length on test data batch 2"
2024-07-15T15:40:37.674344,"Epoch 0, Generating tour on test data batch 3"
2024-07-15T15:40:37.859699,"Epoch 0, computing tour length on test data batch 3"
2024-07-15T15:40:37.860184,"Epoch 0, Generating tour on test data batch 4"
2024-07-15T15:40:38.045648,"Epoch 0, computing tour length on test data batch 4"
2024-07-15T15:40:38.046140,"Epoch 0, Generating tour on test data batch 5"
2024-07-15T15:40:38.231195,"Epoch 0, computing tour length on test data batch 5"
2024-07-15T15:40:38.231672,"Epoch 0, Generating tour on test data batch 6"
2024-07-15T15:40:38.416609,"Epoch 0, computing tour length on test data batch 6"
2024-07-15T15:40:38.417094,"Epoch 0, Generating tour on test data batch 7"
2024-07-15T15:40:38.602091,"Epoch 0, computing tour length on test data batch 7"
2024-07-15T15:40:38.602571,"Epoch 0, Generating tour on test data batch 8"
2024-07-15T15:40:38.787920,"Epoch 0, computing tour length on test data batch 8"
2024-07-15T15:40:38.788393,"Epoch 0, Generating tour on test data batch 9"
2024-07-15T15:40:38.973392,"Epoch 0, computing tour length on test data batch 9"
2024-07-15T15:40:38.973878,"Epoch 0, Generating tour on test data batch 10"
2024-07-15T15:40:39.159632,"Epoch 0, computing tour length on test data batch 10"
2024-07-15T15:40:39.160126,"Epoch 0, Generating tour on test data batch 11"
2024-07-15T15:40:39.344630,"Epoch 0, computing tour length on test data batch 11"
2024-07-15T15:40:39.345119,"Epoch 0, Generating tour on test data batch 12"
2024-07-15T15:40:39.531943,"Epoch 0, computing tour length on test data batch 12"
2024-07-15T15:40:39.532510,"Epoch 0, Generating tour on test data batch 13"
2024-07-15T15:40:39.752063,"Epoch 0, computing tour length on test data batch 13"
2024-07-15T15:40:39.753156,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-15T15:40:39.762679,"Epoch 1, Step 0 start"
2024-07-15T15:40:39.762689,Generating data
2024-07-15T15:40:39.762979,generating tours of train model
2024-07-15T15:40:39.871693,generating tours of baseline model
2024-07-15T15:40:39.987216,computing tour length of train model
2024-07-15T15:40:39.987452,computing tour length of baseline model
2024-07-15T15:40:39.987686,computing loss and backprop
2024-07-15T15:40:40.173258,"Epoch 1, Step 1 start"
2024-07-15T15:40:40.173272,generating tours of train model
2024-07-15T15:40:40.282159,generating tours of baseline model
2024-07-15T15:40:40.389395,computing tour length of train model
2024-07-15T15:40:40.389631,computing tour length of baseline model
2024-07-15T15:40:40.389860,computing loss and backprop
2024-07-15T15:40:40.575023,"Epoch 1, Step 2 start"
2024-07-15T15:40:40.575038,generating tours of train model
2024-07-15T15:40:40.684693,generating tours of baseline model
2024-07-15T15:40:40.791923,computing tour length of train model
2024-07-15T15:40:40.792165,computing tour length of baseline model
2024-07-15T15:40:40.792386,computing loss and backprop
2024-07-15T15:40:40.976685,"Epoch 1, Step 3 start"
2024-07-15T15:40:40.976700,generating tours of train model
2024-07-15T15:40:41.085616,generating tours of baseline model
2024-07-15T15:40:41.192449,computing tour length of train model
2024-07-15T15:40:41.192683,computing tour length of baseline model
2024-07-15T15:40:41.192911,computing loss and backprop
2024-07-15T15:40:41.375761,"Epoch 1, Step 4 start"
2024-07-15T15:40:41.375775,generating tours of train model
2024-07-15T15:40:41.484324,generating tours of baseline model
2024-07-15T15:40:41.591245,computing tour length of train model
2024-07-15T15:40:41.591478,computing tour length of baseline model
2024-07-15T15:40:41.591703,computing loss and backprop
2024-07-15T15:40:41.775154,"Epoch 1, Step 5 start"
2024-07-15T15:40:41.775168,generating tours of train model
2024-07-15T15:40:41.884112,generating tours of baseline model
2024-07-15T15:40:41.991493,computing tour length of train model
2024-07-15T15:40:41.991725,computing tour length of baseline model
2024-07-15T15:40:41.991957,computing loss and backprop
2024-07-15T15:40:42.175856,"Epoch 1, Step 6 start"
2024-07-15T15:40:42.175868,Generating data
2024-07-15T15:40:42.177019,generating tours of train model
2024-07-15T15:40:42.285011,generating tours of baseline model
2024-07-15T15:40:42.392002,computing tour length of train model
2024-07-15T15:40:42.392236,computing tour length of baseline model
2024-07-15T15:40:42.392456,computing loss and backprop
2024-07-15T15:40:42.575564,"Epoch 1, Step 7 start"
2024-07-15T15:40:42.575577,generating tours of train model
2024-07-15T15:40:42.684953,generating tours of baseline model
2024-07-15T15:40:42.792236,computing tour length of train model
2024-07-15T15:40:42.792470,computing tour length of baseline model
2024-07-15T15:40:42.792797,computing loss and backprop
2024-07-15T15:40:42.976341,"Epoch 1, Step 8 start"
2024-07-15T15:40:42.976355,generating tours of train model
2024-07-15T15:40:43.199147,generating tours of baseline model
2024-07-15T15:40:43.307033,computing tour length of train model
2024-07-15T15:40:43.307286,computing tour length of baseline model
2024-07-15T15:40:43.307513,computing loss and backprop
2024-07-15T15:40:43.492894,"Epoch 1, Step 9 start"
2024-07-15T15:40:43.492907,generating tours of train model
2024-07-15T15:40:43.602284,generating tours of baseline model
2024-07-15T15:40:43.710128,computing tour length of train model
2024-07-15T15:40:43.710363,computing tour length of baseline model
2024-07-15T15:40:43.710582,computing loss and backprop
2024-07-15T15:40:43.894120,"Epoch 1, Generating tour on test data batch 0"
2024-07-15T15:40:44.081633,"Epoch 1, computing tour length on test data batch 0"
2024-07-15T15:40:44.082320,"Epoch 1, Generating tour on test data batch 1"
2024-07-15T15:40:44.267622,"Epoch 1, computing tour length on test data batch 1"
2024-07-15T15:40:44.268109,"Epoch 1, Generating tour on test data batch 2"
2024-07-15T15:40:44.454862,"Epoch 1, computing tour length on test data batch 2"
2024-07-15T15:40:44.455359,"Epoch 1, Generating tour on test data batch 3"
2024-07-15T15:40:44.641004,"Epoch 1, computing tour length on test data batch 3"
2024-07-15T15:40:44.641492,"Epoch 1, Generating tour on test data batch 4"
2024-07-15T15:40:44.827008,"Epoch 1, computing tour length on test data batch 4"
2024-07-15T15:40:44.827492,"Epoch 1, Generating tour on test data batch 5"
2024-07-15T15:40:45.012113,"Epoch 1, computing tour length on test data batch 5"
2024-07-15T15:40:45.012589,"Epoch 1, Generating tour on test data batch 6"
2024-07-15T15:40:45.198272,"Epoch 1, computing tour length on test data batch 6"
2024-07-15T15:40:45.198756,"Epoch 1, Generating tour on test data batch 7"
2024-07-15T15:40:45.384400,"Epoch 1, computing tour length on test data batch 7"
2024-07-15T15:40:45.384894,"Epoch 1, Generating tour on test data batch 8"
2024-07-15T15:40:45.571329,"Epoch 1, computing tour length on test data batch 8"
2024-07-15T15:40:45.571815,"Epoch 1, Generating tour on test data batch 9"
2024-07-15T15:40:45.757059,"Epoch 1, computing tour length on test data batch 9"
2024-07-15T15:40:45.757534,"Epoch 1, Generating tour on test data batch 10"
2024-07-15T15:40:45.942525,"Epoch 1, computing tour length on test data batch 10"
2024-07-15T15:40:45.943003,"Epoch 1, Generating tour on test data batch 11"
2024-07-15T15:40:46.127986,"Epoch 1, computing tour length on test data batch 11"
2024-07-15T15:40:46.128470,"Epoch 1, Generating tour on test data batch 12"
2024-07-15T15:40:46.314518,"Epoch 1, computing tour length on test data batch 12"
2024-07-15T15:40:46.315017,"Epoch 1, Generating tour on test data batch 13"
2024-07-15T15:40:46.499729,"Epoch 1, computing tour length on test data batch 13"
2024-07-15T15:40:46.500401,Epoch 1 saving checkpoint and updating baseline if train is better
2024-07-15T15:40:46.511459,"Epoch 2, Step 0 start"
2024-07-15T15:40:46.511469,Generating data
2024-07-15T15:40:46.511681,generating tours of train model
2024-07-15T15:40:46.619973,generating tours of baseline model
2024-07-15T15:40:46.727680,computing tour length of train model
2024-07-15T15:40:46.727914,computing tour length of baseline model
2024-07-15T15:40:46.728144,computing loss and backprop
2024-07-15T15:40:46.911637,"Epoch 2, Step 1 start"
2024-07-15T15:40:46.911650,generating tours of train model
2024-07-15T15:40:47.020422,generating tours of baseline model
2024-07-15T15:40:47.127375,computing tour length of train model
2024-07-15T15:40:47.127608,computing tour length of baseline model
2024-07-15T15:40:47.127835,computing loss and backprop
2024-07-15T15:40:47.312140,"Epoch 2, Step 2 start"
2024-07-15T15:40:47.312156,generating tours of train model
2024-07-15T15:40:47.421401,generating tours of baseline model
2024-07-15T15:40:47.528457,computing tour length of train model
2024-07-15T15:40:47.528703,computing tour length of baseline model
2024-07-15T15:40:47.528935,computing loss and backprop
2024-07-15T15:40:47.712350,"Epoch 2, Step 3 start"
2024-07-15T15:40:47.712364,generating tours of train model
2024-07-15T15:40:47.821229,generating tours of baseline model
2024-07-15T15:40:47.928231,computing tour length of train model
2024-07-15T15:40:47.928465,computing tour length of baseline model
2024-07-15T15:40:47.928689,computing loss and backprop
2024-07-15T15:40:48.111838,"Epoch 2, Step 4 start"
2024-07-15T15:40:48.111855,generating tours of train model
2024-07-15T15:40:48.220895,generating tours of baseline model
2024-07-15T15:40:48.328126,computing tour length of train model
2024-07-15T15:40:48.328364,computing tour length of baseline model
2024-07-15T15:40:48.328586,computing loss and backprop
2024-07-15T15:40:48.511615,"Epoch 2, Step 5 start"
2024-07-15T15:40:48.511629,generating tours of train model
2024-07-15T15:40:48.620807,generating tours of baseline model
2024-07-15T15:40:48.728093,computing tour length of train model
2024-07-15T15:40:48.728324,computing tour length of baseline model
2024-07-15T15:40:48.728544,computing loss and backprop
2024-07-15T15:40:48.910962,"Epoch 2, Step 6 start"
2024-07-15T15:40:48.910974,Generating data
2024-07-15T15:40:48.912074,generating tours of train model
2024-07-15T15:40:49.020420,generating tours of baseline model
2024-07-15T15:40:49.127635,computing tour length of train model
2024-07-15T15:40:49.127877,computing tour length of baseline model
2024-07-15T15:40:49.128102,computing loss and backprop
2024-07-15T15:40:49.311231,"Epoch 2, Step 7 start"
2024-07-15T15:40:49.311245,generating tours of train model
2024-07-15T15:40:49.420546,generating tours of baseline model
2024-07-15T15:40:49.527683,computing tour length of train model
2024-07-15T15:40:49.527923,computing tour length of baseline model
2024-07-15T15:40:49.528147,computing loss and backprop
2024-07-15T15:40:49.710933,"Epoch 2, Step 8 start"
2024-07-15T15:40:49.710947,generating tours of train model
2024-07-15T15:40:49.820060,generating tours of baseline model
2024-07-15T15:40:49.926733,computing tour length of train model
2024-07-15T15:40:49.926971,computing tour length of baseline model
2024-07-15T15:40:49.927193,computing loss and backprop
2024-07-15T15:40:50.111311,"Epoch 2, Step 9 start"
2024-07-15T15:40:50.111326,generating tours of train model
2024-07-15T15:40:50.220557,generating tours of baseline model
2024-07-15T15:40:50.327978,computing tour length of train model
2024-07-15T15:40:50.328213,computing tour length of baseline model
2024-07-15T15:40:50.328435,computing loss and backprop
2024-07-15T15:40:50.511275,"Epoch 2, Generating tour on test data batch 0"
2024-07-15T15:40:50.701063,"Epoch 2, computing tour length on test data batch 0"
2024-07-15T15:40:50.701795,"Epoch 2, Generating tour on test data batch 1"
2024-07-15T15:40:50.887097,"Epoch 2, computing tour length on test data batch 1"
2024-07-15T15:40:50.887583,"Epoch 2, Generating tour on test data batch 2"
2024-07-15T15:40:51.073521,"Epoch 2, computing tour length on test data batch 2"
2024-07-15T15:40:51.074031,"Epoch 2, Generating tour on test data batch 3"
2024-07-15T15:40:51.259990,"Epoch 2, computing tour length on test data batch 3"
2024-07-15T15:40:51.260482,"Epoch 2, Generating tour on test data batch 4"
2024-07-15T15:40:51.446013,"Epoch 2, computing tour length on test data batch 4"
2024-07-15T15:40:51.446492,"Epoch 2, Generating tour on test data batch 5"
2024-07-15T15:40:51.631992,"Epoch 2, computing tour length on test data batch 5"
2024-07-15T15:40:51.632464,"Epoch 2, Generating tour on test data batch 6"
2024-07-15T15:40:51.817597,"Epoch 2, computing tour length on test data batch 6"
2024-07-15T15:40:51.818078,"Epoch 2, Generating tour on test data batch 7"
2024-07-15T15:40:52.003422,"Epoch 2, computing tour length on test data batch 7"
2024-07-15T15:40:52.003922,"Epoch 2, Generating tour on test data batch 8"
2024-07-15T15:40:52.189664,"Epoch 2, computing tour length on test data batch 8"
2024-07-15T15:40:52.190160,"Epoch 2, Generating tour on test data batch 9"
2024-07-15T15:40:52.375679,"Epoch 2, computing tour length on test data batch 9"
2024-07-15T15:40:52.376166,"Epoch 2, Generating tour on test data batch 10"
2024-07-15T15:40:52.561089,"Epoch 2, computing tour length on test data batch 10"
2024-07-15T15:40:52.561562,"Epoch 2, Generating tour on test data batch 11"
2024-07-15T15:40:52.747004,"Epoch 2, computing tour length on test data batch 11"
2024-07-15T15:40:52.747483,"Epoch 2, Generating tour on test data batch 12"
2024-07-15T15:40:52.933069,"Epoch 2, computing tour length on test data batch 12"
2024-07-15T15:40:52.933547,"Epoch 2, Generating tour on test data batch 13"
2024-07-15T15:40:53.119183,"Epoch 2, computing tour length on test data batch 13"
2024-07-15T15:40:53.119832,Epoch 2 saving checkpoint and updating baseline if train is better
2024-07-15T15:40:53.120176,"Epoch 3, Step 0 start"
2024-07-15T15:40:53.120185,Generating data
2024-07-15T15:40:53.120601,generating tours of train model
2024-07-15T15:40:53.228147,generating tours of baseline model
2024-07-15T15:40:53.335271,computing tour length of train model
2024-07-15T15:40:53.335501,computing tour length of baseline model
2024-07-15T15:40:53.335729,computing loss and backprop
2024-07-15T15:40:53.519656,"Epoch 3, Step 1 start"
2024-07-15T15:40:53.519671,generating tours of train model
2024-07-15T15:40:53.628434,generating tours of baseline model
2024-07-15T15:40:53.735529,computing tour length of train model
2024-07-15T15:40:53.735761,computing tour length of baseline model
2024-07-15T15:40:53.735993,computing loss and backprop
2024-07-15T15:40:53.919527,"Epoch 3, Step 2 start"
2024-07-15T15:40:53.919542,generating tours of train model
2024-07-15T15:40:54.028539,generating tours of baseline model
2024-07-15T15:40:54.135539,computing tour length of train model
2024-07-15T15:40:54.135778,computing tour length of baseline model
2024-07-15T15:40:54.136120,computing loss and backprop
2024-07-15T15:40:54.319222,"Epoch 3, Step 3 start"
2024-07-15T15:40:54.319236,generating tours of train model
2024-07-15T15:40:54.428563,generating tours of baseline model
2024-07-15T15:40:54.535575,computing tour length of train model
2024-07-15T15:40:54.535812,computing tour length of baseline model
2024-07-15T15:40:54.536049,computing loss and backprop
2024-07-15T15:40:54.719044,"Epoch 3, Step 4 start"
2024-07-15T15:40:54.719058,generating tours of train model
2024-07-15T15:40:54.828147,generating tours of baseline model
2024-07-15T15:40:54.935290,computing tour length of train model
2024-07-15T15:40:54.935523,computing tour length of baseline model
2024-07-15T15:40:54.935743,computing loss and backprop
2024-07-15T15:40:55.119521,"Epoch 3, Step 5 start"
2024-07-15T15:40:55.119535,generating tours of train model
2024-07-15T15:40:55.228718,generating tours of baseline model
2024-07-15T15:40:55.335603,computing tour length of train model
2024-07-15T15:40:55.335837,computing tour length of baseline model
2024-07-15T15:40:55.336067,computing loss and backprop
2024-07-15T15:40:55.518767,"Epoch 3, Step 6 start"
2024-07-15T15:40:55.518779,Generating data
2024-07-15T15:40:55.519854,generating tours of train model
2024-07-15T15:40:55.628918,generating tours of baseline model
2024-07-15T15:40:55.736585,computing tour length of train model
2024-07-15T15:40:55.736819,computing tour length of baseline model
2024-07-15T15:40:55.737051,computing loss and backprop
2024-07-15T15:40:55.921216,"Epoch 3, Step 7 start"
2024-07-15T15:40:55.921230,generating tours of train model
2024-07-15T15:40:56.030640,generating tours of baseline model
2024-07-15T15:40:56.137896,computing tour length of train model
2024-07-15T15:40:56.138131,computing tour length of baseline model
2024-07-15T15:40:56.138352,computing loss and backprop
2024-07-15T15:40:56.321044,"Epoch 3, Step 8 start"
2024-07-15T15:40:56.321058,generating tours of train model
2024-07-15T15:40:56.430225,generating tours of baseline model
2024-07-15T15:40:56.537242,computing tour length of train model
2024-07-15T15:40:56.537470,computing tour length of baseline model
2024-07-15T15:40:56.537690,computing loss and backprop
2024-07-15T15:40:56.720325,"Epoch 3, Step 9 start"
2024-07-15T15:40:56.720339,generating tours of train model
2024-07-15T15:40:56.829425,generating tours of baseline model
2024-07-15T15:40:56.936754,computing tour length of train model
2024-07-15T15:40:56.936997,computing tour length of baseline model
2024-07-15T15:40:56.937221,computing loss and backprop
2024-07-15T15:40:57.120968,"Epoch 3, Generating tour on test data batch 0"
2024-07-15T15:40:57.309174,"Epoch 3, computing tour length on test data batch 0"
2024-07-15T15:40:57.309935,"Epoch 3, Generating tour on test data batch 1"
2024-07-15T15:40:57.495401,"Epoch 3, computing tour length on test data batch 1"
2024-07-15T15:40:57.495890,"Epoch 3, Generating tour on test data batch 2"
2024-07-15T15:40:57.681514,"Epoch 3, computing tour length on test data batch 2"
2024-07-15T15:40:57.682040,"Epoch 3, Generating tour on test data batch 3"
2024-07-15T15:40:57.868515,"Epoch 3, computing tour length on test data batch 3"
2024-07-15T15:40:57.869006,"Epoch 3, Generating tour on test data batch 4"
2024-07-15T15:40:58.054942,"Epoch 3, computing tour length on test data batch 4"
2024-07-15T15:40:58.055419,"Epoch 3, Generating tour on test data batch 5"
2024-07-15T15:40:58.240699,"Epoch 3, computing tour length on test data batch 5"
2024-07-15T15:40:58.241189,"Epoch 3, Generating tour on test data batch 6"
2024-07-15T15:40:58.426064,"Epoch 3, computing tour length on test data batch 6"
2024-07-15T15:40:58.426531,"Epoch 3, Generating tour on test data batch 7"
2024-07-15T15:40:58.611945,"Epoch 3, computing tour length on test data batch 7"
2024-07-15T15:40:58.612422,"Epoch 3, Generating tour on test data batch 8"
2024-07-15T15:40:58.799233,"Epoch 3, computing tour length on test data batch 8"
2024-07-15T15:40:58.799725,"Epoch 3, Generating tour on test data batch 9"
2024-07-15T15:40:58.985457,"Epoch 3, computing tour length on test data batch 9"
2024-07-15T15:40:58.985947,"Epoch 3, Generating tour on test data batch 10"
2024-07-15T15:40:59.171141,"Epoch 3, computing tour length on test data batch 10"
2024-07-15T15:40:59.171617,"Epoch 3, Generating tour on test data batch 11"
2024-07-15T15:40:59.356629,"Epoch 3, computing tour length on test data batch 11"
2024-07-15T15:40:59.357114,"Epoch 3, Generating tour on test data batch 12"
2024-07-15T15:40:59.542301,"Epoch 3, computing tour length on test data batch 12"
2024-07-15T15:40:59.542775,"Epoch 3, Generating tour on test data batch 13"
2024-07-15T15:40:59.728674,"Epoch 3, computing tour length on test data batch 13"
2024-07-15T15:40:59.729368,Epoch 3 saving checkpoint and updating baseline if train is better
2024-07-15T15:40:59.730620,"Epoch 4, Step 0 start"
2024-07-15T15:40:59.730631,Generating data
2024-07-15T15:40:59.731278,generating tours of train model
2024-07-15T15:40:59.839379,generating tours of baseline model
2024-07-15T15:40:59.947735,computing tour length of train model
2024-07-15T15:40:59.947988,computing tour length of baseline model
2024-07-15T15:40:59.948222,computing loss and backprop
2024-07-15T15:41:00.132168,"Epoch 4, Step 1 start"
2024-07-15T15:41:00.132182,generating tours of train model
2024-07-15T15:41:00.240537,generating tours of baseline model
2024-07-15T15:41:00.347059,computing tour length of train model
2024-07-15T15:41:00.347294,computing tour length of baseline model
2024-07-15T15:41:00.347517,computing loss and backprop
2024-07-15T15:41:00.530392,"Epoch 4, Step 2 start"
2024-07-15T15:41:00.530407,generating tours of train model
2024-07-15T15:41:00.640212,generating tours of baseline model
2024-07-15T15:41:00.747100,computing tour length of train model
2024-07-15T15:41:00.747337,computing tour length of baseline model
2024-07-15T15:41:00.747559,computing loss and backprop
2024-07-15T15:41:00.930894,"Epoch 4, Step 3 start"
2024-07-15T15:41:00.930908,generating tours of train model
2024-07-15T15:41:01.039398,generating tours of baseline model
2024-07-15T15:41:01.145953,computing tour length of train model
2024-07-15T15:41:01.146187,computing tour length of baseline model
2024-07-15T15:41:01.146408,computing loss and backprop
2024-07-15T15:41:01.327933,"Epoch 4, Step 4 start"
2024-07-15T15:41:01.327947,generating tours of train model
2024-07-15T15:41:01.436294,generating tours of baseline model
2024-07-15T15:41:01.542873,computing tour length of train model
2024-07-15T15:41:01.543108,computing tour length of baseline model
2024-07-15T15:41:01.543331,computing loss and backprop
2024-07-15T15:41:01.725931,"Epoch 4, Step 5 start"
2024-07-15T15:41:01.725945,generating tours of train model
2024-07-15T15:41:01.834427,generating tours of baseline model
2024-07-15T15:41:01.941077,computing tour length of train model
2024-07-15T15:41:01.941311,computing tour length of baseline model
2024-07-15T15:41:01.941534,computing loss and backprop
2024-07-15T15:41:02.124400,"Epoch 4, Step 6 start"
2024-07-15T15:41:02.124412,Generating data
2024-07-15T15:41:02.125517,generating tours of train model
2024-07-15T15:41:02.232805,generating tours of baseline model
2024-07-15T15:41:02.339331,computing tour length of train model
2024-07-15T15:41:02.339562,computing tour length of baseline model
2024-07-15T15:41:02.339782,computing loss and backprop
2024-07-15T15:41:02.521945,"Epoch 4, Step 7 start"
2024-07-15T15:41:02.521959,generating tours of train model
2024-07-15T15:41:02.630293,generating tours of baseline model
2024-07-15T15:41:02.737089,computing tour length of train model
2024-07-15T15:41:02.737318,computing tour length of baseline model
2024-07-15T15:41:02.737537,computing loss and backprop
2024-07-15T15:41:02.920071,"Epoch 4, Step 8 start"
2024-07-15T15:41:02.920085,generating tours of train model
2024-07-15T15:41:03.028459,generating tours of baseline model
2024-07-15T15:41:03.134929,computing tour length of train model
2024-07-15T15:41:03.135159,computing tour length of baseline model
2024-07-15T15:41:03.135377,computing loss and backprop
2024-07-15T15:41:03.317983,"Epoch 4, Step 9 start"
2024-07-15T15:41:03.317998,generating tours of train model
2024-07-15T15:41:03.426505,generating tours of baseline model
2024-07-15T15:41:03.533275,computing tour length of train model
2024-07-15T15:41:03.533509,computing tour length of baseline model
2024-07-15T15:41:03.533730,computing loss and backprop
2024-07-15T15:41:03.716440,"Epoch 4, Generating tour on test data batch 0"
2024-07-15T15:41:03.902862,"Epoch 4, computing tour length on test data batch 0"
