Timestamp,Event
2024-07-22T14:37:51.994041,"Epoch 0, Step 0 start"
2024-07-22T14:37:51.994057,Generating data
2024-07-22T14:38:03.680031,computing tour length of train model
2024-07-22T14:38:03.710853,computing tour length of baseline model
2024-07-22T14:38:18.217380,"Epoch 0, Step 1 start"
2024-07-22T14:38:19.610339,computing tour length of train model
2024-07-22T14:38:19.610780,computing tour length of baseline model
2024-07-22T14:38:21.341977,"Epoch 0, Step 2 start"
2024-07-22T14:38:22.256258,computing tour length of train model
2024-07-22T14:38:22.256524,computing tour length of baseline model
2024-07-22T14:38:23.772304,"Epoch 0, Step 3 start"
2024-07-22T14:38:24.689462,computing tour length of train model
2024-07-22T14:38:24.689728,computing tour length of baseline model
2024-07-22T14:38:26.198611,"Epoch 0, Step 4 start"
2024-07-22T14:38:27.104289,computing tour length of train model
2024-07-22T14:38:27.104570,computing tour length of baseline model
2024-07-22T14:38:28.622551,"Epoch 0, Step 5 start"
2024-07-22T14:38:29.532738,computing tour length of train model
2024-07-22T14:38:29.533006,computing tour length of baseline model
2024-07-22T14:38:31.032461,"Epoch 0, Step 6 start"
2024-07-22T14:38:31.032474,Generating data
2024-07-22T14:38:31.933077,computing tour length of train model
2024-07-22T14:38:31.933338,computing tour length of baseline model
2024-07-22T14:38:33.436996,"Epoch 0, Step 7 start"
2024-07-22T14:38:34.352946,computing tour length of train model
2024-07-22T14:38:34.353231,computing tour length of baseline model
2024-07-22T14:38:35.838936,"Epoch 0, Step 8 start"
2024-07-22T14:38:36.730250,computing tour length of train model
2024-07-22T14:38:36.730488,computing tour length of baseline model
2024-07-22T14:38:38.217395,"Epoch 0, Step 9 start"
2024-07-22T14:38:39.111346,computing tour length of train model
2024-07-22T14:38:39.111571,computing tour length of baseline model
2024-07-22T14:38:40.601415,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T14:38:41.452527,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T14:38:41.452988,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T14:38:42.307616,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T14:38:42.308113,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T14:38:43.159638,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T14:38:43.160126,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T14:38:44.009425,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T14:38:44.009881,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T14:38:44.868195,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T14:38:44.868665,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T14:38:45.713768,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T14:38:45.714208,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T14:38:46.558591,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T14:38:46.559023,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T14:38:47.403737,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T14:38:47.404171,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T14:38:48.248861,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T14:38:48.249291,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T14:38:49.101690,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T14:38:49.102130,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T14:38:49.948562,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T14:38:49.948995,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T14:38:50.795704,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T14:38:50.796147,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T14:38:51.641429,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T14:38:51.641865,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T14:38:52.487694,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T14:38:52.488148,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T14:38:53.332169,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T14:38:53.332699,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T14:38:54.176382,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T14:38:54.176834,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T14:38:55.027023,"Epoch 0, computing tour length on test data batch 16"
2024-07-22T14:38:55.027453,"Epoch 0, Generating tour on test data batch 17"
2024-07-22T14:38:55.871944,"Epoch 0, computing tour length on test data batch 17"
2024-07-22T14:38:55.872376,"Epoch 0, Generating tour on test data batch 18"
2024-07-22T14:38:56.718911,"Epoch 0, computing tour length on test data batch 18"
2024-07-22T14:38:56.719349,"Epoch 0, Generating tour on test data batch 19"
2024-07-22T14:38:57.565398,"Epoch 0, computing tour length on test data batch 19"
