Timestamp,Event
2024-07-13T18:45:33.563678,"Epoch 0, Step 0 start"
2024-07-13T18:45:33.563706,Generating data
2024-07-13T18:45:33.590675,generating tours of train model
2024-07-13T18:45:51.654745,generating tours of baseline model
2024-07-13T18:45:51.868434,computing tour length of train model
2024-07-13T18:45:52.039808,computing tour length of baseline model
2024-07-13T18:45:52.046716,computing loss and backprop
2024-07-13T18:46:13.831292,"Epoch 0, Step 1 start"
2024-07-13T18:46:13.831353,generating tours of train model
2024-07-13T18:46:14.029745,generating tours of baseline model
2024-07-13T18:46:14.227829,computing tour length of train model
2024-07-13T18:46:14.228439,computing tour length of baseline model
2024-07-13T18:46:14.228858,computing loss and backprop
2024-07-13T18:46:14.481354,"Epoch 0, Step 2 start"
2024-07-13T18:46:14.481387,generating tours of train model
2024-07-13T18:46:14.700823,generating tours of baseline model
2024-07-13T18:46:14.908008,computing tour length of train model
2024-07-13T18:46:14.908400,computing tour length of baseline model
2024-07-13T18:46:14.908753,computing loss and backprop
2024-07-13T18:46:15.150601,"Epoch 0, Step 3 start"
2024-07-13T18:46:15.150646,generating tours of train model
2024-07-13T18:46:15.355475,generating tours of baseline model
2024-07-13T18:46:15.554054,computing tour length of train model
2024-07-13T18:46:15.554525,computing tour length of baseline model
2024-07-13T18:46:15.554923,computing loss and backprop
2024-07-13T18:46:15.806546,"Epoch 0, Step 4 start"
2024-07-13T18:46:15.806584,generating tours of train model
2024-07-13T18:46:16.021233,generating tours of baseline model
2024-07-13T18:46:16.227662,computing tour length of train model
2024-07-13T18:46:16.228055,computing tour length of baseline model
2024-07-13T18:46:16.228397,computing loss and backprop
2024-07-13T18:46:16.471184,"Epoch 0, Step 5 start"
2024-07-13T18:46:16.471218,generating tours of train model
2024-07-13T18:46:16.691951,generating tours of baseline model
2024-07-13T18:46:16.879045,computing tour length of train model
2024-07-13T18:46:16.879506,computing tour length of baseline model
2024-07-13T18:46:16.879931,computing loss and backprop
2024-07-13T18:46:17.125878,"Epoch 0, Step 6 start"
2024-07-13T18:46:17.125914,Generating data
2024-07-13T18:46:17.132799,generating tours of train model
2024-07-13T18:46:17.351313,generating tours of baseline model
2024-07-13T18:46:17.534290,computing tour length of train model
2024-07-13T18:46:17.534539,computing tour length of baseline model
2024-07-13T18:46:17.534760,computing loss and backprop
2024-07-13T18:46:17.762602,"Epoch 0, Step 7 start"
2024-07-13T18:46:17.762626,generating tours of train model
2024-07-13T18:46:17.964949,generating tours of baseline model
2024-07-13T18:46:18.131818,computing tour length of train model
2024-07-13T18:46:18.132097,computing tour length of baseline model
2024-07-13T18:46:18.132325,computing loss and backprop
2024-07-13T18:46:18.365057,"Epoch 0, Step 8 start"
2024-07-13T18:46:18.365080,generating tours of train model
2024-07-13T18:46:18.562912,generating tours of baseline model
2024-07-13T18:46:18.757127,computing tour length of train model
2024-07-13T18:46:18.757407,computing tour length of baseline model
2024-07-13T18:46:18.757646,computing loss and backprop
2024-07-13T18:46:18.988329,"Epoch 0, Step 9 start"
2024-07-13T18:46:18.988350,generating tours of train model
2024-07-13T18:46:19.186769,generating tours of baseline model
2024-07-13T18:46:19.354905,computing tour length of train model
2024-07-13T18:46:19.355173,computing tour length of baseline model
2024-07-13T18:46:19.355398,computing loss and backprop
2024-07-13T18:46:19.588438,"Epoch 0, Generating tour on test data batch 0"
2024-07-13T18:46:19.868962,"Epoch 0, computing tour length on test data batch 0"
2024-07-13T18:46:19.869646,"Epoch 0, Generating tour on test data batch 1"
2024-07-13T18:46:20.127724,"Epoch 0, computing tour length on test data batch 1"
2024-07-13T18:46:20.128251,"Epoch 0, Generating tour on test data batch 2"
2024-07-13T18:46:20.413332,"Epoch 0, computing tour length on test data batch 2"
2024-07-13T18:46:20.413853,"Epoch 0, Generating tour on test data batch 3"
2024-07-13T18:46:20.655966,"Epoch 0, computing tour length on test data batch 3"
2024-07-13T18:46:20.656947,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-13T18:46:20.717361,"Epoch 1, Step 0 start"
2024-07-13T18:46:20.717379,Generating data
2024-07-13T18:46:20.720355,generating tours of train model
2024-07-13T18:46:20.917588,generating tours of baseline model
