Timestamp,Event
2024-07-13T21:37:43.135385,"Epoch 0, Step 0 start"
2024-07-13T21:37:43.135413,Generating data
2024-07-13T21:37:43.164597,generating tours of train model
2024-07-13T21:38:00.466199,generating tours of baseline model
2024-07-13T21:38:00.683976,computing tour length of train model
2024-07-13T21:38:00.830106,computing tour length of baseline model
2024-07-13T21:38:00.830947,computing loss and backprop
2024-07-13T21:38:22.126813,"Epoch 0, Step 1 start"
2024-07-13T21:38:22.126887,generating tours of train model
2024-07-13T21:38:22.341543,generating tours of baseline model
2024-07-13T21:38:22.556057,computing tour length of train model
2024-07-13T21:38:22.556598,computing tour length of baseline model
2024-07-13T21:38:22.557017,computing loss and backprop
2024-07-13T21:38:22.807686,"Epoch 0, Step 2 start"
2024-07-13T21:38:22.807718,generating tours of train model
2024-07-13T21:38:22.992009,generating tours of baseline model
2024-07-13T21:38:23.197196,computing tour length of train model
2024-07-13T21:38:23.197629,computing tour length of baseline model
2024-07-13T21:38:23.198000,computing loss and backprop
2024-07-13T21:38:23.444212,"Epoch 0, Step 3 start"
2024-07-13T21:38:23.444249,generating tours of train model
2024-07-13T21:38:23.661851,generating tours of baseline model
2024-07-13T21:38:23.879289,computing tour length of train model
2024-07-13T21:38:23.879755,computing tour length of baseline model
2024-07-13T21:38:23.880169,computing loss and backprop
2024-07-13T21:38:24.129739,"Epoch 0, Step 4 start"
2024-07-13T21:38:24.129768,generating tours of train model
2024-07-13T21:38:24.313783,generating tours of baseline model
2024-07-13T21:38:24.515557,computing tour length of train model
2024-07-13T21:38:24.515979,computing tour length of baseline model
2024-07-13T21:38:24.516349,computing loss and backprop
2024-07-13T21:38:24.764950,"Epoch 0, Step 5 start"
2024-07-13T21:38:24.764991,generating tours of train model
2024-07-13T21:38:24.967089,generating tours of baseline model
2024-07-13T21:38:25.183402,computing tour length of train model
2024-07-13T21:38:25.183904,computing tour length of baseline model
2024-07-13T21:38:25.184317,computing loss and backprop
2024-07-13T21:38:25.431185,"Epoch 0, Step 6 start"
2024-07-13T21:38:25.431210,Generating data
2024-07-13T21:38:25.438144,generating tours of train model
2024-07-13T21:38:25.615656,generating tours of baseline model
2024-07-13T21:38:25.815502,computing tour length of train model
2024-07-13T21:38:25.815927,computing tour length of baseline model
2024-07-13T21:38:25.816296,computing loss and backprop
2024-07-13T21:38:26.063998,"Epoch 0, Step 7 start"
2024-07-13T21:38:26.064039,generating tours of train model
2024-07-13T21:38:26.265803,generating tours of baseline model
2024-07-13T21:38:26.448134,computing tour length of train model
2024-07-13T21:38:26.448394,computing tour length of baseline model
2024-07-13T21:38:26.448622,computing loss and backprop
2024-07-13T21:38:26.683810,"Epoch 0, Step 8 start"
2024-07-13T21:38:26.683827,generating tours of train model
2024-07-13T21:38:26.850114,generating tours of baseline model
2024-07-13T21:38:27.009819,computing tour length of train model
2024-07-13T21:38:27.010071,computing tour length of baseline model
2024-07-13T21:38:27.010291,computing loss and backprop
2024-07-13T21:38:27.237985,"Epoch 0, Step 9 start"
2024-07-13T21:38:27.238004,generating tours of train model
2024-07-13T21:38:27.439035,generating tours of baseline model
2024-07-13T21:38:27.634352,computing tour length of train model
2024-07-13T21:38:27.634607,computing tour length of baseline model
2024-07-13T21:38:27.634835,computing loss and backprop
2024-07-13T21:38:27.862191,"Epoch 0, Generating tour on test data batch 0"
2024-07-13T21:38:28.142220,"Epoch 0, computing tour length on test data batch 0"
2024-07-13T21:38:28.142796,"Epoch 0, Generating tour on test data batch 1"
2024-07-13T21:38:28.368567,"Epoch 0, computing tour length on test data batch 1"
2024-07-13T21:38:28.369092,"Epoch 0, Generating tour on test data batch 2"
2024-07-13T21:38:28.643107,"Epoch 0, computing tour length on test data batch 2"
2024-07-13T21:38:28.643634,"Epoch 0, Generating tour on test data batch 3"
2024-07-13T21:38:28.897398,"Epoch 0, computing tour length on test data batch 3"
2024-07-13T21:38:28.898430,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-13T21:38:28.962043,"Epoch 1, Step 0 start"
2024-07-13T21:38:28.962059,Generating data
2024-07-13T21:38:28.965806,generating tours of train model
2024-07-13T21:38:29.153650,generating tours of baseline model
2024-07-13T21:38:29.307932,computing tour length of train model
2024-07-13T21:38:29.308190,computing tour length of baseline model
2024-07-13T21:38:29.308430,computing loss and backprop
2024-07-13T21:38:29.532803,"Epoch 1, Step 1 start"
2024-07-13T21:38:29.532828,generating tours of train model
2024-07-13T21:38:29.734448,generating tours of baseline model
2024-07-13T21:38:29.919966,computing tour length of train model
2024-07-13T21:38:29.920233,computing tour length of baseline model
2024-07-13T21:38:29.920468,computing loss and backprop
2024-07-13T21:38:30.155812,"Epoch 1, Step 2 start"
2024-07-13T21:38:30.155840,generating tours of train model
2024-07-13T21:38:30.357693,generating tours of baseline model
2024-07-13T21:38:30.535320,computing tour length of train model
2024-07-13T21:38:30.535572,computing tour length of baseline model
2024-07-13T21:38:30.535803,computing loss and backprop
2024-07-13T21:38:30.763357,"Epoch 1, Step 3 start"
2024-07-13T21:38:30.763372,generating tours of train model
2024-07-13T21:38:30.944930,generating tours of baseline model
2024-07-13T21:38:31.146038,computing tour length of train model
2024-07-13T21:38:31.146320,computing tour length of baseline model
2024-07-13T21:38:31.146551,computing loss and backprop
2024-07-13T21:38:31.380871,"Epoch 1, Step 4 start"
2024-07-13T21:38:31.380897,generating tours of train model
2024-07-13T21:38:31.574715,generating tours of baseline model
2024-07-13T21:38:31.773343,computing tour length of train model
2024-07-13T21:38:31.773600,computing tour length of baseline model
2024-07-13T21:38:31.773832,computing loss and backprop
2024-07-13T21:38:31.995447,"Epoch 1, Step 5 start"
2024-07-13T21:38:31.995462,generating tours of train model
2024-07-13T21:38:32.158991,generating tours of baseline model
2024-07-13T21:38:32.347323,computing tour length of train model
2024-07-13T21:38:32.347581,computing tour length of baseline model
2024-07-13T21:38:32.347812,computing loss and backprop
2024-07-13T21:38:32.578750,"Epoch 1, Step 6 start"
2024-07-13T21:38:32.578769,Generating data
2024-07-13T21:38:32.591802,generating tours of train model
2024-07-13T21:38:32.784409,generating tours of baseline model
2024-07-13T21:38:32.966165,computing tour length of train model
2024-07-13T21:38:32.966420,computing tour length of baseline model
2024-07-13T21:38:32.966651,computing loss and backprop
2024-07-13T21:38:33.187141,"Epoch 1, Step 7 start"
2024-07-13T21:38:33.187155,generating tours of train model
2024-07-13T21:38:33.363597,generating tours of baseline model
2024-07-13T21:38:33.549643,computing tour length of train model
2024-07-13T21:38:33.549913,computing tour length of baseline model
2024-07-13T21:38:33.550147,computing loss and backprop
2024-07-13T21:38:33.784522,"Epoch 1, Step 8 start"
2024-07-13T21:38:33.784545,generating tours of train model
2024-07-13T21:38:33.974709,generating tours of baseline model
2024-07-13T21:38:34.176089,computing tour length of train model
2024-07-13T21:38:34.176347,computing tour length of baseline model
2024-07-13T21:38:34.176575,computing loss and backprop
2024-07-13T21:38:34.409629,"Epoch 1, Step 9 start"
2024-07-13T21:38:34.409644,generating tours of train model
2024-07-13T21:38:34.568427,generating tours of baseline model
2024-07-13T21:38:34.728272,computing tour length of train model
2024-07-13T21:38:34.728540,computing tour length of baseline model
2024-07-13T21:38:34.728771,computing loss and backprop
2024-07-13T21:38:34.961660,"Epoch 1, Generating tour on test data batch 0"
2024-07-13T21:38:35.236122,"Epoch 1, computing tour length on test data batch 0"
2024-07-13T21:38:35.236859,"Epoch 1, Generating tour on test data batch 1"
2024-07-13T21:38:35.495680,"Epoch 1, computing tour length on test data batch 1"
2024-07-13T21:38:35.496209,"Epoch 1, Generating tour on test data batch 2"
2024-07-13T21:38:35.736722,"Epoch 1, computing tour length on test data batch 2"
2024-07-13T21:38:35.737191,"Epoch 1, Generating tour on test data batch 3"
2024-07-13T21:38:35.967221,"Epoch 1, computing tour length on test data batch 3"
2024-07-13T21:38:35.967952,Epoch 1 saving checkpoint and updating baseline if train is better
2024-07-13T21:38:35.971119,"Epoch 2, Step 0 start"
2024-07-13T21:38:35.971128,Generating data
2024-07-13T21:38:35.975736,generating tours of train model
2024-07-13T21:38:36.175456,generating tours of baseline model
2024-07-13T21:38:36.348369,computing tour length of train model
2024-07-13T21:38:36.348674,computing tour length of baseline model
2024-07-13T21:38:36.348930,computing loss and backprop
2024-07-13T21:38:36.582887,"Epoch 2, Step 1 start"
2024-07-13T21:38:36.582905,generating tours of train model
2024-07-13T21:38:36.780649,generating tours of baseline model
2024-07-13T21:38:36.932623,computing tour length of train model
2024-07-13T21:38:36.932882,computing tour length of baseline model
2024-07-13T21:38:36.933113,computing loss and backprop
2024-07-13T21:38:37.158725,"Epoch 2, Step 2 start"
2024-07-13T21:38:37.158741,generating tours of train model
2024-07-13T21:38:37.361914,generating tours of baseline model
2024-07-13T21:38:37.557412,computing tour length of train model
2024-07-13T21:38:37.557686,computing tour length of baseline model
2024-07-13T21:38:37.557924,computing loss and backprop
2024-07-13T21:38:37.785441,"Epoch 2, Step 3 start"
2024-07-13T21:38:37.785462,generating tours of train model
2024-07-13T21:38:37.988700,generating tours of baseline model
2024-07-13T21:38:38.183167,computing tour length of train model
2024-07-13T21:38:38.183416,computing tour length of baseline model
2024-07-13T21:38:38.183642,computing loss and backprop
2024-07-13T21:38:38.407266,"Epoch 2, Step 4 start"
2024-07-13T21:38:38.407287,generating tours of train model
2024-07-13T21:38:38.569334,generating tours of baseline model
2024-07-13T21:38:38.758852,computing tour length of train model
2024-07-13T21:38:38.759151,computing tour length of baseline model
2024-07-13T21:38:38.759394,computing loss and backprop
2024-07-13T21:38:38.988942,"Epoch 2, Step 5 start"
2024-07-13T21:38:38.988964,generating tours of train model
2024-07-13T21:38:39.196076,generating tours of baseline model
2024-07-13T21:38:39.385282,computing tour length of train model
2024-07-13T21:38:39.385540,computing tour length of baseline model
2024-07-13T21:38:39.385770,computing loss and backprop
2024-07-13T21:38:39.608904,"Epoch 2, Step 6 start"
2024-07-13T21:38:39.608916,Generating data
2024-07-13T21:38:39.617169,generating tours of train model
2024-07-13T21:38:39.772200,generating tours of baseline model
2024-07-13T21:38:39.972382,computing tour length of train model
2024-07-13T21:38:39.972650,computing tour length of baseline model
2024-07-13T21:38:39.972887,computing loss and backprop
2024-07-13T21:38:40.210854,"Epoch 2, Step 7 start"
2024-07-13T21:38:40.210880,generating tours of train model
2024-07-13T21:38:40.415331,generating tours of baseline model
2024-07-13T21:38:40.609789,computing tour length of train model
2024-07-13T21:38:40.610051,computing tour length of baseline model
2024-07-13T21:38:40.610280,computing loss and backprop
2024-07-13T21:38:40.836807,"Epoch 2, Step 8 start"
2024-07-13T21:38:40.836823,generating tours of train model
2024-07-13T21:38:40.997000,generating tours of baseline model
2024-07-13T21:38:41.182173,computing tour length of train model
2024-07-13T21:38:41.182443,computing tour length of baseline model
2024-07-13T21:38:41.182673,computing loss and backprop
2024-07-13T21:38:41.415959,"Epoch 2, Step 9 start"
2024-07-13T21:38:41.415983,generating tours of train model
2024-07-13T21:38:41.620216,generating tours of baseline model
2024-07-13T21:38:41.809968,computing tour length of train model
2024-07-13T21:38:41.810232,computing tour length of baseline model
2024-07-13T21:38:41.810462,computing loss and backprop
2024-07-13T21:38:42.039869,"Epoch 2, Generating tour on test data batch 0"
2024-07-13T21:38:42.291190,"Epoch 2, computing tour length on test data batch 0"
2024-07-13T21:38:42.291762,"Epoch 2, Generating tour on test data batch 1"
2024-07-13T21:38:42.557677,"Epoch 2, computing tour length on test data batch 1"
2024-07-13T21:38:42.558238,"Epoch 2, Generating tour on test data batch 2"
2024-07-13T21:38:42.816674,"Epoch 2, computing tour length on test data batch 2"
2024-07-13T21:38:42.817212,"Epoch 2, Generating tour on test data batch 3"
2024-07-13T21:38:43.049078,"Epoch 2, computing tour length on test data batch 3"
2024-07-13T21:38:43.049791,Epoch 2 saving checkpoint and updating baseline if train is better
2024-07-13T21:38:43.073224,"Epoch 3, Step 0 start"
2024-07-13T21:38:43.073238,Generating data
2024-07-13T21:38:43.076822,generating tours of train model
2024-07-13T21:38:43.258984,generating tours of baseline model
2024-07-13T21:38:43.416920,computing tour length of train model
2024-07-13T21:38:43.417170,computing tour length of baseline model
2024-07-13T21:38:43.417404,computing loss and backprop
2024-07-13T21:38:43.646970,"Epoch 3, Step 1 start"
2024-07-13T21:38:43.646993,generating tours of train model
2024-07-13T21:38:43.852615,generating tours of baseline model
2024-07-13T21:38:44.046795,computing tour length of train model
2024-07-13T21:38:44.047069,computing tour length of baseline model
2024-07-13T21:38:44.047300,computing loss and backprop
2024-07-13T21:38:44.275887,"Epoch 3, Step 2 start"
2024-07-13T21:38:44.275910,generating tours of train model
2024-07-13T21:38:44.478085,generating tours of baseline model
2024-07-13T21:38:44.625869,computing tour length of train model
2024-07-13T21:38:44.626120,computing tour length of baseline model
2024-07-13T21:38:44.626342,computing loss and backprop
2024-07-13T21:38:44.853652,"Epoch 3, Step 3 start"
2024-07-13T21:38:44.853678,generating tours of train model
2024-07-13T21:38:45.060901,generating tours of baseline model
2024-07-13T21:38:45.250492,computing tour length of train model
2024-07-13T21:38:45.250754,computing tour length of baseline model
2024-07-13T21:38:45.250994,computing loss and backprop
2024-07-13T21:38:45.480480,"Epoch 3, Step 4 start"
2024-07-13T21:38:45.480506,generating tours of train model
2024-07-13T21:38:45.687757,generating tours of baseline model
2024-07-13T21:38:45.837125,computing tour length of train model
2024-07-13T21:38:45.837384,computing tour length of baseline model
2024-07-13T21:38:45.837614,computing loss and backprop
2024-07-13T21:38:46.075321,"Epoch 3, Step 5 start"
2024-07-13T21:38:46.075338,generating tours of train model
2024-07-13T21:38:46.265766,generating tours of baseline model
2024-07-13T21:38:46.466425,computing tour length of train model
2024-07-13T21:38:46.466694,computing tour length of baseline model
2024-07-13T21:38:46.466936,computing loss and backprop
2024-07-13T21:38:46.704866,"Epoch 3, Step 6 start"
2024-07-13T21:38:46.704884,Generating data
2024-07-13T21:38:46.712456,generating tours of train model
2024-07-13T21:38:46.908857,generating tours of baseline model
2024-07-13T21:38:47.103127,computing tour length of train model
2024-07-13T21:38:47.103376,computing tour length of baseline model
2024-07-13T21:38:47.103605,computing loss and backprop
2024-07-13T21:38:47.327100,"Epoch 3, Step 7 start"
2024-07-13T21:38:47.327116,generating tours of train model
