Timestamp,Event
2024-07-13T21:49:45.045493,"Epoch 0, Step 0 start"
2024-07-13T21:49:45.045528,Generating data
2024-07-13T21:49:45.068590,generating tours of train model
2024-07-13T21:50:01.859540,generating tours of baseline model
2024-07-13T21:50:02.080930,computing tour length of train model
2024-07-13T21:50:02.224401,computing tour length of baseline model
2024-07-13T21:50:02.225166,computing loss and backprop
2024-07-13T21:50:23.104466,"Epoch 0, Step 1 start"
2024-07-13T21:50:23.104525,generating tours of train model
2024-07-13T21:50:23.330931,generating tours of baseline model
2024-07-13T21:50:23.534052,computing tour length of train model
2024-07-13T21:50:23.534592,computing tour length of baseline model
2024-07-13T21:50:23.535017,computing loss and backprop
2024-07-13T21:50:23.785684,"Epoch 0, Step 2 start"
2024-07-13T21:50:23.785716,generating tours of train model
2024-07-13T21:50:23.984047,generating tours of baseline model
2024-07-13T21:50:24.170131,computing tour length of train model
2024-07-13T21:50:24.170523,computing tour length of baseline model
2024-07-13T21:50:24.170879,computing loss and backprop
2024-07-13T21:50:24.414375,"Epoch 0, Step 3 start"
2024-07-13T21:50:24.414409,generating tours of train model
2024-07-13T21:50:24.637209,generating tours of baseline model
2024-07-13T21:50:24.845419,computing tour length of train model
2024-07-13T21:50:24.845883,computing tour length of baseline model
2024-07-13T21:50:24.846269,computing loss and backprop
2024-07-13T21:50:25.092991,"Epoch 0, Step 4 start"
2024-07-13T21:50:25.093019,generating tours of train model
2024-07-13T21:50:25.288363,generating tours of baseline model
2024-07-13T21:50:25.489596,computing tour length of train model
2024-07-13T21:50:25.489981,computing tour length of baseline model
2024-07-13T21:50:25.490330,computing loss and backprop
2024-07-13T21:50:25.734694,"Epoch 0, Step 5 start"
2024-07-13T21:50:25.734733,generating tours of train model
2024-07-13T21:50:25.959650,generating tours of baseline model
2024-07-13T21:50:26.174918,computing tour length of train model
2024-07-13T21:50:26.175366,computing tour length of baseline model
2024-07-13T21:50:26.175770,computing loss and backprop
2024-07-13T21:50:26.428035,"Epoch 0, Step 6 start"
2024-07-13T21:50:26.428061,Generating data
2024-07-13T21:50:26.430425,generating tours of train model
2024-07-13T21:50:26.626931,generating tours of baseline model
2024-07-13T21:50:26.814619,computing tour length of train model
2024-07-13T21:50:26.815042,computing tour length of baseline model
2024-07-13T21:50:26.815406,computing loss and backprop
2024-07-13T21:50:27.061878,"Epoch 0, Step 7 start"
2024-07-13T21:50:27.061915,generating tours of train model
2024-07-13T21:50:27.252184,generating tours of baseline model
2024-07-13T21:50:27.426981,computing tour length of train model
2024-07-13T21:50:27.427247,computing tour length of baseline model
2024-07-13T21:50:27.427477,computing loss and backprop
2024-07-13T21:50:27.658577,"Epoch 0, Step 8 start"
2024-07-13T21:50:27.658593,generating tours of train model
2024-07-13T21:50:27.863204,generating tours of baseline model
2024-07-13T21:50:28.022539,computing tour length of train model
2024-07-13T21:50:28.022778,computing tour length of baseline model
2024-07-13T21:50:28.023006,computing loss and backprop
2024-07-13T21:50:28.252700,"Epoch 0, Step 9 start"
2024-07-13T21:50:28.252718,generating tours of train model
2024-07-13T21:50:28.457244,generating tours of baseline model
2024-07-13T21:50:28.652152,computing tour length of train model
2024-07-13T21:50:28.652411,computing tour length of baseline model
2024-07-13T21:50:28.652639,computing loss and backprop
2024-07-13T21:50:28.885114,"Epoch 0, Generating tour on test data batch 0"
2024-07-13T21:50:29.162329,"Epoch 0, computing tour length on test data batch 0"
2024-07-13T21:50:29.162912,"Epoch 0, Generating tour on test data batch 1"
2024-07-13T21:50:29.418689,"Epoch 0, computing tour length on test data batch 1"
2024-07-13T21:50:29.419242,"Epoch 0, Generating tour on test data batch 2"
2024-07-13T21:50:29.679078,"Epoch 0, computing tour length on test data batch 2"
2024-07-13T21:50:29.679610,"Epoch 0, Generating tour on test data batch 3"
2024-07-13T21:50:29.934515,"Epoch 0, computing tour length on test data batch 3"
2024-07-13T21:50:29.935524,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-13T21:50:30.004437,"Epoch 1, Step 0 start"
2024-07-13T21:50:30.004455,Generating data
2024-07-13T21:50:30.008666,generating tours of train model
2024-07-13T21:50:30.203632,generating tours of baseline model
2024-07-13T21:50:30.371540,computing tour length of train model
2024-07-13T21:50:30.371878,computing tour length of baseline model
2024-07-13T21:50:30.372123,computing loss and backprop
2024-07-13T21:50:30.600884,"Epoch 1, Step 1 start"
2024-07-13T21:50:30.600901,generating tours of train model
2024-07-13T21:50:30.799307,generating tours of baseline model
2024-07-13T21:50:30.990999,computing tour length of train model
2024-07-13T21:50:30.991256,computing tour length of baseline model
2024-07-13T21:50:30.991489,computing loss and backprop
2024-07-13T21:50:31.226392,"Epoch 1, Step 2 start"
2024-07-13T21:50:31.226415,generating tours of train model
2024-07-13T21:50:31.424273,generating tours of baseline model
2024-07-13T21:50:31.578001,computing tour length of train model
2024-07-13T21:50:31.578258,computing tour length of baseline model
2024-07-13T21:50:31.578487,computing loss and backprop
2024-07-13T21:50:31.802427,"Epoch 1, Step 3 start"
2024-07-13T21:50:31.802443,generating tours of train model
2024-07-13T21:50:32.002830,generating tours of baseline model
2024-07-13T21:50:32.197781,computing tour length of train model
2024-07-13T21:50:32.198052,computing tour length of baseline model
2024-07-13T21:50:32.198284,computing loss and backprop
2024-07-13T21:50:32.426296,"Epoch 1, Step 4 start"
2024-07-13T21:50:32.426314,generating tours of train model
2024-07-13T21:50:32.628741,generating tours of baseline model
2024-07-13T21:50:32.823141,computing tour length of train model
2024-07-13T21:50:32.823395,computing tour length of baseline model
2024-07-13T21:50:32.823622,computing loss and backprop
2024-07-13T21:50:33.048147,"Epoch 1, Step 5 start"
2024-07-13T21:50:33.048162,generating tours of train model
2024-07-13T21:50:33.208383,generating tours of baseline model
2024-07-13T21:50:33.397672,computing tour length of train model
2024-07-13T21:50:33.397939,computing tour length of baseline model
2024-07-13T21:50:33.398174,computing loss and backprop
2024-07-13T21:50:33.627919,"Epoch 1, Step 6 start"
2024-07-13T21:50:33.627933,Generating data
2024-07-13T21:50:33.643641,generating tours of train model
2024-07-13T21:50:33.834899,generating tours of baseline model
2024-07-13T21:50:34.023910,computing tour length of train model
2024-07-13T21:50:34.024165,computing tour length of baseline model
2024-07-13T21:50:34.024393,computing loss and backprop
2024-07-13T21:50:34.250076,"Epoch 1, Step 7 start"
2024-07-13T21:50:34.250091,generating tours of train model
2024-07-13T21:50:34.410084,generating tours of baseline model
2024-07-13T21:50:34.605521,computing tour length of train model
2024-07-13T21:50:34.605789,computing tour length of baseline model
2024-07-13T21:50:34.606027,computing loss and backprop
2024-07-13T21:50:34.840680,"Epoch 1, Step 8 start"
2024-07-13T21:50:34.840702,generating tours of train model
2024-07-13T21:50:35.032327,generating tours of baseline model
2024-07-13T21:50:35.230190,computing tour length of train model
2024-07-13T21:50:35.230441,computing tour length of baseline model
2024-07-13T21:50:35.230670,computing loss and backprop
2024-07-13T21:50:35.468825,"Epoch 1, Step 9 start"
2024-07-13T21:50:35.468840,generating tours of train model
2024-07-13T21:50:35.629992,generating tours of baseline model
2024-07-13T21:50:35.815125,computing tour length of train model
2024-07-13T21:50:35.815387,computing tour length of baseline model
2024-07-13T21:50:35.815613,computing loss and backprop
2024-07-13T21:50:36.046801,"Epoch 1, Generating tour on test data batch 0"
2024-07-13T21:50:36.325428,"Epoch 1, computing tour length on test data batch 0"
2024-07-13T21:50:36.326138,"Epoch 1, Generating tour on test data batch 1"
2024-07-13T21:50:36.605186,"Epoch 1, computing tour length on test data batch 1"
2024-07-13T21:50:36.605699,"Epoch 1, Generating tour on test data batch 2"
2024-07-13T21:50:36.856112,"Epoch 1, computing tour length on test data batch 2"
2024-07-13T21:50:36.856586,"Epoch 1, Generating tour on test data batch 3"
2024-07-13T21:50:37.077784,"Epoch 1, computing tour length on test data batch 3"
2024-07-13T21:50:37.078512,Epoch 1 saving checkpoint and updating baseline if train is better
2024-07-13T21:50:37.099709,"Epoch 2, Step 0 start"
2024-07-13T21:50:37.099719,Generating data
2024-07-13T21:50:37.103403,generating tours of train model
2024-07-13T21:50:37.298120,generating tours of baseline model
2024-07-13T21:50:37.473959,computing tour length of train model
2024-07-13T21:50:37.474214,computing tour length of baseline model
2024-07-13T21:50:37.474457,computing loss and backprop
2024-07-13T21:50:37.710057,"Epoch 2, Step 1 start"
2024-07-13T21:50:37.710089,generating tours of train model
2024-07-13T21:50:37.894229,generating tours of baseline model
2024-07-13T21:50:38.055057,computing tour length of train model
2024-07-13T21:50:38.055327,computing tour length of baseline model
2024-07-13T21:50:38.055555,computing loss and backprop
2024-07-13T21:50:38.283688,"Epoch 2, Step 2 start"
2024-07-13T21:50:38.283706,generating tours of train model
2024-07-13T21:50:38.487070,generating tours of baseline model
2024-07-13T21:50:38.680307,computing tour length of train model
2024-07-13T21:50:38.680565,computing tour length of baseline model
2024-07-13T21:50:38.680797,computing loss and backprop
2024-07-13T21:50:38.910776,"Epoch 2, Step 3 start"
