Timestamp,Event
2024-07-22T02:01:05.996911,"Epoch 0, Step 0 start"
2024-07-22T02:01:05.996928,Generating data
2024-07-22T02:01:06.002271,generating tours of train model
2024-07-22T02:01:22.186765,generating tours of baseline model
2024-07-22T02:01:22.693142,computing tour length of train model
2024-07-22T02:01:22.720940,computing tour length of baseline model
2024-07-22T02:01:22.721355,computing loss and backprop
2024-07-22T02:01:44.224977,"Epoch 0, Step 1 start"
2024-07-22T02:01:44.225017,generating tours of train model
2024-07-22T02:01:44.921676,generating tours of baseline model
2024-07-22T02:01:45.435686,computing tour length of train model
2024-07-22T02:01:45.436017,computing tour length of baseline model
2024-07-22T02:01:45.436251,computing loss and backprop
2024-07-22T02:01:45.969657,"Epoch 0, Step 2 start"
2024-07-22T02:01:45.969684,generating tours of train model
2024-07-22T02:01:46.887547,generating tours of baseline model
2024-07-22T02:01:47.391823,computing tour length of train model
2024-07-22T02:01:47.392110,computing tour length of baseline model
2024-07-22T02:01:47.392338,computing loss and backprop
2024-07-22T02:01:47.912696,"Epoch 0, Step 3 start"
2024-07-22T02:01:47.912724,generating tours of train model
2024-07-22T02:01:48.774627,generating tours of baseline model
2024-07-22T02:01:49.417847,computing tour length of train model
2024-07-22T02:01:49.418103,computing tour length of baseline model
2024-07-22T02:01:49.418323,computing loss and backprop
2024-07-22T02:01:49.938590,"Epoch 0, Step 4 start"
2024-07-22T02:01:49.938613,generating tours of train model
2024-07-22T02:01:50.606965,generating tours of baseline model
2024-07-22T02:01:51.118343,computing tour length of train model
2024-07-22T02:01:51.118602,computing tour length of baseline model
2024-07-22T02:01:51.118832,computing loss and backprop
2024-07-22T02:01:51.649273,"Epoch 0, Step 5 start"
2024-07-22T02:01:51.649289,generating tours of train model
2024-07-22T02:01:52.564062,generating tours of baseline model
2024-07-22T02:01:53.061255,computing tour length of train model
2024-07-22T02:01:53.061515,computing tour length of baseline model
2024-07-22T02:01:53.061741,computing loss and backprop
2024-07-22T02:01:53.583688,"Epoch 0, Step 6 start"
2024-07-22T02:01:53.583712,Generating data
2024-07-22T02:01:53.589099,generating tours of train model
2024-07-22T02:01:54.441117,generating tours of baseline model
2024-07-22T02:01:55.089298,computing tour length of train model
2024-07-22T02:01:55.089643,computing tour length of baseline model
2024-07-22T02:01:55.089885,computing loss and backprop
2024-07-22T02:01:55.606411,"Epoch 0, Step 7 start"
2024-07-22T02:01:55.606432,generating tours of train model
2024-07-22T02:01:56.322566,generating tours of baseline model
2024-07-22T02:01:56.861266,computing tour length of train model
2024-07-22T02:01:56.861521,computing tour length of baseline model
2024-07-22T02:01:56.861750,computing loss and backprop
2024-07-22T02:01:57.391760,"Epoch 0, Step 8 start"
2024-07-22T02:01:57.391784,generating tours of train model
2024-07-22T02:01:58.252955,generating tours of baseline model
2024-07-22T02:01:58.748627,computing tour length of train model
2024-07-22T02:01:58.748908,computing tour length of baseline model
2024-07-22T02:01:58.749138,computing loss and backprop
2024-07-22T02:01:59.272474,"Epoch 0, Step 9 start"
2024-07-22T02:01:59.272496,generating tours of train model
2024-07-22T02:02:00.230207,generating tours of baseline model
2024-07-22T02:02:00.796175,computing tour length of train model
2024-07-22T02:02:00.796477,computing tour length of baseline model
2024-07-22T02:02:00.796707,computing loss and backprop
2024-07-22T02:02:01.326024,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T02:02:02.356096,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T02:02:02.356584,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T02:02:03.573061,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T02:02:03.573784,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T02:02:04.581363,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T02:02:04.581862,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T02:02:05.814633,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T02:02:05.815120,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T02:02:06.869166,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T02:02:06.869794,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T02:02:07.977239,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T02:02:07.977836,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T02:02:09.155214,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T02:02:09.155689,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T02:02:10.183652,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T02:02:10.184141,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T02:02:11.415296,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T02:02:11.415813,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T02:02:12.437097,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T02:02:12.437579,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T02:02:13.574470,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T02:02:13.574948,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T02:02:14.715117,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T02:02:14.715594,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T02:02:15.737356,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T02:02:15.737829,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T02:02:17.007107,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T02:02:17.007664,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T02:02:18.022769,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T02:02:18.023278,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T02:02:19.176463,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T02:02:19.176939,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T02:02:20.348712,"Epoch 0, computing tour length on test data batch 16"
2024-07-22T02:02:20.349199,"Epoch 0, Generating tour on test data batch 17"
2024-07-22T02:02:21.363496,"Epoch 0, computing tour length on test data batch 17"
