Timestamp,Event
2024-07-22T02:57:21.821630,"Epoch 0, Step 0 start"
2024-07-22T02:57:21.821648,Generating data
2024-07-22T02:57:21.830746,generating tours of train model
2024-07-22T02:57:37.336988,generating tours of baseline model
2024-07-22T02:57:37.373341,computing tour length of train model
2024-07-22T02:57:37.401016,computing tour length of baseline model
2024-07-22T02:57:37.401448,computing loss and backprop
2024-07-22T02:57:58.299200,"Epoch 0, Step 1 start"
2024-07-22T02:57:58.299239,generating tours of train model
2024-07-22T02:57:58.332621,generating tours of baseline model
2024-07-22T02:57:58.376342,computing tour length of train model
2024-07-22T02:57:58.376655,computing tour length of baseline model
2024-07-22T02:57:58.376898,computing loss and backprop
2024-07-22T02:57:58.408580,"Epoch 0, Step 2 start"
2024-07-22T02:57:58.408600,generating tours of train model
2024-07-22T02:57:58.482815,generating tours of baseline model
2024-07-22T02:57:58.492169,computing tour length of train model
2024-07-22T02:57:58.492415,computing tour length of baseline model
2024-07-22T02:57:58.492641,computing loss and backprop
2024-07-22T02:57:58.519793,"Epoch 0, Step 3 start"
2024-07-22T02:57:58.519808,generating tours of train model
2024-07-22T02:57:58.598993,generating tours of baseline model
2024-07-22T02:57:58.651751,computing tour length of train model
2024-07-22T02:57:58.652042,computing tour length of baseline model
2024-07-22T02:57:58.652266,computing loss and backprop
2024-07-22T02:57:58.678468,"Epoch 0, Step 4 start"
2024-07-22T02:57:58.678491,generating tours of train model
2024-07-22T02:57:58.690427,generating tours of baseline model
2024-07-22T02:57:58.730121,computing tour length of train model
2024-07-22T02:57:58.730375,computing tour length of baseline model
2024-07-22T02:57:58.730596,computing loss and backprop
2024-07-22T02:57:58.760902,"Epoch 0, Step 5 start"
2024-07-22T02:57:58.760917,generating tours of train model
2024-07-22T02:57:58.835119,generating tours of baseline model
2024-07-22T02:57:58.869426,computing tour length of train model
2024-07-22T02:57:58.869835,computing tour length of baseline model
2024-07-22T02:57:58.870084,computing loss and backprop
2024-07-22T02:57:58.894971,"Epoch 0, Step 6 start"
2024-07-22T02:57:58.894996,Generating data
2024-07-22T02:57:58.898700,generating tours of train model
2024-07-22T02:57:58.981473,generating tours of baseline model
2024-07-22T02:57:59.034338,computing tour length of train model
2024-07-22T02:57:59.034599,computing tour length of baseline model
2024-07-22T02:57:59.034821,computing loss and backprop
2024-07-22T02:57:59.061087,"Epoch 0, Step 7 start"
2024-07-22T02:57:59.061104,generating tours of train model
2024-07-22T02:57:59.129441,generating tours of baseline model
2024-07-22T02:57:59.179734,computing tour length of train model
2024-07-22T02:57:59.180006,computing tour length of baseline model
2024-07-22T02:57:59.180236,computing loss and backprop
2024-07-22T02:57:59.210664,"Epoch 0, Step 8 start"
2024-07-22T02:57:59.210684,generating tours of train model
2024-07-22T02:57:59.245035,generating tours of baseline model
2024-07-22T02:57:59.272511,computing tour length of train model
2024-07-22T02:57:59.272779,computing tour length of baseline model
2024-07-22T02:57:59.273014,computing loss and backprop
2024-07-22T02:57:59.303576,"Epoch 0, Step 9 start"
2024-07-22T02:57:59.303600,generating tours of train model
2024-07-22T02:57:59.389896,generating tours of baseline model
2024-07-22T02:57:59.425641,computing tour length of train model
2024-07-22T02:57:59.425896,computing tour length of baseline model
2024-07-22T02:57:59.426120,computing loss and backprop
2024-07-22T02:57:59.451142,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T02:57:59.543113,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T02:57:59.543589,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T02:57:59.648393,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T02:57:59.648864,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T02:57:59.752580,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T02:57:59.753052,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T02:57:59.856782,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T02:57:59.857243,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T02:57:59.960990,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T02:57:59.961464,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T02:58:00.065179,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T02:58:00.065752,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T02:58:00.169354,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T02:58:00.169782,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T02:58:00.273570,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T02:58:00.274046,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T02:58:00.377751,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T02:58:00.378232,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T02:58:00.481938,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T02:58:00.482369,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T02:58:00.586134,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T02:58:00.586606,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T02:58:00.690371,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T02:58:00.690867,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T02:58:00.794701,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T02:58:00.795144,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T02:58:00.874215,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T02:58:00.874651,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T02:58:00.913183,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T02:58:00.913645,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T02:58:01.016559,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T02:58:01.017052,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T02:58:01.068582,"Epoch 0, computing tour length on test data batch 16"
2024-07-22T02:58:01.069076,"Epoch 0, Generating tour on test data batch 17"
2024-07-22T02:58:01.157872,"Epoch 0, computing tour length on test data batch 17"
2024-07-22T02:58:01.158351,"Epoch 0, Generating tour on test data batch 18"
2024-07-22T02:58:01.242919,"Epoch 0, computing tour length on test data batch 18"
2024-07-22T02:58:01.243399,"Epoch 0, Generating tour on test data batch 19"
2024-07-22T02:58:01.304481,"Epoch 0, computing tour length on test data batch 19"
2024-07-22T02:58:01.305078,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-22T02:58:01.322052,"Epoch 1, Step 0 start"
2024-07-22T02:58:01.322063,Generating data
2024-07-22T02:58:01.325980,generating tours of train model
2024-07-22T02:58:01.415881,generating tours of baseline model
2024-07-22T02:58:01.427606,computing tour length of train model
2024-07-22T02:58:01.427859,computing tour length of baseline model
2024-07-22T02:58:01.428093,computing loss and backprop
2024-07-22T02:58:01.450900,"Epoch 1, Step 1 start"
2024-07-22T02:58:01.450915,generating tours of train model
2024-07-22T02:58:01.527736,generating tours of baseline model
2024-07-22T02:58:01.580447,computing tour length of train model
2024-07-22T02:58:01.580710,computing tour length of baseline model
2024-07-22T02:58:01.580950,computing loss and backprop
2024-07-22T02:58:01.611307,"Epoch 1, Step 2 start"
2024-07-22T02:58:01.611331,generating tours of train model
2024-07-22T02:58:01.624660,generating tours of baseline model
2024-07-22T02:58:01.660755,computing tour length of train model
2024-07-22T02:58:01.661060,computing tour length of baseline model
2024-07-22T02:58:01.661296,computing loss and backprop
2024-07-22T02:58:01.691853,"Epoch 1, Step 3 start"
2024-07-22T02:58:01.691880,generating tours of train model
2024-07-22T02:58:01.768218,generating tours of baseline model
2024-07-22T02:58:01.804545,computing tour length of train model
