Timestamp,Event
2024-07-25T13:51:06.145674,"Epoch 0, Step 0 start"
2024-07-25T13:51:06.145686,Generating data
2024-07-25T13:51:15.670376,computing tour length of train model
2024-07-25T13:51:15.716116,computing tour length of baseline model
2024-07-25T13:51:27.853281,"Epoch 0, Step 1 start"
2024-07-25T13:51:29.118006,computing tour length of train model
2024-07-25T13:51:29.118268,computing tour length of baseline model
2024-07-25T13:51:30.920023,"Epoch 0, Step 2 start"
2024-07-25T13:51:31.988744,computing tour length of train model
2024-07-25T13:51:31.988985,computing tour length of baseline model
2024-07-25T13:51:33.983261,"Epoch 0, Step 3 start"
2024-07-25T13:51:35.053481,computing tour length of train model
2024-07-25T13:51:35.053723,computing tour length of baseline model
2024-07-25T13:51:36.839162,"Epoch 0, Step 4 start"
2024-07-25T13:51:37.910134,computing tour length of train model
2024-07-25T13:51:37.910400,computing tour length of baseline model
2024-07-25T13:51:39.908088,"Epoch 0, Step 5 start"
2024-07-25T13:51:40.976017,computing tour length of train model
2024-07-25T13:51:40.976270,computing tour length of baseline model
2024-07-25T13:51:42.774190,"Epoch 0, Step 6 start"
2024-07-25T13:51:42.774204,Generating data
2024-07-25T13:51:44.031638,computing tour length of train model
2024-07-25T13:51:44.031884,computing tour length of baseline model
2024-07-25T13:51:45.816166,"Epoch 0, Step 7 start"
2024-07-25T13:51:46.883594,computing tour length of train model
2024-07-25T13:51:46.883858,computing tour length of baseline model
2024-07-25T13:51:48.864539,"Epoch 0, Step 8 start"
2024-07-25T13:51:49.930024,computing tour length of train model
2024-07-25T13:51:49.930276,computing tour length of baseline model
2024-07-25T13:51:51.708015,"Epoch 0, Step 9 start"
2024-07-25T13:51:52.778877,computing tour length of train model
2024-07-25T13:51:52.779134,computing tour length of baseline model
2024-07-25T13:51:54.771055,"Epoch 0, Generating tour on test data batch 0"
2024-07-25T13:51:55.814958,"Epoch 0, computing tour length on test data batch 0"
2024-07-25T13:51:55.815439,"Epoch 0, Generating tour on test data batch 1"
2024-07-25T13:51:56.859292,"Epoch 0, computing tour length on test data batch 1"
2024-07-25T13:51:56.859772,"Epoch 0, Generating tour on test data batch 2"
2024-07-25T13:51:57.903734,"Epoch 0, computing tour length on test data batch 2"
2024-07-25T13:51:57.904209,"Epoch 0, Generating tour on test data batch 3"
2024-07-25T13:51:59.144687,"Epoch 0, computing tour length on test data batch 3"
2024-07-25T13:51:59.145178,"Epoch 0, Generating tour on test data batch 4"
2024-07-25T13:52:00.190794,"Epoch 0, computing tour length on test data batch 4"
2024-07-25T13:52:00.191262,"Epoch 0, Generating tour on test data batch 5"
2024-07-25T13:52:01.234442,"Epoch 0, computing tour length on test data batch 5"
2024-07-25T13:52:01.234916,"Epoch 0, Generating tour on test data batch 6"
2024-07-25T13:52:02.276349,"Epoch 0, computing tour length on test data batch 6"
2024-07-25T13:52:02.276822,"Epoch 0, Generating tour on test data batch 7"
2024-07-25T13:52:03.502759,"Epoch 0, computing tour length on test data batch 7"
2024-07-25T13:52:03.503253,"Epoch 0, Generating tour on test data batch 8"
2024-07-25T13:52:04.547813,"Epoch 0, computing tour length on test data batch 8"
2024-07-25T13:52:04.548297,"Epoch 0, Generating tour on test data batch 9"
2024-07-25T13:52:05.590146,"Epoch 0, computing tour length on test data batch 9"
2024-07-25T13:52:05.590689,"Epoch 0, Generating tour on test data batch 10"
2024-07-25T13:52:06.631418,"Epoch 0, computing tour length on test data batch 10"
2024-07-25T13:52:06.631888,"Epoch 0, Generating tour on test data batch 11"
2024-07-25T13:52:07.672758,"Epoch 0, computing tour length on test data batch 11"
2024-07-25T13:52:07.673253,"Epoch 0, Generating tour on test data batch 12"
2024-07-25T13:52:08.902344,"Epoch 0, computing tour length on test data batch 12"
2024-07-25T13:52:08.902837,"Epoch 0, Generating tour on test data batch 13"
2024-07-25T13:52:09.948396,"Epoch 0, computing tour length on test data batch 13"
2024-07-25T13:52:09.948873,"Epoch 0, Generating tour on test data batch 14"
2024-07-25T13:52:10.999845,"Epoch 0, computing tour length on test data batch 14"
2024-07-25T13:52:11.000322,"Epoch 0, Generating tour on test data batch 15"
2024-07-25T13:52:12.043095,"Epoch 0, computing tour length on test data batch 15"
2024-07-25T13:52:12.043611,"Epoch 0, Generating tour on test data batch 16"
2024-07-25T13:52:13.183755,"Epoch 0, computing tour length on test data batch 16"
2024-07-25T13:52:13.184561,"Epoch 0, Generating tour on test data batch 17"
2024-07-25T13:52:14.345596,"Epoch 0, computing tour length on test data batch 17"
2024-07-25T13:52:14.346129,"Epoch 0, Generating tour on test data batch 18"
2024-07-25T13:52:15.401144,"Epoch 0, computing tour length on test data batch 18"
2024-07-25T13:52:15.401621,"Epoch 0, Generating tour on test data batch 19"
2024-07-25T13:52:16.459832,"Epoch 0, computing tour length on test data batch 19"
2024-07-25T13:52:16.460395,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-25T13:52:16.477568,"Epoch 1, Step 0 start"
2024-07-25T13:52:16.477577,Generating data
2024-07-25T13:52:17.555170,computing tour length of train model
2024-07-25T13:52:17.555450,computing tour length of baseline model
2024-07-25T13:52:19.553103,"Epoch 1, Step 1 start"
2024-07-25T13:52:20.613017,computing tour length of train model
2024-07-25T13:52:20.613268,computing tour length of baseline model
2024-07-25T13:52:22.416471,"Epoch 1, Step 2 start"
