Timestamp,Event
2024-07-25T13:04:19.906077,"Epoch 0, Step 0 start"
2024-07-25T13:04:19.906089,Generating data
2024-07-25T13:04:28.653683,computing tour length of train model
2024-07-25T13:04:28.699814,computing tour length of baseline model
2024-07-25T13:04:40.273673,"Epoch 0, Step 1 start"
2024-07-25T13:04:41.341310,computing tour length of train model
2024-07-25T13:04:41.341565,computing tour length of baseline model
2024-07-25T13:04:43.245055,"Epoch 0, Step 2 start"
2024-07-25T13:04:44.385983,computing tour length of train model
2024-07-25T13:04:44.386240,computing tour length of baseline model
2024-07-25T13:04:46.193137,"Epoch 0, Step 3 start"
2024-07-25T13:04:47.268313,computing tour length of train model
2024-07-25T13:04:47.268574,computing tour length of baseline model
2024-07-25T13:04:49.251973,"Epoch 0, Step 4 start"
2024-07-25T13:04:50.320296,computing tour length of train model
2024-07-25T13:04:50.320549,computing tour length of baseline model
2024-07-25T13:04:52.120837,"Epoch 0, Step 5 start"
2024-07-25T13:04:53.316365,computing tour length of train model
2024-07-25T13:04:53.316778,computing tour length of baseline model
2024-07-25T13:04:55.146729,"Epoch 0, Step 6 start"
2024-07-25T13:04:55.146753,Generating data
2024-07-25T13:04:56.213958,computing tour length of train model
2024-07-25T13:04:56.214201,computing tour length of baseline model
2024-07-25T13:04:58.016636,"Epoch 0, Step 7 start"
2024-07-25T13:04:59.228453,computing tour length of train model
2024-07-25T13:04:59.228705,computing tour length of baseline model
2024-07-25T13:05:01.017057,"Epoch 0, Step 8 start"
2024-07-25T13:05:02.085949,computing tour length of train model
2024-07-25T13:05:02.086197,computing tour length of baseline model
2024-07-25T13:05:04.051422,"Epoch 0, Step 9 start"
2024-07-25T13:05:05.129093,computing tour length of train model
2024-07-25T13:05:05.129343,computing tour length of baseline model
2024-07-25T13:05:06.924181,"Epoch 0, Generating tour on test data batch 0"
2024-07-25T13:05:08.017331,"Epoch 0, computing tour length on test data batch 0"
2024-07-25T13:05:08.018141,"Epoch 0, Generating tour on test data batch 1"
2024-07-25T13:05:09.205783,"Epoch 0, computing tour length on test data batch 1"
2024-07-25T13:05:09.206269,"Epoch 0, Generating tour on test data batch 2"
2024-07-25T13:05:10.264467,"Epoch 0, computing tour length on test data batch 2"
2024-07-25T13:05:10.264950,"Epoch 0, Generating tour on test data batch 3"
2024-07-25T13:05:11.317307,"Epoch 0, computing tour length on test data batch 3"
2024-07-25T13:05:11.317824,"Epoch 0, Generating tour on test data batch 4"
2024-07-25T13:05:12.372619,"Epoch 0, computing tour length on test data batch 4"
2024-07-25T13:05:12.373102,"Epoch 0, Generating tour on test data batch 5"
2024-07-25T13:05:13.591590,"Epoch 0, computing tour length on test data batch 5"
2024-07-25T13:05:13.592068,"Epoch 0, Generating tour on test data batch 6"
2024-07-25T13:05:14.634477,"Epoch 0, computing tour length on test data batch 6"
2024-07-25T13:05:14.634956,"Epoch 0, Generating tour on test data batch 7"
2024-07-25T13:05:15.681078,"Epoch 0, computing tour length on test data batch 7"
2024-07-25T13:05:15.681563,"Epoch 0, Generating tour on test data batch 8"
2024-07-25T13:05:16.729948,"Epoch 0, computing tour length on test data batch 8"
2024-07-25T13:05:16.730476,"Epoch 0, Generating tour on test data batch 9"
2024-07-25T13:05:17.779062,"Epoch 0, computing tour length on test data batch 9"
2024-07-25T13:05:17.779572,"Epoch 0, Generating tour on test data batch 10"
2024-07-25T13:05:19.000835,"Epoch 0, computing tour length on test data batch 10"
2024-07-25T13:05:19.001309,"Epoch 0, Generating tour on test data batch 11"
2024-07-25T13:05:20.046658,"Epoch 0, computing tour length on test data batch 11"
2024-07-25T13:05:20.047208,"Epoch 0, Generating tour on test data batch 12"
2024-07-25T13:05:21.095105,"Epoch 0, computing tour length on test data batch 12"
2024-07-25T13:05:21.095580,"Epoch 0, Generating tour on test data batch 13"
2024-07-25T13:05:22.143616,"Epoch 0, computing tour length on test data batch 13"
2024-07-25T13:05:22.144090,"Epoch 0, Generating tour on test data batch 14"
2024-07-25T13:05:23.318089,"Epoch 0, computing tour length on test data batch 14"
2024-07-25T13:05:23.318890,"Epoch 0, Generating tour on test data batch 15"
2024-07-25T13:05:24.404352,"Epoch 0, computing tour length on test data batch 15"
2024-07-25T13:05:24.404831,"Epoch 0, Generating tour on test data batch 16"
2024-07-25T13:05:25.448391,"Epoch 0, computing tour length on test data batch 16"
