Timestamp,Event
2024-07-15T16:28:36.009652,"Epoch 0, Step 0 start"
2024-07-15T16:28:36.009670,Generating data
2024-07-15T16:28:36.012434,generating tours of train model
2024-07-15T16:28:45.986539,generating tours of baseline model
2024-07-15T16:28:46.473273,computing tour length of train model
2024-07-15T16:28:46.505388,computing tour length of baseline model
2024-07-15T16:28:46.505908,computing loss and backprop
2024-07-15T16:28:59.597615,"Epoch 0, Step 1 start"
2024-07-15T16:28:59.597656,generating tours of train model
2024-07-15T16:28:59.960381,generating tours of baseline model
2024-07-15T16:29:00.318894,computing tour length of train model
2024-07-15T16:29:00.319313,computing tour length of baseline model
2024-07-15T16:29:00.319650,computing loss and backprop
2024-07-15T16:29:01.065783,"Epoch 0, Step 2 start"
2024-07-15T16:29:01.065802,generating tours of train model
2024-07-15T16:29:01.428494,generating tours of baseline model
2024-07-15T16:29:01.784836,computing tour length of train model
2024-07-15T16:29:01.785203,computing tour length of baseline model
2024-07-15T16:29:01.785534,computing loss and backprop
2024-07-15T16:29:02.534302,"Epoch 0, Step 3 start"
2024-07-15T16:29:02.534323,generating tours of train model
2024-07-15T16:29:02.875608,generating tours of baseline model
2024-07-15T16:29:03.111992,computing tour length of train model
2024-07-15T16:29:03.112295,computing tour length of baseline model
2024-07-15T16:29:03.112557,computing loss and backprop
2024-07-15T16:29:03.606194,"Epoch 0, Step 4 start"
2024-07-15T16:29:03.606210,generating tours of train model
2024-07-15T16:29:03.845496,generating tours of baseline model
2024-07-15T16:29:04.081536,computing tour length of train model
2024-07-15T16:29:04.081787,computing tour length of baseline model
2024-07-15T16:29:04.082029,computing loss and backprop
2024-07-15T16:29:04.577892,"Epoch 0, Step 5 start"
2024-07-15T16:29:04.577908,generating tours of train model
2024-07-15T16:29:04.815984,generating tours of baseline model
2024-07-15T16:29:05.050303,computing tour length of train model
2024-07-15T16:29:05.050549,computing tour length of baseline model
2024-07-15T16:29:05.050778,computing loss and backprop
2024-07-15T16:29:05.539855,"Epoch 0, Step 6 start"
2024-07-15T16:29:05.539868,Generating data
2024-07-15T16:29:05.541997,generating tours of train model
2024-07-15T16:29:05.777863,generating tours of baseline model
2024-07-15T16:29:06.012142,computing tour length of train model
2024-07-15T16:29:06.012381,computing tour length of baseline model
2024-07-15T16:29:06.012598,computing loss and backprop
2024-07-15T16:29:06.505365,"Epoch 0, Step 7 start"
2024-07-15T16:29:06.505377,generating tours of train model
2024-07-15T16:29:06.743317,generating tours of baseline model
2024-07-15T16:29:07.084346,computing tour length of train model
2024-07-15T16:29:07.084615,computing tour length of baseline model
2024-07-15T16:29:07.084852,computing loss and backprop
2024-07-15T16:29:07.577880,"Epoch 0, Step 8 start"
2024-07-15T16:29:07.577894,generating tours of train model
2024-07-15T16:29:07.815739,generating tours of baseline model
2024-07-15T16:29:08.049866,computing tour length of train model
2024-07-15T16:29:08.050113,computing tour length of baseline model
2024-07-15T16:29:08.050331,computing loss and backprop
2024-07-15T16:29:08.538727,"Epoch 0, Step 9 start"
2024-07-15T16:29:08.538742,generating tours of train model
2024-07-15T16:29:08.776886,generating tours of baseline model
2024-07-15T16:29:09.010878,computing tour length of train model
2024-07-15T16:29:09.011120,computing tour length of baseline model
2024-07-15T16:29:09.011338,computing loss and backprop
2024-07-15T16:29:09.499576,"Epoch 0, Generating tour on test data batch 0"
2024-07-15T16:29:09.945457,"Epoch 0, computing tour length on test data batch 0"
2024-07-15T16:29:09.946407,"Epoch 0, Generating tour on test data batch 1"
2024-07-15T16:29:10.398956,"Epoch 0, computing tour length on test data batch 1"
2024-07-15T16:29:10.399466,"Epoch 0, Generating tour on test data batch 2"
2024-07-15T16:29:10.849313,"Epoch 0, computing tour length on test data batch 2"
2024-07-15T16:29:10.849811,"Epoch 0, Generating tour on test data batch 3"
2024-07-15T16:29:11.301401,"Epoch 0, computing tour length on test data batch 3"
2024-07-15T16:29:11.301922,"Epoch 0, Generating tour on test data batch 4"
2024-07-15T16:29:11.753258,"Epoch 0, computing tour length on test data batch 4"
2024-07-15T16:29:11.753752,"Epoch 0, Generating tour on test data batch 5"
2024-07-15T16:29:12.206396,"Epoch 0, computing tour length on test data batch 5"
2024-07-15T16:29:12.206902,"Epoch 0, Generating tour on test data batch 6"
2024-07-15T16:29:12.659798,"Epoch 0, computing tour length on test data batch 6"
2024-07-15T16:29:12.660302,"Epoch 0, Generating tour on test data batch 7"
2024-07-15T16:29:13.112969,"Epoch 0, computing tour length on test data batch 7"
2024-07-15T16:29:13.113475,"Epoch 0, Generating tour on test data batch 8"
2024-07-15T16:29:13.566001,"Epoch 0, computing tour length on test data batch 8"
2024-07-15T16:29:13.566497,"Epoch 0, Generating tour on test data batch 9"
2024-07-15T16:29:14.019075,"Epoch 0, computing tour length on test data batch 9"
2024-07-15T16:29:14.019584,"Epoch 0, Generating tour on test data batch 10"
2024-07-15T16:29:14.564458,"Epoch 0, computing tour length on test data batch 10"
2024-07-15T16:29:14.564985,"Epoch 0, Generating tour on test data batch 11"
2024-07-15T16:29:15.014703,"Epoch 0, computing tour length on test data batch 11"
2024-07-15T16:29:15.015224,"Epoch 0, Generating tour on test data batch 12"
2024-07-15T16:29:15.461648,"Epoch 0, computing tour length on test data batch 12"
2024-07-15T16:29:15.462150,"Epoch 0, Generating tour on test data batch 13"
2024-07-15T16:29:15.980249,"Epoch 0, computing tour length on test data batch 13"
2024-07-15T16:29:15.982141,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-15T16:29:15.999146,"Epoch 1, Step 0 start"
2024-07-15T16:29:15.999156,Generating data
2024-07-15T16:29:15.999395,generating tours of train model
2024-07-15T16:29:16.237509,generating tours of baseline model
2024-07-15T16:29:16.506990,computing tour length of train model
2024-07-15T16:29:16.507236,computing tour length of baseline model
2024-07-15T16:29:16.507470,computing loss and backprop
2024-07-15T16:29:17.003015,"Epoch 1, Step 1 start"
2024-07-15T16:29:17.003031,generating tours of train model
2024-07-15T16:29:17.243372,generating tours of baseline model
2024-07-15T16:29:17.479605,computing tour length of train model
2024-07-15T16:29:17.479858,computing tour length of baseline model
2024-07-15T16:29:17.480085,computing loss and backprop
2024-07-15T16:29:17.972279,"Epoch 1, Step 2 start"
2024-07-15T16:29:17.972292,generating tours of train model
2024-07-15T16:29:18.212932,generating tours of baseline model
2024-07-15T16:29:18.449604,computing tour length of train model
2024-07-15T16:29:18.449858,computing tour length of baseline model
2024-07-15T16:29:18.450087,computing loss and backprop
2024-07-15T16:29:18.940652,"Epoch 1, Step 3 start"
2024-07-15T16:29:18.940667,generating tours of train model
2024-07-15T16:29:19.179695,generating tours of baseline model
2024-07-15T16:29:19.415112,computing tour length of train model
2024-07-15T16:29:19.415354,computing tour length of baseline model
2024-07-15T16:29:19.415576,computing loss and backprop
2024-07-15T16:29:19.907478,"Epoch 1, Step 4 start"
2024-07-15T16:29:19.907491,generating tours of train model
