Timestamp,Event
2024-07-17T04:17:18.493334,"Epoch 0, Step 0 start"
2024-07-17T04:17:18.493352,Generating data
2024-07-17T04:17:18.495618,generating tours of train model
2024-07-17T04:17:28.325030,generating tours of baseline model
2024-07-17T04:17:28.762077,computing tour length of train model
2024-07-17T04:17:28.794114,computing tour length of baseline model
2024-07-17T04:17:28.794611,computing loss and backprop
2024-07-17T04:17:43.045191,"Epoch 0, Step 1 start"
2024-07-17T04:17:43.045232,generating tours of train model
2024-07-17T04:17:43.421329,generating tours of baseline model
2024-07-17T04:17:43.796000,computing tour length of train model
2024-07-17T04:17:43.796441,computing tour length of baseline model
2024-07-17T04:17:43.796787,computing loss and backprop
2024-07-17T04:17:44.577153,"Epoch 0, Step 2 start"
2024-07-17T04:17:44.577179,generating tours of train model
2024-07-17T04:17:44.952424,generating tours of baseline model
2024-07-17T04:17:45.284083,computing tour length of train model
2024-07-17T04:17:45.284351,computing tour length of baseline model
2024-07-17T04:17:45.284580,computing loss and backprop
2024-07-17T04:17:45.799741,"Epoch 0, Step 3 start"
2024-07-17T04:17:45.799757,generating tours of train model
2024-07-17T04:17:46.046582,generating tours of baseline model
2024-07-17T04:17:46.290375,computing tour length of train model
2024-07-17T04:17:46.290608,computing tour length of baseline model
2024-07-17T04:17:46.290828,computing loss and backprop
2024-07-17T04:17:46.801820,"Epoch 0, Step 4 start"
2024-07-17T04:17:46.801836,generating tours of train model
2024-07-17T04:17:47.048898,generating tours of baseline model
2024-07-17T04:17:47.292873,computing tour length of train model
2024-07-17T04:17:47.293106,computing tour length of baseline model
2024-07-17T04:17:47.293327,computing loss and backprop
2024-07-17T04:17:47.804156,"Epoch 0, Step 5 start"
2024-07-17T04:17:47.804171,generating tours of train model
2024-07-17T04:17:48.050978,generating tours of baseline model
2024-07-17T04:17:48.294823,computing tour length of train model
2024-07-17T04:17:48.295063,computing tour length of baseline model
2024-07-17T04:17:48.295286,computing loss and backprop
2024-07-17T04:17:48.810588,"Epoch 0, Step 6 start"
2024-07-17T04:17:48.810602,Generating data
2024-07-17T04:17:48.812325,generating tours of train model
2024-07-17T04:17:49.057972,generating tours of baseline model
2024-07-17T04:17:49.302227,computing tour length of train model
2024-07-17T04:17:49.302466,computing tour length of baseline model
2024-07-17T04:17:49.302685,computing loss and backprop
2024-07-17T04:17:49.813683,"Epoch 0, Step 7 start"
2024-07-17T04:17:49.813697,generating tours of train model
2024-07-17T04:17:50.060500,generating tours of baseline model
2024-07-17T04:17:50.414367,computing tour length of train model
2024-07-17T04:17:50.414621,computing tour length of baseline model
2024-07-17T04:17:50.414854,computing loss and backprop
2024-07-17T04:17:50.930548,"Epoch 0, Step 8 start"
2024-07-17T04:17:50.930564,generating tours of train model
2024-07-17T04:17:51.177765,generating tours of baseline model
2024-07-17T04:17:51.422257,computing tour length of train model
2024-07-17T04:17:51.422498,computing tour length of baseline model
2024-07-17T04:17:51.422718,computing loss and backprop
2024-07-17T04:17:51.936622,"Epoch 0, Step 9 start"
2024-07-17T04:17:51.936636,generating tours of train model
2024-07-17T04:17:52.184489,generating tours of baseline model
2024-07-17T04:17:52.429309,computing tour length of train model
2024-07-17T04:17:52.429548,computing tour length of baseline model
