Timestamp,Event
2024-07-17T05:41:01.474904,"Epoch 0, Step 0 start"
2024-07-17T05:41:01.474921,Generating data
2024-07-17T05:41:01.477199,generating tours of train model
2024-07-17T05:41:10.735076,generating tours of baseline model
2024-07-17T05:41:11.091165,computing tour length of train model
2024-07-17T05:41:11.123139,computing tour length of baseline model
2024-07-17T05:41:11.123636,computing loss and backprop
2024-07-17T05:41:23.821609,"Epoch 0, Step 1 start"
2024-07-17T05:41:23.821651,generating tours of train model
2024-07-17T05:41:24.132170,generating tours of baseline model
2024-07-17T05:41:24.440362,computing tour length of train model
2024-07-17T05:41:24.440776,computing tour length of baseline model
2024-07-17T05:41:24.441126,computing loss and backprop
2024-07-17T05:41:25.114862,"Epoch 0, Step 2 start"
2024-07-17T05:41:25.114892,generating tours of train model
2024-07-17T05:41:25.424527,generating tours of baseline model
2024-07-17T05:41:25.732946,computing tour length of train model
2024-07-17T05:41:25.733316,computing tour length of baseline model
2024-07-17T05:41:25.733655,computing loss and backprop
2024-07-17T05:41:26.402982,"Epoch 0, Step 3 start"
2024-07-17T05:41:26.403003,generating tours of train model
2024-07-17T05:41:26.712170,generating tours of baseline model
2024-07-17T05:41:26.995042,computing tour length of train model
2024-07-17T05:41:26.995273,computing tour length of baseline model
2024-07-17T05:41:26.995493,computing loss and backprop
2024-07-17T05:41:27.434577,"Epoch 0, Step 4 start"
2024-07-17T05:41:27.434593,generating tours of train model
2024-07-17T05:41:27.640318,generating tours of baseline model
2024-07-17T05:41:27.842857,computing tour length of train model
2024-07-17T05:41:27.843093,computing tour length of baseline model
2024-07-17T05:41:27.843312,computing loss and backprop
2024-07-17T05:41:28.283879,"Epoch 0, Step 5 start"
2024-07-17T05:41:28.283896,generating tours of train model
2024-07-17T05:41:28.488235,generating tours of baseline model
2024-07-17T05:41:28.691342,computing tour length of train model
2024-07-17T05:41:28.691586,computing tour length of baseline model
2024-07-17T05:41:28.691808,computing loss and backprop
2024-07-17T05:41:29.131347,"Epoch 0, Step 6 start"
2024-07-17T05:41:29.131360,Generating data
2024-07-17T05:41:29.132564,generating tours of train model
2024-07-17T05:41:29.335517,generating tours of baseline model
2024-07-17T05:41:29.537993,computing tour length of train model
2024-07-17T05:41:29.538312,computing tour length of baseline model
2024-07-17T05:41:29.538539,computing loss and backprop
2024-07-17T05:41:29.978768,"Epoch 0, Step 7 start"
2024-07-17T05:41:29.978783,generating tours of train model
2024-07-17T05:41:30.185083,generating tours of baseline model
2024-07-17T05:41:30.388433,computing tour length of train model
2024-07-17T05:41:30.388679,computing tour length of baseline model
2024-07-17T05:41:30.388910,computing loss and backprop
2024-07-17T05:41:30.828948,"Epoch 0, Step 8 start"
2024-07-17T05:41:30.828959,generating tours of train model
2024-07-17T05:41:31.033144,generating tours of baseline model
2024-07-17T05:41:31.235327,computing tour length of train model
2024-07-17T05:41:31.235554,computing tour length of baseline model
2024-07-17T05:41:31.235773,computing loss and backprop
2024-07-17T05:41:31.675861,"Epoch 0, Step 9 start"
2024-07-17T05:41:31.675875,generating tours of train model
2024-07-17T05:41:31.879981,generating tours of baseline model
2024-07-17T05:41:32.082131,computing tour length of train model
2024-07-17T05:41:32.082358,computing tour length of baseline model
2024-07-17T05:41:32.082575,computing loss and backprop
2024-07-17T05:41:32.521851,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T05:41:32.898428,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T05:41:32.899188,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T05:41:33.278087,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T05:41:33.278570,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T05:41:33.657896,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T05:41:33.658382,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T05:41:34.039110,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T05:41:34.039597,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T05:41:34.419563,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T05:41:34.420054,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T05:41:34.911067,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T05:41:34.911594,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T05:41:35.293443,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T05:41:35.293932,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T05:41:35.675239,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T05:41:35.675721,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T05:41:36.055848,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T05:41:36.056327,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T05:41:36.435460,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T05:41:36.435943,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T05:41:36.816106,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T05:41:36.816583,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T05:41:37.196808,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T05:41:37.197297,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T05:41:37.577126,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T05:41:37.577604,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T05:41:37.957539,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T05:41:37.958028,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T05:41:38.337393,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T05:41:38.337876,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T05:41:38.718196,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T05:41:38.718672,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T05:41:39.100280,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T05:41:39.100759,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T05:41:39.481568,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T05:41:39.482050,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T05:41:39.863416,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T05:41:39.863905,"Epoch 0, Generating tour on test data batch 19"
2024-07-17T05:41:40.244691,"Epoch 0, computing tour length on test data batch 19"
2024-07-17T05:41:40.245178,"Epoch 0, Generating tour on test data batch 20"
