Timestamp,Event
2024-07-15T16:02:38.646135,"Epoch 0, Step 0 start"
2024-07-15T16:02:38.646160,Generating data
2024-07-15T16:02:38.649461,generating tours of train model
2024-07-15T16:02:48.185183,generating tours of baseline model
2024-07-15T16:02:48.345692,computing tour length of train model
2024-07-15T16:02:48.377479,computing tour length of baseline model
2024-07-15T16:02:48.377995,computing loss and backprop
2024-07-15T16:03:04.346067,"Epoch 0, Step 1 start"
2024-07-15T16:03:04.346108,generating tours of train model
2024-07-15T16:03:04.493838,generating tours of baseline model
2024-07-15T16:03:04.635813,computing tour length of train model
2024-07-15T16:03:04.636239,computing tour length of baseline model
2024-07-15T16:03:04.636578,computing loss and backprop
2024-07-15T16:03:04.934315,"Epoch 0, Step 2 start"
2024-07-15T16:03:04.934336,generating tours of train model
2024-07-15T16:03:05.076999,generating tours of baseline model
2024-07-15T16:03:05.218977,computing tour length of train model
2024-07-15T16:03:05.219323,computing tour length of baseline model
2024-07-15T16:03:05.219654,computing loss and backprop
2024-07-15T16:03:05.516324,"Epoch 0, Step 3 start"
2024-07-15T16:03:05.516347,generating tours of train model
2024-07-15T16:03:05.659824,generating tours of baseline model
2024-07-15T16:03:05.801631,computing tour length of train model
2024-07-15T16:03:05.801980,computing tour length of baseline model
2024-07-15T16:03:05.802309,computing loss and backprop
2024-07-15T16:03:06.099044,"Epoch 0, Step 4 start"
2024-07-15T16:03:06.099066,generating tours of train model
2024-07-15T16:03:06.242573,generating tours of baseline model
2024-07-15T16:03:06.357238,computing tour length of train model
2024-07-15T16:03:06.357473,computing tour length of baseline model
2024-07-15T16:03:06.357692,computing loss and backprop
2024-07-15T16:03:06.555023,"Epoch 0, Step 5 start"
2024-07-15T16:03:06.555038,generating tours of train model
2024-07-15T16:03:06.649593,generating tours of baseline model
2024-07-15T16:03:06.742584,computing tour length of train model
2024-07-15T16:03:06.742818,computing tour length of baseline model
2024-07-15T16:03:06.743048,computing loss and backprop
2024-07-15T16:03:06.936347,"Epoch 0, Step 6 start"
2024-07-15T16:03:06.936360,Generating data
2024-07-15T16:03:06.937046,generating tours of train model
2024-07-15T16:03:07.030690,generating tours of baseline model
2024-07-15T16:03:07.123571,computing tour length of train model
2024-07-15T16:03:07.123802,computing tour length of baseline model
2024-07-15T16:03:07.124030,computing loss and backprop
2024-07-15T16:03:07.317318,"Epoch 0, Step 7 start"
2024-07-15T16:03:07.317333,generating tours of train model
2024-07-15T16:03:07.411412,generating tours of baseline model
2024-07-15T16:03:07.505920,computing tour length of train model
2024-07-15T16:03:07.506148,computing tour length of baseline model
2024-07-15T16:03:07.506364,computing loss and backprop
2024-07-15T16:03:07.699434,"Epoch 0, Step 8 start"
2024-07-15T16:03:07.699449,generating tours of train model
2024-07-15T16:03:07.793398,generating tours of baseline model
2024-07-15T16:03:07.886713,computing tour length of train model
2024-07-15T16:03:07.886948,computing tour length of baseline model
2024-07-15T16:03:07.887166,computing loss and backprop
2024-07-15T16:03:08.080797,"Epoch 0, Step 9 start"
2024-07-15T16:03:08.080812,generating tours of train model
2024-07-15T16:03:08.174866,generating tours of baseline model
2024-07-15T16:03:08.267496,computing tour length of train model
2024-07-15T16:03:08.267724,computing tour length of baseline model
2024-07-15T16:03:08.267947,computing loss and backprop
2024-07-15T16:03:08.461898,"Epoch 0, Generating tour on test data batch 0"
2024-07-15T16:03:08.638918,"Epoch 0, computing tour length on test data batch 0"
2024-07-15T16:03:08.639540,"Epoch 0, Generating tour on test data batch 1"
2024-07-15T16:03:08.816801,"Epoch 0, computing tour length on test data batch 1"
2024-07-15T16:03:08.817273,"Epoch 0, Generating tour on test data batch 2"
2024-07-15T16:03:08.994622,"Epoch 0, computing tour length on test data batch 2"
2024-07-15T16:03:08.995095,"Epoch 0, Generating tour on test data batch 3"
2024-07-15T16:03:09.172843,"Epoch 0, computing tour length on test data batch 3"
2024-07-15T16:03:09.173318,"Epoch 0, Generating tour on test data batch 4"
2024-07-15T16:03:09.351687,"Epoch 0, computing tour length on test data batch 4"
2024-07-15T16:03:09.352165,"Epoch 0, Generating tour on test data batch 5"
2024-07-15T16:03:09.533083,"Epoch 0, computing tour length on test data batch 5"
2024-07-15T16:03:09.533549,"Epoch 0, Generating tour on test data batch 6"
2024-07-15T16:03:09.711449,"Epoch 0, computing tour length on test data batch 6"
2024-07-15T16:03:09.711916,"Epoch 0, Generating tour on test data batch 7"
2024-07-15T16:03:09.890491,"Epoch 0, computing tour length on test data batch 7"
2024-07-15T16:03:09.890963,"Epoch 0, Generating tour on test data batch 8"
2024-07-15T16:03:10.068806,"Epoch 0, computing tour length on test data batch 8"
2024-07-15T16:03:10.069274,"Epoch 0, Generating tour on test data batch 9"
2024-07-15T16:03:10.247596,"Epoch 0, computing tour length on test data batch 9"
2024-07-15T16:03:10.248075,"Epoch 0, Generating tour on test data batch 10"
2024-07-15T16:03:10.425618,"Epoch 0, computing tour length on test data batch 10"
2024-07-15T16:03:10.426091,"Epoch 0, Generating tour on test data batch 11"
2024-07-15T16:03:10.605448,"Epoch 0, computing tour length on test data batch 11"
2024-07-15T16:03:10.605919,"Epoch 0, Generating tour on test data batch 12"
2024-07-15T16:03:10.783768,"Epoch 0, computing tour length on test data batch 12"
2024-07-15T16:03:10.784246,"Epoch 0, Generating tour on test data batch 13"
2024-07-15T16:03:10.962710,"Epoch 0, computing tour length on test data batch 13"
2024-07-15T16:03:10.963277,"Epoch 0, Generating tour on test data batch 14"
2024-07-15T16:03:11.141089,"Epoch 0, computing tour length on test data batch 14"
2024-07-15T16:03:11.141553,"Epoch 0, Generating tour on test data batch 15"
2024-07-15T16:03:11.319207,"Epoch 0, computing tour length on test data batch 15"
2024-07-15T16:03:11.319665,"Epoch 0, Generating tour on test data batch 16"
2024-07-15T16:03:11.497352,"Epoch 0, computing tour length on test data batch 16"
2024-07-15T16:03:11.497817,"Epoch 0, Generating tour on test data batch 17"
2024-07-15T16:03:11.676196,"Epoch 0, computing tour length on test data batch 17"
2024-07-15T16:03:11.676655,"Epoch 0, Generating tour on test data batch 18"
2024-07-15T16:03:11.855945,"Epoch 0, computing tour length on test data batch 18"
2024-07-15T16:03:11.856421,"Epoch 0, Generating tour on test data batch 19"
2024-07-15T16:03:12.142833,"Epoch 0, computing tour length on test data batch 19"
2024-07-15T16:03:12.143741,"Epoch 0, Generating tour on test data batch 20"
2024-07-15T16:03:12.323013,"Epoch 0, computing tour length on test data batch 20"
2024-07-15T16:03:12.323490,"Epoch 0, Generating tour on test data batch 21"
2024-07-15T16:03:12.502370,"Epoch 0, computing tour length on test data batch 21"
2024-07-15T16:03:12.502829,"Epoch 0, Generating tour on test data batch 22"
2024-07-15T16:03:12.682316,"Epoch 0, computing tour length on test data batch 22"
2024-07-15T16:03:12.682782,"Epoch 0, Generating tour on test data batch 23"
2024-07-15T16:03:12.861252,"Epoch 0, computing tour length on test data batch 23"
2024-07-15T16:03:12.861720,"Epoch 0, Generating tour on test data batch 24"
2024-07-15T16:03:13.040805,"Epoch 0, computing tour length on test data batch 24"
2024-07-15T16:03:13.041280,"Epoch 0, Generating tour on test data batch 25"
2024-07-15T16:03:13.219546,"Epoch 0, computing tour length on test data batch 25"
2024-07-15T16:03:13.220020,"Epoch 0, Generating tour on test data batch 26"
2024-07-15T16:03:13.397892,"Epoch 0, computing tour length on test data batch 26"
2024-07-15T16:03:13.398352,"Epoch 0, Generating tour on test data batch 27"
2024-07-15T16:03:13.577564,"Epoch 0, computing tour length on test data batch 27"
2024-07-15T16:03:13.578041,"Epoch 0, Generating tour on test data batch 28"
2024-07-15T16:03:13.756977,"Epoch 0, computing tour length on test data batch 28"
2024-07-15T16:03:13.757441,"Epoch 0, Generating tour on test data batch 29"
2024-07-15T16:03:13.937299,"Epoch 0, computing tour length on test data batch 29"
2024-07-15T16:03:13.937770,"Epoch 0, Generating tour on test data batch 30"
2024-07-15T16:03:14.116417,"Epoch 0, computing tour length on test data batch 30"
2024-07-15T16:03:14.116888,"Epoch 0, Generating tour on test data batch 31"
2024-07-15T16:03:14.295191,"Epoch 0, computing tour length on test data batch 31"
2024-07-15T16:03:14.295650,"Epoch 0, Generating tour on test data batch 32"
2024-07-15T16:03:14.473942,"Epoch 0, computing tour length on test data batch 32"
2024-07-15T16:03:14.474401,"Epoch 0, Generating tour on test data batch 33"
2024-07-15T16:03:14.654505,"Epoch 0, computing tour length on test data batch 33"
2024-07-15T16:03:14.654980,"Epoch 0, Generating tour on test data batch 34"
2024-07-15T16:03:14.834587,"Epoch 0, computing tour length on test data batch 34"
2024-07-15T16:03:14.835069,"Epoch 0, Generating tour on test data batch 35"
2024-07-15T16:03:15.014393,"Epoch 0, computing tour length on test data batch 35"
2024-07-15T16:03:15.014868,"Epoch 0, Generating tour on test data batch 36"
2024-07-15T16:03:15.193317,"Epoch 0, computing tour length on test data batch 36"
2024-07-15T16:03:15.193779,"Epoch 0, Generating tour on test data batch 37"
2024-07-15T16:03:15.372843,"Epoch 0, computing tour length on test data batch 37"
2024-07-15T16:03:15.373314,"Epoch 0, Generating tour on test data batch 38"
2024-07-15T16:03:15.551877,"Epoch 0, computing tour length on test data batch 38"
2024-07-15T16:03:15.552341,"Epoch 0, Generating tour on test data batch 39"
2024-07-15T16:03:15.731112,"Epoch 0, computing tour length on test data batch 39"
2024-07-15T16:03:15.732184,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-15T16:03:15.764207,"Epoch 1, Step 0 start"
