Timestamp,Event
2024-07-15T15:48:05.982477,"Epoch 0, Step 0 start"
2024-07-15T15:48:05.982497,Generating data
2024-07-15T15:48:05.986388,generating tours of train model
2024-07-15T15:48:15.483145,generating tours of baseline model
2024-07-15T15:48:15.648656,computing tour length of train model
2024-07-15T15:48:15.680173,computing tour length of baseline model
2024-07-15T15:48:15.680682,computing loss and backprop
2024-07-15T15:48:28.157279,"Epoch 0, Step 1 start"
2024-07-15T15:48:28.157324,generating tours of train model
2024-07-15T15:48:28.302166,generating tours of baseline model
2024-07-15T15:48:28.444499,computing tour length of train model
2024-07-15T15:48:28.444932,computing tour length of baseline model
2024-07-15T15:48:28.445277,computing loss and backprop
2024-07-15T15:48:28.746238,"Epoch 0, Step 2 start"
2024-07-15T15:48:28.746259,generating tours of train model
2024-07-15T15:48:28.888874,generating tours of baseline model
2024-07-15T15:48:29.030046,computing tour length of train model
2024-07-15T15:48:29.030395,computing tour length of baseline model
2024-07-15T15:48:29.030728,computing loss and backprop
2024-07-15T15:48:29.328763,"Epoch 0, Step 3 start"
2024-07-15T15:48:29.328783,generating tours of train model
2024-07-15T15:48:29.470931,generating tours of baseline model
2024-07-15T15:48:29.611672,computing tour length of train model
2024-07-15T15:48:29.612026,computing tour length of baseline model
2024-07-15T15:48:29.612358,computing loss and backprop
2024-07-15T15:48:29.910104,"Epoch 0, Step 4 start"
2024-07-15T15:48:29.910124,generating tours of train model
2024-07-15T15:48:30.052665,generating tours of baseline model
2024-07-15T15:48:30.193870,computing tour length of train model
2024-07-15T15:48:30.194214,computing tour length of baseline model
2024-07-15T15:48:30.194544,computing loss and backprop
2024-07-15T15:48:30.492992,"Epoch 0, Step 5 start"
2024-07-15T15:48:30.493014,generating tours of train model
2024-07-15T15:48:30.636069,generating tours of baseline model
2024-07-15T15:48:30.776763,computing tour length of train model
2024-07-15T15:48:30.777146,computing tour length of baseline model
2024-07-15T15:48:30.777488,computing loss and backprop
2024-07-15T15:48:31.073663,"Epoch 0, Step 6 start"
2024-07-15T15:48:31.073682,Generating data
2024-07-15T15:48:31.074623,generating tours of train model
2024-07-15T15:48:31.216559,generating tours of baseline model
2024-07-15T15:48:31.356971,computing tour length of train model
2024-07-15T15:48:31.357312,computing tour length of baseline model
2024-07-15T15:48:31.357642,computing loss and backprop
2024-07-15T15:48:31.654755,"Epoch 0, Step 7 start"
2024-07-15T15:48:31.654776,generating tours of train model
2024-07-15T15:48:31.783702,generating tours of baseline model
2024-07-15T15:48:31.875785,computing tour length of train model
2024-07-15T15:48:31.876020,computing tour length of baseline model
2024-07-15T15:48:31.876238,computing loss and backprop
2024-07-15T15:48:32.069572,"Epoch 0, Step 8 start"
2024-07-15T15:48:32.069587,generating tours of train model
2024-07-15T15:48:32.163794,generating tours of baseline model
2024-07-15T15:48:32.255822,computing tour length of train model
2024-07-15T15:48:32.256058,computing tour length of baseline model
