Timestamp,Event
2024-07-17T06:01:43.573912,"Epoch 0, Step 0 start"
2024-07-17T06:01:43.573930,Generating data
2024-07-17T06:01:43.576285,generating tours of train model
2024-07-17T06:01:52.943835,generating tours of baseline model
2024-07-17T06:01:53.141752,computing tour length of train model
2024-07-17T06:01:53.173813,computing tour length of baseline model
2024-07-17T06:01:53.174326,computing loss and backprop
2024-07-17T06:02:05.419328,"Epoch 0, Step 1 start"
2024-07-17T06:02:05.419372,generating tours of train model
2024-07-17T06:02:05.584092,generating tours of baseline model
2024-07-17T06:02:05.747255,computing tour length of train model
2024-07-17T06:02:05.747680,computing tour length of baseline model
2024-07-17T06:02:05.748033,computing loss and backprop
2024-07-17T06:02:06.028772,"Epoch 0, Step 2 start"
2024-07-17T06:02:06.028794,generating tours of train model
2024-07-17T06:02:06.192547,generating tours of baseline model
2024-07-17T06:02:06.354239,computing tour length of train model
2024-07-17T06:02:06.354584,computing tour length of baseline model
2024-07-17T06:02:06.354926,computing loss and backprop
2024-07-17T06:02:06.635128,"Epoch 0, Step 3 start"
2024-07-17T06:02:06.635152,generating tours of train model
2024-07-17T06:02:06.798738,generating tours of baseline model
2024-07-17T06:02:06.959778,computing tour length of train model
2024-07-17T06:02:06.960140,computing tour length of baseline model
2024-07-17T06:02:06.960473,computing loss and backprop
2024-07-17T06:02:07.239825,"Epoch 0, Step 4 start"
2024-07-17T06:02:07.239850,generating tours of train model
2024-07-17T06:02:07.402768,generating tours of baseline model
2024-07-17T06:02:07.563910,computing tour length of train model
2024-07-17T06:02:07.564248,computing tour length of baseline model
2024-07-17T06:02:07.564579,computing loss and backprop
2024-07-17T06:02:07.844135,"Epoch 0, Step 5 start"
2024-07-17T06:02:07.844156,generating tours of train model
2024-07-17T06:02:08.007174,generating tours of baseline model
2024-07-17T06:02:08.168081,computing tour length of train model
2024-07-17T06:02:08.168417,computing tour length of baseline model
2024-07-17T06:02:08.168752,computing loss and backprop
2024-07-17T06:02:08.447443,"Epoch 0, Step 6 start"
2024-07-17T06:02:08.447462,Generating data
2024-07-17T06:02:08.448754,generating tours of train model
2024-07-17T06:02:08.610728,generating tours of baseline model
2024-07-17T06:02:08.771718,computing tour length of train model
2024-07-17T06:02:08.772061,computing tour length of baseline model
2024-07-17T06:02:08.772393,computing loss and backprop
2024-07-17T06:02:09.014411,"Epoch 0, Step 7 start"
2024-07-17T06:02:09.014425,generating tours of train model
2024-07-17T06:02:09.123157,generating tours of baseline model
