Timestamp,Event
2024-07-17T06:19:39.822941,"Epoch 0, Step 0 start"
2024-07-17T06:19:39.822958,Generating data
2024-07-17T06:19:39.826684,generating tours of train model
2024-07-17T06:19:49.311430,generating tours of baseline model
2024-07-17T06:19:49.390583,computing tour length of train model
2024-07-17T06:19:49.421872,computing tour length of baseline model
2024-07-17T06:19:49.422363,computing loss and backprop
2024-07-17T06:20:01.640643,"Epoch 0, Step 1 start"
2024-07-17T06:20:01.640686,generating tours of train model
2024-07-17T06:20:01.711251,generating tours of baseline model
2024-07-17T06:20:01.779538,computing tour length of train model
2024-07-17T06:20:01.779960,computing tour length of baseline model
2024-07-17T06:20:01.780297,computing loss and backprop
2024-07-17T06:20:01.900971,"Epoch 0, Step 2 start"
2024-07-17T06:20:01.900992,generating tours of train model
2024-07-17T06:20:01.970653,generating tours of baseline model
2024-07-17T06:20:02.038577,computing tour length of train model
2024-07-17T06:20:02.038918,computing tour length of baseline model
2024-07-17T06:20:02.039250,computing loss and backprop
2024-07-17T06:20:02.159218,"Epoch 0, Step 3 start"
2024-07-17T06:20:02.159238,generating tours of train model
2024-07-17T06:20:02.228539,generating tours of baseline model
2024-07-17T06:20:02.296442,computing tour length of train model
2024-07-17T06:20:02.296769,computing tour length of baseline model
2024-07-17T06:20:02.297103,computing loss and backprop
2024-07-17T06:20:02.416813,"Epoch 0, Step 4 start"
2024-07-17T06:20:02.416834,generating tours of train model
2024-07-17T06:20:02.485784,generating tours of baseline model
2024-07-17T06:20:02.553775,computing tour length of train model
2024-07-17T06:20:02.554107,computing tour length of baseline model
2024-07-17T06:20:02.554431,computing loss and backprop
2024-07-17T06:20:02.673598,"Epoch 0, Step 5 start"
2024-07-17T06:20:02.673619,generating tours of train model
2024-07-17T06:20:02.742877,generating tours of baseline model
2024-07-17T06:20:02.810744,computing tour length of train model
2024-07-17T06:20:02.811075,computing tour length of baseline model
2024-07-17T06:20:02.811403,computing loss and backprop
2024-07-17T06:20:02.930731,"Epoch 0, Step 6 start"
2024-07-17T06:20:02.930750,Generating data
2024-07-17T06:20:02.931450,generating tours of train model
2024-07-17T06:20:03.000278,generating tours of baseline model
2024-07-17T06:20:03.068100,computing tour length of train model
2024-07-17T06:20:03.068421,computing tour length of baseline model
2024-07-17T06:20:03.068748,computing loss and backprop
2024-07-17T06:20:03.188186,"Epoch 0, Step 7 start"
2024-07-17T06:20:03.188206,generating tours of train model
2024-07-17T06:20:03.257274,generating tours of baseline model
2024-07-17T06:20:03.325265,computing tour length of train model
2024-07-17T06:20:03.325585,computing tour length of baseline model
2024-07-17T06:20:03.325917,computing loss and backprop
2024-07-17T06:20:03.445415,"Epoch 0, Step 8 start"
2024-07-17T06:20:03.445435,generating tours of train model
2024-07-17T06:20:03.514273,generating tours of baseline model
2024-07-17T06:20:03.582352,computing tour length of train model
2024-07-17T06:20:03.582672,computing tour length of baseline model
2024-07-17T06:20:03.583004,computing loss and backprop
2024-07-17T06:20:03.702379,"Epoch 0, Step 9 start"
2024-07-17T06:20:03.702401,generating tours of train model
2024-07-17T06:20:03.771295,generating tours of baseline model
2024-07-17T06:20:03.839065,computing tour length of train model
2024-07-17T06:20:03.839391,computing tour length of baseline model
2024-07-17T06:20:03.839716,computing loss and backprop
2024-07-17T06:20:03.959625,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T06:20:04.078688,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T06:20:04.079493,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T06:20:04.200101,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T06:20:04.200786,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T06:20:04.320796,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T06:20:04.321487,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T06:20:04.441828,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T06:20:04.442522,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T06:20:04.562979,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T06:20:04.563666,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T06:20:04.683980,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T06:20:04.684667,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T06:20:04.805268,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T06:20:04.805961,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T06:20:04.926459,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T06:20:04.927148,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T06:20:05.047837,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T06:20:05.048633,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T06:20:05.169186,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T06:20:05.169886,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T06:20:05.290530,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T06:20:05.291219,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T06:20:05.406131,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T06:20:05.406597,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T06:20:05.486437,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T06:20:05.486908,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T06:20:05.566685,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T06:20:05.567153,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T06:20:05.647012,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T06:20:05.647473,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T06:20:05.727349,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T06:20:05.727816,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T06:20:05.807529,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T06:20:05.808001,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T06:20:05.887703,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T06:20:05.888170,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T06:20:05.968338,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T06:20:05.968807,"Epoch 0, Generating tour on test data batch 19"
2024-07-17T06:20:06.048700,"Epoch 0, computing tour length on test data batch 19"
2024-07-17T06:20:06.049165,"Epoch 0, Generating tour on test data batch 20"
2024-07-17T06:20:06.128872,"Epoch 0, computing tour length on test data batch 20"
2024-07-17T06:20:06.129439,"Epoch 0, Generating tour on test data batch 21"
2024-07-17T06:20:06.209449,"Epoch 0, computing tour length on test data batch 21"
2024-07-17T06:20:06.209922,"Epoch 0, Generating tour on test data batch 22"
2024-07-17T06:20:06.289546,"Epoch 0, computing tour length on test data batch 22"
2024-07-17T06:20:06.290015,"Epoch 0, Generating tour on test data batch 23"
2024-07-17T06:20:06.369886,"Epoch 0, computing tour length on test data batch 23"
2024-07-17T06:20:06.370351,"Epoch 0, Generating tour on test data batch 24"
2024-07-17T06:20:06.449979,"Epoch 0, computing tour length on test data batch 24"
2024-07-17T06:20:06.450442,"Epoch 0, Generating tour on test data batch 25"
2024-07-17T06:20:06.530324,"Epoch 0, computing tour length on test data batch 25"
2024-07-17T06:20:06.530788,"Epoch 0, Generating tour on test data batch 26"
2024-07-17T06:20:06.610638,"Epoch 0, computing tour length on test data batch 26"
2024-07-17T06:20:06.611104,"Epoch 0, Generating tour on test data batch 27"
2024-07-17T06:20:06.690926,"Epoch 0, computing tour length on test data batch 27"
2024-07-17T06:20:06.691390,"Epoch 0, Generating tour on test data batch 28"
2024-07-17T06:20:06.771202,"Epoch 0, computing tour length on test data batch 28"
2024-07-17T06:20:06.771666,"Epoch 0, Generating tour on test data batch 29"
