Timestamp,Event
2024-07-17T04:04:16.458223,"Epoch 0, Step 0 start"
2024-07-17T04:04:16.458240,Generating data
2024-07-17T04:04:16.461002,generating tours of train model
2024-07-17T04:04:25.736061,generating tours of baseline model
2024-07-17T04:04:25.774818,computing tour length of train model
2024-07-17T04:04:25.805874,computing tour length of baseline model
2024-07-17T04:04:25.806370,computing loss and backprop
2024-07-17T04:04:37.511298,"Epoch 0, Step 1 start"
2024-07-17T04:04:37.511341,generating tours of train model
2024-07-17T04:04:37.549277,generating tours of baseline model
2024-07-17T04:04:37.586645,computing tour length of train model
2024-07-17T04:04:37.587064,computing tour length of baseline model
2024-07-17T04:04:37.587401,computing loss and backprop
2024-07-17T04:04:37.664388,"Epoch 0, Step 2 start"
2024-07-17T04:04:37.664410,generating tours of train model
2024-07-17T04:04:37.700941,generating tours of baseline model
2024-07-17T04:04:37.737219,computing tour length of train model
2024-07-17T04:04:37.737548,computing tour length of baseline model
2024-07-17T04:04:37.737879,computing loss and backprop
2024-07-17T04:04:37.814818,"Epoch 0, Step 3 start"
2024-07-17T04:04:37.814839,generating tours of train model
2024-07-17T04:04:37.851371,generating tours of baseline model
2024-07-17T04:04:37.887636,computing tour length of train model
2024-07-17T04:04:37.887963,computing tour length of baseline model
2024-07-17T04:04:37.888286,computing loss and backprop
2024-07-17T04:04:37.964491,"Epoch 0, Step 4 start"
2024-07-17T04:04:37.964513,generating tours of train model
2024-07-17T04:04:38.001072,generating tours of baseline model
2024-07-17T04:04:38.037466,computing tour length of train model
2024-07-17T04:04:38.037786,computing tour length of baseline model
2024-07-17T04:04:38.038123,computing loss and backprop
2024-07-17T04:04:38.114620,"Epoch 0, Step 5 start"
2024-07-17T04:04:38.114640,generating tours of train model
2024-07-17T04:04:38.151152,generating tours of baseline model
2024-07-17T04:04:38.187155,computing tour length of train model
2024-07-17T04:04:38.187580,computing tour length of baseline model
2024-07-17T04:04:38.187940,computing loss and backprop
2024-07-17T04:04:38.264208,"Epoch 0, Step 6 start"
2024-07-17T04:04:38.264228,Generating data
2024-07-17T04:04:38.264596,generating tours of train model
2024-07-17T04:04:38.301095,generating tours of baseline model
2024-07-17T04:04:38.337229,computing tour length of train model
2024-07-17T04:04:38.337556,computing tour length of baseline model
2024-07-17T04:04:38.337884,computing loss and backprop
2024-07-17T04:04:38.415182,"Epoch 0, Step 7 start"
2024-07-17T04:04:38.415203,generating tours of train model
2024-07-17T04:04:38.451980,generating tours of baseline model
2024-07-17T04:04:38.488179,computing tour length of train model
2024-07-17T04:04:38.488504,computing tour length of baseline model
2024-07-17T04:04:38.488825,computing loss and backprop
2024-07-17T04:04:38.565777,"Epoch 0, Step 8 start"
2024-07-17T04:04:38.565799,generating tours of train model
2024-07-17T04:04:38.602756,generating tours of baseline model
2024-07-17T04:04:38.639010,computing tour length of train model
2024-07-17T04:04:38.639334,computing tour length of baseline model
2024-07-17T04:04:38.639659,computing loss and backprop
2024-07-17T04:04:38.716316,"Epoch 0, Step 9 start"
2024-07-17T04:04:38.716337,generating tours of train model
2024-07-17T04:04:38.753084,generating tours of baseline model
2024-07-17T04:04:38.789449,computing tour length of train model
2024-07-17T04:04:38.789771,computing tour length of baseline model
2024-07-17T04:04:38.790105,computing loss and backprop
2024-07-17T04:04:38.866810,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T04:04:38.935944,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T04:04:38.936676,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T04:04:39.006244,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T04:04:39.006919,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T04:04:39.076529,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T04:04:39.077221,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T04:04:39.146888,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T04:04:39.147569,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T04:04:39.217276,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T04:04:39.217964,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T04:04:39.287876,"Epoch 0, computing tour length on test data batch 5"
