Timestamp,Event
2024-07-17T03:51:03.841096,"Epoch 0, Step 0 start"
2024-07-17T03:51:03.841113,Generating data
2024-07-17T03:51:03.843942,generating tours of train model
2024-07-17T03:51:13.186527,generating tours of baseline model
2024-07-17T03:51:13.228153,computing tour length of train model
2024-07-17T03:51:13.260707,computing tour length of baseline model
2024-07-17T03:51:13.261208,computing loss and backprop
2024-07-17T03:51:25.123424,"Epoch 0, Step 1 start"
2024-07-17T03:51:25.123463,generating tours of train model
2024-07-17T03:51:25.162006,generating tours of baseline model
2024-07-17T03:51:25.199200,computing tour length of train model
2024-07-17T03:51:25.199621,computing tour length of baseline model
2024-07-17T03:51:25.199967,computing loss and backprop
2024-07-17T03:51:25.278900,"Epoch 0, Step 2 start"
2024-07-17T03:51:25.278922,generating tours of train model
2024-07-17T03:51:25.316266,generating tours of baseline model
2024-07-17T03:51:25.353132,computing tour length of train model
2024-07-17T03:51:25.353460,computing tour length of baseline model
2024-07-17T03:51:25.353783,computing loss and backprop
2024-07-17T03:51:25.431110,"Epoch 0, Step 3 start"
2024-07-17T03:51:25.431130,generating tours of train model
2024-07-17T03:51:25.468243,generating tours of baseline model
2024-07-17T03:51:25.504909,computing tour length of train model
2024-07-17T03:51:25.505229,computing tour length of baseline model
2024-07-17T03:51:25.505551,computing loss and backprop
2024-07-17T03:51:25.582988,"Epoch 0, Step 4 start"
2024-07-17T03:51:25.583007,generating tours of train model
2024-07-17T03:51:25.620154,generating tours of baseline model
2024-07-17T03:51:25.656728,computing tour length of train model
2024-07-17T03:51:25.657061,computing tour length of baseline model
2024-07-17T03:51:25.657386,computing loss and backprop
2024-07-17T03:51:25.734477,"Epoch 0, Step 5 start"
2024-07-17T03:51:25.734497,generating tours of train model
2024-07-17T03:51:25.771671,generating tours of baseline model
2024-07-17T03:51:25.808295,computing tour length of train model
2024-07-17T03:51:25.808616,computing tour length of baseline model
2024-07-17T03:51:25.808953,computing loss and backprop
2024-07-17T03:51:25.886016,"Epoch 0, Step 6 start"
2024-07-17T03:51:25.886035,Generating data
2024-07-17T03:51:25.886416,generating tours of train model
2024-07-17T03:51:25.923388,generating tours of baseline model
2024-07-17T03:51:25.960257,computing tour length of train model
2024-07-17T03:51:25.960580,computing tour length of baseline model
2024-07-17T03:51:25.960911,computing loss and backprop
2024-07-17T03:51:26.039213,"Epoch 0, Step 7 start"
2024-07-17T03:51:26.039234,generating tours of train model
2024-07-17T03:51:26.076550,generating tours of baseline model
2024-07-17T03:51:26.113112,computing tour length of train model
2024-07-17T03:51:26.113435,computing tour length of baseline model
2024-07-17T03:51:26.113762,computing loss and backprop
2024-07-17T03:51:26.190930,"Epoch 0, Step 8 start"
2024-07-17T03:51:26.190950,generating tours of train model
2024-07-17T03:51:26.228325,generating tours of baseline model
2024-07-17T03:51:26.264772,computing tour length of train model
2024-07-17T03:51:26.265108,computing tour length of baseline model
2024-07-17T03:51:26.265433,computing loss and backprop
2024-07-17T03:51:26.342908,"Epoch 0, Step 9 start"
2024-07-17T03:51:26.342928,generating tours of train model
2024-07-17T03:51:26.380082,generating tours of baseline model
2024-07-17T03:51:26.416804,computing tour length of train model
2024-07-17T03:51:26.417136,computing tour length of baseline model
2024-07-17T03:51:26.417459,computing loss and backprop
2024-07-17T03:51:26.494789,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T03:51:26.564797,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T03:51:26.565542,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T03:51:26.635675,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T03:51:26.636361,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T03:51:26.706978,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T03:51:26.707661,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T03:51:26.778554,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T03:51:26.779258,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T03:51:26.849730,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T03:51:26.850424,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T03:51:26.921150,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T03:51:26.921829,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T03:51:26.993300,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T03:51:26.994007,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T03:51:27.064575,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T03:51:27.065284,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T03:51:27.136273,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T03:51:27.136962,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T03:51:27.207927,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T03:51:27.208628,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T03:51:27.279090,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T03:51:27.279794,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T03:51:27.350502,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T03:51:27.351223,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T03:51:27.422098,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T03:51:27.422783,"Epoch 0, Generating tour on test data batch 13"
