Timestamp,Event
2024-07-17T04:55:26.740017,"Epoch 0, Step 0 start"
2024-07-17T04:55:26.740035,Generating data
2024-07-17T04:55:26.742667,generating tours of train model
2024-07-17T04:55:36.135908,generating tours of baseline model
2024-07-17T04:55:36.266637,computing tour length of train model
2024-07-17T04:55:36.298571,computing tour length of baseline model
2024-07-17T04:55:36.299079,computing loss and backprop
2024-07-17T04:55:49.004011,"Epoch 0, Step 1 start"
2024-07-17T04:55:49.004048,generating tours of train model
2024-07-17T04:55:49.128767,generating tours of baseline model
2024-07-17T04:55:49.250828,computing tour length of train model
2024-07-17T04:55:49.251284,computing tour length of baseline model
2024-07-17T04:55:49.251629,computing loss and backprop
2024-07-17T04:55:49.519744,"Epoch 0, Step 2 start"
2024-07-17T04:55:49.519764,generating tours of train model
2024-07-17T04:55:49.644296,generating tours of baseline model
2024-07-17T04:55:49.766100,computing tour length of train model
2024-07-17T04:55:49.766437,computing tour length of baseline model
2024-07-17T04:55:49.766765,computing loss and backprop
2024-07-17T04:55:50.035669,"Epoch 0, Step 3 start"
2024-07-17T04:55:50.035691,generating tours of train model
2024-07-17T04:55:50.158933,generating tours of baseline model
2024-07-17T04:55:50.280909,computing tour length of train model
2024-07-17T04:55:50.281239,computing tour length of baseline model
2024-07-17T04:55:50.281563,computing loss and backprop
2024-07-17T04:55:50.550748,"Epoch 0, Step 4 start"
2024-07-17T04:55:50.550769,generating tours of train model
2024-07-17T04:55:50.674223,generating tours of baseline model
2024-07-17T04:55:50.796524,computing tour length of train model
2024-07-17T04:55:50.796858,computing tour length of baseline model
2024-07-17T04:55:50.797194,computing loss and backprop
2024-07-17T04:55:51.066270,"Epoch 0, Step 5 start"
2024-07-17T04:55:51.066291,generating tours of train model
2024-07-17T04:55:51.189627,generating tours of baseline model
2024-07-17T04:55:51.312188,computing tour length of train model
2024-07-17T04:55:51.312514,computing tour length of baseline model
2024-07-17T04:55:51.312843,computing loss and backprop
2024-07-17T04:55:51.584353,"Epoch 0, Step 6 start"
2024-07-17T04:55:51.584375,Generating data
2024-07-17T04:55:51.585105,generating tours of train model
2024-07-17T04:55:51.708545,generating tours of baseline model
2024-07-17T04:55:51.831594,computing tour length of train model
2024-07-17T04:55:51.831956,computing tour length of baseline model
2024-07-17T04:55:51.832285,computing loss and backprop
2024-07-17T04:55:52.101687,"Epoch 0, Step 7 start"
2024-07-17T04:55:52.101708,generating tours of train model
2024-07-17T04:55:52.225024,generating tours of baseline model
2024-07-17T04:55:52.347275,computing tour length of train model
2024-07-17T04:55:52.347605,computing tour length of baseline model
2024-07-17T04:55:52.347938,computing loss and backprop
2024-07-17T04:55:52.584924,"Epoch 0, Step 8 start"
2024-07-17T04:55:52.584939,generating tours of train model
2024-07-17T04:55:52.666374,generating tours of baseline model
2024-07-17T04:55:52.747001,computing tour length of train model
2024-07-17T04:55:52.747221,computing tour length of baseline model
2024-07-17T04:55:52.747445,computing loss and backprop
2024-07-17T04:55:52.924198,"Epoch 0, Step 9 start"
2024-07-17T04:55:52.924213,generating tours of train model
2024-07-17T04:55:53.005623,generating tours of baseline model
2024-07-17T04:55:53.086301,computing tour length of train model
2024-07-17T04:55:53.086523,computing tour length of baseline model
2024-07-17T04:55:53.086741,computing loss and backprop
2024-07-17T04:55:53.263173,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T04:55:53.412916,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T04:55:53.413505,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T04:55:53.564306,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T04:55:53.564781,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T04:55:53.715624,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T04:55:53.716098,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T04:55:53.867717,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T04:55:53.868209,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T04:55:54.019925,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T04:55:54.020388,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T04:55:54.171731,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T04:55:54.172204,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T04:55:54.323497,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T04:55:54.323979,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T04:55:54.475194,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T04:55:54.475669,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T04:55:54.627074,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T04:55:54.627548,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T04:55:54.779994,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T04:55:54.780504,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T04:55:54.932348,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T04:55:54.932834,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T04:55:55.084892,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T04:55:55.085364,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T04:55:55.236596,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T04:55:55.237072,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T04:55:55.388435,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T04:55:55.388913,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T04:55:55.540282,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T04:55:55.540755,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T04:55:55.693051,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T04:55:55.693519,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T04:55:55.845333,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T04:55:55.845796,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T04:55:55.997596,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T04:55:55.998071,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T04:55:56.149905,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T04:55:56.150467,"Epoch 0, Generating tour on test data batch 19"
2024-07-17T04:55:56.302245,"Epoch 0, computing tour length on test data batch 19"
2024-07-17T04:55:56.302714,"Epoch 0, Generating tour on test data batch 20"
2024-07-17T04:55:56.454151,"Epoch 0, computing tour length on test data batch 20"
2024-07-17T04:55:56.454619,"Epoch 0, Generating tour on test data batch 21"
2024-07-17T04:55:56.606122,"Epoch 0, computing tour length on test data batch 21"
2024-07-17T04:55:56.606590,"Epoch 0, Generating tour on test data batch 22"
2024-07-17T04:55:56.758535,"Epoch 0, computing tour length on test data batch 22"
2024-07-17T04:55:56.759004,"Epoch 0, Generating tour on test data batch 23"
2024-07-17T04:55:56.911047,"Epoch 0, computing tour length on test data batch 23"
2024-07-17T04:55:56.911517,"Epoch 0, Generating tour on test data batch 24"
2024-07-17T04:55:57.063784,"Epoch 0, computing tour length on test data batch 24"
2024-07-17T04:55:57.064261,"Epoch 0, Generating tour on test data batch 25"
2024-07-17T04:55:57.215464,"Epoch 0, computing tour length on test data batch 25"
2024-07-17T04:55:57.215934,"Epoch 0, Generating tour on test data batch 26"
2024-07-17T04:55:57.367272,"Epoch 0, computing tour length on test data batch 26"
2024-07-17T04:55:57.367742,"Epoch 0, Generating tour on test data batch 27"
2024-07-17T04:55:57.519203,"Epoch 0, computing tour length on test data batch 27"
2024-07-17T04:55:57.519667,"Epoch 0, Generating tour on test data batch 28"
2024-07-17T04:55:57.671400,"Epoch 0, computing tour length on test data batch 28"
2024-07-17T04:55:57.671872,"Epoch 0, Generating tour on test data batch 29"
