Timestamp,Event
2024-07-17T04:41:48.160831,"Epoch 0, Step 0 start"
2024-07-17T04:41:48.160856,Generating data
2024-07-17T04:41:48.163195,generating tours of train model
2024-07-17T04:41:57.429275,generating tours of baseline model
2024-07-17T04:41:57.462229,computing tour length of train model
2024-07-17T04:41:57.493656,computing tour length of baseline model
2024-07-17T04:41:57.494154,computing loss and backprop
2024-07-17T04:42:09.318676,"Epoch 0, Step 1 start"
2024-07-17T04:42:09.318716,generating tours of train model
2024-07-17T04:42:09.351082,generating tours of baseline model
2024-07-17T04:42:09.382082,computing tour length of train model
2024-07-17T04:42:09.382497,computing tour length of baseline model
2024-07-17T04:42:09.382840,computing loss and backprop
2024-07-17T04:42:09.451635,"Epoch 0, Step 2 start"
2024-07-17T04:42:09.451656,generating tours of train model
2024-07-17T04:42:09.482545,generating tours of baseline model
2024-07-17T04:42:09.513131,computing tour length of train model
2024-07-17T04:42:09.513462,computing tour length of baseline model
2024-07-17T04:42:09.513792,computing loss and backprop
2024-07-17T04:42:09.581469,"Epoch 0, Step 3 start"
2024-07-17T04:42:09.581490,generating tours of train model
2024-07-17T04:42:09.612284,generating tours of baseline model
2024-07-17T04:42:09.642794,computing tour length of train model
2024-07-17T04:42:09.643126,computing tour length of baseline model
2024-07-17T04:42:09.643452,computing loss and backprop
2024-07-17T04:42:09.711058,"Epoch 0, Step 4 start"
2024-07-17T04:42:09.711079,generating tours of train model
2024-07-17T04:42:09.742036,generating tours of baseline model
2024-07-17T04:42:09.772606,computing tour length of train model
2024-07-17T04:42:09.772936,computing tour length of baseline model
2024-07-17T04:42:09.773265,computing loss and backprop
2024-07-17T04:42:09.840954,"Epoch 0, Step 5 start"
2024-07-17T04:42:09.840974,generating tours of train model
2024-07-17T04:42:09.871827,generating tours of baseline model
2024-07-17T04:42:09.902341,computing tour length of train model
2024-07-17T04:42:09.902662,computing tour length of baseline model
2024-07-17T04:42:09.903001,computing loss and backprop
2024-07-17T04:42:09.970590,"Epoch 0, Step 6 start"
2024-07-17T04:42:09.970609,Generating data
2024-07-17T04:42:09.970900,generating tours of train model
2024-07-17T04:42:10.001696,generating tours of baseline model
2024-07-17T04:42:10.032342,computing tour length of train model
