Timestamp,Event
2024-07-17T12:30:23.908141,"Epoch 0, Step 0 start"
2024-07-17T12:30:23.908158,Generating data
2024-07-17T12:30:23.915034,generating tours of train model
2024-07-17T12:30:37.408694,generating tours of baseline model
2024-07-17T12:30:37.438760,computing tour length of train model
2024-07-17T12:30:37.471047,computing tour length of baseline model
2024-07-17T12:30:37.471536,computing loss and backprop
2024-07-17T12:30:57.688573,"Epoch 0, Step 1 start"
2024-07-17T12:30:57.688605,generating tours of train model
2024-07-17T12:30:57.700102,generating tours of baseline model
2024-07-17T12:30:57.715371,computing tour length of train model
2024-07-17T12:30:57.715663,computing tour length of baseline model
2024-07-17T12:30:57.715897,computing loss and backprop
2024-07-17T12:30:57.735474,"Epoch 0, Step 2 start"
2024-07-17T12:30:57.735489,generating tours of train model
2024-07-17T12:30:57.760201,generating tours of baseline model
2024-07-17T12:30:57.787076,computing tour length of train model
2024-07-17T12:30:57.787303,computing tour length of baseline model
2024-07-17T12:30:57.787522,computing loss and backprop
2024-07-17T12:30:57.809641,"Epoch 0, Step 3 start"
2024-07-17T12:30:57.809654,generating tours of train model
2024-07-17T12:30:57.834214,generating tours of baseline model
2024-07-17T12:30:57.860693,computing tour length of train model
2024-07-17T12:30:57.860916,computing tour length of baseline model
2024-07-17T12:30:57.861133,computing loss and backprop
2024-07-17T12:30:57.880760,"Epoch 0, Step 4 start"
2024-07-17T12:30:57.880773,generating tours of train model
2024-07-17T12:30:57.904734,generating tours of baseline model
2024-07-17T12:30:57.930556,computing tour length of train model
2024-07-17T12:30:57.930776,computing tour length of baseline model
2024-07-17T12:30:57.931002,computing loss and backprop
2024-07-17T12:30:57.951933,"Epoch 0, Step 5 start"
2024-07-17T12:30:57.951946,generating tours of train model
2024-07-17T12:30:57.976127,generating tours of baseline model
2024-07-17T12:30:58.001550,computing tour length of train model
2024-07-17T12:30:58.001771,computing tour length of baseline model
2024-07-17T12:30:58.002002,computing loss and backprop
2024-07-17T12:30:58.022567,"Epoch 0, Step 6 start"
2024-07-17T12:30:58.022580,Generating data
2024-07-17T12:30:58.023292,generating tours of train model
2024-07-17T12:30:58.052587,generating tours of baseline model
2024-07-17T12:30:58.076746,computing tour length of train model
2024-07-17T12:30:58.076968,computing tour length of baseline model
2024-07-17T12:30:58.077184,computing loss and backprop
2024-07-17T12:30:58.097464,"Epoch 0, Step 7 start"
2024-07-17T12:30:58.097477,generating tours of train model
2024-07-17T12:30:58.123680,generating tours of baseline model
2024-07-17T12:30:58.149532,computing tour length of train model
2024-07-17T12:30:58.149749,computing tour length of baseline model
2024-07-17T12:30:58.149970,computing loss and backprop
2024-07-17T12:30:58.170195,"Epoch 0, Step 8 start"
2024-07-17T12:30:58.170208,generating tours of train model
2024-07-17T12:30:58.197940,generating tours of baseline model
2024-07-17T12:30:58.221447,computing tour length of train model
2024-07-17T12:30:58.221665,computing tour length of baseline model
2024-07-17T12:30:58.221889,computing loss and backprop
2024-07-17T12:30:58.242426,"Epoch 0, Step 9 start"
2024-07-17T12:30:58.242440,generating tours of train model
2024-07-17T12:30:58.331277,generating tours of baseline model
2024-07-17T12:30:58.419377,computing tour length of train model
2024-07-17T12:30:58.419593,computing tour length of baseline model
2024-07-17T12:30:58.419807,computing loss and backprop
2024-07-17T12:30:58.448116,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T12:30:58.550676,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T12:30:58.551160,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T12:30:58.619858,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T12:30:58.620310,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T12:30:58.716768,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T12:30:58.717276,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T12:30:58.820461,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T12:30:58.820935,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T12:30:58.916770,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T12:30:58.917249,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T12:30:58.974530,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T12:30:58.974990,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T12:30:59.006644,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T12:30:59.007099,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T12:30:59.039637,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T12:30:59.040109,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T12:30:59.072360,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T12:30:59.072808,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T12:30:59.106690,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T12:30:59.107150,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T12:30:59.139650,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T12:30:59.140109,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T12:30:59.174374,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T12:30:59.174821,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T12:30:59.208950,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T12:30:59.209394,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T12:30:59.226822,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T12:30:59.227274,"Epoch 0, Generating tour on test data batch 14"
2024-07-17T12:30:59.249135,"Epoch 0, computing tour length on test data batch 14"
2024-07-17T12:30:59.249581,"Epoch 0, Generating tour on test data batch 15"
2024-07-17T12:30:59.284349,"Epoch 0, computing tour length on test data batch 15"
2024-07-17T12:30:59.284794,"Epoch 0, Generating tour on test data batch 16"
2024-07-17T12:30:59.322051,"Epoch 0, computing tour length on test data batch 16"
2024-07-17T12:30:59.322496,"Epoch 0, Generating tour on test data batch 17"
2024-07-17T12:30:59.361048,"Epoch 0, computing tour length on test data batch 17"
2024-07-17T12:30:59.361505,"Epoch 0, Generating tour on test data batch 18"
2024-07-17T12:30:59.396879,"Epoch 0, computing tour length on test data batch 18"
2024-07-17T12:30:59.397329,"Epoch 0, Generating tour on test data batch 19"
2024-07-17T12:30:59.433128,"Epoch 0, computing tour length on test data batch 19"
2024-07-17T12:30:59.433582,"Epoch 0, Generating tour on test data batch 20"
2024-07-17T12:30:59.469386,"Epoch 0, computing tour length on test data batch 20"
2024-07-17T12:30:59.469843,"Epoch 0, Generating tour on test data batch 21"
2024-07-17T12:30:59.508173,"Epoch 0, computing tour length on test data batch 21"
2024-07-17T12:30:59.508630,"Epoch 0, Generating tour on test data batch 22"
2024-07-17T12:30:59.546387,"Epoch 0, computing tour length on test data batch 22"
2024-07-17T12:30:59.546832,"Epoch 0, Generating tour on test data batch 23"
2024-07-17T12:30:59.581303,"Epoch 0, computing tour length on test data batch 23"
2024-07-17T12:30:59.581747,"Epoch 0, Generating tour on test data batch 24"
2024-07-17T12:30:59.617560,"Epoch 0, computing tour length on test data batch 24"
2024-07-17T12:30:59.618027,"Epoch 0, Generating tour on test data batch 25"
2024-07-17T12:30:59.653287,"Epoch 0, computing tour length on test data batch 25"
2024-07-17T12:30:59.653728,"Epoch 0, Generating tour on test data batch 26"
2024-07-17T12:30:59.688076,"Epoch 0, computing tour length on test data batch 26"
2024-07-17T12:30:59.688523,"Epoch 0, Generating tour on test data batch 27"
2024-07-17T12:30:59.723627,"Epoch 0, computing tour length on test data batch 27"
2024-07-17T12:30:59.724081,"Epoch 0, Generating tour on test data batch 28"
2024-07-17T12:30:59.760349,"Epoch 0, computing tour length on test data batch 28"
2024-07-17T12:30:59.760794,"Epoch 0, Generating tour on test data batch 29"
2024-07-17T12:30:59.829182,"Epoch 0, computing tour length on test data batch 29"
2024-07-17T12:30:59.829624,"Epoch 0, Generating tour on test data batch 30"
2024-07-17T12:30:59.933925,"Epoch 0, computing tour length on test data batch 30"
2024-07-17T12:30:59.934377,"Epoch 0, Generating tour on test data batch 31"
2024-07-17T12:31:00.037636,"Epoch 0, computing tour length on test data batch 31"
2024-07-17T12:31:00.038133,"Epoch 0, Generating tour on test data batch 32"
2024-07-17T12:31:00.136466,"Epoch 0, computing tour length on test data batch 32"
2024-07-17T12:31:00.136917,"Epoch 0, Generating tour on test data batch 33"
2024-07-17T12:31:00.239631,"Epoch 0, computing tour length on test data batch 33"
2024-07-17T12:31:00.240087,"Epoch 0, Generating tour on test data batch 34"
2024-07-17T12:31:00.312775,"Epoch 0, computing tour length on test data batch 34"
2024-07-17T12:31:00.313228,"Epoch 0, Generating tour on test data batch 35"
2024-07-17T12:31:00.417556,"Epoch 0, computing tour length on test data batch 35"
2024-07-17T12:31:00.418014,"Epoch 0, Generating tour on test data batch 36"
2024-07-17T12:31:00.521050,"Epoch 0, computing tour length on test data batch 36"
2024-07-17T12:31:00.521496,"Epoch 0, Generating tour on test data batch 37"
2024-07-17T12:31:00.617921,"Epoch 0, computing tour length on test data batch 37"
2024-07-17T12:31:00.618369,"Epoch 0, Generating tour on test data batch 38"
2024-07-17T12:31:00.660842,"Epoch 0, computing tour length on test data batch 38"
2024-07-17T12:31:00.661301,"Epoch 0, Generating tour on test data batch 39"
2024-07-17T12:31:00.693477,"Epoch 0, computing tour length on test data batch 39"
2024-07-17T12:31:00.694051,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-17T12:31:00.704378,"Epoch 1, Step 0 start"
2024-07-17T12:31:00.704387,Generating data
2024-07-17T12:31:00.705046,generating tours of train model
2024-07-17T12:31:00.729544,generating tours of baseline model
2024-07-17T12:31:00.754259,computing tour length of train model
2024-07-17T12:31:00.754481,computing tour length of baseline model
2024-07-17T12:31:00.754704,computing loss and backprop
2024-07-17T12:31:00.776117,"Epoch 1, Step 1 start"
2024-07-17T12:31:00.776127,generating tours of train model
2024-07-17T12:31:00.798565,generating tours of baseline model
2024-07-17T12:31:00.822954,computing tour length of train model
2024-07-17T12:31:00.823172,computing tour length of baseline model
2024-07-17T12:31:00.823388,computing loss and backprop
2024-07-17T12:31:00.842747,"Epoch 1, Step 2 start"
2024-07-17T12:31:00.842761,generating tours of train model
2024-07-17T12:31:00.868032,generating tours of baseline model
2024-07-17T12:31:00.889617,computing tour length of train model
2024-07-17T12:31:00.889835,computing tour length of baseline model
2024-07-17T12:31:00.890063,computing loss and backprop
2024-07-17T12:31:00.908206,"Epoch 1, Step 3 start"
2024-07-17T12:31:00.908220,generating tours of train model
2024-07-17T12:31:00.918395,generating tours of baseline model
2024-07-17T12:31:00.938718,computing tour length of train model
2024-07-17T12:31:00.938941,computing tour length of baseline model
2024-07-17T12:31:00.939157,computing loss and backprop
2024-07-17T12:31:00.958103,"Epoch 1, Step 4 start"
2024-07-17T12:31:00.958115,generating tours of train model
2024-07-17T12:31:00.985771,generating tours of baseline model
2024-07-17T12:31:01.011222,computing tour length of train model
2024-07-17T12:31:01.011439,computing tour length of baseline model
2024-07-17T12:31:01.011656,computing loss and backprop
2024-07-17T12:31:01.033054,"Epoch 1, Step 5 start"
2024-07-17T12:31:01.033068,generating tours of train model
2024-07-17T12:31:01.057133,generating tours of baseline model
2024-07-17T12:31:01.081706,computing tour length of train model
2024-07-17T12:31:01.081930,computing tour length of baseline model
2024-07-17T12:31:01.082148,computing loss and backprop
2024-07-17T12:31:01.103729,"Epoch 1, Step 6 start"
2024-07-17T12:31:01.103741,Generating data
2024-07-17T12:31:01.104657,generating tours of train model
2024-07-17T12:31:01.128189,generating tours of baseline model
2024-07-17T12:31:01.151563,computing tour length of train model
2024-07-17T12:31:01.151784,computing tour length of baseline model
2024-07-17T12:31:01.152009,computing loss and backprop
2024-07-17T12:31:01.171498,"Epoch 1, Step 7 start"
2024-07-17T12:31:01.171511,generating tours of train model
2024-07-17T12:31:01.199519,generating tours of baseline model
2024-07-17T12:31:01.224232,computing tour length of train model
2024-07-17T12:31:01.224449,computing tour length of baseline model
2024-07-17T12:31:01.224667,computing loss and backprop
2024-07-17T12:31:01.245860,"Epoch 1, Step 8 start"
2024-07-17T12:31:01.245873,generating tours of train model
2024-07-17T12:31:01.271439,generating tours of baseline model
2024-07-17T12:31:01.300044,computing tour length of train model
2024-07-17T12:31:01.300260,computing tour length of baseline model
2024-07-17T12:31:01.300474,computing loss and backprop
2024-07-17T12:31:01.319966,"Epoch 1, Step 9 start"
2024-07-17T12:31:01.319979,generating tours of train model
2024-07-17T12:31:01.344384,generating tours of baseline model
2024-07-17T12:31:01.372115,computing tour length of train model
2024-07-17T12:31:01.372332,computing tour length of baseline model
2024-07-17T12:31:01.372546,computing loss and backprop
2024-07-17T12:31:01.394180,"Epoch 1, Generating tour on test data batch 0"
2024-07-17T12:31:01.430883,"Epoch 1, computing tour length on test data batch 0"
2024-07-17T12:31:01.431381,"Epoch 1, Generating tour on test data batch 1"
2024-07-17T12:31:01.493954,"Epoch 1, computing tour length on test data batch 1"
2024-07-17T12:31:01.494404,"Epoch 1, Generating tour on test data batch 2"
2024-07-17T12:31:01.597725,"Epoch 1, computing tour length on test data batch 2"
2024-07-17T12:31:01.598187,"Epoch 1, Generating tour on test data batch 3"
2024-07-17T12:31:01.700925,"Epoch 1, computing tour length on test data batch 3"
2024-07-17T12:31:01.701375,"Epoch 1, Generating tour on test data batch 4"
2024-07-17T12:31:01.804296,"Epoch 1, computing tour length on test data batch 4"
2024-07-17T12:31:01.804741,"Epoch 1, Generating tour on test data batch 5"
2024-07-17T12:31:01.859476,"Epoch 1, computing tour length on test data batch 5"
2024-07-17T12:31:01.859944,"Epoch 1, Generating tour on test data batch 6"
2024-07-17T12:31:01.958569,"Epoch 1, computing tour length on test data batch 6"
2024-07-17T12:31:01.959100,"Epoch 1, Generating tour on test data batch 7"
2024-07-17T12:31:02.062175,"Epoch 1, computing tour length on test data batch 7"
2024-07-17T12:31:02.062639,"Epoch 1, Generating tour on test data batch 8"
2024-07-17T12:31:02.158305,"Epoch 1, computing tour length on test data batch 8"
2024-07-17T12:31:02.158751,"Epoch 1, Generating tour on test data batch 9"
2024-07-17T12:31:02.218044,"Epoch 1, computing tour length on test data batch 9"
2024-07-17T12:31:02.218493,"Epoch 1, Generating tour on test data batch 10"
2024-07-17T12:31:02.251527,"Epoch 1, computing tour length on test data batch 10"
2024-07-17T12:31:02.251981,"Epoch 1, Generating tour on test data batch 11"
2024-07-17T12:31:02.283768,"Epoch 1, computing tour length on test data batch 11"
2024-07-17T12:31:02.284227,"Epoch 1, Generating tour on test data batch 12"
2024-07-17T12:31:02.317770,"Epoch 1, computing tour length on test data batch 12"
2024-07-17T12:31:02.318224,"Epoch 1, Generating tour on test data batch 13"
2024-07-17T12:31:02.351737,"Epoch 1, computing tour length on test data batch 13"
2024-07-17T12:31:02.352194,"Epoch 1, Generating tour on test data batch 14"
2024-07-17T12:31:02.385001,"Epoch 1, computing tour length on test data batch 14"
2024-07-17T12:31:02.385451,"Epoch 1, Generating tour on test data batch 15"
2024-07-17T12:31:02.419471,"Epoch 1, computing tour length on test data batch 15"
2024-07-17T12:31:02.420028,"Epoch 1, Generating tour on test data batch 16"
2024-07-17T12:31:02.452630,"Epoch 1, computing tour length on test data batch 16"
2024-07-17T12:31:02.453078,"Epoch 1, Generating tour on test data batch 17"
2024-07-17T12:31:02.470446,"Epoch 1, computing tour length on test data batch 17"
2024-07-17T12:31:02.470897,"Epoch 1, Generating tour on test data batch 18"
2024-07-17T12:31:02.492377,"Epoch 1, computing tour length on test data batch 18"
2024-07-17T12:31:02.492818,"Epoch 1, Generating tour on test data batch 19"
2024-07-17T12:31:02.527558,"Epoch 1, computing tour length on test data batch 19"
2024-07-17T12:31:02.528008,"Epoch 1, Generating tour on test data batch 20"
2024-07-17T12:31:02.562538,"Epoch 1, computing tour length on test data batch 20"
2024-07-17T12:31:02.562991,"Epoch 1, Generating tour on test data batch 21"
2024-07-17T12:31:02.598779,"Epoch 1, computing tour length on test data batch 21"
2024-07-17T12:31:02.599233,"Epoch 1, Generating tour on test data batch 22"
2024-07-17T12:31:02.634915,"Epoch 1, computing tour length on test data batch 22"
2024-07-17T12:31:02.635359,"Epoch 1, Generating tour on test data batch 23"
2024-07-17T12:31:02.669778,"Epoch 1, computing tour length on test data batch 23"
2024-07-17T12:31:02.670232,"Epoch 1, Generating tour on test data batch 24"
2024-07-17T12:31:02.706182,"Epoch 1, computing tour length on test data batch 24"
2024-07-17T12:31:02.706627,"Epoch 1, Generating tour on test data batch 25"
2024-07-17T12:31:02.741698,"Epoch 1, computing tour length on test data batch 25"
2024-07-17T12:31:02.742156,"Epoch 1, Generating tour on test data batch 26"
2024-07-17T12:31:02.778496,"Epoch 1, computing tour length on test data batch 26"
2024-07-17T12:31:02.778947,"Epoch 1, Generating tour on test data batch 27"
2024-07-17T12:31:02.817718,"Epoch 1, computing tour length on test data batch 27"
2024-07-17T12:31:02.818172,"Epoch 1, Generating tour on test data batch 28"
2024-07-17T12:31:02.855177,"Epoch 1, computing tour length on test data batch 28"
2024-07-17T12:31:02.855621,"Epoch 1, Generating tour on test data batch 29"
2024-07-17T12:31:02.890488,"Epoch 1, computing tour length on test data batch 29"
2024-07-17T12:31:02.890939,"Epoch 1, Generating tour on test data batch 30"
2024-07-17T12:31:02.925896,"Epoch 1, computing tour length on test data batch 30"
2024-07-17T12:31:02.926345,"Epoch 1, Generating tour on test data batch 31"
2024-07-17T12:31:02.961593,"Epoch 1, computing tour length on test data batch 31"
2024-07-17T12:31:02.962048,"Epoch 1, Generating tour on test data batch 32"
2024-07-17T12:31:02.998357,"Epoch 1, computing tour length on test data batch 32"
2024-07-17T12:31:02.998798,"Epoch 1, Generating tour on test data batch 33"
2024-07-17T12:31:03.062597,"Epoch 1, computing tour length on test data batch 33"
2024-07-17T12:31:03.063049,"Epoch 1, Generating tour on test data batch 34"
2024-07-17T12:31:03.167398,"Epoch 1, computing tour length on test data batch 34"
2024-07-17T12:31:03.167842,"Epoch 1, Generating tour on test data batch 35"
2024-07-17T12:31:03.271164,"Epoch 1, computing tour length on test data batch 35"
2024-07-17T12:31:03.271615,"Epoch 1, Generating tour on test data batch 36"
2024-07-17T12:31:03.366730,"Epoch 1, computing tour length on test data batch 36"
2024-07-17T12:31:03.367182,"Epoch 1, Generating tour on test data batch 37"
2024-07-17T12:31:03.465662,"Epoch 1, computing tour length on test data batch 37"
2024-07-17T12:31:03.466114,"Epoch 1, Generating tour on test data batch 38"
2024-07-17T12:31:03.539575,"Epoch 1, computing tour length on test data batch 38"
2024-07-17T12:31:03.540026,"Epoch 1, Generating tour on test data batch 39"
2024-07-17T12:31:03.644491,"Epoch 1, computing tour length on test data batch 39"
2024-07-17T12:31:03.644992,Epoch 1 saving checkpoint and updating baseline if train is better
2024-07-17T12:31:03.658102,"Epoch 2, Step 0 start"
2024-07-17T12:31:03.658113,Generating data
2024-07-17T12:31:03.662851,generating tours of train model
2024-07-17T12:31:03.751134,generating tours of baseline model
2024-07-17T12:31:03.831224,computing tour length of train model
2024-07-17T12:31:03.831444,computing tour length of baseline model
2024-07-17T12:31:03.831666,computing loss and backprop
2024-07-17T12:31:03.860297,"Epoch 2, Step 1 start"
2024-07-17T12:31:03.860310,generating tours of train model
2024-07-17T12:31:03.886006,generating tours of baseline model
2024-07-17T12:31:03.910156,computing tour length of train model
2024-07-17T12:31:03.910373,computing tour length of baseline model
2024-07-17T12:31:03.910586,computing loss and backprop
2024-07-17T12:31:03.929851,"Epoch 2, Step 2 start"
2024-07-17T12:31:03.929864,generating tours of train model
2024-07-17T12:31:03.952839,generating tours of baseline model
2024-07-17T12:31:03.977497,computing tour length of train model
2024-07-17T12:31:03.977716,computing tour length of baseline model
2024-07-17T12:31:03.977937,computing loss and backprop
2024-07-17T12:31:03.997249,"Epoch 2, Step 3 start"
2024-07-17T12:31:03.997262,generating tours of train model
2024-07-17T12:31:04.021963,generating tours of baseline model
2024-07-17T12:31:04.045157,computing tour length of train model
2024-07-17T12:31:04.045379,computing tour length of baseline model
2024-07-17T12:31:04.045597,computing loss and backprop
