Timestamp,Event
2024-07-15T15:43:25.314435,"Epoch 0, Step 0 start"
2024-07-15T15:43:25.314452,Generating data
2024-07-15T15:43:25.316817,generating tours of train model
2024-07-15T15:43:35.207509,generating tours of baseline model
2024-07-15T15:43:35.696644,computing tour length of train model
2024-07-15T15:43:35.728511,computing tour length of baseline model
2024-07-15T15:43:35.729186,computing loss and backprop
2024-07-15T15:43:49.398186,"Epoch 0, Step 1 start"
2024-07-15T15:43:49.398222,generating tours of train model
2024-07-15T15:43:49.762753,generating tours of baseline model
2024-07-15T15:43:50.120285,computing tour length of train model
2024-07-15T15:43:50.120715,computing tour length of baseline model
2024-07-15T15:43:50.121080,computing loss and backprop
2024-07-15T15:43:50.872714,"Epoch 0, Step 2 start"
2024-07-15T15:43:50.872733,generating tours of train model
2024-07-15T15:43:51.234444,generating tours of baseline model
2024-07-15T15:43:51.592943,computing tour length of train model
2024-07-15T15:43:51.593319,computing tour length of baseline model
2024-07-15T15:43:51.593668,computing loss and backprop
2024-07-15T15:43:52.339811,"Epoch 0, Step 3 start"
2024-07-15T15:43:52.339827,generating tours of train model
2024-07-15T15:43:52.580054,generating tours of baseline model
2024-07-15T15:43:52.815701,computing tour length of train model
2024-07-15T15:43:52.815960,computing tour length of baseline model
2024-07-15T15:43:52.816191,computing loss and backprop
2024-07-15T15:43:53.311188,"Epoch 0, Step 4 start"
2024-07-15T15:43:53.311200,generating tours of train model
2024-07-15T15:43:53.551901,generating tours of baseline model
2024-07-15T15:43:53.787808,computing tour length of train model
2024-07-15T15:43:53.788081,computing tour length of baseline model
2024-07-15T15:43:53.788317,computing loss and backprop
2024-07-15T15:43:54.279327,"Epoch 0, Step 5 start"
2024-07-15T15:43:54.279342,generating tours of train model
2024-07-15T15:43:54.517855,generating tours of baseline model
2024-07-15T15:43:54.752889,computing tour length of train model
2024-07-15T15:43:54.753136,computing tour length of baseline model
2024-07-15T15:43:54.753364,computing loss and backprop
2024-07-15T15:43:55.243548,"Epoch 0, Step 6 start"
2024-07-15T15:43:55.243563,Generating data
2024-07-15T15:43:55.244090,generating tours of train model
2024-07-15T15:43:55.480488,generating tours of baseline model
2024-07-15T15:43:55.716530,computing tour length of train model
2024-07-15T15:43:55.716777,computing tour length of baseline model
2024-07-15T15:43:55.717015,computing loss and backprop
2024-07-15T15:43:56.209515,"Epoch 0, Step 7 start"
2024-07-15T15:43:56.209527,generating tours of train model
2024-07-15T15:43:56.446457,generating tours of baseline model
2024-07-15T15:43:56.682349,computing tour length of train model
2024-07-15T15:43:56.682602,computing tour length of baseline model
2024-07-15T15:43:56.682837,computing loss and backprop
2024-07-15T15:43:57.175334,"Epoch 0, Step 8 start"
2024-07-15T15:43:57.175351,generating tours of train model
2024-07-15T15:43:57.412309,generating tours of baseline model
2024-07-15T15:43:57.754789,computing tour length of train model
2024-07-15T15:43:57.755053,computing tour length of baseline model
2024-07-15T15:43:57.755285,computing loss and backprop
2024-07-15T15:43:58.247805,"Epoch 0, Step 9 start"
2024-07-15T15:43:58.247821,generating tours of train model
2024-07-15T15:43:58.487113,generating tours of baseline model
2024-07-15T15:43:58.722974,computing tour length of train model
2024-07-15T15:43:58.723224,computing tour length of baseline model
2024-07-15T15:43:58.723449,computing loss and backprop
2024-07-15T15:43:59.214337,"Epoch 0, Generating tour on test data batch 0"
2024-07-15T15:43:59.662347,"Epoch 0, computing tour length on test data batch 0"
2024-07-15T15:43:59.663339,"Epoch 0, Generating tour on test data batch 1"
2024-07-15T15:44:00.113134,"Epoch 0, computing tour length on test data batch 1"
2024-07-15T15:44:00.113643,"Epoch 0, Generating tour on test data batch 2"
2024-07-15T15:44:00.565037,"Epoch 0, computing tour length on test data batch 2"
2024-07-15T15:44:00.565550,"Epoch 0, Generating tour on test data batch 3"
2024-07-15T15:44:01.015793,"Epoch 0, computing tour length on test data batch 3"
2024-07-15T15:44:01.016317,"Epoch 0, Generating tour on test data batch 4"
2024-07-15T15:44:01.467103,"Epoch 0, computing tour length on test data batch 4"
2024-07-15T15:44:01.467612,"Epoch 0, Generating tour on test data batch 5"
2024-07-15T15:44:01.918048,"Epoch 0, computing tour length on test data batch 5"
2024-07-15T15:44:01.918558,"Epoch 0, Generating tour on test data batch 6"
2024-07-15T15:44:02.370272,"Epoch 0, computing tour length on test data batch 6"
2024-07-15T15:44:02.370857,"Epoch 0, Generating tour on test data batch 7"
2024-07-15T15:44:02.822536,"Epoch 0, computing tour length on test data batch 7"
2024-07-15T15:44:02.823058,"Epoch 0, Generating tour on test data batch 8"
2024-07-15T15:44:03.275338,"Epoch 0, computing tour length on test data batch 8"
2024-07-15T15:44:03.275843,"Epoch 0, Generating tour on test data batch 9"
2024-07-15T15:44:03.726859,"Epoch 0, computing tour length on test data batch 9"
2024-07-15T15:44:03.727362,"Epoch 0, Generating tour on test data batch 10"
2024-07-15T15:44:04.179288,"Epoch 0, computing tour length on test data batch 10"
2024-07-15T15:44:04.179801,"Epoch 0, Generating tour on test data batch 11"
2024-07-15T15:44:04.736261,"Epoch 0, computing tour length on test data batch 11"
2024-07-15T15:44:04.736792,"Epoch 0, Generating tour on test data batch 12"
2024-07-15T15:44:05.190169,"Epoch 0, computing tour length on test data batch 12"
2024-07-15T15:44:05.190683,"Epoch 0, Generating tour on test data batch 13"
2024-07-15T15:44:05.710538,"Epoch 0, computing tour length on test data batch 13"
2024-07-15T15:44:05.712587,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-15T15:44:05.729216,"Epoch 1, Step 0 start"
2024-07-15T15:44:05.729226,Generating data
2024-07-15T15:44:05.729453,generating tours of train model
2024-07-15T15:44:05.967815,generating tours of baseline model
2024-07-15T15:44:06.236583,computing tour length of train model
2024-07-15T15:44:06.236833,computing tour length of baseline model
2024-07-15T15:44:06.237080,computing loss and backprop
2024-07-15T15:44:06.733434,"Epoch 1, Step 1 start"
2024-07-15T15:44:06.733449,generating tours of train model
2024-07-15T15:44:06.973817,generating tours of baseline model
2024-07-15T15:44:07.209557,computing tour length of train model
2024-07-15T15:44:07.209803,computing tour length of baseline model
2024-07-15T15:44:07.210040,computing loss and backprop
2024-07-15T15:44:07.705940,"Epoch 1, Step 2 start"
2024-07-15T15:44:07.705951,generating tours of train model
2024-07-15T15:44:07.947078,generating tours of baseline model
2024-07-15T15:44:08.182898,computing tour length of train model
2024-07-15T15:44:08.183147,computing tour length of baseline model
2024-07-15T15:44:08.183374,computing loss and backprop
2024-07-15T15:44:08.676994,"Epoch 1, Step 3 start"
2024-07-15T15:44:08.677010,generating tours of train model
2024-07-15T15:44:08.917872,generating tours of baseline model
2024-07-15T15:44:09.153969,computing tour length of train model
2024-07-15T15:44:09.154214,computing tour length of baseline model
2024-07-15T15:44:09.154440,computing loss and backprop
2024-07-15T15:44:09.648694,"Epoch 1, Step 4 start"
2024-07-15T15:44:09.648709,generating tours of train model
2024-07-15T15:44:09.889673,generating tours of baseline model
2024-07-15T15:44:10.125788,computing tour length of train model
2024-07-15T15:44:10.126046,computing tour length of baseline model
